rank,filename,window_start,window_end,frequency,unique_count,support,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,matched
1,XCDP,53,84,3307,93,0.9588,0.33,0.22,0.22,0.11,0.44,0.3,"{""match_0001"": {""filename"": ""4PJR"", ""window_start"": 152, ""window_end"": 183, ""distance"": 0.065574}, ""match_0002"": {""filename"": ""DKBJ"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.079373}, ""match_0003"": {""filename"": ""HMP2"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.079373}, ""match_0004"": {""filename"": ""DKBJ"", ""window_start"": 88, ""window_end"": 119, ""distance"": 0.09434}, ""match_0005"": {""filename"": ""ZW7M"", ""window_start"": 164, ""window_end"": 195, ""distance"": 0.09434}, ""match_0006"": {""filename"": ""DKBJ"", ""window_start"": 86, ""window_end"": 117, ""distance"": 0.09434}, ""match_0007"": {""filename"": ""DKBJ"", ""window_start"": 87, ""window_end"": 118, ""distance"": 0.09434}, ""match_0008"": {""filename"": ""Z2HJ"", ""window_start"": 125, ""window_end"": 156, ""distance"": 0.09434}, ""match_0009"": {""filename"": ""H634"", ""window_start"": 208, ""window_end"": 239, ""distance"": 0.09434}}"
2,RCW6,107,138,2849,93,0.9588,0.25,0.25,0.25,0.12,0.38,0.27,"{""match_0001"": {""filename"": ""Z3TJ"", ""window_start"": 194, ""window_end"": 225, ""distance"": 0.0}, ""match_0002"": {""filename"": ""HMP2"", ""window_start"": 176, ""window_end"": 207, ""distance"": 0.07874}, ""match_0003"": {""filename"": ""J99Y"", ""window_start"": 112, ""window_end"": 143, ""distance"": 0.07874}, ""match_0004"": {""filename"": ""WCYT"", ""window_start"": 414, ""window_end"": 445, ""distance"": 0.08544}, ""match_0005"": {""filename"": ""WTV3"", ""window_start"": 224, ""window_end"": 255, ""distance"": 0.08544}, ""match_0006"": {""filename"": ""CTVZ"", ""window_start"": 273, ""window_end"": 304, ""distance"": 0.096437}}"
3,Z3TJ,194,225,2832,93,0.9588,0.25,0.25,0.25,0.12,0.38,0.27,"{""match_0001"": {""filename"": ""RCW6"", ""window_start"": 106, ""window_end"": 137, ""distance"": 0.0}, ""match_0002"": {""filename"": ""J99Y"", ""window_start"": 113, ""window_end"": 144, ""distance"": 0.07874}, ""match_0003"": {""filename"": ""HMP2"", ""window_start"": 176, ""window_end"": 207, ""distance"": 0.07874}, ""match_0004"": {""filename"": ""WTV3"", ""window_start"": 225, ""window_end"": 256, ""distance"": 0.08544}, ""match_0005"": {""filename"": ""WCYT"", ""window_start"": 417, ""window_end"": 448, ""distance"": 0.08544}, ""match_0006"": {""filename"": ""CTVZ"", ""window_start"": 273, ""window_end"": 304, ""distance"": 0.096437}, ""match_0007"": {""filename"": ""P3XV"", ""window_start"": 77, ""window_end"": 108, ""distance"": 0.096437}}"
4,DKBJ,124,155,3047,92,0.9485,0.3,0.2,0.2,0.1,0.5,0.33,"{""match_0001"": {""filename"": ""HMP2"", ""window_start"": 105, ""window_end"": 136, ""distance"": 0.0}, ""match_0002"": {""filename"": ""4PJR"", ""window_start"": 155, ""window_end"": 186, ""distance"": 0.0}, ""match_0003"": {""filename"": ""XCDP"", ""window_start"": 53, ""window_end"": 84, ""distance"": 0.079373}, ""match_0004"": {""filename"": ""4ZY2"", ""window_start"": 111, ""window_end"": 142, ""distance"": 0.092736}, ""match_0005"": {""filename"": ""W4G3"", ""window_start"": 120, ""window_end"": 151, ""distance"": 0.092736}}"
5,4PJR,155,186,3026,92,0.9485,0.3,0.2,0.2,0.1,0.5,0.33,"{""match_0001"": {""filename"": ""DKBJ"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.0}, ""match_0002"": {""filename"": ""HMP2"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.0}, ""match_0003"": {""filename"": ""XCDP"", ""window_start"": 53, ""window_end"": 84, ""distance"": 0.079373}, ""match_0004"": {""filename"": ""4ZY2"", ""window_start"": 111, ""window_end"": 142, ""distance"": 0.092736}, ""match_0005"": {""filename"": ""W4G3"", ""window_start"": 120, ""window_end"": 151, ""distance"": 0.092736}, ""match_0006"": {""filename"": ""6PW3"", ""window_start"": 208, ""window_end"": 239, ""distance"": 0.1}}"
6,HMP2,108,139,2982,92,0.9485,0.3,0.2,0.2,0.1,0.5,0.33,"{""match_0001"": {""filename"": ""DKBJ"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.0}, ""match_0002"": {""filename"": ""4PJR"", ""window_start"": 154, ""window_end"": 185, ""distance"": 0.0}, ""match_0003"": {""filename"": ""XCDP"", ""window_start"": 53, ""window_end"": 84, ""distance"": 0.079373}, ""match_0004"": {""filename"": ""4ZY2"", ""window_start"": 111, ""window_end"": 142, ""distance"": 0.092736}, ""match_0005"": {""filename"": ""W4G3"", ""window_start"": 120, ""window_end"": 151, ""distance"": 0.092736}, ""match_0006"": {""filename"": ""6PW3"", ""window_start"": 208, ""window_end"": 239, ""distance"": 0.1}, ""match_0007"": {""filename"": ""FZVW"", ""window_start"": 90, ""window_end"": 121, ""distance"": 0.1}, ""match_0008"": {""filename"": ""3J3Y"", ""window_start"": 70, ""window_end"": 101, ""distance"": 0.1}}"
7,4PJR,157,188,2968,92,0.9485,0.33,0.22,0.22,0.11,0.56,0.3,"{""match_0001"": {""filename"": ""HMP2"", ""window_start"": 106, ""window_end"": 137, ""distance"": 0.0}, ""match_0002"": {""filename"": ""XCDP"", ""window_start"": 49, ""window_end"": 80, ""distance"": 0.0}, ""match_0003"": {""filename"": ""DKBJ"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.079373}, ""match_0004"": {""filename"": ""W4G3"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.091104}, ""match_0005"": {""filename"": ""4ZY2"", ""window_start"": 115, ""window_end"": 146, ""distance"": 0.091104}, ""match_0006"": {""filename"": ""DKBJ"", ""window_start"": 87, ""window_end"": 118, ""distance"": 0.09434}, ""match_0007"": {""filename"": ""DKBJ"", ""window_start"": 88, ""window_end"": 119, ""distance"": 0.09434}}"
8,XCDP,50,81,2951,92,0.9485,0.33,0.22,0.22,0.11,0.56,0.3,"{""match_0001"": {""filename"": ""HMP2"", ""window_start"": 106, ""window_end"": 137, ""distance"": 0.0}, ""match_0002"": {""filename"": ""4PJR"", ""window_start"": 157, ""window_end"": 188, ""distance"": 0.0}, ""match_0003"": {""filename"": ""DKBJ"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.079373}, ""match_0004"": {""filename"": ""W4G3"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.091104}, ""match_0005"": {""filename"": ""4ZY2"", ""window_start"": 115, ""window_end"": 146, ""distance"": 0.091104}}"
9,HMP2,106,137,2929,92,0.9485,0.33,0.22,0.22,0.11,0.56,0.3,"{""match_0001"": {""filename"": ""XCDP"", ""window_start"": 50, ""window_end"": 81, ""distance"": 0.0}, ""match_0002"": {""filename"": ""4PJR"", ""window_start"": 158, ""window_end"": 189, ""distance"": 0.0}, ""match_0003"": {""filename"": ""DKBJ"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.079373}, ""match_0004"": {""filename"": ""4ZY2"", ""window_start"": 116, ""window_end"": 147, ""distance"": 0.091104}, ""match_0005"": {""filename"": ""W4G3"", ""window_start"": 121, ""window_end"": 152, ""distance"": 0.091104}, ""match_0006"": {""filename"": ""7W7C"", ""window_start"": 136, ""window_end"": 167, ""distance"": 0.09434}, ""match_0007"": {""filename"": ""DKBJ"", ""window_start"": 88, ""window_end"": 119, ""distance"": 0.09434}, ""match_0008"": {""filename"": ""DKBJ"", ""window_start"": 87, ""window_end"": 118, ""distance"": 0.09434}}"
10,ZCD7,196,227,2875,92,0.9485,0.33,0.22,0.22,0.22,0.44,0.3,"{""match_0001"": {""filename"": ""3D4B"", ""window_start"": 134, ""window_end"": 165, ""distance"": 0.0}, ""match_0002"": {""filename"": ""XCDP"", ""window_start"": 239, ""window_end"": 270, ""distance"": 0.0}, ""match_0003"": {""filename"": ""Z64J"", ""window_start"": 57, ""window_end"": 88, ""distance"": 0.092736}, ""match_0004"": {""filename"": ""4PFM"", ""window_start"": 247, ""window_end"": 278, ""distance"": 0.098489}, ""match_0005"": {""filename"": ""FCG6"", ""window_start"": 213, ""window_end"": 244, ""distance"": 0.098489}}"
