rank,filename,window_start,window_end,frequency,unique_count,support,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,matched
1,DB72,98,129,23692,96,0.9897,0.5,0.25,0.25,0.12,0.5,0.27,"{""match_0001"": {""filename"": ""3J3Y"", ""window_start"": 65, ""window_end"": 96, ""distance"": 0.002981}, ""match_0002"": {""filename"": ""64X9"", ""window_start"": 91, ""window_end"": 122, ""distance"": 0.003179}, ""match_0003"": {""filename"": ""J99Y"", ""window_start"": 271, ""window_end"": 302, ""distance"": 0.005534}, ""match_0004"": {""filename"": ""WH6V"", ""window_start"": 159, ""window_end"": 190, ""distance"": 0.005534}, ""match_0005"": {""filename"": ""W4G3"", ""window_start"": 112, ""window_end"": 143, ""distance"": 0.005534}, ""match_0006"": {""filename"": ""J99Y"", ""window_start"": 215, ""window_end"": 246, ""distance"": 0.007041}, ""match_0007"": {""filename"": ""J99Y"", ""window_start"": 216, ""window_end"": 247, ""distance"": 0.007041}, ""match_0008"": {""filename"": ""9J7R"", ""window_start"": 172, ""window_end"": 203, ""distance"": 0.007732}, ""match_0009"": {""filename"": ""XCDP"", ""window_start"": 51, ""window_end"": 82, ""distance"": 0.007732}, ""match_0010"": {""filename"": ""DKBJ"", ""window_start"": 88, ""window_end"": 119, ""distance"": 0.007732}}"
2,64X9,91,122,23609,96,0.9897,0.57,0.29,0.29,0.14,0.57,0.23,"{""match_0001"": {""filename"": ""DB72"", ""window_start"": 97, ""window_end"": 128, ""distance"": 0.0}, ""match_0002"": {""filename"": ""J99Y"", ""window_start"": 267, ""window_end"": 298, ""distance"": 0.00198}, ""match_0003"": {""filename"": ""TGHV"", ""window_start"": 200, ""window_end"": 231, ""distance"": 0.005836}, ""match_0004"": {""filename"": ""GPHW"", ""window_start"": 42, ""window_end"": 73, ""distance"": 0.006921}, ""match_0005"": {""filename"": ""Z3TJ"", ""window_start"": 143, ""window_end"": 174, ""distance"": 0.006921}}"
3,C6PH,107,138,23606,96,0.9897,0.5,0.33,0.17,0.17,0.5,0.2,"{""match_0001"": {""filename"": ""KYVM"", ""window_start"": 188, ""window_end"": 219, ""distance"": 0.0}, ""match_0002"": {""filename"": ""46FX"", ""window_start"": 62, ""window_end"": 93, ""distance"": 0.003018}, ""match_0003"": {""filename"": ""6PW3"", ""window_start"": 238, ""window_end"": 269, ""distance"": 0.003018}, ""match_0004"": {""filename"": ""GPHW"", ""window_start"": 60, ""window_end"": 91, ""distance"": 0.003018}, ""match_0005"": {""filename"": ""9J7R"", ""window_start"": 175, ""window_end"": 206, ""distance"": 0.003018}, ""match_0006"": {""filename"": ""P3XV"", ""window_start"": 364, ""window_end"": 395, ""distance"": 0.003018}, ""match_0007"": {""filename"": ""3FTG"", ""window_start"": 259, ""window_end"": 290, ""distance"": 0.006184}, ""match_0008"": {""filename"": ""W4G3"", ""window_start"": 111, ""window_end"": 142, ""distance"": 0.006184}, ""match_0009"": {""filename"": ""24PR"", ""window_start"": 162, ""window_end"": 193, ""distance"": 0.006184}, ""match_0010"": {""filename"": ""DB72"", ""window_start"": 91, ""window_end"": 122, ""distance"": 0.006184}}"
4,KYVM,189,220,23552,96,0.9897,0.5,0.33,0.17,0.17,0.5,0.2,"{""match_0001"": {""filename"": ""C6PH"", ""window_start"": 105, ""window_end"": 136, ""distance"": 0.0}, ""match_0002"": {""filename"": ""9J7R"", ""window_start"": 174, ""window_end"": 205, ""distance"": 0.003018}, ""match_0003"": {""filename"": ""46FX"", ""window_start"": 61, ""window_end"": 92, ""distance"": 0.003018}, ""match_0004"": {""filename"": ""GPHW"", ""window_start"": 60, ""window_end"": 91, ""distance"": 0.003018}, ""match_0005"": {""filename"": ""P3XV"", ""window_start"": 364, ""window_end"": 395, ""distance"": 0.003018}, ""match_0006"": {""filename"": ""6PW3"", ""window_start"": 240, ""window_end"": 271, ""distance"": 0.003018}, ""match_0007"": {""filename"": ""MCZJ"", ""window_start"": 297, ""window_end"": 328, ""distance"": 0.006184}, ""match_0008"": {""filename"": ""24PR"", ""window_start"": 162, ""window_end"": 193, ""distance"": 0.006184}}"
5,J99Y,267,298,23342,96,0.9897,0.67,0.33,0.33,0.17,0.67,0.2,"{""match_0001"": {""filename"": ""DB72"", ""window_start"": 97, ""window_end"": 128, ""distance"": 0.00198}, ""match_0002"": {""filename"": ""64X9"", ""window_start"": 91, ""window_end"": 122, ""distance"": 0.00198}, ""match_0003"": {""filename"": ""TGHV"", ""window_start"": 198, ""window_end"": 229, ""distance"": 0.006074}, ""match_0004"": {""filename"": ""GPHW"", ""window_start"": 45, ""window_end"": 76, ""distance"": 0.008792}, ""match_0005"": {""filename"": ""Z3TJ"", ""window_start"": 143, ""window_end"": 174, ""distance"": 0.008932}}"
6,Z64J,60,91,23249,96,0.9897,0.44,0.22,0.11,0.11,0.44,0.3,"{""match_0001"": {""filename"": ""MBKT"", ""window_start"": 126, ""window_end"": 157, ""distance"": 0.0}, ""match_0002"": {""filename"": ""3FTG"", ""window_start"": 262, ""window_end"": 293, ""distance"": 0.003142}, ""match_0003"": {""filename"": ""3D4B"", ""window_start"": 132, ""window_end"": 163, ""distance"": 0.004526}, ""match_0004"": {""filename"": ""Z2HJ"", ""window_start"": 174, ""window_end"": 205, ""distance"": 0.004526}, ""match_0005"": {""filename"": ""W4G3"", ""window_start"": 289, ""window_end"": 320, ""distance"": 0.004526}, ""match_0006"": {""filename"": ""DF7J"", ""window_start"": 295, ""window_end"": 326, ""distance"": 0.005605}, ""match_0007"": {""filename"": ""DFVJ"", ""window_start"": 104, ""window_end"": 135, ""distance"": 0.005944}, ""match_0008"": {""filename"": ""3Y4K"", ""window_start"": 249, ""window_end"": 280, ""distance"": 0.006989}}"
7,3J3Y,67,98,23151,96,0.9897,0.44,0.22,0.22,0.11,0.44,0.3,"{""match_0001"": {""filename"": ""DB72"", ""window_start"": 98, ""window_end"": 129, ""distance"": 0.002981}, ""match_0002"": {""filename"": ""3Y4K"", ""window_start"": 251, ""window_end"": 282, ""distance"": 0.005677}, ""match_0003"": {""filename"": ""DB72"", ""window_start"": 13, ""window_end"": 44, ""distance"": 0.006156}, ""match_0004"": {""filename"": ""DB72"", ""window_start"": 14, ""window_end"": 45, ""distance"": 0.006156}, ""match_0005"": {""filename"": ""H634"", ""window_start"": 207, ""window_end"": 238, ""distance"": 0.006156}, ""match_0006"": {""filename"": ""Z2HJ"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.006156}, ""match_0007"": {""filename"": ""6PW3"", ""window_start"": 214, ""window_end"": 245, ""distance"": 0.006188}, ""match_0008"": {""filename"": ""WH6V"", ""window_start"": 158, ""window_end"": 189, ""distance"": 0.006852}, ""match_0009"": {""filename"": ""J99Y"", ""window_start"": 216, ""window_end"": 247, ""distance"": 0.006852}}"
8,MBKT,126,157,23131,96,0.9897,0.44,0.22,0.11,0.11,0.44,0.3,"{""match_0001"": {""filename"": ""Z64J"", ""window_start"": 60, ""window_end"": 91, ""distance"": 0.0}, ""match_0002"": {""filename"": ""3FTG"", ""window_start"": 262, ""window_end"": 293, ""distance"": 0.003142}, ""match_0003"": {""filename"": ""W4G3"", ""window_start"": 289, ""window_end"": 320, ""distance"": 0.004526}, ""match_0004"": {""filename"": ""3D4B"", ""window_start"": 130, ""window_end"": 161, ""distance"": 0.004526}, ""match_0005"": {""filename"": ""Z2HJ"", ""window_start"": 174, ""window_end"": 205, ""distance"": 0.004526}, ""match_0006"": {""filename"": ""DF7J"", ""window_start"": 296, ""window_end"": 327, ""distance"": 0.005605}, ""match_0007"": {""filename"": ""DFVJ"", ""window_start"": 105, ""window_end"": 136, ""distance"": 0.005944}, ""match_0008"": {""filename"": ""3Y4K"", ""window_start"": 248, ""window_end"": 279, ""distance"": 0.006989}}"
9,9J7R,174,205,23034,96,0.9897,0.43,0.29,0.14,0.14,0.43,0.23,"{""match_0001"": {""filename"": ""P3XV"", ""window_start"": 364, ""window_end"": 395, ""distance"": 0.0}, ""match_0002"": {""filename"": ""46FX"", ""window_start"": 61, ""window_end"": 92, ""distance"": 0.0}, ""match_0003"": {""filename"": ""6PW3"", ""window_start"": 239, ""window_end"": 270, ""distance"": 0.0}, ""match_0004"": {""filename"": ""GPHW"", ""window_start"": 60, ""window_end"": 91, ""distance"": 0.0}, ""match_0005"": {""filename"": ""KYVM"", ""window_start"": 187, ""window_end"": 218, ""distance"": 0.0}, ""match_0006"": {""filename"": ""C6PH"", ""window_start"": 109, ""window_end"": 140, ""distance"": 0.003018}, ""match_0007"": {""filename"": ""Z2HJ"", ""window_start"": 174, ""window_end"": 205, ""distance"": 0.004687}, ""match_0008"": {""filename"": ""3D4B"", ""window_start"": 131, ""window_end"": 162, ""distance"": 0.004687}}"
10,3FTG,261,292,23012,96,0.9897,0.5,0.25,0.12,0.12,0.5,0.27,"{""match_0001"": {""filename"": ""MBKT"", ""window_start"": 125, ""window_end"": 156, ""distance"": 0.003142}, ""match_0002"": {""filename"": ""Z64J"", ""window_start"": 60, ""window_end"": 91, ""distance"": 0.003142}, ""match_0003"": {""filename"": ""24PR"", ""window_start"": 161, ""window_end"": 192, ""distance"": 0.003369}, ""match_0004"": {""filename"": ""MCZJ"", ""window_start"": 297, ""window_end"": 328, ""distance"": 0.003369}, ""match_0005"": {""filename"": ""DB72"", ""window_start"": 91, ""window_end"": 122, ""distance"": 0.003369}, ""match_0006"": {""filename"": ""W4G3"", ""window_start"": 111, ""window_end"": 142, ""distance"": 0.003369}, ""match_0007"": {""filename"": ""46FX"", ""window_start"": 62, ""window_end"": 93, ""distance"": 0.006654}, ""match_0008"": {""filename"": ""9J7R"", ""window_start"": 173, ""window_end"": 204, ""distance"": 0.006654}, ""match_0009"": {""filename"": ""6PW3"", ""window_start"": 238, ""window_end"": 269, ""distance"": 0.006654}}"
