rank,filename,window_start,window_end,frequency,unique_count,support,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,matched
1,J99Y,234,265,469,63,0.6495,0.44,0.0,0.22,0.0,0.22,0.08,"{""match_0001"": {""filename"": ""RXMC"", ""window_start"": 14, ""window_end"": 45, ""distance"": 0.055}, ""match_0002"": {""filename"": ""WCYT"", ""window_start"": 109, ""window_end"": 140, ""distance"": 0.077782}, ""match_0003"": {""filename"": ""HMP2"", ""window_start"": 43, ""window_end"": 74, ""distance"": 0.088459}, ""match_0004"": {""filename"": ""B3XJ"", ""window_start"": 52, ""window_end"": 83, ""distance"": 0.098107}, ""match_0005"": {""filename"": ""4ZY2"", ""window_start"": 65, ""window_end"": 96, ""distance"": 0.103441}, ""match_0006"": {""filename"": ""BFF9"", ""window_start"": 11, ""window_end"": 42, ""distance"": 0.106888}, ""match_0007"": {""filename"": ""H634"", ""window_start"": 13, ""window_end"": 44, ""distance"": 0.11}}"
2,RCW6,107,138,609,62,0.6392,0.25,0.25,0.25,0.12,0.38,0.09,"{""match_0001"": {""filename"": ""Z3TJ"", ""window_start"": 194, ""window_end"": 225, ""distance"": 0.0}, ""match_0002"": {""filename"": ""WTV3"", ""window_start"": 223, ""window_end"": 254, ""distance"": 0.06}, ""match_0003"": {""filename"": ""7W7C"", ""window_start"": 149, ""window_end"": 180, ""distance"": 0.06}, ""match_0004"": {""filename"": ""Z3TJ"", ""window_start"": 240, ""window_end"": 271, ""distance"": 0.06}, ""match_0005"": {""filename"": ""24PR"", ""window_start"": 232, ""window_end"": 263, ""distance"": 0.06}, ""match_0006"": {""filename"": ""FHXX"", ""window_start"": 84, ""window_end"": 115, ""distance"": 0.06}, ""match_0007"": {""filename"": ""HMP2"", ""window_start"": 148, ""window_end"": 179, ""distance"": 0.06}, ""match_0008"": {""filename"": ""3D4B"", ""window_start"": 298, ""window_end"": 329, ""distance"": 0.065}, ""match_0009"": {""filename"": ""WXHK"", ""window_start"": 204, ""window_end"": 235, ""distance"": 0.065}, ""match_0010"": {""filename"": ""MGT4"", ""window_start"": 46, ""window_end"": 77, ""distance"": 0.065}}"
3,Z3TJ,193,224,607,62,0.6392,0.25,0.25,0.25,0.12,0.38,0.09,"{""match_0001"": {""filename"": ""RCW6"", ""window_start"": 106, ""window_end"": 137, ""distance"": 0.0}, ""match_0002"": {""filename"": ""24PR"", ""window_start"": 232, ""window_end"": 263, ""distance"": 0.06}, ""match_0003"": {""filename"": ""WTV3"", ""window_start"": 222, ""window_end"": 253, ""distance"": 0.06}, ""match_0004"": {""filename"": ""HMP2"", ""window_start"": 148, ""window_end"": 179, ""distance"": 0.06}, ""match_0005"": {""filename"": ""FHXX"", ""window_start"": 84, ""window_end"": 115, ""distance"": 0.06}, ""match_0006"": {""filename"": ""7W7C"", ""window_start"": 148, ""window_end"": 179, ""distance"": 0.06}, ""match_0007"": {""filename"": ""4PFM"", ""window_start"": 317, ""window_end"": 348, ""distance"": 0.065}, ""match_0008"": {""filename"": ""3D4B"", ""window_start"": 298, ""window_end"": 329, ""distance"": 0.065}, ""match_0009"": {""filename"": ""MGT4"", ""window_start"": 47, ""window_end"": 78, ""distance"": 0.065}, ""match_0010"": {""filename"": ""GB4J"", ""window_start"": 114, ""window_end"": 145, ""distance"": 0.065}}"
4,4ZY2,114,145,497,62,0.6392,0.4,0.0,0.2,0.1,0.5,0.07,"{""match_0001"": {""filename"": ""6CGP"", ""window_start"": 32, ""window_end"": 63, ""distance"": 0.05}, ""match_0002"": {""filename"": ""HMP2"", ""window_start"": 111, ""window_end"": 142, ""distance"": 0.05}, ""match_0003"": {""filename"": ""3Y4K"", ""window_start"": 352, ""window_end"": 383, ""distance"": 0.05}, ""match_0004"": {""filename"": ""Z64J"", ""window_start"": 66, ""window_end"": 97, ""distance"": 0.070711}, ""match_0005"": {""filename"": ""F4CW"", ""window_start"": 151, ""window_end"": 182, ""distance"": 0.070711}, ""match_0006"": {""filename"": ""DFVJ"", ""window_start"": 13, ""window_end"": 44, ""distance"": 0.095}, ""match_0007"": {""filename"": ""4PJR"", ""window_start"": 98, ""window_end"": 129, ""distance"": 0.11}}"
5,WTV3,48,79,492,62,0.6392,0.5,0.0,0.25,0.12,0.5,0.09,"{""match_0001"": {""filename"": ""H634"", ""window_start"": 251, ""window_end"": 282, ""distance"": 0.06}, ""match_0002"": {""filename"": ""J99Y"", ""window_start"": 275, ""window_end"": 306, ""distance"": 0.06}, ""match_0003"": {""filename"": ""4FH6"", ""window_start"": 344, ""window_end"": 375, ""distance"": 0.084853}, ""match_0004"": {""filename"": ""3Y4K"", ""window_start"": 349, ""window_end"": 380, ""distance"": 0.084853}, ""match_0005"": {""filename"": ""B3XJ"", ""window_start"": 114, ""window_end"": 145, ""distance"": 0.114127}, ""match_0006"": {""filename"": ""6PW3"", ""window_start"": 218, ""window_end"": 249, ""distance"": 0.115542}, ""match_0007"": {""filename"": ""H634"", ""window_start"": 134, ""window_end"": 165, ""distance"": 0.118322}, ""match_0008"": {""filename"": ""XCDP"", ""window_start"": 253, ""window_end"": 284, ""distance"": 0.120416}, ""match_0009"": {""filename"": ""WH6V"", ""window_start"": 154, ""window_end"": 185, ""distance"": 0.120416}, ""match_0010"": {""filename"": ""TGHV"", ""window_start"": 233, ""window_end"": 264, ""distance"": 0.120416}}"
6,B3XJ,72,103,418,61,0.6289,0.45,0.0,0.18,0.18,0.45,0.06,"{""match_0001"": {""filename"": ""F4CW"", ""window_start"": 153, ""window_end"": 184, ""distance"": 0.045}, ""match_0002"": {""filename"": ""YWTX"", ""window_start"": 226, ""window_end"": 257, ""distance"": 0.087892}, ""match_0003"": {""filename"": ""6CGP"", ""window_start"": 30, ""window_end"": 61, ""distance"": 0.091924}, ""match_0004"": {""filename"": ""DFVJ"", ""window_start"": 13, ""window_end"": 44, ""distance"": 0.091924}, ""match_0005"": {""filename"": ""W6D3"", ""window_start"": 172, ""window_end"": 203, ""distance"": 0.104881}, ""match_0006"": {""filename"": ""B3BV"", ""window_start"": 141, ""window_end"": 172, ""distance"": 0.104881}, ""match_0007"": {""filename"": ""KYVM"", ""window_start"": 163, ""window_end"": 194, ""distance"": 0.104881}, ""match_0008"": {""filename"": ""RXMC"", ""window_start"": 269, ""window_end"": 300, ""distance"": 0.104881}, ""match_0009"": {""filename"": ""XCDP"", ""window_start"": 246, ""window_end"": 277, ""distance"": 0.111467}, ""match_0010"": {""filename"": ""Z64J"", ""window_start"": 66, ""window_end"": 97, ""distance"": 0.111467}}"
7,3PRC,22,53,593,60,0.6186,0.27,0.27,0.18,0.09,0.27,0.06,"{""match_0001"": {""filename"": ""WXHK"", ""window_start"": 76, ""window_end"": 107, ""distance"": 0.045}, ""match_0002"": {""filename"": ""X2MP"", ""window_start"": 84, ""window_end"": 115, ""distance"": 0.06364}, ""match_0003"": {""filename"": ""4PJR"", ""window_start"": 141, ""window_end"": 172, ""distance"": 0.095656}, ""match_0004"": {""filename"": ""FZVW"", ""window_start"": 56, ""window_end"": 87, ""distance"": 0.109087}, ""match_0005"": {""filename"": ""WXHK"", ""window_start"": 206, ""window_end"": 237, ""distance"": 0.113248}, ""match_0006"": {""filename"": ""WXHK"", ""window_start"": 208, ""window_end"": 239, ""distance"": 0.113248}}"
8,FHXX,84,115,591,60,0.6186,0.25,0.25,0.25,0.12,0.5,0.09,"{""match_0001"": {""filename"": ""HMP2"", ""window_start"": 148, ""window_end"": 179, ""distance"": 0.0}, ""match_0002"": {""filename"": ""7W7C"", ""window_start"": 148, ""window_end"": 179, ""distance"": 0.0}, ""match_0003"": {""filename"": ""WTV3"", ""window_start"": 223, ""window_end"": 254, ""distance"": 0.0}, ""match_0004"": {""filename"": ""Z3TJ"", ""window_start"": 240, ""window_end"": 271, ""distance"": 0.0}, ""match_0005"": {""filename"": ""D2RK"", ""window_start"": 172, ""window_end"": 203, ""distance"": 0.06}, ""match_0006"": {""filename"": ""RCW6"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.06}, ""match_0007"": {""filename"": ""24PR"", ""window_start"": 229, ""window_end"": 260, ""distance"": 0.06}, ""match_0008"": {""filename"": ""DB72"", ""window_start"": 113, ""window_end"": 144, ""distance"": 0.06}, ""match_0009"": {""filename"": ""Z3TJ"", ""window_start"": 194, ""window_end"": 225, ""distance"": 0.06}, ""match_0010"": {""filename"": ""XT2P"", ""window_start"": 182, ""window_end"": 213, ""distance"": 0.06}}"
9,Z3TJ,240,271,582,60,0.6186,0.25,0.25,0.25,0.12,0.5,0.09,"{""match_0001"": {""filename"": ""FHXX"", ""window_start"": 84, ""window_end"": 115, ""distance"": 0.0}, ""match_0002"": {""filename"": ""HMP2"", ""window_start"": 148, ""window_end"": 179, ""distance"": 0.0}, ""match_0003"": {""filename"": ""WTV3"", ""window_start"": 223, ""window_end"": 254, ""distance"": 0.0}, ""match_0004"": {""filename"": ""7W7C"", ""window_start"": 148, ""window_end"": 179, ""distance"": 0.0}, ""match_0005"": {""filename"": ""XT2P"", ""window_start"": 182, ""window_end"": 213, ""distance"": 0.06}, ""match_0006"": {""filename"": ""D2RK"", ""window_start"": 172, ""window_end"": 203, ""distance"": 0.06}, ""match_0007"": {""filename"": ""RCW6"", ""window_start"": 106, ""window_end"": 137, ""distance"": 0.06}, ""match_0008"": {""filename"": ""DB72"", ""window_start"": 113, ""window_end"": 144, ""distance"": 0.06}, ""match_0009"": {""filename"": ""24PR"", ""window_start"": 229, ""window_end"": 260, ""distance"": 0.06}, ""match_0010"": {""filename"": ""6PW3"", ""window_start"": 104, ""window_end"": 135, ""distance"": 0.065}}"
10,HMP2,148,179,569,60,0.6186,0.25,0.25,0.25,0.12,0.5,0.09,"{""match_0001"": {""filename"": ""7W7C"", ""window_start"": 147, ""window_end"": 178, ""distance"": 0.0}, ""match_0002"": {""filename"": ""WTV3"", ""window_start"": 222, ""window_end"": 253, ""distance"": 0.0}, ""match_0003"": {""filename"": ""FHXX"", ""window_start"": 84, ""window_end"": 115, ""distance"": 0.0}, ""match_0004"": {""filename"": ""Z3TJ"", ""window_start"": 240, ""window_end"": 271, ""distance"": 0.0}, ""match_0005"": {""filename"": ""XT2P"", ""window_start"": 182, ""window_end"": 213, ""distance"": 0.06}, ""match_0006"": {""filename"": ""RCW6"", ""window_start"": 106, ""window_end"": 137, ""distance"": 0.06}, ""match_0007"": {""filename"": ""DB72"", ""window_start"": 113, ""window_end"": 144, ""distance"": 0.06}, ""match_0008"": {""filename"": ""24PR"", ""window_start"": 229, ""window_end"": 260, ""distance"": 0.06}, ""match_0009"": {""filename"": ""D2RK"", ""window_start"": 172, ""window_end"": 203, ""distance"": 0.06}, ""match_0010"": {""filename"": ""Z3TJ"", ""window_start"": 194, ""window_end"": 225, ""distance"": 0.06}}"
