rank,filename,window_start,window_end,frequency,unique_count,support,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness,matched
1,WH6V,94,125,531606,89,0.9175,1.0,0.0,0.0,0.0,0.25,0.67,0.0,"{""match_0001"": {""filename"": ""24PR"", ""window_start"": 187, ""window_end"": 218, ""distance"": 0.0}, ""match_0002"": {""filename"": ""H634"", ""window_start"": 194, ""window_end"": 225, ""distance"": 0.0}, ""match_0003"": {""filename"": ""W4G3"", ""window_start"": 109, ""window_end"": 140, ""distance"": 0.0}, ""match_0004"": {""filename"": ""H634"", ""window_start"": 247, ""window_end"": 278, ""distance"": 0.0}, ""match_0005"": {""filename"": ""H634"", ""window_start"": 246, ""window_end"": 277, ""distance"": 0.0}, ""match_0006"": {""filename"": ""WY9R"", ""window_start"": 218, ""window_end"": 249, ""distance"": 0.0}, ""match_0007"": {""filename"": ""X2MP"", ""window_start"": 67, ""window_end"": 98, ""distance"": 0.0}, ""match_0008"": {""filename"": ""4B79"", ""window_start"": 200, ""window_end"": 231, ""distance"": 0.0}, ""match_0009"": {""filename"": ""MBKT"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.0}, ""match_0010"": {""filename"": ""64X9"", ""window_start"": 120, ""window_end"": 151, ""distance"": 0.0}, ""match_0011"": {""filename"": ""3FTG"", ""window_start"": 215, ""window_end"": 246, ""distance"": 0.05}, ""match_0012"": {""filename"": ""4PJR"", ""window_start"": 123, ""window_end"": 154, ""distance"": 0.05}, ""match_0013"": {""filename"": ""Z2HJ"", ""window_start"": 74, ""window_end"": 105, ""distance"": 0.05}, ""match_0014"": {""filename"": ""T4YH"", ""window_start"": 42, ""window_end"": 73, ""distance"": 0.05}, ""match_0015"": {""filename"": ""ZW7M"", ""window_start"": 293, ""window_end"": 324, ""distance"": 0.05}, ""match_0016"": {""filename"": ""BFF9"", ""window_start"": 15, ""window_end"": 46, ""distance"": 0.122066}}"
2,4PFM,270,301,134356,84,0.866,0.0,0.0,0.5,0.25,1.0,0.67,0.75,"{""match_0001"": {""filename"": ""ZCD7"", ""window_start"": 181, ""window_end"": 212, ""distance"": 0.0}, ""match_0002"": {""filename"": ""46FX"", ""window_start"": 142, ""window_end"": 173, ""distance"": 0.0}, ""match_0003"": {""filename"": ""WTV3"", ""window_start"": 221, ""window_end"": 252, ""distance"": 0.0}, ""match_0004"": {""filename"": ""YK69"", ""window_start"": 105, ""window_end"": 136, ""distance"": 0.0}, ""match_0005"": {""filename"": ""46FX"", ""window_start"": 189, ""window_end"": 220, ""distance"": 0.0}, ""match_0006"": {""filename"": ""46FX"", ""window_start"": 188, ""window_end"": 219, ""distance"": 0.0}, ""match_0007"": {""filename"": ""46FX"", ""window_start"": 187, ""window_end"": 218, ""distance"": 0.0}, ""match_0008"": {""filename"": ""46FX"", ""window_start"": 186, ""window_end"": 217, ""distance"": 0.0}, ""match_0009"": {""filename"": ""WTV3"", ""window_start"": 63, ""window_end"": 94, ""distance"": 0.0}, ""match_0010"": {""filename"": ""WTV3"", ""window_start"": 62, ""window_end"": 93, ""distance"": 0.0}}"
3,24PR,67,98,147374,82,0.8454,0.0,0.0,0.33,0.33,0.67,0.73,0.33,"{""match_0001"": {""filename"": ""ZBB2"", ""window_start"": 230, ""window_end"": 261, ""distance"": 0.0}, ""match_0002"": {""filename"": ""3D4B"", ""window_start"": 315, ""window_end"": 346, ""distance"": 0.0}, ""match_0003"": {""filename"": ""Z2HJ"", ""window_start"": 13, ""window_end"": 44, ""distance"": 0.0}, ""match_0004"": {""filename"": ""64X9"", ""window_start"": 180, ""window_end"": 211, ""distance"": 0.0}, ""match_0005"": {""filename"": ""MCZJ"", ""window_start"": 359, ""window_end"": 390, ""distance"": 0.0}, ""match_0006"": {""filename"": ""P3XV"", ""window_start"": 198, ""window_end"": 229, ""distance"": 0.0}, ""match_0007"": {""filename"": ""T4YH"", ""window_start"": 166, ""window_end"": 197, ""distance"": 0.0}, ""match_0008"": {""filename"": ""T4YH"", ""window_start"": 215, ""window_end"": 246, ""distance"": 0.0}, ""match_0009"": {""filename"": ""T4YH"", ""window_start"": 216, ""window_end"": 247, ""distance"": 0.0}, ""match_0010"": {""filename"": ""T4YH"", ""window_start"": 217, ""window_end"": 248, ""distance"": 0.0}, ""match_0011"": {""filename"": ""4PJR"", ""window_start"": 93, ""window_end"": 124, ""distance"": 0.171026}, ""match_0012"": {""filename"": ""GB4J"", ""window_start"": 172, ""window_end"": 203, ""distance"": 0.171026}, ""match_0013"": {""filename"": ""Z64J"", ""window_start"": 26, ""window_end"": 57, ""distance"": 0.171026}, ""match_0014"": {""filename"": ""2GXY"", ""window_start"": 78, ""window_end"": 109, ""distance"": 0.171537}, ""match_0015"": {""filename"": ""46FX"", ""window_start"": 79, ""window_end"": 110, ""distance"": 0.171537}, ""match_0016"": {""filename"": ""9DF2"", ""window_start"": 130, ""window_end"": 161, ""distance"": 0.171537}, ""match_0017"": {""filename"": ""H634"", ""window_start"": 289, ""window_end"": 320, ""distance"": 0.171537}, ""match_0018"": {""filename"": ""KCDH"", ""window_start"": 295, ""window_end"": 326, ""distance"": 0.171537}, ""match_0019"": {""filename"": ""DB72"", ""window_start"": 122, ""window_end"": 153, ""distance"": 0.171537}, ""match_0020"": {""filename"": ""D2RK"", ""window_start"": 287, ""window_end"": 318, ""distance"": 0.171537}}"
4,3D4B,309,340,116944,80,0.8247,0.67,0.0,0.0,0.0,0.67,0.73,0.33,"{""match_0001"": {""filename"": ""XHP3"", ""window_start"": 175, ""window_end"": 206, ""distance"": 0.0}, ""match_0002"": {""filename"": ""4B79"", ""window_start"": 282, ""window_end"": 313, ""distance"": 0.0}, ""match_0003"": {""filename"": ""4PFM"", ""window_start"": 441, ""window_end"": 472, ""distance"": 0.0}, ""match_0004"": {""filename"": ""4PJR"", ""window_start"": 49, ""window_end"": 80, ""distance"": 0.0}, ""match_0005"": {""filename"": ""WTV3"", ""window_start"": 127, ""window_end"": 158, ""distance"": 0.0}, ""match_0006"": {""filename"": ""WXHK"", ""window_start"": 196, ""window_end"": 227, ""distance"": 0.0}, ""match_0007"": {""filename"": ""XHP3"", ""window_start"": 176, ""window_end"": 207, ""distance"": 0.0}, ""match_0008"": {""filename"": ""4B79"", ""window_start"": 282, ""window_end"": 313, ""distance"": 0.0}, ""match_0009"": {""filename"": ""4PFM"", ""window_start"": 441, ""window_end"": 472, ""distance"": 0.0}, ""match_0010"": {""filename"": ""4PJR"", ""window_start"": 49, ""window_end"": 80, ""distance"": 0.0}, ""match_0011"": {""filename"": ""9DF2"", ""window_start"": 34, ""window_end"": 65, ""distance"": 0.0}, ""match_0012"": {""filename"": ""FZVW"", ""window_start"": 112, ""window_end"": 143, ""distance"": 0.0}, ""match_0013"": {""filename"": ""4ZY2"", ""window_start"": 67, ""window_end"": 98, ""distance"": 0.1}, ""match_0014"": {""filename"": ""3FTG"", ""window_start"": 298, ""window_end"": 329, ""distance"": 0.1}, ""match_0015"": {""filename"": ""6HFK"", ""window_start"": 87, ""window_end"": 118, ""distance"": 0.1}, ""match_0016"": {""filename"": ""7GZW"", ""window_start"": 102, ""window_end"": 133, ""distance"": 0.1}, ""match_0017"": {""filename"": ""BFF9"", ""window_start"": 19, ""window_end"": 50, ""distance"": 0.1}, ""match_0018"": {""filename"": ""7W7C"", ""window_start"": 224, ""window_end"": 255, ""distance"": 0.1}, ""match_0019"": {""filename"": ""4PFM"", ""window_start"": 164, ""window_end"": 195, ""distance"": 0.1}, ""match_0020"": {""filename"": ""6CGP"", ""window_start"": 65, ""window_end"": 96, ""distance"": 0.1}, ""match_0021"": {""filename"": ""9CKC"", ""window_start"": 168, ""window_end"": 199, ""distance"": 0.0}, ""match_0022"": {""filename"": ""9DF2"", ""window_start"": 34, ""window_end"": 65, ""distance"": 0.0}, ""match_0023"": {""filename"": ""4ZY2"", ""window_start"": 67, ""window_end"": 98, ""distance"": 0.1}, ""match_0024"": {""filename"": ""3FTG"", ""window_start"": 299, ""window_end"": 330, ""distance"": 0.1}, ""match_0025"": {""filename"": ""6HFK"", ""window_start"": 87, ""window_end"": 118, ""distance"": 0.1}, ""match_0026"": {""filename"": ""7W7C"", ""window_start"": 224, ""window_end"": 255, ""distance"": 0.1}, ""match_0027"": {""filename"": ""7GZW"", ""window_start"": 145, ""window_end"": 176, ""distance"": 0.1}, ""match_0028"": {""filename"": ""7GZW"", ""window_start"": 102, ""window_end"": 133, ""distance"": 0.1}, ""match_0029"": {""filename"": ""7GZW"", ""window_start"": 101, ""window_end"": 132, ""distance"": 0.1}, ""match_0030"": {""filename"": ""4PFM"", ""window_start"": 164, ""window_end"": 195, ""distance"": 0.1}}"
5,ZCD7,148,179,121527,69,0.7113,0.0,1.0,0.0,0.0,0.33,0.73,0.0,"{""match_0001"": {""filename"": ""F6RP"", ""window_start"": 167, ""window_end"": 198, ""distance"": 0.0}, ""match_0002"": {""filename"": ""VGBM"", ""window_start"": 174, ""window_end"": 205, ""distance"": 0.104043}, ""match_0003"": {""filename"": ""ZW7M"", ""window_start"": 254, ""window_end"": 285, ""distance"": 0.110114}, ""match_0004"": {""filename"": ""XT2P"", ""window_start"": 111, ""window_end"": 142, ""distance"": 0.110114}, ""match_0005"": {""filename"": ""YK69"", ""window_start"": 84, ""window_end"": 115, ""distance"": 0.110114}, ""match_0006"": {""filename"": ""3J3Y"", ""window_start"": 173, ""window_end"": 204, ""distance"": 0.110114}, ""match_0007"": {""filename"": ""ZCD7"", ""window_start"": 147, ""window_end"": 178, ""distance"": 0.0}, ""match_0008"": {""filename"": ""VGBM"", ""window_start"": 175, ""window_end"": 206, ""distance"": 0.104043}, ""match_0009"": {""filename"": ""ZW7M"", ""window_start"": 255, ""window_end"": 286, ""distance"": 0.110114}, ""match_0010"": {""filename"": ""4PFM"", ""window_start"": 371, ""window_end"": 402, ""distance"": 0.110114}, ""match_0011"": {""filename"": ""3J3Y"", ""window_start"": 169, ""window_end"": 200, ""distance"": 0.0}, ""match_0012"": {""filename"": ""4PFM"", ""window_start"": 369, ""window_end"": 400, ""distance"": 0.0}, ""match_0013"": {""filename"": ""6PW3"", ""window_start"": 209, ""window_end"": 240, ""distance"": 0.0}, ""match_0014"": {""filename"": ""9CKC"", ""window_start"": 283, ""window_end"": 314, ""distance"": 0.0}, ""match_0015"": {""filename"": ""9CKC"", ""window_start"": 519, ""window_end"": 550, ""distance"": 0.0}, ""match_0016"": {""filename"": ""9CKC"", ""window_start"": 520, ""window_end"": 551, ""distance"": 0.0}, ""match_0017"": {""filename"": ""9CKC"", ""window_start"": 521, ""window_end"": 552, ""distance"": 0.0}, ""match_0018"": {""filename"": ""9CKC"", ""window_start"": 522, ""window_end"": 553, ""distance"": 0.0}, ""match_0019"": {""filename"": ""9CKC"", ""window_start"": 523, ""window_end"": 554, ""distance"": 0.0}}"
6,3J3Y,101,132,42498,69,0.7113,0.5,0.0,0.25,0.25,0.75,0.67,0.5,"{""match_0001"": {""filename"": ""ZCD7"", ""window_start"": 236, ""window_end"": 267, ""distance"": 0.0}, ""match_0002"": {""filename"": ""ZCD7"", ""window_start"": 197, ""window_end"": 228, ""distance"": 0.0}, ""match_0003"": {""filename"": ""ZCD7"", ""window_start"": 161, ""window_end"": 192, ""distance"": 0.0}, ""match_0004"": {""filename"": ""ZCD7"", ""window_start"": 160, ""window_end"": 191, ""distance"": 0.0}, ""match_0005"": {""filename"": ""ZCD7"", ""window_start"": 159, ""window_end"": 190, ""distance"": 0.0}, ""match_0006"": {""filename"": ""ZCD7"", ""window_start"": 158, ""window_end"": 189, ""distance"": 0.0}, ""match_0007"": {""filename"": ""ZCD7"", ""window_start"": 157, ""window_end"": 188, ""distance"": 0.0}, ""match_0008"": {""filename"": ""4PFM"", ""window_start"": 444, ""window_end"": 475, ""distance"": 0.0}, ""match_0009"": {""filename"": ""4PJR"", ""window_start"": 154, ""window_end"": 185, ""distance"": 0.0}, ""match_0010"": {""filename"": ""WCYT"", ""window_start"": 423, ""window_end"": 454, ""distance"": 0.0}}"
7,3PRC,14,45,31095,63,0.6495,0.67,0.0,0.33,0.33,0.67,0.73,0.33,"{""match_0001"": {""filename"": ""ZCD7"", ""window_start"": 243, ""window_end"": 274, ""distance"": 0.0}, ""match_0002"": {""filename"": ""7GZW"", ""window_start"": 163, ""window_end"": 194, ""distance"": 0.0}, ""match_0003"": {""filename"": ""9BKD"", ""window_start"": 106, ""window_end"": 137, ""distance"": 0.0}, ""match_0004"": {""filename"": ""WH3X"", ""window_start"": 194, ""window_end"": 225, ""distance"": 0.0}, ""match_0005"": {""filename"": ""7GZW"", ""window_start"": 163, ""window_end"": 194, ""distance"": 0.0}, ""match_0006"": {""filename"": ""3J3Y"", ""window_start"": 102, ""window_end"": 133, ""distance"": 0.0}, ""match_0007"": {""filename"": ""WH3X"", ""window_start"": 194, ""window_end"": 225, ""distance"": 0.0}, ""match_0008"": {""filename"": ""9CKC"", ""window_start"": 531, ""window_end"": 562, ""distance"": 0.0}, ""match_0009"": {""filename"": ""9BKD"", ""window_start"": 108, ""window_end"": 139, ""distance"": 0.0}, ""match_0010"": {""filename"": ""WY9R"", ""window_start"": 145, ""window_end"": 176, ""distance"": 0.0}, ""match_0011"": {""filename"": ""B3XJ"", ""window_start"": 61, ""window_end"": 92, ""distance"": 0.0}, ""match_0012"": {""filename"": ""R7Y2"", ""window_start"": 97, ""window_end"": 128, ""distance"": 0.0}, ""match_0013"": {""filename"": ""Z2HJ"", ""window_start"": 117, ""window_end"": 148, ""distance"": 0.0}, ""match_0014"": {""filename"": ""GB4J"", ""window_start"": 150, ""window_end"": 181, ""distance"": 0.1}, ""match_0015"": {""filename"": ""F6RP"", ""window_start"": 67, ""window_end"": 98, ""distance"": 0.1}, ""match_0016"": {""filename"": ""WCYT"", ""window_start"": 116, ""window_end"": 147, ""distance"": 0.1}, ""match_0017"": {""filename"": ""WCYT"", ""window_start"": 447, ""window_end"": 478, ""distance"": 0.1}, ""match_0018"": {""filename"": ""WCYT"", ""window_start"": 448, ""window_end"": 479, ""distance"": 0.1}, ""match_0019"": {""filename"": ""J2RZ"", ""window_start"": 440, ""window_end"": 471, ""distance"": 0.1}, ""match_0020"": {""filename"": ""X2MP"", ""window_start"": 12, ""window_end"": 43, ""distance"": 0.1}}"
8,FHXX,84,115,30642,62,0.6392,0.0,0.67,0.0,0.0,0.67,0.73,1.0,"{""match_0001"": {""filename"": ""ZVZ3"", ""window_start"": 46, ""window_end"": 77, ""distance"": 0.0}, ""match_0002"": {""filename"": ""24PR"", ""window_start"": 89, ""window_end"": 120, ""distance"": 0.0}, ""match_0003"": {""filename"": ""4PFM"", ""window_start"": 322, ""window_end"": 353, ""distance"": 0.0}, ""match_0004"": {""filename"": ""6PW3"", ""window_start"": 210, ""window_end"": 241, ""distance"": 0.0}, ""match_0005"": {""filename"": ""WXHK"", ""window_start"": 122, ""window_end"": 153, ""distance"": 0.0}, ""match_0006"": {""filename"": ""X2MP"", ""window_start"": 41, ""window_end"": 72, ""distance"": 0.0}, ""match_0007"": {""filename"": ""WH3X"", ""window_start"": 148, ""window_end"": 179, ""distance"": 0.0}, ""match_0008"": {""filename"": ""WCYT"", ""window_start"": 72, ""window_end"": 103, ""distance"": 0.0}, ""match_0009"": {""filename"": ""WCYT"", ""window_start"": 105, ""window_end"": 136, ""distance"": 0.0}, ""match_0010"": {""filename"": ""X2MP"", ""window_start"": 149, ""window_end"": 180, ""distance"": 0.0}, ""match_0011"": {""filename"": ""4PJR"", ""window_start"": 137, ""window_end"": 168, ""distance"": 0.0}, ""match_0012"": {""filename"": ""7W7C"", ""window_start"": 186, ""window_end"": 217, ""distance"": 0.0}, ""match_0013"": {""filename"": ""T4YH"", ""window_start"": 52, ""window_end"": 83, ""distance"": 0.0}, ""match_0014"": {""filename"": ""ZW7M"", ""window_start"": 304, ""window_end"": 335, ""distance"": 0.0}, ""match_0015"": {""filename"": ""WXHK"", ""window_start"": 68, ""window_end"": 99, ""distance"": 0.0}, ""match_0016"": {""filename"": ""R7Y2"", ""window_start"": 112, ""window_end"": 143, ""distance"": 0.078102}, ""match_0017"": {""filename"": ""FVYH"", ""window_start"": 153, ""window_end"": 184, ""distance"": 0.1}, ""match_0018"": {""filename"": ""DF7J"", ""window_start"": 345, ""window_end"": 376, ""distance"": 0.1}, ""match_0019"": {""filename"": ""X2MP"", ""window_start"": 176, ""window_end"": 207, ""distance"": 0.1}, ""match_0020"": {""filename"": ""FHXX"", ""window_start"": 164, ""window_end"": 195, ""distance"": 0.0}, ""match_0021"": {""filename"": ""GB4J"", ""window_start"": 80, ""window_end"": 111, ""distance"": 0.0}, ""match_0022"": {""filename"": ""GF46"", ""window_start"": 53, ""window_end"": 84, ""distance"": 0.1}, ""match_0023"": {""filename"": ""D9MH"", ""window_start"": 65, ""window_end"": 96, ""distance"": 0.1}, ""match_0024"": {""filename"": ""WCYT"", ""window_start"": 407, ""window_end"": 438, ""distance"": 0.1}, ""match_0025"": {""filename"": ""F4CW"", ""window_start"": 94, ""window_end"": 125, ""distance"": 0.114564}, ""match_0026"": {""filename"": ""3Y4K"", ""window_start"": 224, ""window_end"": 255, ""distance"": 0.114564}, ""match_0027"": {""filename"": ""7W7C"", ""window_start"": 207, ""window_end"": 238, ""distance"": 0.114564}, ""match_0028"": {""filename"": ""C6PH"", ""window_start"": 47, ""window_end"": 78, ""distance"": 0.114564}, ""match_0029"": {""filename"": ""W4G3"", ""window_start"": 64, ""window_end"": 95, ""distance"": 0.114564}}"
9,Z3TJ,53,84,11485,55,0.567,0.0,0.5,0.25,0.25,0.75,0.67,0.5,"{""match_0001"": {""filename"": ""3D4B"", ""window_start"": 147, ""window_end"": 178, ""distance"": 0.0}, ""match_0002"": {""filename"": ""3D4B"", ""window_start"": 294, ""window_end"": 325, ""distance"": 0.0}, ""match_0003"": {""filename"": ""3D4B"", ""window_start"": 282, ""window_end"": 313, ""distance"": 0.0}, ""match_0004"": {""filename"": ""3D4B"", ""window_start"": 283, ""window_end"": 314, ""distance"": 0.0}, ""match_0005"": {""filename"": ""4PFM"", ""window_start"": 321, ""window_end"": 352, ""distance"": 0.0}, ""match_0006"": {""filename"": ""BFF9"", ""window_start"": 126, ""window_end"": 157, ""distance"": 0.0}, ""match_0007"": {""filename"": ""6PW3"", ""window_start"": 212, ""window_end"": 243, ""distance"": 0.0}, ""match_0008"": {""filename"": ""KYVM"", ""window_start"": 550, ""window_end"": 581, ""distance"": 0.0}, ""match_0009"": {""filename"": ""GF46"", ""window_start"": 73, ""window_end"": 104, ""distance"": 0.0}, ""match_0010"": {""filename"": ""FCG6"", ""window_start"": 110, ""window_end"": 141, ""distance"": 0.0}, ""match_0011"": {""filename"": ""J99Y"", ""window_start"": 351, ""window_end"": 382, ""distance"": 0.0}, ""match_0012"": {""filename"": ""VGBM"", ""window_start"": 249, ""window_end"": 280, ""distance"": 0.0}, ""match_0013"": {""filename"": ""7W7C"", ""window_start"": 183, ""window_end"": 214, ""distance"": 0.1}, ""match_0014"": {""filename"": ""4ZY2"", ""window_start"": 47, ""window_end"": 78, ""distance"": 0.1}, ""match_0015"": {""filename"": ""WXHK"", ""window_start"": 73, ""window_end"": 104, ""distance"": 0.1}, ""match_0016"": {""filename"": ""D9MH"", ""window_start"": 102, ""window_end"": 133, ""distance"": 0.1}, ""match_0017"": {""filename"": ""6CGP"", ""window_start"": 101, ""window_end"": 132, ""distance"": 0.141421}, ""match_0018"": {""filename"": ""D9MH"", ""window_start"": 235, ""window_end"": 266, ""distance"": 0.141421}, ""match_0019"": {""filename"": ""WCYT"", ""window_start"": 439, ""window_end"": 470, ""distance"": 0.141421}, ""match_0020"": {""filename"": ""D9MH"", ""window_start"": 236, ""window_end"": 267, ""distance"": 0.141421}}"
10,DKBJ,177,208,17062,54,0.5567,0.0,0.0,0.67,0.33,1.0,0.73,1.0,"{""match_0001"": {""filename"": ""ZCD7"", ""window_start"": 227, ""window_end"": 258, ""distance"": 0.0}, ""match_0002"": {""filename"": ""ZBB2"", ""window_start"": 113, ""window_end"": 144, ""distance"": 0.0}, ""match_0003"": {""filename"": ""6CGP"", ""window_start"": 212, ""window_end"": 243, ""distance"": 0.0}, ""match_0004"": {""filename"": ""9J7R"", ""window_start"": 160, ""window_end"": 191, ""distance"": 0.0}, ""match_0005"": {""filename"": ""BCFH"", ""window_start"": 84, ""window_end"": 115, ""distance"": 0.0}, ""match_0006"": {""filename"": ""WTV3"", ""window_start"": 64, ""window_end"": 95, ""distance"": 0.0}, ""match_0007"": {""filename"": ""X3KR"", ""window_start"": 86, ""window_end"": 117, ""distance"": 0.0}, ""match_0008"": {""filename"": ""XCDP"", ""window_start"": 177, ""window_end"": 208, ""distance"": 0.0}, ""match_0009"": {""filename"": ""ZCD7"", ""window_start"": 227, ""window_end"": 258, ""distance"": 0.0}, ""match_0010"": {""filename"": ""ZBB2"", ""window_start"": 113, ""window_end"": 144, ""distance"": 0.0}}"
