rank,filename,window_start,window_end,frequency,sequence_count,matched,frequency_score,sequence_score,combined_score,support,mean_max_consecutive_same_source,mean_max_consecutive_same_target,mean_tracing_count,mean_cycle_count,mean_max_consecutive_same_category,mean_sparsity
1,MBKT,51,80,79,22,"{""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.61}, {""window_start"": 51, ""window_end"": 86, ""distance"": 1.26}, {""window_start"": 60, ""window_end"": 89, ""distance"": 0.66}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 1.55}], ""TTMD"": [{""window_start"": 285, ""window_end"": 314, ""distance"": 2.19}, {""window_start"": 303, ""window_end"": 338, ""distance"": 1.94}, {""window_start"": 318, ""window_end"": 353, ""distance"": 1.7}, {""window_start"": 474, ""window_end"": 506, ""distance"": 2.0}], ""F6RP"": [{""window_start"": 90, ""window_end"": 122, ""distance"": 1.71}, {""window_start"": 276, ""window_end"": 311, ""distance"": 2.07}], ""BCFH"": [{""window_start"": 129, ""window_end"": 158, ""distance"": 1.94}, {""window_start"": 255, ""window_end"": 284, ""distance"": 2.19}, {""window_start"": 267, ""window_end"": 302, ""distance"": 1.77}, {""window_start"": 276, ""window_end"": 305, ""distance"": 1.81}, {""window_start"": 399, ""window_end"": 431, ""distance"": 1.76}], ""9CKC"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 1.69}, {""window_start"": 369, ""window_end"": 401, ""distance"": 2.06}], ""4FH6"": [{""window_start"": 378, ""window_end"": 407, ""distance"": 1.69}], ""KH2X"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 2.12}, {""window_start"": 372, ""window_end"": 404, ""distance"": 1.95}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 116, ""distance"": 1.77}], ""GWWD"": [{""window_start"": 81, ""window_end"": 116, ""distance"": 1.9}, {""window_start"": 90, ""window_end"": 122, ""distance"": 2.03}, {""window_start"": 102, ""window_end"": 131, ""distance"": 2.19}, {""window_start"": 228, ""window_end"": 263, ""distance"": 2.12}], ""MBBW"": [{""window_start"": 111, ""window_end"": 146, ""distance"": 1.94}], ""TTRG"": [{""window_start"": 114, ""window_end"": 146, ""distance"": 1.85}], ""X2MP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 1.96}, {""window_start"": 285, ""window_end"": 314, ""distance"": 2.08}], ""DF7J"": [{""window_start"": 72, ""window_end"": 104, ""distance"": 1.98}], ""WCYT"": [{""window_start"": 234, ""window_end"": 269, ""distance"": 1.99}, {""window_start"": 243, ""window_end"": 275, ""distance"": 1.97}], ""T4YH"": [{""window_start"": 228, ""window_end"": 263, ""distance"": 2.01}, {""window_start"": 237, ""window_end"": 266, ""distance"": 2.06}], ""J2RZ"": [{""window_start"": 264, ""window_end"": 296, ""distance"": 1.99}], ""MGT4"": [{""window_start"": 195, ""window_end"": 224, ""distance"": 2.01}], ""KYVM"": [{""window_start"": 300, ""window_end"": 329, ""distance"": 2.06}], ""24PR"": [{""window_start"": 96, ""window_end"": 125, ""distance"": 2.06}], ""P3XV"": [{""window_start"": 240, ""window_end"": 275, ""distance"": 2.11}, {""window_start"": 249, ""window_end"": 278, ""distance"": 2.17}], ""KCDH"": [{""window_start"": 21, ""window_end"": 50, ""distance"": 2.11}]}",1.0,1.0,1.0,0.2268,1.0,0.0,0.0,0.0,0.0,0.5003
2,F6RP,294,323,61,20,"{""T4YH"": [{""window_start"": 264, ""window_end"": 299, ""distance"": 1.46}], ""P3XV"": [{""window_start"": 249, ""window_end"": 284, ""distance"": 1.33}], ""J2RZ"": [{""window_start"": 288, ""window_end"": 320, ""distance"": 1.42}], ""TTMD"": [{""window_start"": 282, ""window_end"": 317, ""distance"": 1.39}, {""window_start"": 291, ""window_end"": 323, ""distance"": 1.93}], ""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.46}, {""window_start"": 51, ""window_end"": 86, ""distance"": 1.82}], ""KH2X"": [{""window_start"": 213, ""window_end"": 242, ""distance"": 1.96}, {""window_start"": 357, ""window_end"": 392, ""distance"": 1.87}, {""window_start"": 447, ""window_end"": 476, ""distance"": 1.88}], ""GWWD"": [{""window_start"": 90, ""window_end"": 125, ""distance"": 1.98}, {""window_start"": 99, ""window_end"": 131, ""distance"": 1.97}], ""BCFH"": [{""window_start"": 237, ""window_end"": 266, ""distance"": 2.11}, {""window_start"": 252, ""window_end"": 287, ""distance"": 1.96}, {""window_start"": 261, ""window_end"": 296, ""distance"": 1.85}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 1.87}], ""VGBM"": [{""window_start"": 0, ""window_end"": 29, ""distance"": 1.84}], ""4PFM"": [{""window_start"": 36, ""window_end"": 71, ""distance"": 2.03}], ""DDKT"": [{""window_start"": 15, ""window_end"": 50, ""distance"": 1.92}], ""9CKC"": [{""window_start"": 9, ""window_end"": 44, ""distance"": 1.92}], ""MBBW"": [{""window_start"": 90, ""window_end"": 125, ""distance"": 2.13}], ""YK69"": [{""window_start"": 12, ""window_end"": 41, ""distance"": 2.01}], ""TTRG"": [{""window_start"": 324, ""window_end"": 356, ""distance"": 2.04}], ""XHP3"": [{""window_start"": 27, ""window_end"": 56, ""distance"": 2.14}, {""window_start"": 156, ""window_end"": 185, ""distance"": 2.03}], ""WY9R"": [{""window_start"": 60, ""window_end"": 92, ""distance"": 2.05}], ""B3BV"": [{""window_start"": 18, ""window_end"": 50, ""distance"": 2.08}], ""T4PK"": [{""window_start"": 39, ""window_end"": 68, ""distance"": 2.17}]}",0.77,0.91,0.84,0.2062,0.0,0.0,0.0,0.0,0.6667,0.9267
3,T4YH,264,293,55,20,"{""F6RP"": [{""window_start"": 285, ""window_end"": 320, ""distance"": 1.23}, {""window_start"": 294, ""window_end"": 323, ""distance"": 1.02}], ""TTMD"": [{""window_start"": 282, ""window_end"": 317, ""distance"": 1.3}, {""window_start"": 291, ""window_end"": 323, ""distance"": 2.08}], ""J2RZ"": [{""window_start"": 288, ""window_end"": 317, ""distance"": 1.05}], ""P3XV"": [{""window_start"": 249, ""window_end"": 284, ""distance"": 1.56}], ""B3BV"": [{""window_start"": 18, ""window_end"": 50, ""distance"": 1.72}], ""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.58}, {""window_start"": 51, ""window_end"": 86, ""distance"": 1.66}], ""BCFH"": [{""window_start"": 249, ""window_end"": 284, ""distance"": 1.92}, {""window_start"": 258, ""window_end"": 293, ""distance"": 1.65}, {""window_start"": 267, ""window_end"": 296, ""distance"": 2.07}], ""DDKT"": [{""window_start"": 15, ""window_end"": 50, ""distance"": 1.88}], ""4PFM"": [{""window_start"": 36, ""window_end"": 68, ""distance"": 1.84}], ""KH2X"": [{""window_start"": 213, ""window_end"": 242, ""distance"": 1.83}, {""window_start"": 357, ""window_end"": 392, ""distance"": 1.9}, {""window_start"": 447, ""window_end"": 476, ""distance"": 1.91}], ""9CKC"": [{""window_start"": 9, ""window_end"": 41, ""distance"": 1.8}, {""window_start"": 324, ""window_end"": 353, ""distance"": 1.97}], ""WY9R"": [{""window_start"": 60, ""window_end"": 89, ""distance"": 1.85}], ""YK69"": [{""window_start"": 12, ""window_end"": 41, ""distance"": 1.86}], ""GWWD"": [{""window_start"": 87, ""window_end"": 122, ""distance"": 2.0}, {""window_start"": 96, ""window_end"": 128, ""distance"": 2.0}], ""MBBW"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 1.94}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 1.94}], ""FCG6"": [{""window_start"": 3, ""window_end"": 32, ""distance"": 2.06}], ""T4PK"": [{""window_start"": 39, ""window_end"": 68, ""distance"": 2.07}], ""TTRG"": [{""window_start"": 324, ""window_end"": 353, ""distance"": 2.1}], ""MBKT"": [{""window_start"": 39, ""window_end"": 68, ""distance"": 2.2}]}",0.7,0.91,0.8,0.2062,0.0,0.0,0.0,0.0,0.5667,0.9717
4,H634,57,86,64,17,"{""MBKT"": [{""window_start"": 39, ""window_end"": 74, ""distance"": 1.82}, {""window_start"": 48, ""window_end"": 83, ""distance"": 1.73}], ""D2RK"": [{""window_start"": 84, ""window_end"": 119, ""distance"": 1.58}], ""MBBW"": [{""window_start"": 111, ""window_end"": 146, ""distance"": 1.9}], ""GWWD"": [{""window_start"": 84, ""window_end"": 119, ""distance"": 2.12}, {""window_start"": 228, ""window_end"": 263, ""distance"": 1.89}], ""3Y4K"": [{""window_start"": 474, ""window_end"": 503, ""distance"": 1.6}], ""BCFH"": [{""window_start"": 129, ""window_end"": 158, ""distance"": 1.82}, {""window_start"": 237, ""window_end"": 272, ""distance"": 2.08}, {""window_start"": 246, ""window_end"": 281, ""distance"": 1.81}, {""window_start"": 255, ""window_end"": 287, ""distance"": 1.87}, {""window_start"": 267, ""window_end"": 302, ""distance"": 1.97}, {""window_start"": 276, ""window_end"": 305, ""distance"": 2.1}, {""window_start"": 399, ""window_end"": 431, ""distance"": 1.83}], ""TTMD"": [{""window_start"": 258, ""window_end"": 287, ""distance"": 2.12}, {""window_start"": 282, ""window_end"": 317, ""distance"": 1.75}, {""window_start"": 291, ""window_end"": 320, ""distance"": 2.17}, {""window_start"": 300, ""window_end"": 335, ""distance"": 1.91}, {""window_start"": 309, ""window_end"": 341, ""distance"": 2.13}, {""window_start"": 321, ""window_end"": 353, ""distance"": 2.03}], ""TTRG"": [{""window_start"": 114, ""window_end"": 146, ""distance"": 1.84}], ""24PR"": [{""window_start"": 99, ""window_end"": 128, ""distance"": 1.73}], ""9CKC"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 1.74}], ""T4YH"": [{""window_start"": 264, ""window_end"": 296, ""distance"": 1.81}], ""KH2X"": [{""window_start"": 372, ""window_end"": 404, ""distance"": 1.84}, {""window_start"": 447, ""window_end"": 476, ""distance"": 1.9}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 116, ""distance"": 2.05}], ""F6RP"": [{""window_start"": 291, ""window_end"": 323, ""distance"": 2.0}], ""P3XV"": [{""window_start"": 252, ""window_end"": 284, ""distance"": 2.08}], ""4FH6"": [{""window_start"": 378, ""window_end"": 407, ""distance"": 2.14}], ""KCDH"": [{""window_start"": 21, ""window_end"": 50, ""distance"": 2.18}]}",0.81,0.77,0.79,0.1753,1.0,0.0,0.0,0.0,0.0,0.5053
5,P3XV,252,281,55,19,"{""F6RP"": [{""window_start"": 291, ""window_end"": 323, ""distance"": 0.98}], ""T4YH"": [{""window_start"": 264, ""window_end"": 299, ""distance"": 1.62}], ""J2RZ"": [{""window_start"": 288, ""window_end"": 323, ""distance"": 1.64}], ""TTMD"": [{""window_start"": 282, ""window_end"": 317, ""distance"": 1.45}, {""window_start"": 291, ""window_end"": 323, ""distance"": 1.99}], ""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.43}, {""window_start"": 51, ""window_end"": 86, ""distance"": 1.79}], ""GWWD"": [{""window_start"": 93, ""window_end"": 128, ""distance"": 1.86}, {""window_start"": 102, ""window_end"": 131, ""distance"": 2.09}], ""BCFH"": [{""window_start"": 237, ""window_end"": 266, ""distance"": 2.13}, {""window_start"": 246, ""window_end"": 275, ""distance"": 2.16}, {""window_start"": 255, ""window_end"": 290, ""distance"": 1.92}, {""window_start"": 264, ""window_end"": 296, ""distance"": 1.81}, {""window_start"": 381, ""window_end"": 413, ""distance"": 2.06}], ""TTRG"": [{""window_start"": 324, ""window_end"": 356, ""distance"": 1.9}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 1.85}], ""KH2X"": [{""window_start"": 213, ""window_end"": 242, ""distance"": 2.05}, {""window_start"": 357, ""window_end"": 392, ""distance"": 1.91}, {""window_start"": 447, ""window_end"": 476, ""distance"": 1.85}], ""4PFM"": [{""window_start"": 39, ""window_end"": 71, ""distance"": 1.98}], ""DDKT"": [{""window_start"": 18, ""window_end"": 50, ""distance"": 2.02}], ""XHP3"": [{""window_start"": 27, ""window_end"": 56, ""distance"": 2.14}, {""window_start"": 156, ""window_end"": 185, ""distance"": 1.97}], ""9CKC"": [{""window_start"": 12, ""window_end"": 44, ""distance"": 2.05}], ""VGBM"": [{""window_start"": 0, ""window_end"": 29, ""distance"": 2.09}], ""YK69"": [{""window_start"": 12, ""window_end"": 41, ""distance"": 2.12}], ""T4PK"": [{""window_start"": 39, ""window_end"": 68, ""distance"": 2.15}], ""MBBW"": [{""window_start"": 90, ""window_end"": 119, ""distance"": 2.16}, {""window_start"": 102, ""window_end"": 131, ""distance"": 2.15}], ""MBKT"": [{""window_start"": 84, ""window_end"": 113, ""distance"": 2.16}]}",0.7,0.86,0.78,0.1959,0.0,0.0,0.0,0.0,0.689,0.9417
6,TTMD,282,311,50,20,"{""T4YH"": [{""window_start"": 264, ""window_end"": 296, ""distance"": 0.75}], ""F6RP"": [{""window_start"": 291, ""window_end"": 323, ""distance"": 0.8}], ""J2RZ"": [{""window_start"": 288, ""window_end"": 317, ""distance"": 1.1}], ""P3XV"": [{""window_start"": 249, ""window_end"": 284, ""distance"": 1.62}], ""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.62}, {""window_start"": 51, ""window_end"": 86, ""distance"": 1.65}], ""BCFH"": [{""window_start"": 252, ""window_end"": 287, ""distance"": 1.77}, {""window_start"": 261, ""window_end"": 296, ""distance"": 1.84}], ""B3BV"": [{""window_start"": 18, ""window_end"": 50, ""distance"": 1.83}], ""DDKT"": [{""window_start"": 15, ""window_end"": 50, ""distance"": 1.91}], ""GWWD"": [{""window_start"": 87, ""window_end"": 122, ""distance"": 2.01}, {""window_start"": 96, ""window_end"": 128, ""distance"": 1.93}], ""4PFM"": [{""window_start"": 36, ""window_end"": 68, ""distance"": 1.91}], ""KH2X"": [{""window_start"": 213, ""window_end"": 242, ""distance"": 1.91}, {""window_start"": 357, ""window_end"": 392, ""distance"": 1.96}, {""window_start"": 447, ""window_end"": 476, ""distance"": 2.01}], ""9CKC"": [{""window_start"": 9, ""window_end"": 41, ""distance"": 1.89}, {""window_start"": 324, ""window_end"": 353, ""distance"": 2.05}], ""MBBW"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 2.04}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 1.96}], ""YK69"": [{""window_start"": 12, ""window_end"": 41, ""distance"": 1.95}], ""T4PK"": [{""window_start"": 39, ""window_end"": 68, ""distance"": 1.95}], ""WY9R"": [{""window_start"": 60, ""window_end"": 89, ""distance"": 1.97}], ""3Y4K"": [{""window_start"": 399, ""window_end"": 428, ""distance"": 2.18}], ""TTRG"": [{""window_start"": 324, ""window_end"": 353, ""distance"": 2.18}], ""VGBM"": [{""window_start"": 0, ""window_end"": 29, ""distance"": 2.19}]}",0.63,0.91,0.77,0.2062,0.0,0.0,0.0,0.0,0.2833,0.865
7,J2RZ,288,317,50,18,"{""F6RP"": [{""window_start"": 285, ""window_end"": 320, ""distance"": 1.5}, {""window_start"": 294, ""window_end"": 323, ""distance"": 1.01}], ""T4YH"": [{""window_start"": 264, ""window_end"": 296, ""distance"": 1.17}], ""TTMD"": [{""window_start"": 282, ""window_end"": 317, ""distance"": 1.64}, {""window_start"": 291, ""window_end"": 323, ""distance"": 1.83}], ""P3XV"": [{""window_start"": 249, ""window_end"": 284, ""distance"": 1.46}], ""BCFH"": [{""window_start"": 255, ""window_end"": 290, ""distance"": 1.82}, {""window_start"": 264, ""window_end"": 296, ""distance"": 1.69}, {""window_start"": 378, ""window_end"": 410, ""distance"": 2.1}], ""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.42}, {""window_start"": 51, ""window_end"": 83, ""distance"": 1.77}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 1.68}], ""KH2X"": [{""window_start"": 213, ""window_end"": 242, ""distance"": 1.68}, {""window_start"": 357, ""window_end"": 389, ""distance"": 1.97}, {""window_start"": 447, ""window_end"": 476, ""distance"": 2.11}], ""GWWD"": [{""window_start"": 90, ""window_end"": 125, ""distance"": 1.83}, {""window_start"": 99, ""window_end"": 131, ""distance"": 2.03}], ""YK69"": [{""window_start"": 12, ""window_end"": 41, ""distance"": 1.82}], ""TTRG"": [{""window_start"": 321, ""window_end"": 353, ""distance"": 2.0}], ""DDKT"": [{""window_start"": 15, ""window_end"": 47, ""distance"": 2.06}], ""XHP3"": [{""window_start"": 27, ""window_end"": 56, ""distance"": 2.14}, {""window_start"": 153, ""window_end"": 182, ""distance"": 1.98}], ""MBBW"": [{""window_start"": 99, ""window_end"": 128, ""distance"": 2.01}], ""9CKC"": [{""window_start"": 9, ""window_end"": 41, ""distance"": 2.1}], ""4PFM"": [{""window_start"": 36, ""window_end"": 68, ""distance"": 2.06}], ""B3BV"": [{""window_start"": 18, ""window_end"": 47, ""distance"": 2.16}], ""MBKT"": [{""window_start"": 81, ""window_end"": 110, ""distance"": 2.17}]}",0.63,0.82,0.73,0.1856,0.0,0.0,0.0,0.0,0.6,0.9317
8,WCYT,234,263,54,16,"{""J2RZ"": [{""window_start"": 144, ""window_end"": 173, ""distance"": 1.85}, {""window_start"": 255, ""window_end"": 290, ""distance"": 1.84}, {""window_start"": 264, ""window_end"": 296, ""distance"": 1.76}], ""BCFH"": [{""window_start"": 288, ""window_end"": 323, ""distance"": 1.77}, {""window_start"": 297, ""window_end"": 329, ""distance"": 1.94}, {""window_start"": 411, ""window_end"": 446, ""distance"": 2.07}], ""9CKC"": [{""window_start"": 354, ""window_end"": 389, ""distance"": 1.77}, {""window_start"": 363, ""window_end"": 398, ""distance"": 1.72}, {""window_start"": 372, ""window_end"": 401, ""distance"": 2.03}], ""F6RP"": [{""window_start"": 75, ""window_end"": 110, ""distance"": 1.81}, {""window_start"": 84, ""window_end"": 113, ""distance"": 2.14}], ""KYVM"": [{""window_start"": 282, ""window_end"": 317, ""distance"": 1.79}, {""window_start"": 291, ""window_end"": 320, ""distance"": 2.07}], ""ZVZ3"": [{""window_start"": 105, ""window_end"": 140, ""distance"": 1.85}], ""DF7J"": [{""window_start"": 54, ""window_end"": 89, ""distance"": 1.81}, {""window_start"": 63, ""window_end"": 92, ""distance"": 2.03}], ""3FTG"": [{""window_start"": 204, ""window_end"": 233, ""distance"": 1.88}], ""MBKT"": [{""window_start"": 51, ""window_end"": 83, ""distance"": 2.0}, {""window_start"": 63, ""window_end"": 98, ""distance"": 1.96}], ""H634"": [{""window_start"": 60, ""window_end"": 89, ""distance"": 2.13}, {""window_start"": 72, ""window_end"": 104, ""distance"": 1.96}], ""VGBM"": [{""window_start"": 327, ""window_end"": 356, ""distance"": 1.94}], ""MBBW"": [{""window_start"": 165, ""window_end"": 194, ""distance"": 1.96}], ""KCDH"": [{""window_start"": 21, ""window_end"": 50, ""distance"": 2.01}], ""GWWD"": [{""window_start"": 66, ""window_end"": 98, ""distance"": 2.13}], ""3Y4K"": [{""window_start"": 411, ""window_end"": 440, ""distance"": 2.17}, {""window_start"": 570, ""window_end"": 605, ""distance"": 2.17}], ""TTMD"": [{""window_start"": 444, ""window_end"": 473, ""distance"": 2.19}]}",0.68,0.73,0.71,0.1649,0.4333,0.0,0.0,0.0,0.0,0.875
9,X2MP,276,305,51,17,"{""T4YH"": [{""window_start"": 225, ""window_end"": 260, ""distance"": 1.29}, {""window_start"": 234, ""window_end"": 266, ""distance"": 1.74}], ""F6RP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 1.64}], ""DF7J"": [{""window_start"": 66, ""window_end"": 101, ""distance"": 1.61}, {""window_start"": 75, ""window_end"": 104, ""distance"": 1.71}], ""TTMD"": [{""window_start"": 309, ""window_end"": 344, ""distance"": 1.81}, {""window_start"": 318, ""window_end"": 353, ""distance"": 1.82}, {""window_start"": 465, ""window_end"": 500, ""distance"": 1.88}, {""window_start"": 474, ""window_end"": 506, ""distance"": 1.74}], ""9CKC"": [{""window_start"": 357, ""window_end"": 392, ""distance"": 1.94}], ""P3XV"": [{""window_start"": 240, ""window_end"": 275, ""distance"": 1.89}], ""MGT4"": [{""window_start"": 186, ""window_end"": 221, ""distance"": 1.92}, {""window_start"": 195, ""window_end"": 224, ""distance"": 1.59}], ""KYVM"": [{""window_start"": 288, ""window_end"": 323, ""distance"": 1.94}, {""window_start"": 300, ""window_end"": 329, ""distance"": 2.03}], ""KH2X"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 1.77}], ""4FH6"": [{""window_start"": 378, ""window_end"": 407, ""distance"": 1.82}], ""BCFH"": [{""window_start"": 246, ""window_end"": 275, ""distance"": 2.02}, {""window_start"": 276, ""window_end"": 305, ""distance"": 2.06}, {""window_start"": 294, ""window_end"": 326, ""distance"": 2.07}, {""window_start"": 402, ""window_end"": 431, ""distance"": 1.9}], ""MBKT"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 2.01}], ""WCYT"": [{""window_start"": 237, ""window_end"": 269, ""distance"": 2.12}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 110, ""distance"": 2.08}], ""GWWD"": [{""window_start"": 231, ""window_end"": 260, ""distance"": 2.11}], ""J2RZ"": [{""window_start"": 264, ""window_end"": 293, ""distance"": 2.16}], ""3Y4K"": [{""window_start"": 369, ""window_end"": 398, ""distance"": 2.16}]}",0.65,0.77,0.71,0.1753,0.0,0.0,0.0,0.0,0.3667,0.9687
10,4FH6,378,407,48,16,"{""BCFH"": [{""window_start"": 273, ""window_end"": 305, ""distance"": 1.38}, {""window_start"": 285, ""window_end"": 317, ""distance"": 2.04}, {""window_start"": 297, ""window_end"": 326, ""distance"": 2.18}, {""window_start"": 399, ""window_end"": 434, ""distance"": 1.42}, {""window_start"": 408, ""window_end"": 437, ""distance"": 1.95}], ""9CKC"": [{""window_start"": 342, ""window_end"": 377, ""distance"": 1.58}, {""window_start"": 351, ""window_end"": 380, ""distance"": 2.01}], ""TTMD"": [{""window_start"": 303, ""window_end"": 338, ""distance"": 1.81}, {""window_start"": 312, ""window_end"": 347, ""distance"": 1.99}, {""window_start"": 321, ""window_end"": 353, ""distance"": 1.88}, {""window_start"": 459, ""window_end"": 488, ""distance"": 2.05}, {""window_start"": 474, ""window_end"": 503, ""distance"": 2.19}], ""H634"": [{""window_start"": 57, ""window_end"": 89, ""distance"": 1.91}], ""MBKT"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 1.69}], ""X2MP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 2.02}], ""T4YH"": [{""window_start"": 228, ""window_end"": 263, ""distance"": 2.06}], ""KYVM"": [{""window_start"": 279, ""window_end"": 311, ""distance"": 1.97}], ""MBBW"": [{""window_start"": 129, ""window_end"": 161, ""distance"": 2.05}], ""3Y4K"": [{""window_start"": 360, ""window_end"": 389, ""distance"": 1.93}, {""window_start"": 474, ""window_end"": 509, ""distance"": 2.17}], ""GWWD"": [{""window_start"": 228, ""window_end"": 263, ""distance"": 2.07}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 113, ""distance"": 2.1}], ""F6RP"": [{""window_start"": 276, ""window_end"": 305, ""distance"": 2.01}], ""VGBM"": [{""window_start"": 321, ""window_end"": 350, ""distance"": 2.11}], ""RXMC"": [{""window_start"": 159, ""window_end"": 191, ""distance"": 2.14}], ""DF7J"": [{""window_start"": 72, ""window_end"": 101, ""distance"": 2.14}]}",0.61,0.73,0.67,0.1649,0.0,0.0,0.0,0.0,0.3333,0.9133
