window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.0,0.5,0.25,0.0,0.25,0.67,0.5
1.0,61.0,0.0,0.5,0.25,0.0,0.25,0.67,0.5
2.0,62.0,0.0,0.5,0.25,0.0,0.25,0.67,0.5
3.0,63.0,0.0,0.4,0.2,0.0,0.2,0.62,0.4
4.0,64.0,0.0,0.4,0.2,0.0,0.2,0.62,0.4
5.0,65.0,0.0,0.4,0.2,0.0,0.2,0.62,0.4
6.0,66.0,0.33,0.33,0.17,0.0,0.17,0.57,0.5
7.0,67.0,0.33,0.33,0.17,0.0,0.17,0.57,0.5
8.0,68.0,0.33,0.33,0.17,0.0,0.17,0.57,0.5
9.0,69.0,0.29,0.29,0.29,0.0,0.14,0.53,0.57
10.0,70.0,0.29,0.29,0.29,0.0,0.14,0.53,0.57
11.0,71.0,0.29,0.29,0.29,0.0,0.14,0.53,0.57
12.0,72.0,0.25,0.25,0.25,0.0,0.12,0.5,0.62
13.0,73.0,0.25,0.25,0.25,0.0,0.12,0.5,0.62
14.0,74.0,0.25,0.25,0.25,0.0,0.12,0.5,0.62
15.0,75.0,0.22,0.22,0.33,0.0,0.11,0.47,0.67
16.0,76.0,0.22,0.22,0.33,0.0,0.11,0.47,0.67
17.0,77.0,0.22,0.22,0.33,0.0,0.11,0.47,0.67
18.0,78.0,0.22,0.22,0.33,0.0,0.11,0.47,0.67
19.0,79.0,0.22,0.22,0.33,0.0,0.11,0.47,0.67
20.0,80.0,0.22,0.22,0.33,0.0,0.11,0.47,0.67
21.0,81.0,0.22,0.22,0.33,0.0,0.11,0.47,0.67
22.0,82.0,0.2,0.2,0.4,0.0,0.2,0.44,0.7
23.0,83.0,0.2,0.2,0.4,0.0,0.2,0.44,0.7
24.0,84.0,0.2,0.2,0.4,0.0,0.2,0.44,0.7
25.0,85.0,0.2,0.2,0.4,0.0,0.2,0.44,0.7
26.0,86.0,0.2,0.2,0.4,0.0,0.2,0.44,0.7
27.0,87.0,0.2,0.2,0.4,0.0,0.2,0.44,0.7
28.0,88.0,0.2,0.2,0.4,0.0,0.2,0.44,0.7
29.0,89.0,0.2,0.2,0.4,0.0,0.2,0.44,0.7
30.0,90.0,0.2,0.2,0.4,0.0,0.2,0.44,0.7
31.0,91.0,0.2,0.2,0.4,0.0,0.2,0.44,0.7
32.0,92.0,0.2,0.2,0.4,0.0,0.2,0.44,0.7
33.0,93.0,0.18,0.18,0.36,0.0,0.27,0.42,0.73
34.0,94.0,0.18,0.18,0.36,0.0,0.27,0.42,0.73
35.0,95.0,0.17,0.17,0.42,0.0,0.33,0.4,0.75
36.0,96.0,0.17,0.17,0.42,0.0,0.33,0.4,0.75
37.0,97.0,0.15,0.15,0.38,0.0,0.38,0.38,0.69
38.0,98.0,0.15,0.15,0.38,0.0,0.38,0.38,0.69
39.0,99.0,0.15,0.15,0.38,0.0,0.38,0.38,0.69
40.0,100.0,0.14,0.14,0.36,0.0,0.43,0.36,0.64
41.0,101.0,0.15,0.15,0.38,0.0,0.46,0.38,0.62
42.0,102.0,0.14,0.14,0.36,0.0,0.5,0.36,0.57
