max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.15,0.31,0.17,0.0,0.31
0.17,0.33,0.18,0.0,0.33
0.17,0.33,0.18,0.0,0.33
0.18,0.27,0.2,0.0,0.36
0.17,0.25,0.18,0.0,0.33
0.18,0.18,0.2,0.0,0.36
0.18,0.18,0.2,0.0,0.36
0.18,0.18,0.2,0.0,0.36
0.2,0.0,0.22,0.0,0.4
0.2,0.0,0.22,0.0,0.4
0.2,0.0,0.22,0.0,0.4
0.2,0.0,0.22,0.0,0.4
0.2,0.0,0.22,0.0,0.4
0.22,0.0,0.12,0.0,0.44
0.2,0.0,0.11,0.0,0.4
0.22,0.0,0.12,0.0,0.44
0.3,0.0,0.11,0.0,0.4
0.33,0.0,0.12,0.0,0.44
0.4,0.0,0.11,0.0,0.4
0.4,0.0,0.11,0.0,0.4
0.4,0.0,0.11,0.0,0.4
0.5,0.0,0.11,0.0,0.3
0.5,0.0,0.11,0.0,0.3
0.55,0.0,0.1,0.0,0.27
0.6,0.0,0.0,0.0,0.2
0.6,0.0,0.0,0.0,0.2
0.67,0.0,0.0,0.0,0.11
0.6,0.0,0.0,0.0,0.1
0.67,0.0,0.0,0.0,0.11
0.6,0.0,0.11,0.0,0.1
0.67,0.0,0.12,0.0,0.11
0.67,0.0,0.12,0.0,0.11
0.6,0.0,0.11,0.0,0.1
0.55,0.0,0.1,0.0,0.09
0.6,0.0,0.11,0.0,0.0
0.6,0.0,0.11,0.0,0.0
0.6,0.0,0.11,0.0,0.0
0.55,0.0,0.1,0.0,0.0
0.55,0.0,0.1,0.0,0.0
0.55,0.0,0.1,0.0,0.0
0.5,0.0,0.09,0.0,0.0
0.45,0.0,0.1,0.0,0.0
0.5,0.0,0.09,0.0,0.0
0.5,0.0,0.09,0.0,0.0
0.58,0.0,0.09,0.0,0.0
0.58,0.0,0.09,0.0,0.0
0.67,0.0,0.09,0.0,0.0
0.67,0.0,0.09,0.0,0.0
0.75,0.0,0.09,0.0,0.0
0.75,0.0,0.09,0.0,0.0
0.77,0.0,0.08,0.0,0.0
0.83,0.0,0.09,0.0,0.0
0.83,0.0,0.09,0.0,0.0
0.83,0.0,0.09,0.0,0.0
0.83,0.0,0.09,0.0,0.0
0.83,0.0,0.09,0.0,0.0
0.83,0.0,0.09,0.0,0.0
0.91,0.0,0.0,0.0,0.0
0.91,0.0,0.0,0.0,0.0
0.82,0.18,0.0,0.0,0.0
0.82,0.18,0.0,0.0,0.0
0.82,0.18,0.0,0.0,0.0
0.73,0.27,0.0,0.0,0.0
0.64,0.36,0.0,0.0,0.0
0.64,0.36,0.0,0.0,0.0
0.64,0.36,0.0,0.0,0.0
0.64,0.36,0.0,0.0,0.0
0.6,0.4,0.0,0.0,0.0
0.6,0.4,0.0,0.0,0.0
0.6,0.4,0.0,0.0,0.0
0.56,0.44,0.0,0.0,0.0
0.56,0.44,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0
0.43,0.57,0.0,0.0,0.0
0.43,0.57,0.0,0.0,0.0
0.29,0.57,0.0,0.0,0.0
0.29,0.57,0.0,0.0,0.0
0.29,0.57,0.0,0.0,0.0
0.29,0.57,0.0,0.0,0.0
0.43,0.57,0.0,0.0,0.0
0.43,0.57,0.0,0.0,0.0
0.43,0.57,0.0,0.0,0.0
0.57,0.43,0.0,0.0,0.0
0.57,0.43,0.0,0.0,0.0
0.57,0.43,0.0,0.0,0.0
0.62,0.38,0.0,0.0,0.0
0.62,0.38,0.0,0.0,0.0
0.62,0.38,0.0,0.0,0.0
