max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.25,0.25,0.43,0.14,0.12
0.29,0.29,0.5,0.17,0.14
0.29,0.29,0.5,0.17,0.14
0.29,0.29,0.5,0.17,0.14
0.29,0.29,0.5,0.17,0.14
0.25,0.25,0.43,0.14,0.12
0.25,0.25,0.43,0.14,0.12
0.25,0.25,0.43,0.14,0.12
0.22,0.22,0.5,0.25,0.11
0.22,0.22,0.5,0.25,0.11
0.22,0.22,0.5,0.25,0.11
0.25,0.25,0.43,0.29,0.12
0.25,0.25,0.43,0.29,0.12
0.29,0.0,0.5,0.33,0.14
0.29,0.0,0.5,0.33,0.14
0.29,0.0,0.5,0.17,0.14
0.29,0.0,0.5,0.17,0.14
0.33,0.0,0.4,0.2,0.17
0.33,0.0,0.4,0.2,0.17
0.33,0.0,0.4,0.2,0.17
0.33,0.0,0.4,0.2,0.17
0.4,0.0,0.5,0.25,0.2
0.4,0.0,0.5,0.25,0.2
0.4,0.0,0.5,0.25,0.2
0.4,0.0,0.5,0.25,0.2
0.33,0.0,0.4,0.2,0.17
0.0,0.0,0.5,0.25,0.2
0.0,0.0,0.5,0.25,0.2
0.4,0.0,0.5,0.25,0.2
0.4,0.0,0.5,0.25,0.2
0.4,0.0,0.5,0.25,0.2
0.4,0.0,0.5,0.25,0.2
0.5,0.0,0.4,0.2,0.33
0.5,0.0,0.4,0.2,0.33
0.5,0.0,0.4,0.2,0.33
0.67,0.0,0.2,0.0,0.33
0.67,0.0,0.2,0.0,0.33
0.67,0.0,0.2,0.0,0.33
0.67,0.33,0.0,0.0,0.33
0.67,0.33,0.0,0.0,0.33
0.57,0.29,0.0,0.0,0.29
0.57,0.29,0.0,0.0,0.29
0.5,0.25,0.14,0.0,0.25
0.5,0.25,0.14,0.0,0.25
0.44,0.22,0.12,0.0,0.33
0.44,0.22,0.25,0.12,0.44
0.44,0.22,0.25,0.12,0.44
0.44,0.22,0.25,0.12,0.44
0.44,0.22,0.25,0.12,0.44
0.4,0.2,0.22,0.11,0.5
0.4,0.2,0.22,0.11,0.5
0.36,0.18,0.3,0.1,0.55
0.33,0.17,0.36,0.18,0.58
0.33,0.17,0.36,0.18,0.58
0.33,0.17,0.36,0.18,0.58
0.27,0.18,0.4,0.2,0.64
0.27,0.18,0.4,0.2,0.64
0.25,0.17,0.36,0.18,0.67
0.17,0.17,0.45,0.27,0.75
0.17,0.17,0.45,0.27,0.75
0.17,0.17,0.45,0.27,0.75
0.17,0.17,0.45,0.27,0.75
0.17,0.17,0.45,0.27,0.75
0.17,0.17,0.45,0.27,0.75
0.17,0.17,0.45,0.27,0.75
0.18,0.0,0.5,0.3,0.82
0.18,0.0,0.5,0.3,0.82
0.18,0.0,0.5,0.3,0.82
0.2,0.0,0.56,0.33,0.9
0.2,0.0,0.56,0.33,0.9
0.22,0.0,0.5,0.38,0.89
0.22,0.0,0.5,0.38,0.89
0.22,0.0,0.5,0.38,0.78
0.22,0.0,0.5,0.38,0.78
0.25,0.0,0.43,0.29,0.75
0.29,0.0,0.5,0.33,0.71
0.25,0.0,0.43,0.29,0.62
0.25,0.0,0.43,0.29,0.62
0.25,0.0,0.43,0.29,0.62
0.29,0.0,0.33,0.33,0.57
0.25,0.0,0.43,0.29,0.5
0.25,0.0,0.43,0.29,0.38
0.29,0.0,0.5,0.33,0.29
0.29,0.0,0.5,0.33,0.29
0.25,0.0,0.43,0.29,0.25
0.25,0.0,0.43,0.29,0.25
0.22,0.22,0.38,0.25,0.22
0.25,0.25,0.29,0.14,0.12
0.29,0.29,0.33,0.17,0.14
0.29,0.29,0.33,0.17,0.14
0.25,0.25,0.43,0.14,0.12
0.25,0.25,0.43,0.14,0.12
0.29,0.29,0.5,0.17,0.14
0.29,0.29,0.5,0.17,0.14
0.25,0.25,0.57,0.29,0.12
0.25,0.25,0.57,0.29,0.12
0.25,0.25,0.57,0.29,0.12
0.25,0.25,0.57,0.29,0.12
0.25,0.25,0.57,0.29,0.12
0.25,0.25,0.57,0.29,0.12
0.22,0.22,0.5,0.25,0.11
0.22,0.22,0.5,0.25,0.11
0.25,0.25,0.57,0.29,0.12
0.22,0.22,0.62,0.25,0.22
0.22,0.22,0.62,0.25,0.22
0.22,0.22,0.62,0.25,0.22
0.22,0.22,0.62,0.25,0.33
0.22,0.22,0.62,0.25,0.33
0.22,0.22,0.62,0.25,0.33
0.22,0.22,0.62,0.25,0.33
0.25,0.25,0.57,0.14,0.38
0.25,0.25,0.57,0.14,0.5
0.25,0.25,0.57,0.14,0.5
0.22,0.22,0.5,0.12,0.56
0.25,0.0,0.57,0.14,0.62
0.25,0.0,0.57,0.14,0.62
0.29,0.0,0.5,0.17,0.71
0.29,0.0,0.5,0.17,0.71
0.29,0.0,0.5,0.17,0.71
0.25,0.0,0.43,0.14,0.75
0.29,0.0,0.33,0.0,0.86
0.29,0.0,0.33,0.0,0.86
0.29,0.0,0.33,0.0,0.86
0.29,0.0,0.33,0.0,0.86
0.29,0.0,0.33,0.0,1.0
0.29,0.0,0.33,0.0,1.0
0.29,0.0,0.33,0.0,1.0
0.29,0.0,0.33,0.0,1.0
0.29,0.0,0.33,0.0,1.0
0.29,0.0,0.33,0.0,1.0
0.33,0.0,0.2,0.0,1.0
0.33,0.0,0.2,0.0,1.0
0.33,0.0,0.2,0.0,1.0
0.4,0.0,0.0,0.0,1.0
0.33,0.33,0.0,0.0,0.83
0.33,0.33,0.0,0.0,0.83
0.4,0.4,0.0,0.0,0.8
0.4,0.4,0.0,0.0,0.8
0.4,0.4,0.0,0.0,0.8
0.4,0.4,0.0,0.0,0.8
0.33,0.33,0.2,0.2,0.67
0.4,0.4,0.25,0.25,0.6
0.4,0.4,0.25,0.25,0.6
0.5,0.5,0.33,0.33,0.5
0.5,0.5,0.33,0.33,0.5
0.5,0.5,0.33,0.33,0.5
0.5,0.5,0.33,0.33,0.5
0.5,0.5,0.33,0.33,0.5
0.4,0.4,0.5,0.25,0.4
0.0,0.5,0.67,0.33,0.25
