window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.2,0.2,0.27,0.2,0.27,0.35,0.8
1.0,61.0,0.2,0.2,0.27,0.2,0.27,0.35,0.8
2.0,62.0,0.2,0.2,0.27,0.2,0.27,0.35,0.8
3.0,63.0,0.2,0.2,0.27,0.2,0.27,0.35,0.8
4.0,64.0,0.2,0.2,0.27,0.2,0.27,0.35,0.8
5.0,65.0,0.2,0.2,0.27,0.2,0.27,0.35,0.8
6.0,66.0,0.2,0.2,0.27,0.2,0.27,0.35,0.8
7.0,67.0,0.2,0.2,0.27,0.2,0.27,0.35,0.8
8.0,68.0,0.2,0.2,0.27,0.2,0.27,0.35,0.8
9.0,69.0,0.2,0.2,0.27,0.2,0.27,0.35,0.8
10.0,70.0,0.2,0.2,0.27,0.2,0.27,0.35,0.8
11.0,71.0,0.2,0.2,0.27,0.2,0.27,0.35,0.8
12.0,72.0,0.19,0.19,0.25,0.19,0.31,0.33,0.81
13.0,73.0,0.18,0.18,0.29,0.18,0.29,0.32,0.82
14.0,74.0,0.18,0.18,0.29,0.18,0.29,0.32,0.82
15.0,75.0,0.17,0.17,0.28,0.17,0.28,0.31,0.83
16.0,76.0,0.16,0.16,0.32,0.21,0.26,0.3,0.84
17.0,77.0,0.15,0.15,0.3,0.2,0.25,0.29,0.8
18.0,78.0,0.15,0.15,0.3,0.2,0.25,0.29,0.8
19.0,79.0,0.14,0.14,0.33,0.24,0.24,0.28,0.81
20.0,80.0,0.14,0.14,0.33,0.24,0.24,0.28,0.81
21.0,81.0,0.14,0.14,0.33,0.24,0.24,0.28,0.81
22.0,82.0,0.14,0.14,0.33,0.24,0.24,0.28,0.81
23.0,83.0,0.15,0.15,0.3,0.2,0.25,0.29,0.85
24.0,84.0,0.14,0.14,0.29,0.19,0.24,0.28,0.86
25.0,85.0,0.1,0.15,0.3,0.2,0.25,0.29,0.9
26.0,86.0,0.1,0.15,0.3,0.2,0.25,0.29,0.9
27.0,87.0,0.1,0.15,0.3,0.2,0.25,0.29,0.9
28.0,88.0,0.11,0.16,0.32,0.21,0.26,0.3,0.89
29.0,89.0,0.11,0.16,0.32,0.21,0.26,0.3,0.89
30.0,90.0,0.11,0.16,0.32,0.21,0.26,0.3,0.89
31.0,91.0,0.11,0.11,0.33,0.22,0.28,0.31,0.89
32.0,92.0,0.11,0.11,0.33,0.22,0.28,0.31,0.89
33.0,93.0,0.11,0.11,0.33,0.22,0.33,0.31,0.89
34.0,94.0,0.11,0.11,0.33,0.22,0.33,0.31,0.89
35.0,95.0,0.11,0.11,0.33,0.22,0.33,0.31,0.89
36.0,96.0,0.11,0.11,0.33,0.22,0.33,0.31,0.89
37.0,97.0,0.12,0.12,0.35,0.24,0.35,0.32,0.88
38.0,98.0,0.12,0.12,0.38,0.25,0.38,0.33,0.88
39.0,99.0,0.12,0.12,0.38,0.25,0.38,0.33,0.88
40.0,100.0,0.13,0.13,0.4,0.27,0.4,0.35,0.87
41.0,101.0,0.13,0.13,0.4,0.27,0.4,0.35,0.87
42.0,102.0,0.13,0.13,0.4,0.27,0.4,0.35,0.87
43.0,103.0,0.14,0.14,0.43,0.29,0.43,0.36,0.86
44.0,104.0,0.14,0.14,0.43,0.29,0.43,0.36,0.86
45.0,105.0,0.14,0.14,0.43,0.29,0.43,0.36,0.86
46.0,106.0,0.14,0.14,0.43,0.29,0.43,0.36,0.86
47.0,107.0,0.14,0.14,0.43,0.29,0.43,0.36,0.86
48.0,108.0,0.13,0.13,0.4,0.27,0.47,0.35,0.87
49.0,109.0,0.14,0.14,0.36,0.29,0.5,0.36,0.86
50.0,110.0,0.14,0.14,0.36,0.29,0.5,0.36,0.86
51.0,111.0,0.15,0.15,0.38,0.31,0.54,0.38,0.85
52.0,112.0,0.15,0.15,0.38,0.31,0.54,0.38,0.85
53.0,113.0,0.14,0.14,0.36,0.29,0.5,0.36,0.79
54.0,114.0,0.14,0.14,0.36,0.29,0.5,0.36,0.79
55.0,115.0,0.14,0.14,0.36,0.29,0.5,0.36,0.71
56.0,116.0,0.14,0.14,0.36,0.29,0.5,0.36,0.71
57.0,117.0,0.15,0.0,0.38,0.31,0.54,0.38,0.69
58.0,118.0,0.17,0.0,0.33,0.25,0.58,0.4,0.67
59.0,119.0,0.17,0.0,0.33,0.25,0.58,0.4,0.67
60.0,120.0,0.18,0.0,0.36,0.27,0.64,0.42,0.73
61.0,121.0,0.18,0.0,0.36,0.27,0.64,0.42,0.73
62.0,122.0,0.18,0.0,0.36,0.27,0.64,0.42,0.73
63.0,123.0,0.18,0.0,0.36,0.27,0.64,0.42,0.73
64.0,124.0,0.18,0.0,0.36,0.27,0.64,0.42,0.73
65.0,125.0,0.18,0.0,0.36,0.27,0.64,0.42,0.73
66.0,126.0,0.18,0.0,0.36,0.27,0.64,0.42,0.73
67.0,127.0,0.18,0.0,0.36,0.27,0.64,0.42,0.73
68.0,128.0,0.17,0.17,0.33,0.25,0.58,0.4,0.75
69.0,129.0,0.15,0.15,0.31,0.23,0.54,0.38,0.77
70.0,130.0,0.15,0.15,0.31,0.23,0.54,0.38,0.77
71.0,131.0,0.15,0.15,0.31,0.23,0.54,0.38,0.77
72.0,132.0,0.17,0.17,0.25,0.25,0.58,0.4,0.75
73.0,133.0,0.18,0.18,0.27,0.27,0.64,0.42,0.73
74.0,134.0,0.18,0.18,0.27,0.27,0.64,0.42,0.73
75.0,135.0,0.2,0.2,0.2,0.2,0.6,0.44,0.7
76.0,136.0,0.22,0.22,0.22,0.22,0.56,0.47,0.67
77.0,137.0,0.25,0.25,0.12,0.12,0.5,0.5,0.75
78.0,138.0,0.25,0.25,0.12,0.12,0.5,0.5,0.75
79.0,139.0,0.29,0.29,0.14,0.14,0.43,0.53,0.71
80.0,140.0,0.29,0.29,0.14,0.14,0.43,0.53,0.71
81.0,141.0,0.29,0.29,0.14,0.14,0.43,0.53,0.71
82.0,142.0,0.29,0.29,0.14,0.14,0.43,0.53,0.71
83.0,143.0,0.29,0.29,0.14,0.14,0.43,0.53,0.71
84.0,144.0,0.33,0.33,0.17,0.17,0.33,0.57,0.67
85.0,145.0,0.33,0.33,0.17,0.17,0.33,0.57,0.67
86.0,146.0,0.33,0.33,0.17,0.17,0.33,0.57,0.67
87.0,147.0,0.33,0.33,0.17,0.17,0.33,0.57,0.67
88.0,148.0,0.33,0.33,0.17,0.17,0.33,0.57,0.67
89.0,149.0,0.33,0.33,0.17,0.17,0.33,0.57,0.67
90.0,150.0,0.33,0.33,0.17,0.17,0.33,0.57,0.67
91.0,151.0,0.33,0.33,0.17,0.17,0.33,0.57,0.67
92.0,152.0,0.33,0.33,0.17,0.17,0.33,0.57,0.67
93.0,153.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
94.0,154.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
95.0,155.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
96.0,156.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
97.0,157.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
98.0,158.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
99.0,159.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
100.0,160.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
101.0,161.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
102.0,162.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
103.0,163.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
104.0,164.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
105.0,165.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
106.0,166.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
107.0,167.0,0.4,0.4,0.2,0.2,0.2,0.62,0.6
108.0,168.0,0.5,0.5,0.25,0.25,0.0,0.67,0.5
109.0,169.0,0.5,0.5,0.25,0.25,0.0,0.67,0.5
110.0,170.0,0.5,0.5,0.25,0.25,0.0,0.67,0.5
111.0,171.0,0.5,0.5,0.25,0.25,0.0,0.67,0.5
112.0,172.0,0.5,0.5,0.25,0.25,0.0,0.67,0.5
113.0,173.0,0.67,0.67,0.0,0.0,0.0,0.73,0.67
