window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,1.0,0.0,0.0,0.0,1.0,0.8,0.0
1.0,61.0,1.0,0.0,0.0,0.0,1.0,0.8,0.0
2.0,62.0,1.0,0.0,0.0,0.0,1.0,0.8,0.0
3.0,63.0,1.0,0.0,0.0,0.0,1.0,0.8,0.0
4.0,64.0,0.67,0.0,0.0,0.0,1.0,0.73,0.33
5.0,65.0,0.67,0.0,0.0,0.0,1.0,0.73,0.33
6.0,66.0,0.67,0.0,0.0,0.0,1.0,0.73,0.33
7.0,67.0,0.67,0.0,0.0,0.0,1.0,0.73,0.33
8.0,68.0,0.67,0.0,0.0,0.0,1.0,0.73,0.33
9.0,69.0,0.67,0.0,0.0,0.0,1.0,0.73,0.33
10.0,70.0,0.67,0.0,0.0,0.0,1.0,0.73,0.33
11.0,71.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
12.0,72.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
13.0,73.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
14.0,74.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
15.0,75.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
16.0,76.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
17.0,77.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
18.0,78.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
19.0,79.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
20.0,80.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
21.0,81.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
22.0,82.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
23.0,83.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
24.0,84.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
25.0,85.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
26.0,86.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
27.0,87.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
28.0,88.0,0.5,0.0,0.0,0.0,1.0,0.67,0.5
29.0,89.0,0.4,0.0,0.0,0.0,1.0,0.62,0.6
30.0,90.0,0.4,0.0,0.0,0.0,1.0,0.62,0.6
31.0,91.0,0.4,0.0,0.0,0.0,1.0,0.62,0.6
32.0,92.0,0.4,0.0,0.0,0.0,1.0,0.62,0.6
33.0,93.0,0.4,0.0,0.0,0.0,1.0,0.62,0.6
34.0,94.0,0.4,0.0,0.0,0.0,1.0,0.62,0.6
35.0,95.0,0.33,0.0,0.0,0.0,1.0,0.57,0.67
36.0,96.0,0.33,0.0,0.0,0.0,1.0,0.57,0.67
37.0,97.0,0.33,0.0,0.0,0.0,1.0,0.57,0.67
38.0,98.0,0.33,0.0,0.0,0.0,1.0,0.57,0.67
39.0,99.0,0.29,0.0,0.0,0.0,1.0,0.53,0.71
40.0,100.0,0.29,0.0,0.0,0.0,1.0,0.53,0.71
41.0,101.0,0.29,0.0,0.0,0.0,1.0,0.53,0.71
42.0,102.0,0.25,0.0,0.0,0.0,1.0,0.5,0.62
43.0,103.0,0.25,0.0,0.0,0.0,1.0,0.5,0.62
44.0,104.0,0.22,0.22,0.0,0.0,1.0,0.47,0.56
45.0,105.0,0.22,0.22,0.0,0.0,1.0,0.47,0.56
46.0,106.0,0.22,0.22,0.0,0.0,1.0,0.47,0.56
47.0,107.0,0.2,0.2,0.0,0.0,1.0,0.44,0.5
48.0,108.0,0.2,0.2,0.0,0.0,1.0,0.44,0.5
49.0,109.0,0.2,0.2,0.0,0.0,1.0,0.44,0.5
50.0,110.0,0.2,0.2,0.0,0.0,1.0,0.44,0.5
51.0,111.0,0.2,0.2,0.0,0.0,0.9,0.44,0.5
52.0,112.0,0.2,0.2,0.0,0.0,0.9,0.44,0.5
53.0,113.0,0.22,0.22,0.0,0.0,0.89,0.47,0.56
54.0,114.0,0.22,0.22,0.0,0.0,0.89,0.47,0.56
55.0,115.0,0.22,0.22,0.0,0.0,0.89,0.47,0.56
56.0,116.0,0.22,0.22,0.0,0.0,0.89,0.47,0.56
57.0,117.0,0.2,0.2,0.0,0.0,0.8,0.44,0.5
58.0,118.0,0.2,0.2,0.0,0.0,0.8,0.44,0.5
59.0,119.0,0.18,0.18,0.0,0.0,0.73,0.42,0.45
60.0,120.0,0.17,0.25,0.0,0.0,0.67,0.4,0.42
61.0,121.0,0.17,0.25,0.0,0.0,0.67,0.4,0.42
62.0,122.0,0.17,0.25,0.0,0.0,0.67,0.4,0.42
