window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.15,0.15,0.08,0.08,0.69,0.38,0.38
1.0,61.0,0.15,0.15,0.08,0.08,0.69,0.38,0.38
2.0,62.0,0.15,0.15,0.08,0.08,0.69,0.38,0.38
3.0,63.0,0.15,0.15,0.08,0.08,0.69,0.38,0.38
4.0,64.0,0.14,0.14,0.07,0.07,0.64,0.36,0.43
5.0,65.0,0.14,0.14,0.07,0.07,0.64,0.36,0.43
6.0,66.0,0.14,0.14,0.07,0.07,0.64,0.36,0.43
7.0,67.0,0.14,0.14,0.14,0.07,0.64,0.36,0.43
8.0,68.0,0.14,0.14,0.14,0.07,0.64,0.36,0.43
9.0,69.0,0.14,0.14,0.14,0.07,0.64,0.36,0.43
10.0,70.0,0.13,0.13,0.13,0.07,0.6,0.35,0.47
11.0,71.0,0.13,0.13,0.13,0.07,0.6,0.35,0.47
12.0,72.0,0.13,0.13,0.13,0.07,0.6,0.35,0.47
13.0,73.0,0.12,0.12,0.19,0.12,0.56,0.33,0.44
14.0,74.0,0.12,0.12,0.19,0.12,0.56,0.33,0.44
15.0,75.0,0.12,0.12,0.19,0.12,0.56,0.33,0.44
16.0,76.0,0.12,0.12,0.18,0.12,0.53,0.32,0.47
17.0,77.0,0.12,0.12,0.18,0.12,0.53,0.32,0.47
18.0,78.0,0.11,0.11,0.22,0.11,0.5,0.31,0.44
19.0,79.0,0.11,0.11,0.26,0.16,0.47,0.3,0.42
20.0,80.0,0.11,0.11,0.26,0.16,0.47,0.3,0.42
21.0,81.0,0.11,0.11,0.28,0.17,0.5,0.31,0.44
22.0,82.0,0.11,0.11,0.28,0.17,0.5,0.31,0.44
23.0,83.0,0.11,0.11,0.32,0.16,0.47,0.3,0.47
24.0,84.0,0.11,0.11,0.32,0.16,0.47,0.3,0.47
25.0,85.0,0.1,0.1,0.3,0.15,0.45,0.29,0.5
26.0,86.0,0.1,0.1,0.3,0.15,0.45,0.29,0.5
27.0,87.0,0.1,0.1,0.29,0.14,0.43,0.28,0.48
28.0,88.0,0.1,0.1,0.3,0.15,0.45,0.29,0.5
29.0,89.0,0.1,0.1,0.3,0.15,0.45,0.29,0.5
30.0,90.0,0.1,0.1,0.3,0.15,0.45,0.29,0.5
31.0,91.0,0.1,0.1,0.3,0.15,0.45,0.29,0.5
32.0,92.0,0.11,0.11,0.32,0.16,0.47,0.3,0.53
33.0,93.0,0.11,0.11,0.33,0.17,0.44,0.31,0.56
34.0,94.0,0.12,0.12,0.35,0.18,0.47,0.32,0.59
35.0,95.0,0.12,0.12,0.35,0.18,0.47,0.32,0.59
36.0,96.0,0.11,0.11,0.39,0.22,0.5,0.31,0.56
37.0,97.0,0.11,0.11,0.39,0.22,0.5,0.31,0.56
38.0,98.0,0.11,0.11,0.39,0.22,0.5,0.31,0.56
39.0,99.0,0.12,0.12,0.41,0.24,0.53,0.32,0.53
40.0,100.0,0.11,0.11,0.39,0.22,0.56,0.31,0.56
41.0,101.0,0.11,0.11,0.39,0.22,0.56,0.31,0.56
42.0,102.0,0.11,0.11,0.42,0.21,0.58,0.3,0.53
43.0,103.0,0.11,0.11,0.44,0.22,0.61,0.31,0.5
44.0,104.0,0.11,0.11,0.42,0.21,0.63,0.3,0.53
45.0,105.0,0.11,0.11,0.44,0.22,0.67,0.31,0.5
46.0,106.0,0.11,0.11,0.44,0.22,0.67,0.31,0.5
47.0,107.0,0.11,0.11,0.42,0.21,0.68,0.3,0.47
48.0,108.0,0.11,0.11,0.42,0.21,0.74,0.3,0.47
49.0,109.0,0.11,0.11,0.44,0.22,0.78,0.31,0.5
50.0,110.0,0.11,0.11,0.44,0.22,0.78,0.31,0.5
51.0,111.0,0.11,0.11,0.42,0.21,0.79,0.3,0.47
52.0,112.0,0.11,0.11,0.44,0.22,0.83,0.31,0.44
53.0,113.0,0.11,0.11,0.44,0.22,0.83,0.31,0.44
54.0,114.0,0.11,0.11,0.44,0.22,0.83,0.31,0.44
55.0,115.0,0.11,0.11,0.44,0.22,0.83,0.31,0.44
56.0,116.0,0.11,0.11,0.44,0.22,0.83,0.31,0.44
57.0,117.0,0.11,0.11,0.42,0.21,0.79,0.3,0.47
58.0,118.0,0.11,0.11,0.42,0.21,0.79,0.3,0.47
59.0,119.0,0.11,0.11,0.42,0.21,0.79,0.3,0.47
60.0,120.0,0.11,0.11,0.47,0.21,0.79,0.3,0.47
61.0,121.0,0.11,0.11,0.47,0.21,0.79,0.3,0.47
62.0,122.0,0.1,0.1,0.45,0.2,0.75,0.29,0.45
63.0,123.0,0.1,0.1,0.45,0.2,0.75,0.29,0.45
64.0,124.0,0.15,0.1,0.4,0.2,0.75,0.29,0.4
65.0,125.0,0.15,0.1,0.4,0.2,0.75,0.29,0.4
66.0,126.0,0.19,0.1,0.38,0.19,0.71,0.28,0.43
67.0,127.0,0.24,0.1,0.38,0.19,0.71,0.28,0.43
68.0,128.0,0.24,0.1,0.38,0.19,0.71,0.28,0.43
69.0,129.0,0.24,0.1,0.38,0.19,0.71,0.28,0.43
70.0,130.0,0.29,0.1,0.33,0.14,0.67,0.28,0.38
71.0,131.0,0.29,0.1,0.33,0.14,0.67,0.28,0.38
72.0,132.0,0.29,0.1,0.33,0.14,0.67,0.28,0.38
73.0,133.0,0.33,0.1,0.33,0.14,0.62,0.28,0.38
74.0,134.0,0.33,0.1,0.33,0.14,0.62,0.28,0.38
75.0,135.0,0.36,0.09,0.32,0.14,0.59,0.27,0.36
76.0,136.0,0.38,0.1,0.29,0.14,0.57,0.28,0.33
77.0,137.0,0.36,0.09,0.27,0.14,0.55,0.27,0.36
78.0,138.0,0.38,0.1,0.24,0.1,0.52,0.28,0.38
79.0,139.0,0.4,0.1,0.2,0.1,0.5,0.29,0.4
80.0,140.0,0.4,0.1,0.2,0.1,0.5,0.29,0.4
81.0,141.0,0.38,0.1,0.19,0.1,0.48,0.28,0.38
82.0,142.0,0.38,0.1,0.19,0.1,0.48,0.28,0.38
83.0,143.0,0.38,0.14,0.19,0.1,0.43,0.28,0.38
84.0,144.0,0.38,0.14,0.19,0.1,0.43,0.28,0.38
85.0,145.0,0.38,0.19,0.19,0.1,0.38,0.28,0.33
86.0,146.0,0.38,0.19,0.19,0.1,0.38,0.28,0.33
87.0,147.0,0.4,0.2,0.15,0.05,0.35,0.29,0.35
88.0,148.0,0.38,0.24,0.14,0.05,0.33,0.28,0.38
89.0,149.0,0.38,0.24,0.14,0.05,0.33,0.28,0.38
90.0,150.0,0.38,0.24,0.14,0.05,0.33,0.28,0.38
91.0,151.0,0.36,0.23,0.14,0.05,0.32,0.27,0.36
92.0,152.0,0.36,0.23,0.14,0.05,0.32,0.27,0.36
93.0,153.0,0.36,0.23,0.14,0.05,0.32,0.27,0.36
94.0,154.0,0.35,0.22,0.13,0.04,0.3,0.26,0.35
95.0,155.0,0.35,0.22,0.13,0.04,0.3,0.26,0.35
96.0,156.0,0.35,0.22,0.13,0.04,0.26,0.26,0.35
97.0,157.0,0.35,0.22,0.13,0.04,0.26,0.26,0.35
98.0,158.0,0.35,0.22,0.13,0.04,0.26,0.26,0.35
99.0,159.0,0.33,0.21,0.12,0.04,0.25,0.25,0.33
100.0,160.0,0.35,0.22,0.09,0.04,0.22,0.26,0.3
101.0,161.0,0.35,0.22,0.09,0.04,0.22,0.26,0.3
