max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.0,0.18,0.7,0.5,0.55
0.0,0.18,0.7,0.4,0.55
0.0,0.18,0.7,0.4,0.55
0.0,0.2,0.78,0.44,0.6
0.0,0.2,0.78,0.44,0.6
0.0,0.2,0.78,0.44,0.6
0.0,0.18,0.7,0.4,0.55
0.0,0.18,0.7,0.4,0.55
0.0,0.18,0.7,0.4,0.55
0.0,0.2,0.67,0.33,0.5
0.0,0.18,0.7,0.4,0.45
0.0,0.2,0.67,0.44,0.4
0.0,0.2,0.67,0.44,0.4
0.0,0.2,0.67,0.44,0.4
0.0,0.2,0.56,0.33,0.3
0.0,0.2,0.56,0.33,0.3
0.0,0.0,0.67,0.44,0.2
0.0,0.0,0.67,0.44,0.2
0.0,0.0,0.56,0.33,0.2
0.0,0.0,0.56,0.33,0.2
0.0,0.2,0.56,0.33,0.2
0.0,0.2,0.56,0.33,0.2
0.0,0.2,0.56,0.33,0.2
0.0,0.27,0.5,0.3,0.18
0.0,0.3,0.44,0.22,0.2
0.0,0.3,0.44,0.22,0.2
0.0,0.4,0.33,0.22,0.2
0.0,0.4,0.33,0.22,0.2
0.18,0.36,0.3,0.2,0.18
0.2,0.4,0.22,0.22,0.1
0.27,0.36,0.2,0.2,0.18
0.36,0.36,0.2,0.2,0.27
0.36,0.36,0.2,0.2,0.27
0.36,0.36,0.2,0.2,0.27
0.42,0.33,0.18,0.18,0.25
0.42,0.33,0.18,0.18,0.25
0.5,0.33,0.09,0.09,0.25
0.5,0.33,0.09,0.09,0.25
0.5,0.33,0.09,0.09,0.25
0.46,0.31,0.08,0.08,0.23
0.5,0.33,0.09,0.09,0.25
0.5,0.33,0.09,0.09,0.25
0.5,0.33,0.09,0.09,0.25
0.5,0.33,0.09,0.09,0.25
0.5,0.33,0.0,0.0,0.25
0.5,0.33,0.0,0.0,0.25
0.55,0.36,0.0,0.0,0.27
0.5,0.33,0.0,0.0,0.25
0.55,0.27,0.0,0.0,0.27
0.5,0.25,0.09,0.09,0.25
0.55,0.18,0.1,0.1,0.27
0.55,0.18,0.1,0.1,0.27
0.55,0.18,0.1,0.1,0.27
0.6,0.0,0.11,0.11,0.3
0.6,0.0,0.11,0.11,0.3
0.55,0.0,0.1,0.1,0.27
0.5,0.0,0.11,0.11,0.3
0.5,0.0,0.11,0.11,0.3
0.4,0.0,0.22,0.11,0.2
0.4,0.0,0.22,0.11,0.2
0.33,0.0,0.25,0.12,0.11
0.25,0.0,0.29,0.14,0.12
0.25,0.0,0.29,0.14,0.12
0.25,0.0,0.29,0.14,0.12
0.25,0.0,0.29,0.14,0.25
0.25,0.0,0.29,0.14,0.25
0.29,0.0,0.33,0.17,0.29
0.29,0.0,0.33,0.17,0.29
0.29,0.0,0.33,0.17,0.29
0.33,0.0,0.4,0.2,0.33
0.33,0.0,0.4,0.2,0.33
0.43,0.0,0.33,0.17,0.29
0.43,0.0,0.33,0.17,0.29
0.43,0.0,0.33,0.17,0.29
0.43,0.0,0.33,0.17,0.29
0.43,0.0,0.33,0.17,0.29
0.38,0.0,0.43,0.29,0.25
0.43,0.0,0.33,0.17,0.29
0.38,0.25,0.29,0.14,0.25
0.43,0.29,0.33,0.17,0.29
0.43,0.29,0.33,0.17,0.29
0.43,0.29,0.33,0.17,0.29
0.38,0.25,0.29,0.14,0.25
0.38,0.25,0.29,0.14,0.25
0.33,0.22,0.25,0.12,0.22
0.38,0.25,0.14,0.14,0.25
0.38,0.25,0.14,0.14,0.25
0.33,0.22,0.12,0.12,0.22
0.38,0.25,0.14,0.14,0.12
0.38,0.25,0.14,0.14,0.12
0.44,0.22,0.12,0.12,0.11
0.44,0.22,0.12,0.12,0.11
0.44,0.22,0.12,0.12,0.11
0.44,0.22,0.12,0.12,0.11
0.5,0.25,0.14,0.14,0.0
0.44,0.22,0.12,0.12,0.11
0.44,0.22,0.12,0.12,0.11
0.4,0.2,0.22,0.22,0.2
0.4,0.2,0.22,0.22,0.2
0.36,0.18,0.2,0.2,0.27
0.36,0.18,0.2,0.2,0.27
0.36,0.18,0.2,0.2,0.36
0.36,0.18,0.2,0.2,0.36
0.36,0.18,0.2,0.2,0.36
0.36,0.18,0.2,0.1,0.45
0.36,0.18,0.2,0.1,0.45
0.4,0.0,0.22,0.11,0.5
0.4,0.0,0.22,0.11,0.5
0.4,0.2,0.22,0.11,0.6
0.4,0.2,0.22,0.11,0.6
0.36,0.18,0.3,0.2,0.64
0.36,0.18,0.3,0.2,0.64
0.3,0.2,0.33,0.22,0.7
0.3,0.2,0.33,0.22,0.7
0.3,0.2,0.33,0.22,0.8
0.3,0.2,0.33,0.22,0.8
0.3,0.2,0.33,0.22,0.8
0.3,0.2,0.33,0.22,0.9
0.3,0.2,0.33,0.22,0.9
0.3,0.2,0.33,0.22,0.9
0.33,0.22,0.38,0.25,1.0
0.33,0.22,0.38,0.25,1.0
0.3,0.2,0.33,0.22,0.9
0.3,0.2,0.33,0.22,0.9
0.27,0.18,0.4,0.3,0.82
0.3,0.2,0.33,0.22,0.8
0.27,0.18,0.3,0.2,0.73
0.2,0.2,0.33,0.22,0.7
0.2,0.2,0.33,0.22,0.7
0.2,0.2,0.33,0.22,0.6
0.2,0.2,0.33,0.22,0.6
0.22,0.22,0.25,0.25,0.56
0.2,0.2,0.22,0.22,0.5
0.2,0.2,0.22,0.22,0.5
0.22,0.22,0.25,0.25,0.44
0.22,0.22,0.25,0.25,0.44
0.22,0.22,0.25,0.25,0.44
0.2,0.2,0.22,0.22,0.4
0.22,0.22,0.12,0.12,0.33
0.22,0.22,0.12,0.12,0.33
0.22,0.0,0.25,0.25,0.22
0.22,0.0,0.25,0.25,0.22
0.22,0.0,0.25,0.25,0.22
0.2,0.0,0.22,0.22,0.2
0.22,0.0,0.25,0.25,0.22
0.22,0.0,0.25,0.25,0.22
0.22,0.0,0.25,0.25,0.22
0.25,0.0,0.29,0.29,0.25
0.22,0.0,0.25,0.25,0.22
0.22,0.0,0.25,0.25,0.22
0.22,0.0,0.25,0.25,0.22
0.2,0.0,0.22,0.22,0.2
0.22,0.0,0.12,0.12,0.22
0.22,0.0,0.12,0.12,0.22
0.22,0.0,0.12,0.12,0.22
0.22,0.0,0.12,0.12,0.22
0.22,0.0,0.25,0.25,0.22
0.22,0.0,0.25,0.25,0.22
