max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.38,0.0,0.17,0.08,0.31
0.42,0.0,0.18,0.09,0.25
0.42,0.0,0.18,0.09,0.25
0.46,0.0,0.17,0.08,0.23
0.46,0.0,0.17,0.08,0.23
0.5,0.0,0.18,0.09,0.17
0.55,0.0,0.1,0.0,0.09
0.55,0.0,0.1,0.0,0.09
0.6,0.0,0.11,0.0,0.0
0.55,0.0,0.1,0.0,0.0
0.55,0.0,0.1,0.0,0.0
0.55,0.0,0.1,0.0,0.09
0.55,0.0,0.1,0.0,0.09
0.6,0.0,0.11,0.0,0.1
0.55,0.0,0.1,0.0,0.18
0.6,0.0,0.11,0.0,0.2
0.55,0.0,0.1,0.0,0.27
0.6,0.0,0.0,0.0,0.3
0.6,0.0,0.0,0.0,0.3
0.6,0.0,0.0,0.0,0.3
0.56,0.0,0.0,0.0,0.33
0.56,0.0,0.0,0.0,0.33
0.56,0.0,0.0,0.0,0.33
0.5,0.0,0.0,0.0,0.38
0.5,0.0,0.0,0.0,0.38
0.43,0.0,0.0,0.0,0.43
0.43,0.0,0.0,0.0,0.43
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.43,0.0,0.0,0.0,0.57
0.5,0.0,0.0,0.0,0.67
0.5,0.0,0.0,0.0,0.67
0.5,0.0,0.0,0.0,0.67
0.6,0.0,0.0,0.0,0.8
0.6,0.0,0.0,0.0,0.8
0.5,0.0,0.0,0.0,0.83
0.43,0.0,0.0,0.0,0.71
0.43,0.0,0.0,0.0,0.71
0.38,0.0,0.14,0.14,0.62
0.43,0.0,0.17,0.17,0.71
0.38,0.25,0.14,0.14,0.62
0.29,0.29,0.17,0.17,0.57
0.25,0.38,0.14,0.14,0.5
0.25,0.38,0.14,0.14,0.5
0.0,0.43,0.17,0.17,0.43
0.0,0.43,0.17,0.17,0.43
0.0,0.5,0.2,0.2,0.33
0.0,0.5,0.2,0.2,0.33
0.0,0.5,0.2,0.2,0.33
0.0,0.43,0.17,0.17,0.29
0.0,0.43,0.17,0.17,0.29
0.0,0.43,0.17,0.17,0.29
0.0,0.43,0.17,0.17,0.29
0.0,0.38,0.14,0.14,0.25
0.0,0.38,0.14,0.14,0.25
0.0,0.38,0.14,0.14,0.25
0.0,0.38,0.14,0.14,0.25
0.0,0.38,0.14,0.14,0.25
0.0,0.38,0.14,0.14,0.25
0.0,0.43,0.17,0.17,0.14
0.0,0.43,0.17,0.17,0.14
0.0,0.43,0.17,0.17,0.14
0.0,0.38,0.29,0.29,0.12
0.0,0.38,0.29,0.29,0.12
0.0,0.38,0.29,0.29,0.12
0.0,0.38,0.29,0.29,0.12
0.0,0.43,0.17,0.17,0.14
0.0,0.43,0.17,0.17,0.14
0.0,0.33,0.2,0.2,0.17
0.0,0.33,0.2,0.2,0.17
0.0,0.4,0.25,0.25,0.2
0.0,0.4,0.25,0.25,0.2
0.0,0.5,0.33,0.33,0.25
0.0,0.5,0.33,0.33,0.25
0.0,0.4,0.25,0.25,0.2
0.0,0.4,0.25,0.25,0.2
0.0,0.4,0.25,0.25,0.2
0.0,0.4,0.25,0.25,0.2
0.0,0.4,0.25,0.25,0.2
0.0,0.5,0.33,0.33,0.25
0.0,0.4,0.25,0.25,0.4
0.0,0.4,0.25,0.25,0.4
0.0,0.33,0.4,0.2,0.5
0.0,0.33,0.4,0.2,0.67
0.0,0.33,0.4,0.2,0.67
0.0,0.29,0.33,0.17,0.71
0.0,0.29,0.33,0.17,0.71
0.0,0.29,0.33,0.17,0.71
0.0,0.38,0.29,0.14,0.75
0.22,0.33,0.25,0.12,0.78
0.22,0.33,0.25,0.12,0.78
0.22,0.33,0.25,0.12,0.78
0.25,0.38,0.29,0.14,0.88
0.22,0.33,0.25,0.12,0.89
0.22,0.33,0.25,0.12,0.89
0.22,0.33,0.25,0.12,1.0
0.22,0.33,0.25,0.12,1.0
0.22,0.33,0.25,0.12,1.0
0.22,0.33,0.25,0.12,1.0
0.22,0.33,0.25,0.12,1.0
0.2,0.3,0.22,0.11,1.0
0.2,0.3,0.22,0.11,1.0
0.18,0.27,0.3,0.2,1.0
0.17,0.25,0.27,0.18,1.0
0.18,0.27,0.3,0.2,1.0
0.18,0.27,0.3,0.2,1.0
0.18,0.27,0.3,0.2,1.0
0.18,0.27,0.3,0.2,1.0
0.18,0.27,0.3,0.2,1.0
0.18,0.27,0.3,0.2,1.0
0.18,0.27,0.3,0.3,1.0
0.18,0.27,0.3,0.3,1.0
0.2,0.3,0.22,0.22,1.0
0.2,0.2,0.22,0.22,1.0
