window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,30.0,0.38,0.25,0.12,0.12,1.0,0.5,0.5
1.0,31.0,0.38,0.25,0.12,0.12,1.0,0.5,0.5
2.0,32.0,0.33,0.22,0.22,0.11,1.0,0.47,0.44
3.0,33.0,0.33,0.22,0.22,0.11,1.0,0.47,0.44
4.0,34.0,0.3,0.2,0.3,0.1,1.0,0.44,0.5
5.0,35.0,0.3,0.2,0.3,0.1,1.0,0.44,0.5
6.0,36.0,0.27,0.18,0.27,0.09,1.0,0.42,0.55
7.0,37.0,0.27,0.18,0.27,0.09,1.0,0.42,0.55
8.0,38.0,0.27,0.18,0.27,0.09,1.0,0.42,0.55
9.0,39.0,0.25,0.17,0.33,0.08,1.0,0.4,0.5
10.0,40.0,0.25,0.17,0.33,0.08,1.0,0.4,0.5
11.0,41.0,0.25,0.17,0.33,0.08,1.0,0.4,0.5
12.0,42.0,0.25,0.17,0.33,0.08,1.0,0.4,0.5
13.0,43.0,0.17,0.17,0.33,0.08,1.0,0.4,0.42
14.0,44.0,0.17,0.17,0.33,0.08,1.0,0.4,0.42
15.0,45.0,0.15,0.15,0.38,0.08,1.0,0.38,0.46
16.0,46.0,0.17,0.17,0.42,0.08,1.0,0.4,0.5
17.0,47.0,0.17,0.17,0.42,0.08,1.0,0.4,0.5
18.0,48.0,0.17,0.17,0.5,0.08,1.0,0.4,0.58
19.0,49.0,0.17,0.17,0.5,0.08,1.0,0.4,0.58
20.0,50.0,0.18,0.18,0.55,0.09,1.0,0.42,0.55
21.0,51.0,0.17,0.17,0.58,0.17,1.0,0.4,0.58
22.0,52.0,0.17,0.17,0.58,0.17,1.0,0.4,0.58
23.0,53.0,0.15,0.15,0.54,0.15,1.0,0.38,0.54
24.0,54.0,0.17,0.17,0.5,0.08,1.0,0.4,0.5
25.0,55.0,0.17,0.17,0.5,0.08,1.0,0.4,0.5
26.0,56.0,0.18,0.18,0.55,0.09,1.0,0.42,0.55
27.0,57.0,0.18,0.18,0.55,0.09,1.0,0.42,0.55
28.0,58.0,0.18,0.18,0.55,0.09,0.91,0.42,0.64
29.0,59.0,0.18,0.18,0.55,0.09,0.91,0.42,0.64
30.0,60.0,0.18,0.18,0.55,0.18,0.82,0.42,0.64
31.0,61.0,0.18,0.18,0.55,0.18,0.82,0.42,0.64
32.0,62.0,0.2,0.2,0.5,0.2,0.8,0.44,0.7
33.0,63.0,0.18,0.18,0.45,0.18,0.73,0.42,0.64
34.0,64.0,0.2,0.0,0.5,0.2,0.7,0.44,0.6
35.0,65.0,0.18,0.0,0.45,0.18,0.64,0.42,0.64
36.0,66.0,0.2,0.0,0.4,0.2,0.6,0.44,0.6
37.0,67.0,0.18,0.0,0.45,0.27,0.55,0.42,0.64
38.0,68.0,0.17,0.0,0.42,0.25,0.5,0.4,0.58
39.0,69.0,0.18,0.0,0.45,0.27,0.45,0.42,0.64
40.0,70.0,0.17,0.17,0.42,0.25,0.42,0.4,0.58
41.0,71.0,0.17,0.17,0.42,0.25,0.42,0.4,0.58
42.0,72.0,0.17,0.17,0.42,0.25,0.42,0.4,0.58
43.0,73.0,0.18,0.18,0.36,0.27,0.45,0.42,0.64
44.0,74.0,0.17,0.17,0.33,0.25,0.42,0.4,0.58
45.0,75.0,0.18,0.18,0.27,0.27,0.45,0.42,0.55
46.0,76.0,0.17,0.17,0.25,0.25,0.42,0.4,0.5
47.0,77.0,0.17,0.17,0.25,0.25,0.42,0.4,0.5
48.0,78.0,0.17,0.17,0.17,0.17,0.42,0.4,0.42
49.0,79.0,0.17,0.17,0.17,0.17,0.42,0.4,0.42
50.0,80.0,0.17,0.17,0.17,0.17,0.42,0.4,0.42
51.0,81.0,0.25,0.17,0.17,0.17,0.42,0.4,0.33
52.0,82.0,0.25,0.17,0.17,0.17,0.42,0.4,0.33
53.0,83.0,0.27,0.18,0.18,0.18,0.45,0.42,0.36
54.0,84.0,0.33,0.17,0.17,0.17,0.42,0.4,0.42
55.0,85.0,0.33,0.17,0.17,0.17,0.42,0.4,0.42
56.0,86.0,0.33,0.17,0.17,0.17,0.42,0.4,0.42
57.0,87.0,0.31,0.15,0.15,0.15,0.38,0.38,0.38
58.0,88.0,0.33,0.17,0.08,0.08,0.42,0.4,0.33
59.0,89.0,0.31,0.15,0.08,0.08,0.38,0.38,0.31
60.0,90.0,0.31,0.15,0.08,0.08,0.38,0.38,0.23
61.0,91.0,0.31,0.15,0.08,0.08,0.38,0.38,0.23
62.0,92.0,0.29,0.14,0.07,0.07,0.36,0.36,0.21
63.0,93.0,0.31,0.15,0.08,0.08,0.31,0.38,0.23
64.0,94.0,0.31,0.15,0.08,0.08,0.31,0.38,0.23
65.0,95.0,0.31,0.15,0.0,0.0,0.23,0.38,0.15
66.0,96.0,0.31,0.15,0.0,0.0,0.23,0.38,0.15
67.0,97.0,0.33,0.17,0.0,0.0,0.17,0.4,0.08
68.0,98.0,0.36,0.18,0.0,0.0,0.09,0.42,0.09
69.0,99.0,0.36,0.18,0.0,0.0,0.09,0.42,0.09
70.0,100.0,0.4,0.2,0.0,0.0,0.1,0.44,0.1
71.0,101.0,0.36,0.18,0.0,0.0,0.09,0.42,0.18
72.0,102.0,0.36,0.18,0.0,0.0,0.09,0.42,0.18
73.0,103.0,0.33,0.17,0.0,0.0,0.08,0.4,0.17
74.0,104.0,0.36,0.18,0.0,0.0,0.09,0.42,0.18
75.0,105.0,0.36,0.18,0.0,0.0,0.09,0.42,0.18
76.0,106.0,0.36,0.18,0.0,0.0,0.09,0.42,0.18
77.0,107.0,0.36,0.18,0.0,0.0,0.09,0.42,0.18
78.0,108.0,0.4,0.2,0.0,0.0,0.1,0.44,0.2
79.0,109.0,0.36,0.18,0.09,0.0,0.09,0.42,0.18
80.0,110.0,0.36,0.18,0.09,0.0,0.09,0.42,0.18
81.0,111.0,0.36,0.18,0.09,0.0,0.09,0.42,0.18
