window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.41,0.0,0.06,0.0,0.24,0.32,0.18
1.0,61.0,0.41,0.0,0.06,0.0,0.24,0.32,0.18
2.0,62.0,0.39,0.0,0.06,0.0,0.22,0.31,0.22
3.0,63.0,0.39,0.0,0.06,0.0,0.22,0.31,0.22
4.0,64.0,0.37,0.0,0.05,0.0,0.21,0.3,0.26
5.0,65.0,0.37,0.0,0.05,0.0,0.21,0.3,0.26
6.0,66.0,0.35,0.0,0.1,0.0,0.2,0.29,0.25
7.0,67.0,0.35,0.0,0.1,0.0,0.2,0.29,0.25
8.0,68.0,0.35,0.0,0.1,0.0,0.2,0.29,0.25
9.0,69.0,0.33,0.0,0.1,0.0,0.19,0.28,0.24
10.0,70.0,0.33,0.0,0.1,0.0,0.19,0.28,0.24
11.0,71.0,0.33,0.0,0.1,0.0,0.19,0.28,0.24
12.0,72.0,0.32,0.0,0.09,0.0,0.18,0.27,0.23
13.0,73.0,0.32,0.0,0.09,0.0,0.18,0.27,0.23
14.0,74.0,0.32,0.0,0.09,0.0,0.18,0.27,0.23
15.0,75.0,0.3,0.09,0.09,0.0,0.17,0.26,0.22
16.0,76.0,0.26,0.13,0.09,0.0,0.17,0.26,0.22
17.0,77.0,0.26,0.13,0.09,0.0,0.17,0.26,0.22
18.0,78.0,0.23,0.14,0.09,0.0,0.18,0.27,0.23
19.0,79.0,0.22,0.17,0.09,0.0,0.17,0.26,0.22
20.0,80.0,0.18,0.18,0.09,0.0,0.18,0.27,0.23
21.0,81.0,0.17,0.22,0.09,0.0,0.17,0.26,0.22
22.0,82.0,0.18,0.23,0.09,0.0,0.18,0.27,0.23
23.0,83.0,0.17,0.26,0.09,0.0,0.17,0.26,0.22
24.0,84.0,0.17,0.26,0.09,0.0,0.17,0.26,0.22
25.0,85.0,0.18,0.27,0.09,0.0,0.18,0.27,0.23
26.0,86.0,0.18,0.27,0.09,0.0,0.18,0.27,0.23
27.0,87.0,0.19,0.29,0.1,0.0,0.19,0.28,0.24
28.0,88.0,0.18,0.27,0.14,0.05,0.18,0.27,0.23
29.0,89.0,0.19,0.29,0.1,0.05,0.19,0.28,0.19
30.0,90.0,0.19,0.29,0.1,0.05,0.19,0.28,0.19
31.0,91.0,0.2,0.3,0.1,0.05,0.2,0.29,0.2
32.0,92.0,0.2,0.3,0.1,0.05,0.2,0.29,0.2
33.0,93.0,0.2,0.3,0.1,0.05,0.2,0.29,0.2
34.0,94.0,0.21,0.32,0.11,0.05,0.21,0.3,0.21
35.0,95.0,0.21,0.32,0.11,0.05,0.21,0.3,0.21
36.0,96.0,0.22,0.33,0.11,0.06,0.22,0.31,0.22
37.0,97.0,0.22,0.33,0.11,0.06,0.22,0.31,0.22
38.0,98.0,0.22,0.33,0.11,0.06,0.22,0.31,0.22
39.0,99.0,0.22,0.33,0.11,0.06,0.22,0.31,0.22
40.0,100.0,0.22,0.33,0.11,0.06,0.22,0.31,0.22
41.0,101.0,0.22,0.33,0.11,0.06,0.22,0.31,0.22
42.0,102.0,0.22,0.33,0.11,0.06,0.22,0.31,0.17
43.0,103.0,0.22,0.33,0.11,0.06,0.22,0.31,0.17
44.0,104.0,0.22,0.33,0.11,0.06,0.22,0.31,0.17
45.0,105.0,0.24,0.35,0.12,0.06,0.24,0.32,0.18
46.0,106.0,0.24,0.35,0.12,0.06,0.24,0.32,0.18
47.0,107.0,0.24,0.35,0.18,0.12,0.24,0.32,0.18
48.0,108.0,0.24,0.35,0.18,0.12,0.24,0.32,0.18
49.0,109.0,0.24,0.35,0.18,0.12,0.24,0.32,0.18
50.0,110.0,0.24,0.35,0.18,0.12,0.24,0.32,0.18
51.0,111.0,0.22,0.33,0.22,0.17,0.22,0.31,0.22
52.0,112.0,0.22,0.33,0.22,0.17,0.22,0.31,0.22
53.0,113.0,0.24,0.35,0.24,0.18,0.24,0.32,0.24
54.0,114.0,0.24,0.35,0.24,0.18,0.24,0.32,0.24
55.0,115.0,0.24,0.35,0.24,0.18,0.24,0.32,0.24
56.0,116.0,0.22,0.33,0.22,0.17,0.22,0.31,0.22
57.0,117.0,0.22,0.33,0.22,0.17,0.22,0.31,0.22
58.0,118.0,0.21,0.32,0.26,0.21,0.21,0.3,0.21
59.0,119.0,0.2,0.3,0.25,0.2,0.2,0.29,0.2
60.0,120.0,0.2,0.3,0.25,0.2,0.2,0.29,0.2
61.0,121.0,0.2,0.3,0.25,0.2,0.2,0.29,0.2
62.0,122.0,0.21,0.32,0.26,0.21,0.21,0.3,0.16
63.0,123.0,0.21,0.32,0.26,0.21,0.21,0.3,0.16
64.0,124.0,0.22,0.33,0.22,0.22,0.22,0.31,0.11
65.0,125.0,0.22,0.33,0.22,0.22,0.22,0.31,0.11
66.0,126.0,0.17,0.33,0.22,0.22,0.22,0.31,0.17
67.0,127.0,0.17,0.33,0.22,0.22,0.22,0.31,0.17
68.0,128.0,0.12,0.35,0.24,0.24,0.24,0.32,0.18
69.0,129.0,0.12,0.38,0.25,0.25,0.25,0.33,0.19
70.0,130.0,0.12,0.38,0.25,0.25,0.25,0.33,0.19
71.0,131.0,0.12,0.38,0.25,0.25,0.25,0.33,0.19
72.0,132.0,0.13,0.33,0.27,0.27,0.27,0.35,0.2
73.0,133.0,0.13,0.33,0.27,0.27,0.27,0.35,0.2
74.0,134.0,0.13,0.33,0.27,0.27,0.27,0.35,0.2
