window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,30.0,0.5,0.0,0.5,0.25,0.0,0.67,0.75
1.0,31.0,0.5,0.0,0.5,0.25,0.0,0.67,0.75
2.0,32.0,0.5,0.0,0.5,0.25,0.0,0.67,0.75
3.0,33.0,0.4,0.4,0.4,0.2,0.0,0.62,0.8
4.0,34.0,0.4,0.4,0.4,0.2,0.0,0.62,0.8
5.0,35.0,0.4,0.4,0.4,0.2,0.0,0.62,0.8
6.0,36.0,0.33,0.33,0.5,0.17,0.0,0.57,0.67
7.0,37.0,0.33,0.33,0.5,0.17,0.0,0.57,0.67
8.0,38.0,0.29,0.29,0.43,0.14,0.0,0.53,0.57
9.0,39.0,0.29,0.29,0.43,0.14,0.0,0.53,0.57
10.0,40.0,0.25,0.25,0.5,0.25,0.0,0.5,0.5
11.0,41.0,0.25,0.25,0.5,0.25,0.0,0.5,0.5
12.0,42.0,0.22,0.22,0.56,0.22,0.11,0.47,0.44
13.0,43.0,0.2,0.2,0.6,0.3,0.2,0.44,0.5
14.0,44.0,0.2,0.2,0.6,0.3,0.2,0.44,0.5
15.0,45.0,0.22,0.22,0.56,0.33,0.22,0.47,0.44
16.0,46.0,0.22,0.22,0.56,0.33,0.22,0.47,0.44
17.0,47.0,0.2,0.2,0.6,0.3,0.3,0.44,0.4
18.0,48.0,0.18,0.18,0.64,0.36,0.36,0.42,0.36
19.0,49.0,0.18,0.18,0.64,0.36,0.36,0.42,0.36
20.0,50.0,0.17,0.17,0.58,0.33,0.42,0.4,0.42
21.0,51.0,0.17,0.17,0.58,0.33,0.42,0.4,0.42
22.0,52.0,0.17,0.17,0.58,0.33,0.42,0.4,0.42
23.0,53.0,0.17,0.17,0.58,0.33,0.42,0.4,0.42
24.0,54.0,0.18,0.18,0.64,0.36,0.45,0.42,0.36
25.0,55.0,0.17,0.17,0.58,0.33,0.42,0.4,0.33
26.0,56.0,0.17,0.17,0.58,0.33,0.42,0.4,0.33
27.0,57.0,0.15,0.15,0.54,0.31,0.38,0.38,0.31
28.0,58.0,0.17,0.17,0.5,0.25,0.42,0.4,0.33
29.0,59.0,0.17,0.17,0.5,0.25,0.42,0.4,0.33
30.0,60.0,0.17,0.0,0.5,0.25,0.42,0.4,0.33
31.0,61.0,0.17,0.0,0.5,0.25,0.42,0.4,0.33
32.0,62.0,0.15,0.0,0.54,0.23,0.38,0.38,0.31
33.0,63.0,0.17,0.0,0.5,0.25,0.42,0.4,0.25
34.0,64.0,0.17,0.0,0.5,0.25,0.42,0.4,0.25
35.0,65.0,0.15,0.15,0.46,0.23,0.38,0.38,0.23
36.0,66.0,0.17,0.17,0.5,0.25,0.42,0.4,0.25
37.0,67.0,0.15,0.15,0.54,0.31,0.38,0.38,0.31
38.0,68.0,0.17,0.17,0.5,0.25,0.42,0.4,0.33
39.0,69.0,0.15,0.15,0.46,0.23,0.38,0.38,0.31
40.0,70.0,0.17,0.17,0.42,0.25,0.42,0.4,0.33
41.0,71.0,0.15,0.15,0.38,0.23,0.38,0.38,0.31
42.0,72.0,0.17,0.17,0.33,0.17,0.33,0.4,0.33
43.0,73.0,0.18,0.18,0.27,0.18,0.27,0.42,0.27
44.0,74.0,0.18,0.18,0.27,0.18,0.27,0.42,0.27
45.0,75.0,0.18,0.18,0.27,0.18,0.27,0.42,0.27
46.0,76.0,0.18,0.18,0.27,0.18,0.27,0.42,0.27
47.0,77.0,0.2,0.2,0.2,0.1,0.2,0.44,0.3
48.0,78.0,0.0,0.22,0.22,0.11,0.11,0.47,0.33
49.0,79.0,0.2,0.2,0.2,0.1,0.1,0.44,0.4
50.0,80.0,0.22,0.22,0.22,0.11,0.11,0.47,0.33
51.0,81.0,0.22,0.22,0.22,0.11,0.11,0.47,0.33
52.0,82.0,0.22,0.22,0.22,0.11,0.11,0.47,0.33
53.0,83.0,0.22,0.22,0.22,0.11,0.11,0.47,0.33
54.0,84.0,0.22,0.22,0.22,0.11,0.11,0.47,0.33
55.0,85.0,0.25,0.25,0.25,0.12,0.12,0.5,0.38
56.0,86.0,0.22,0.22,0.22,0.11,0.11,0.47,0.44
57.0,87.0,0.25,0.25,0.25,0.12,0.12,0.5,0.5
58.0,88.0,0.25,0.25,0.25,0.12,0.12,0.5,0.5
59.0,89.0,0.25,0.25,0.25,0.12,0.12,0.5,0.5
60.0,90.0,0.29,0.29,0.14,0.14,0.14,0.53,0.43
