max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.0,0.0,0.36,0.29,0.47
0.0,0.0,0.31,0.23,0.5
0.0,0.0,0.31,0.23,0.5
0.0,0.0,0.36,0.21,0.47
0.0,0.12,0.33,0.2,0.44
0.0,0.12,0.33,0.2,0.44
0.0,0.12,0.33,0.2,0.44
0.0,0.13,0.29,0.14,0.47
0.0,0.12,0.33,0.2,0.44
0.0,0.13,0.36,0.21,0.47
0.0,0.12,0.33,0.2,0.44
0.0,0.13,0.36,0.21,0.47
0.0,0.13,0.36,0.21,0.47
0.0,0.13,0.36,0.21,0.47
0.0,0.13,0.36,0.21,0.47
0.0,0.13,0.36,0.21,0.47
0.0,0.13,0.36,0.21,0.47
0.0,0.14,0.38,0.23,0.5
0.0,0.13,0.36,0.21,0.53
0.0,0.14,0.31,0.23,0.57
0.0,0.21,0.31,0.23,0.64
0.0,0.23,0.33,0.25,0.69
0.0,0.21,0.38,0.31,0.71
0.0,0.23,0.42,0.33,0.77
0.0,0.23,0.42,0.33,0.77
0.0,0.25,0.45,0.36,0.83
0.0,0.25,0.45,0.36,0.83
0.0,0.25,0.36,0.27,0.83
0.0,0.23,0.42,0.25,0.77
0.0,0.25,0.36,0.27,0.83
0.0,0.25,0.36,0.27,0.83
0.0,0.25,0.36,0.27,0.83
0.0,0.25,0.36,0.27,0.83
0.0,0.27,0.4,0.3,0.82
0.0,0.27,0.4,0.3,0.73
0.0,0.27,0.4,0.3,0.73
0.0,0.27,0.4,0.2,0.64
0.0,0.27,0.4,0.2,0.64
0.0,0.3,0.44,0.22,0.6
0.0,0.27,0.4,0.2,0.55
0.0,0.3,0.44,0.22,0.5
0.18,0.27,0.4,0.2,0.45
0.18,0.27,0.4,0.2,0.45
0.17,0.25,0.45,0.27,0.42
0.18,0.27,0.4,0.2,0.36
