window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.5,0.0,0.17,0.06,0.17,0.31,0.28
1.0,61.0,0.47,0.0,0.16,0.05,0.21,0.3,0.26
2.0,62.0,0.47,0.0,0.16,0.05,0.21,0.3,0.26
3.0,63.0,0.45,0.0,0.2,0.05,0.25,0.29,0.3
4.0,64.0,0.45,0.0,0.2,0.05,0.25,0.29,0.3
5.0,65.0,0.43,0.0,0.24,0.05,0.29,0.28,0.33
6.0,66.0,0.43,0.0,0.24,0.05,0.29,0.28,0.33
7.0,67.0,0.41,0.0,0.23,0.05,0.32,0.27,0.32
8.0,68.0,0.41,0.0,0.23,0.05,0.32,0.27,0.32
9.0,69.0,0.39,0.09,0.22,0.04,0.35,0.26,0.3
10.0,70.0,0.39,0.09,0.22,0.04,0.35,0.26,0.3
11.0,71.0,0.39,0.09,0.22,0.04,0.35,0.26,0.3
12.0,72.0,0.39,0.09,0.22,0.04,0.35,0.26,0.3
13.0,73.0,0.39,0.09,0.22,0.04,0.35,0.26,0.3
14.0,74.0,0.39,0.09,0.22,0.04,0.35,0.26,0.3
15.0,75.0,0.38,0.08,0.21,0.04,0.33,0.25,0.33
16.0,76.0,0.38,0.08,0.21,0.04,0.33,0.25,0.33
17.0,77.0,0.38,0.08,0.21,0.04,0.33,0.25,0.33
18.0,78.0,0.39,0.09,0.17,0.04,0.35,0.26,0.3
19.0,79.0,0.39,0.09,0.17,0.04,0.35,0.26,0.3
20.0,80.0,0.38,0.08,0.17,0.04,0.33,0.25,0.33
21.0,81.0,0.38,0.08,0.17,0.04,0.33,0.25,0.33
22.0,82.0,0.38,0.08,0.17,0.04,0.33,0.25,0.33
23.0,83.0,0.35,0.09,0.17,0.04,0.35,0.26,0.3
24.0,84.0,0.35,0.09,0.17,0.04,0.35,0.26,0.3
25.0,85.0,0.33,0.12,0.17,0.04,0.33,0.25,0.33
26.0,86.0,0.3,0.13,0.17,0.04,0.35,0.26,0.3
27.0,87.0,0.29,0.17,0.17,0.04,0.33,0.25,0.29
28.0,88.0,0.26,0.17,0.17,0.04,0.35,0.26,0.3
29.0,89.0,0.22,0.17,0.17,0.04,0.35,0.26,0.3
30.0,90.0,0.22,0.17,0.17,0.04,0.35,0.26,0.3
31.0,91.0,0.21,0.17,0.17,0.04,0.33,0.25,0.29
32.0,92.0,0.17,0.17,0.17,0.04,0.35,0.26,0.3
33.0,93.0,0.17,0.17,0.17,0.04,0.35,0.26,0.3
34.0,94.0,0.17,0.17,0.17,0.04,0.35,0.26,0.35
35.0,95.0,0.17,0.17,0.17,0.04,0.35,0.26,0.35
36.0,96.0,0.17,0.17,0.17,0.04,0.35,0.26,0.35
37.0,97.0,0.17,0.17,0.17,0.04,0.33,0.25,0.33
38.0,98.0,0.17,0.17,0.17,0.04,0.35,0.26,0.35
39.0,99.0,0.17,0.17,0.17,0.04,0.35,0.26,0.35
40.0,100.0,0.17,0.17,0.22,0.09,0.35,0.26,0.39
41.0,101.0,0.17,0.17,0.22,0.09,0.35,0.26,0.39
42.0,102.0,0.17,0.17,0.22,0.09,0.35,0.26,0.43
43.0,103.0,0.17,0.17,0.22,0.09,0.35,0.26,0.43
44.0,104.0,0.17,0.17,0.25,0.08,0.33,0.25,0.46
45.0,105.0,0.17,0.17,0.25,0.08,0.33,0.25,0.46
46.0,106.0,0.16,0.16,0.28,0.08,0.32,0.24,0.48
47.0,107.0,0.12,0.16,0.32,0.08,0.36,0.24,0.48
48.0,108.0,0.12,0.16,0.32,0.08,0.36,0.24,0.48
49.0,109.0,0.08,0.17,0.33,0.08,0.38,0.25,0.5
50.0,110.0,0.08,0.17,0.33,0.08,0.42,0.25,0.54
51.0,111.0,0.08,0.16,0.32,0.08,0.44,0.24,0.52
52.0,112.0,0.08,0.17,0.29,0.04,0.46,0.25,0.54
53.0,113.0,0.08,0.16,0.32,0.08,0.48,0.24,0.56
54.0,114.0,0.08,0.17,0.33,0.08,0.5,0.25,0.54
55.0,115.0,0.08,0.16,0.32,0.08,0.52,0.24,0.52
56.0,116.0,0.08,0.16,0.36,0.12,0.56,0.24,0.56
57.0,117.0,0.08,0.16,0.36,0.12,0.56,0.24,0.56
58.0,118.0,0.08,0.16,0.32,0.12,0.6,0.24,0.52
59.0,119.0,0.08,0.16,0.32,0.12,0.6,0.24,0.52
60.0,120.0,0.08,0.16,0.36,0.16,0.64,0.24,0.52
61.0,121.0,0.08,0.17,0.33,0.17,0.67,0.25,0.54
62.0,122.0,0.08,0.16,0.32,0.16,0.68,0.24,0.56
63.0,123.0,0.08,0.17,0.29,0.17,0.71,0.25,0.54
64.0,124.0,0.08,0.16,0.32,0.16,0.72,0.24,0.52
65.0,125.0,0.08,0.17,0.33,0.17,0.75,0.25,0.5
66.0,126.0,0.08,0.16,0.36,0.16,0.72,0.24,0.48
67.0,127.0,0.08,0.17,0.38,0.17,0.75,0.25,0.5
68.0,128.0,0.08,0.17,0.38,0.17,0.75,0.25,0.5
69.0,129.0,0.09,0.17,0.39,0.17,0.78,0.26,0.52
70.0,130.0,0.08,0.17,0.38,0.17,0.75,0.25,0.5
71.0,131.0,0.08,0.17,0.38,0.17,0.75,0.25,0.5
72.0,132.0,0.08,0.16,0.36,0.16,0.72,0.24,0.52
73.0,133.0,0.08,0.16,0.36,0.16,0.72,0.24,0.52
74.0,134.0,0.08,0.16,0.36,0.16,0.72,0.24,0.52
75.0,135.0,0.08,0.12,0.36,0.16,0.72,0.24,0.52
76.0,136.0,0.08,0.12,0.36,0.16,0.72,0.24,0.52
77.0,137.0,0.08,0.12,0.36,0.16,0.72,0.24,0.52
78.0,138.0,0.08,0.12,0.35,0.15,0.69,0.24,0.5
79.0,139.0,0.08,0.12,0.35,0.15,0.69,0.24,0.5
80.0,140.0,0.08,0.08,0.38,0.19,0.69,0.24,0.5
81.0,141.0,0.08,0.08,0.38,0.19,0.69,0.24,0.5
82.0,142.0,0.08,0.08,0.38,0.19,0.69,0.24,0.5
83.0,143.0,0.08,0.08,0.38,0.19,0.69,0.24,0.5
84.0,144.0,0.08,0.08,0.38,0.19,0.69,0.24,0.5
85.0,145.0,0.08,0.08,0.4,0.2,0.72,0.24,0.48
86.0,146.0,0.08,0.08,0.4,0.2,0.72,0.24,0.48
87.0,147.0,0.08,0.08,0.42,0.21,0.75,0.25,0.5
88.0,148.0,0.08,0.08,0.42,0.21,0.75,0.25,0.5
89.0,149.0,0.09,0.09,0.43,0.22,0.74,0.26,0.52
90.0,150.0,0.09,0.09,0.43,0.22,0.74,0.26,0.52
91.0,151.0,0.09,0.09,0.45,0.23,0.73,0.27,0.55
92.0,152.0,0.09,0.09,0.45,0.23,0.73,0.27,0.55
93.0,153.0,0.09,0.09,0.45,0.23,0.73,0.27,0.55
94.0,154.0,0.1,0.1,0.48,0.24,0.71,0.28,0.52
95.0,155.0,0.1,0.1,0.48,0.24,0.71,0.28,0.52
96.0,156.0,0.1,0.1,0.48,0.24,0.71,0.28,0.52
97.0,157.0,0.1,0.1,0.45,0.2,0.7,0.29,0.55
98.0,158.0,0.1,0.1,0.45,0.2,0.7,0.29,0.55
99.0,159.0,0.1,0.1,0.45,0.2,0.7,0.29,0.55
100.0,160.0,0.11,0.11,0.47,0.21,0.68,0.3,0.53
101.0,161.0,0.11,0.11,0.47,0.21,0.68,0.3,0.53
102.0,162.0,0.11,0.11,0.44,0.22,0.67,0.31,0.5
103.0,163.0,0.11,0.11,0.44,0.22,0.67,0.31,0.5
104.0,164.0,0.12,0.12,0.41,0.24,0.65,0.32,0.47
105.0,165.0,0.12,0.12,0.41,0.24,0.65,0.32,0.47
106.0,166.0,0.12,0.12,0.38,0.25,0.62,0.33,0.44
107.0,167.0,0.13,0.13,0.4,0.27,0.6,0.35,0.47
108.0,168.0,0.13,0.13,0.4,0.27,0.6,0.35,0.47
109.0,169.0,0.13,0.13,0.4,0.27,0.6,0.35,0.47
110.0,170.0,0.14,0.14,0.43,0.29,0.57,0.36,0.43
111.0,171.0,0.15,0.15,0.38,0.23,0.54,0.38,0.46
112.0,172.0,0.15,0.15,0.38,0.23,0.54,0.38,0.46
113.0,173.0,0.17,0.0,0.42,0.25,0.5,0.4,0.42
114.0,174.0,0.17,0.0,0.42,0.25,0.5,0.4,0.42
115.0,175.0,0.18,0.0,0.36,0.18,0.45,0.42,0.45
116.0,176.0,0.2,0.0,0.4,0.2,0.4,0.44,0.4
117.0,177.0,0.2,0.0,0.4,0.2,0.4,0.44,0.4
118.0,178.0,0.22,0.0,0.33,0.11,0.33,0.47,0.44
119.0,179.0,0.22,0.0,0.33,0.11,0.33,0.47,0.44
120.0,180.0,0.25,0.0,0.38,0.12,0.38,0.5,0.5
121.0,181.0,0.25,0.0,0.38,0.12,0.38,0.5,0.5
122.0,182.0,0.29,0.0,0.29,0.14,0.43,0.53,0.43
123.0,183.0,0.29,0.0,0.29,0.14,0.43,0.53,0.43
124.0,184.0,0.33,0.0,0.17,0.17,0.5,0.57,0.5
125.0,185.0,0.33,0.0,0.17,0.17,0.5,0.57,0.5
126.0,186.0,0.4,0.0,0.2,0.2,0.6,0.62,0.6
127.0,187.0,0.4,0.0,0.2,0.2,0.6,0.62,0.6
128.0,188.0,0.4,0.0,0.2,0.2,0.6,0.62,0.6
129.0,189.0,0.4,0.0,0.2,0.2,0.6,0.62,0.6
130.0,190.0,0.0,0.0,0.25,0.25,0.75,0.67,0.75
131.0,191.0,0.0,0.0,0.25,0.25,0.75,0.67,0.75
132.0,192.0,0.0,0.0,0.33,0.33,1.0,0.73,0.67
133.0,193.0,0.0,0.0,0.33,0.33,1.0,0.73,0.67
134.0,194.0,0.0,0.0,0.33,0.33,1.0,0.73,0.67
135.0,195.0,0.0,0.0,0.5,0.5,1.0,0.8,0.5
136.0,196.0,0.0,0.0,0.5,0.5,1.0,0.8,0.5
137.0,197.0,0.0,0.0,0.5,0.5,1.0,0.8,0.5
138.0,198.0,0.0,0.0,0.0,0.0,1.0,0.89,1.0
139.0,199.0,0.0,0.0,0.0,0.0,1.0,0.89,1.0
140.0,200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
141.0,201.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
