window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity
0.0,30.0,0.2857,0.0,0.5714,0.0,1.0,0.2333
1.0,31.0,0.2857,0.0,0.5714,0.0,1.0,0.2333
2.0,32.0,0.2857,0.0,0.5714,0.0,1.0,0.2333
3.0,33.0,0.2857,0.0,0.5714,0.0,1.0,0.2333
4.0,34.0,0.2857,0.0,0.5714,0.0,1.0,0.2333
5.0,35.0,0.2857,0.0,0.5714,0.0,1.0,0.2333
6.0,36.0,0.2857,0.0,0.5714,0.0,1.0,0.2333
7.0,37.0,0.25,0.25,0.5,0.0,1.0,0.2667
8.0,38.0,0.2222,0.2222,0.5556,0.0,1.0,0.3
9.0,39.0,0.2222,0.2222,0.5556,0.0,1.0,0.3
10.0,40.0,0.2,0.2,0.5,0.0,1.0,0.3333
11.0,41.0,0.2,0.2,0.5,0.0,1.0,0.3333
12.0,42.0,0.2727,0.1818,0.4545,0.0,1.0,0.3667
13.0,43.0,0.3,0.2,0.5,0.0,1.0,0.3333
14.0,44.0,0.3,0.2,0.5,0.0,1.0,0.3333
15.0,45.0,0.3,0.2,0.5,0.0,1.0,0.3333
16.0,46.0,0.2727,0.1818,0.4545,0.0,1.0,0.3667
17.0,47.0,0.2727,0.1818,0.4545,0.0,1.0,0.3667
18.0,48.0,0.2727,0.1818,0.3636,0.0,1.0,0.3667
19.0,49.0,0.2727,0.1818,0.3636,0.0,1.0,0.3667
20.0,50.0,0.25,0.1667,0.3333,0.0,1.0,0.4
21.0,51.0,0.2727,0.1818,0.2727,0.0,1.0,0.3667
22.0,52.0,0.2727,0.1818,0.2727,0.0,1.0,0.3667
23.0,53.0,0.2727,0.2727,0.1818,0.0,1.0,0.3667
24.0,54.0,0.2727,0.2727,0.2727,0.0909,1.0,0.3667
25.0,55.0,0.2727,0.2727,0.2727,0.0909,1.0,0.3667
26.0,56.0,0.2727,0.2727,0.2727,0.0909,1.0,0.3667
27.0,57.0,0.2727,0.2727,0.2727,0.0909,1.0,0.3667
28.0,58.0,0.2727,0.2727,0.2727,0.0909,1.0,0.3667
29.0,59.0,0.2727,0.2727,0.2727,0.0909,1.0,0.3667
30.0,60.0,0.25,0.25,0.3333,0.1667,1.0,0.4
31.0,61.0,0.25,0.25,0.3333,0.1667,1.0,0.4
32.0,62.0,0.2308,0.2308,0.3077,0.1538,1.0,0.4333
33.0,63.0,0.2308,0.2308,0.3077,0.1538,1.0,0.4333
34.0,64.0,0.2308,0.2308,0.3077,0.1538,1.0,0.4333
35.0,65.0,0.2308,0.2308,0.3077,0.1538,1.0,0.4333
36.0,66.0,0.2143,0.2143,0.2857,0.1429,0.9286,0.4667
37.0,67.0,0.2308,0.2308,0.2308,0.1538,0.9231,0.4333
38.0,68.0,0.1538,0.2308,0.3077,0.2308,0.8462,0.4333
39.0,69.0,0.1538,0.2308,0.3077,0.2308,0.8462,0.4333
40.0,70.0,0.1538,0.2308,0.3077,0.2308,0.7692,0.4333
41.0,71.0,0.1538,0.2308,0.3077,0.2308,0.7692,0.4333
42.0,72.0,0.1667,0.25,0.3333,0.25,0.75,0.4
43.0,73.0,0.1538,0.2308,0.3846,0.3077,0.6923,0.4333
44.0,74.0,0.1538,0.2308,0.3846,0.3077,0.6923,0.4333
45.0,75.0,0.1538,0.2308,0.3846,0.3077,0.6923,0.4333
46.0,76.0,0.0,0.25,0.4167,0.3333,0.6667,0.4
47.0,77.0,0.0,0.25,0.4167,0.3333,0.6667,0.4
48.0,78.0,0.0,0.1818,0.4545,0.3636,0.6364,0.3667
49.0,79.0,0.0,0.1818,0.4545,0.3636,0.6364,0.3667
50.0,80.0,0.0,0.2,0.5,0.4,0.6,0.3333
51.0,81.0,0.0,0.1818,0.4545,0.3636,0.5455,0.3667
52.0,82.0,0.0,0.1818,0.4545,0.3636,0.5455,0.3667
53.0,83.0,0.0,0.2,0.4,0.3,0.5,0.3333
54.0,84.0,0.0,0.2,0.3,0.3,0.4,0.3333
55.0,85.0,0.0,0.2,0.3,0.3,0.4,0.3333
56.0,86.0,0.0,0.2222,0.3333,0.3333,0.3333,0.3
57.0,87.0,0.0,0.2222,0.3333,0.3333,0.3333,0.3
58.0,88.0,0.0,0.25,0.25,0.25,0.25,0.2667
59.0,89.0,0.0,0.25,0.25,0.25,0.25,0.2667
60.0,90.0,0.0,0.2857,0.2857,0.2857,0.1429,0.2333
61.0,91.0,0.0,0.2857,0.2857,0.2857,0.1429,0.2333
62.0,92.0,0.0,0.3333,0.3333,0.3333,0.0,0.2
63.0,93.0,0.0,0.3333,0.3333,0.3333,0.0,0.2
64.0,94.0,0.0,0.2857,0.2857,0.2857,0.0,0.2333
65.0,95.0,0.0,0.2857,0.2857,0.2857,0.0,0.2333
66.0,96.0,0.0,0.2857,0.2857,0.1429,0.0,0.2333
67.0,97.0,0.0,0.2857,0.2857,0.1429,0.0,0.2333
68.0,98.0,0.0,0.0,0.3333,0.1667,0.0,0.2
69.0,99.0,0.0,0.0,0.3333,0.1667,0.0,0.2
70.0,100.0,0.0,0.0,0.2,0.0,0.0,0.1667
71.0,101.0,0.0,0.0,0.2,0.0,0.0,0.1667
72.0,102.0,0.3333,0.0,0.1667,0.0,0.0,0.2
73.0,103.0,0.4,0.0,0.2,0.0,0.0,0.1667
74.0,104.0,0.4,0.0,0.2,0.0,0.0,0.1667
75.0,105.0,0.4,0.0,0.2,0.0,0.0,0.1667
76.0,106.0,0.4,0.0,0.2,0.0,0.0,0.1667
77.0,107.0,0.4,0.0,0.2,0.0,0.0,0.1667
78.0,108.0,0.4,0.0,0.2,0.0,0.0,0.1667
79.0,109.0,0.4,0.0,0.2,0.0,0.0,0.1667
80.0,110.0,0.4,0.0,0.2,0.0,0.0,0.1667
81.0,111.0,0.5,0.0,0.25,0.0,0.0,0.1333
82.0,112.0,0.5,0.0,0.25,0.0,0.0,0.1333
83.0,113.0,0.5,0.0,0.25,0.0,0.0,0.1333
84.0,114.0,0.6667,0.0,0.3333,0.0,0.0,0.1
85.0,115.0,0.6667,0.0,0.3333,0.0,0.0,0.1
86.0,116.0,0.6667,0.0,0.3333,0.0,0.0,0.1
87.0,117.0,0.5,0.0,0.25,0.0,0.0,0.1333
88.0,118.0,0.5,0.0,0.25,0.0,0.0,0.1333
89.0,119.0,0.5,0.0,0.25,0.0,0.0,0.1333
90.0,120.0,0.5,0.0,0.25,0.0,0.0,0.1333
91.0,121.0,0.5,0.0,0.25,0.0,0.0,0.1333
92.0,122.0,0.4,0.0,0.4,0.0,0.0,0.1667
93.0,123.0,0.4,0.0,0.4,0.0,0.0,0.1667
94.0,124.0,0.5,0.0,0.25,0.0,0.0,0.1333
95.0,125.0,0.5,0.0,0.25,0.0,0.0,0.1333
96.0,126.0,0.0,0.0,0.3333,0.0,0.0,0.1
97.0,127.0,0.0,0.0,0.3333,0.0,0.0,0.1
98.0,128.0,0.0,0.0,0.25,0.0,0.25,0.1333
99.0,129.0,0.0,0.0,0.25,0.0,0.25,0.1333
100.0,130.0,0.0,0.0,0.2,0.0,0.4,0.1667
101.0,131.0,0.0,0.0,0.2,0.0,0.4,0.1667
102.0,132.0,0.0,0.0,0.25,0.0,0.5,0.1333
103.0,133.0,0.0,0.0,0.25,0.0,0.5,0.1333
104.0,134.0,0.0,0.0,0.2,0.0,0.6,0.1667
105.0,135.0,0.0,0.0,0.2,0.0,0.6,0.1667
106.0,136.0,0.0,0.0,0.2,0.0,0.6,0.1667
107.0,137.0,0.0,0.0,0.2,0.0,0.6,0.1667
108.0,138.0,0.0,0.0,0.1667,0.0,0.6667,0.2
109.0,139.0,0.0,0.0,0.1667,0.0,0.6667,0.2
110.0,140.0,0.0,0.0,0.1667,0.0,0.6667,0.2
111.0,141.0,0.0,0.0,0.1667,0.0,0.6667,0.2
