window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.0,0.0,0.4,0.0,0.4,0.62,1.0
1.0,61.0,0.0,0.0,0.4,0.0,0.4,0.62,1.0
2.0,62.0,0.0,0.0,0.4,0.0,0.4,0.62,1.0
3.0,63.0,0.0,0.0,0.4,0.0,0.4,0.62,1.0
4.0,64.0,0.0,0.0,0.4,0.0,0.4,0.62,1.0
5.0,65.0,0.0,0.0,0.4,0.0,0.4,0.62,1.0
6.0,66.0,0.0,0.0,0.4,0.0,0.4,0.62,1.0
7.0,67.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
8.0,68.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
9.0,69.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
10.0,70.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
11.0,71.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
12.0,72.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
13.0,73.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
14.0,74.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
15.0,75.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
16.0,76.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
17.0,77.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
18.0,78.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
19.0,79.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
20.0,80.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
21.0,81.0,0.0,0.0,0.5,0.0,0.5,0.57,1.0
22.0,82.0,0.29,0.0,0.43,0.0,0.43,0.53,0.86
23.0,83.0,0.29,0.0,0.43,0.0,0.43,0.53,0.86
24.0,84.0,0.29,0.0,0.43,0.0,0.43,0.53,0.86
25.0,85.0,0.29,0.0,0.43,0.0,0.43,0.53,0.86
26.0,86.0,0.29,0.0,0.43,0.0,0.43,0.53,0.86
27.0,87.0,0.29,0.0,0.43,0.0,0.43,0.53,0.86
28.0,88.0,0.38,0.0,0.38,0.0,0.38,0.5,0.75
29.0,89.0,0.38,0.0,0.38,0.0,0.38,0.5,0.75
30.0,90.0,0.33,0.22,0.33,0.0,0.33,0.47,0.67
31.0,91.0,0.33,0.22,0.33,0.0,0.33,0.47,0.67
32.0,92.0,0.38,0.25,0.25,0.0,0.38,0.5,0.62
33.0,93.0,0.38,0.25,0.25,0.0,0.38,0.5,0.62
34.0,94.0,0.33,0.22,0.33,0.0,0.33,0.47,0.67
35.0,95.0,0.33,0.22,0.33,0.0,0.33,0.47,0.67
36.0,96.0,0.33,0.22,0.33,0.0,0.33,0.47,0.67
37.0,97.0,0.33,0.22,0.33,0.0,0.33,0.47,0.67
38.0,98.0,0.33,0.22,0.33,0.0,0.33,0.47,0.67
39.0,99.0,0.33,0.22,0.33,0.0,0.33,0.47,0.67
40.0,100.0,0.33,0.22,0.33,0.0,0.33,0.47,0.67
41.0,101.0,0.33,0.22,0.33,0.0,0.33,0.47,0.67
42.0,102.0,0.33,0.22,0.33,0.0,0.33,0.47,0.67
43.0,103.0,0.38,0.25,0.38,0.0,0.38,0.5,0.62
44.0,104.0,0.33,0.22,0.33,0.0,0.33,0.47,0.56
45.0,105.0,0.33,0.22,0.33,0.0,0.33,0.47,0.56
46.0,106.0,0.33,0.22,0.33,0.0,0.33,0.47,0.56
47.0,107.0,0.33,0.22,0.33,0.0,0.33,0.47,0.56
48.0,108.0,0.38,0.25,0.38,0.0,0.38,0.5,0.5
