max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.7,0.0,0.11,0.0,0.0
0.67,0.0,0.12,0.0,0.0
0.6,0.0,0.11,0.0,0.0
0.56,0.0,0.12,0.0,0.0
0.5,0.0,0.11,0.0,0.0
0.56,0.0,0.12,0.0,0.0
0.6,0.0,0.11,0.0,0.0
0.67,0.0,0.12,0.0,0.0
0.7,0.0,0.11,0.0,0.0
0.78,0.0,0.12,0.0,0.0
0.78,0.0,0.12,0.0,0.0
0.89,0.0,0.12,0.0,0.0
0.89,0.0,0.12,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.9,0.0,0.11,0.0,0.0
0.9,0.0,0.11,0.0,0.0
0.9,0.0,0.11,0.0,0.0
0.82,0.0,0.1,0.0,0.0
0.82,0.0,0.1,0.0,0.0
0.82,0.0,0.1,0.0,0.0
0.75,0.0,0.09,0.0,0.0
0.75,0.0,0.09,0.0,0.0
0.75,0.0,0.09,0.0,0.0
0.75,0.0,0.09,0.0,0.0
0.67,0.0,0.18,0.09,0.0
0.67,0.0,0.18,0.09,0.0
0.64,0.0,0.2,0.1,0.0
0.58,0.0,0.18,0.09,0.08
0.55,0.0,0.2,0.1,0.09
0.55,0.0,0.2,0.1,0.09
0.5,0.0,0.22,0.11,0.1
0.45,0.0,0.2,0.1,0.18
0.42,0.0,0.18,0.09,0.17
0.36,0.0,0.2,0.1,0.18
0.36,0.0,0.2,0.1,0.18
0.4,0.0,0.22,0.11,0.2
0.4,0.0,0.22,0.11,0.2
0.5,0.0,0.22,0.11,0.2
0.5,0.0,0.22,0.11,0.2
0.45,0.0,0.3,0.2,0.18
0.5,0.0,0.33,0.22,0.2
0.56,0.0,0.25,0.25,0.22
0.5,0.0,0.22,0.22,0.2
0.5,0.0,0.22,0.22,0.2
0.5,0.0,0.33,0.33,0.2
0.5,0.0,0.33,0.33,0.2
0.5,0.0,0.33,0.33,0.2
0.5,0.0,0.33,0.33,0.3
0.5,0.0,0.33,0.33,0.3
0.45,0.0,0.3,0.3,0.36
0.5,0.0,0.22,0.22,0.4
0.45,0.0,0.2,0.2,0.45
0.42,0.0,0.27,0.27,0.5
0.42,0.0,0.27,0.27,0.5
0.33,0.0,0.27,0.27,0.58
0.33,0.0,0.27,0.27,0.58
0.33,0.0,0.27,0.27,0.58
0.27,0.0,0.3,0.3,0.64
0.27,0.0,0.3,0.3,0.64
0.27,0.0,0.3,0.3,0.64
0.27,0.0,0.3,0.3,0.64
0.3,0.0,0.33,0.33,0.7
0.3,0.0,0.33,0.33,0.8
0.27,0.0,0.4,0.4,0.82
0.27,0.0,0.4,0.4,0.82
0.25,0.0,0.36,0.36,0.83
0.23,0.0,0.42,0.42,0.85
0.25,0.0,0.36,0.36,0.92
0.25,0.0,0.36,0.36,0.92
0.25,0.0,0.36,0.36,1.0
0.25,0.0,0.36,0.36,1.0
0.23,0.0,0.42,0.42,1.0
0.23,0.0,0.33,0.33,1.0
0.23,0.0,0.33,0.33,1.0
