window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.0,0.4,0.4,0.0,0.6,0.62,0.8
1.0,61.0,0.0,0.4,0.4,0.0,0.6,0.62,0.8
2.0,62.0,0.0,0.4,0.4,0.0,0.6,0.62,0.8
3.0,63.0,0.0,0.4,0.4,0.0,0.6,0.62,0.8
4.0,64.0,0.0,0.4,0.4,0.0,0.6,0.62,0.8
5.0,65.0,0.0,0.4,0.4,0.0,0.6,0.62,0.8
6.0,66.0,0.0,0.4,0.4,0.0,0.6,0.62,0.8
7.0,67.0,0.0,0.4,0.4,0.0,0.6,0.62,0.8
8.0,68.0,0.0,0.33,0.33,0.0,0.67,0.57,0.67
9.0,69.0,0.0,0.33,0.33,0.0,0.67,0.57,0.67
10.0,70.0,0.0,0.33,0.33,0.0,0.67,0.57,0.67
11.0,71.0,0.29,0.29,0.29,0.0,0.57,0.53,0.71
12.0,72.0,0.29,0.29,0.29,0.0,0.57,0.53,0.71
13.0,73.0,0.29,0.29,0.29,0.0,0.57,0.53,0.71
14.0,74.0,0.29,0.29,0.29,0.0,0.57,0.53,0.71
15.0,75.0,0.29,0.29,0.29,0.0,0.57,0.53,0.71
16.0,76.0,0.29,0.29,0.29,0.0,0.57,0.53,0.71
17.0,77.0,0.29,0.29,0.29,0.0,0.57,0.53,0.71
18.0,78.0,0.29,0.29,0.29,0.0,0.57,0.53,0.71
19.0,79.0,0.29,0.29,0.29,0.0,0.57,0.53,0.71
20.0,80.0,0.29,0.29,0.29,0.0,0.57,0.53,0.71
21.0,81.0,0.29,0.29,0.29,0.0,0.57,0.53,0.71
22.0,82.0,0.29,0.29,0.29,0.0,0.57,0.53,0.71
23.0,83.0,0.29,0.29,0.29,0.0,0.57,0.53,0.71
24.0,84.0,0.25,0.25,0.25,0.0,0.5,0.5,0.75
25.0,85.0,0.29,0.29,0.14,0.0,0.57,0.53,0.71
26.0,86.0,0.29,0.29,0.14,0.0,0.57,0.53,0.71
27.0,87.0,0.29,0.29,0.14,0.0,0.57,0.53,0.71
28.0,88.0,0.25,0.25,0.12,0.0,0.5,0.5,0.62
29.0,89.0,0.25,0.25,0.12,0.0,0.5,0.5,0.62
30.0,90.0,0.25,0.25,0.25,0.12,0.5,0.5,0.5
31.0,91.0,0.25,0.25,0.25,0.12,0.5,0.5,0.5
32.0,92.0,0.25,0.25,0.25,0.12,0.5,0.5,0.5
33.0,93.0,0.25,0.25,0.25,0.12,0.5,0.5,0.5
34.0,94.0,0.22,0.22,0.33,0.11,0.44,0.47,0.56
35.0,95.0,0.22,0.22,0.33,0.11,0.44,0.47,0.56
36.0,96.0,0.22,0.22,0.33,0.11,0.44,0.47,0.56
37.0,97.0,0.22,0.22,0.33,0.11,0.44,0.47,0.56
38.0,98.0,0.25,0.25,0.25,0.12,0.5,0.5,0.5
39.0,99.0,0.25,0.25,0.25,0.12,0.5,0.5,0.5
40.0,100.0,0.25,0.25,0.25,0.12,0.5,0.5,0.5
41.0,101.0,0.25,0.25,0.25,0.12,0.5,0.5,0.5
42.0,102.0,0.25,0.25,0.25,0.12,0.5,0.5,0.5
43.0,103.0,0.25,0.25,0.25,0.12,0.5,0.5,0.5
44.0,104.0,0.25,0.25,0.25,0.12,0.5,0.5,0.5
45.0,105.0,0.22,0.22,0.22,0.11,0.44,0.47,0.56
46.0,106.0,0.22,0.22,0.22,0.11,0.44,0.47,0.56
47.0,107.0,0.22,0.22,0.22,0.11,0.44,0.47,0.56
48.0,108.0,0.22,0.22,0.22,0.11,0.44,0.47,0.56
49.0,109.0,0.22,0.22,0.22,0.11,0.44,0.47,0.56
50.0,110.0,0.2,0.2,0.2,0.1,0.4,0.44,0.6
51.0,111.0,0.22,0.22,0.22,0.11,0.44,0.47,0.56
52.0,112.0,0.22,0.22,0.22,0.11,0.44,0.47,0.56
53.0,113.0,0.22,0.22,0.22,0.11,0.44,0.47,0.56
54.0,114.0,0.22,0.22,0.22,0.11,0.44,0.47,0.56
55.0,115.0,0.22,0.22,0.22,0.11,0.44,0.47,0.56
56.0,116.0,0.25,0.25,0.25,0.12,0.5,0.5,0.62
57.0,117.0,0.25,0.25,0.25,0.12,0.5,0.5,0.62
58.0,118.0,0.25,0.25,0.25,0.12,0.5,0.5,0.62
59.0,119.0,0.25,0.25,0.25,0.12,0.5,0.5,0.62
60.0,120.0,0.22,0.22,0.22,0.11,0.44,0.47,0.67
61.0,121.0,0.22,0.22,0.22,0.11,0.44,0.47,0.67
62.0,122.0,0.22,0.22,0.22,0.11,0.44,0.47,0.67
63.0,123.0,0.22,0.22,0.22,0.11,0.44,0.47,0.67
64.0,124.0,0.22,0.22,0.22,0.11,0.44,0.47,0.67
65.0,125.0,0.22,0.22,0.22,0.11,0.44,0.47,0.67
66.0,126.0,0.22,0.22,0.22,0.11,0.44,0.47,0.67
67.0,127.0,0.2,0.2,0.2,0.1,0.4,0.44,0.6
68.0,128.0,0.22,0.22,0.22,0.11,0.44,0.47,0.67
69.0,129.0,0.22,0.22,0.22,0.11,0.44,0.47,0.67
70.0,130.0,0.22,0.22,0.22,0.11,0.44,0.47,0.67
71.0,131.0,0.25,0.25,0.25,0.12,0.5,0.5,0.62
72.0,132.0,0.22,0.22,0.33,0.11,0.44,0.47,0.67
73.0,133.0,0.22,0.22,0.33,0.11,0.44,0.47,0.67
74.0,134.0,0.22,0.22,0.33,0.11,0.44,0.47,0.67
75.0,135.0,0.22,0.22,0.33,0.11,0.44,0.47,0.67
76.0,136.0,0.2,0.2,0.3,0.1,0.4,0.44,0.6
77.0,137.0,0.2,0.2,0.3,0.1,0.4,0.44,0.6
78.0,138.0,0.2,0.2,0.3,0.1,0.4,0.44,0.6
79.0,139.0,0.2,0.2,0.3,0.1,0.4,0.44,0.6
80.0,140.0,0.2,0.2,0.3,0.1,0.4,0.44,0.6
81.0,141.0,0.2,0.2,0.3,0.1,0.4,0.44,0.6
82.0,142.0,0.2,0.2,0.3,0.1,0.4,0.44,0.6
83.0,143.0,0.2,0.2,0.3,0.1,0.4,0.44,0.6
84.0,144.0,0.22,0.22,0.33,0.11,0.33,0.47,0.56
85.0,145.0,0.22,0.22,0.33,0.11,0.33,0.47,0.56
86.0,146.0,0.2,0.3,0.3,0.1,0.3,0.44,0.5
87.0,147.0,0.2,0.3,0.3,0.1,0.3,0.44,0.5
