window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.38,0.0,0.31,0.08,0.23,0.38,0.38
1.0,61.0,0.38,0.0,0.31,0.08,0.23,0.38,0.38
2.0,62.0,0.38,0.0,0.31,0.08,0.23,0.38,0.38
3.0,63.0,0.36,0.0,0.29,0.07,0.29,0.36,0.36
4.0,64.0,0.36,0.0,0.29,0.07,0.29,0.36,0.36
5.0,65.0,0.33,0.0,0.33,0.13,0.33,0.35,0.4
6.0,66.0,0.33,0.0,0.33,0.13,0.33,0.35,0.4
7.0,67.0,0.33,0.0,0.33,0.13,0.33,0.35,0.4
8.0,68.0,0.31,0.0,0.38,0.12,0.38,0.33,0.44
9.0,69.0,0.31,0.0,0.38,0.12,0.38,0.33,0.44
10.0,70.0,0.29,0.0,0.41,0.12,0.41,0.32,0.47
11.0,71.0,0.29,0.0,0.41,0.12,0.41,0.32,0.47
12.0,72.0,0.28,0.0,0.44,0.11,0.44,0.31,0.5
13.0,73.0,0.28,0.0,0.44,0.11,0.44,0.31,0.5
14.0,74.0,0.26,0.0,0.47,0.11,0.47,0.3,0.53
15.0,75.0,0.26,0.0,0.47,0.11,0.47,0.3,0.53
16.0,76.0,0.21,0.0,0.53,0.16,0.53,0.3,0.53
17.0,77.0,0.21,0.0,0.53,0.16,0.53,0.3,0.53
18.0,78.0,0.21,0.0,0.53,0.16,0.53,0.3,0.53
19.0,79.0,0.16,0.11,0.53,0.16,0.58,0.3,0.58
20.0,80.0,0.15,0.1,0.55,0.2,0.6,0.29,0.55
21.0,81.0,0.11,0.11,0.58,0.21,0.63,0.3,0.58
22.0,82.0,0.1,0.1,0.55,0.2,0.65,0.29,0.55
23.0,83.0,0.1,0.1,0.55,0.2,0.65,0.29,0.55
24.0,84.0,0.1,0.1,0.6,0.2,0.7,0.29,0.55
25.0,85.0,0.1,0.1,0.6,0.2,0.7,0.29,0.55
26.0,86.0,0.1,0.1,0.57,0.19,0.71,0.28,0.57
27.0,87.0,0.1,0.1,0.6,0.2,0.75,0.29,0.6
28.0,88.0,0.1,0.1,0.62,0.24,0.76,0.28,0.62
29.0,89.0,0.1,0.1,0.62,0.24,0.76,0.28,0.62
30.0,90.0,0.1,0.1,0.65,0.25,0.8,0.29,0.65
31.0,91.0,0.1,0.1,0.65,0.25,0.8,0.29,0.65
32.0,92.0,0.1,0.1,0.62,0.24,0.81,0.28,0.62
33.0,93.0,0.1,0.1,0.6,0.25,0.85,0.29,0.6
34.0,94.0,0.1,0.1,0.6,0.25,0.85,0.29,0.6
35.0,95.0,0.1,0.1,0.6,0.25,0.85,0.29,0.55
36.0,96.0,0.11,0.11,0.58,0.26,0.89,0.3,0.53
37.0,97.0,0.11,0.11,0.58,0.26,0.89,0.3,0.53
38.0,98.0,0.11,0.11,0.61,0.28,0.94,0.31,0.56
39.0,99.0,0.11,0.11,0.61,0.28,0.94,0.31,0.56
40.0,100.0,0.11,0.11,0.61,0.28,0.89,0.31,0.56
41.0,101.0,0.11,0.11,0.61,0.28,0.89,0.31,0.56
42.0,102.0,0.11,0.11,0.61,0.28,0.83,0.31,0.56
43.0,103.0,0.11,0.11,0.63,0.32,0.79,0.3,0.53
44.0,104.0,0.11,0.11,0.63,0.32,0.79,0.3,0.53
45.0,105.0,0.1,0.1,0.65,0.3,0.75,0.29,0.55
46.0,106.0,0.1,0.1,0.65,0.3,0.75,0.29,0.55
47.0,107.0,0.1,0.1,0.65,0.3,0.75,0.29,0.55
48.0,108.0,0.1,0.1,0.65,0.3,0.75,0.29,0.55
49.0,109.0,0.1,0.1,0.62,0.29,0.71,0.28,0.52
50.0,110.0,0.1,0.1,0.62,0.29,0.71,0.28,0.52
51.0,111.0,0.1,0.1,0.62,0.29,0.71,0.28,0.52
52.0,112.0,0.09,0.09,0.64,0.27,0.68,0.27,0.55
53.0,113.0,0.09,0.09,0.64,0.27,0.68,0.27,0.55
54.0,114.0,0.09,0.09,0.64,0.27,0.68,0.27,0.55
55.0,115.0,0.09,0.09,0.68,0.32,0.64,0.27,0.55
56.0,116.0,0.09,0.09,0.68,0.32,0.64,0.27,0.55
57.0,117.0,0.09,0.09,0.68,0.32,0.64,0.27,0.55
58.0,118.0,0.09,0.09,0.65,0.3,0.61,0.26,0.57
59.0,119.0,0.09,0.09,0.65,0.3,0.61,0.26,0.57
60.0,120.0,0.09,0.09,0.65,0.3,0.61,0.26,0.57
61.0,121.0,0.08,0.08,0.62,0.29,0.58,0.25,0.54
62.0,122.0,0.08,0.08,0.62,0.29,0.58,0.25,0.54
63.0,123.0,0.08,0.08,0.62,0.29,0.54,0.25,0.58
64.0,124.0,0.08,0.08,0.62,0.29,0.54,0.25,0.58
65.0,125.0,0.08,0.08,0.58,0.29,0.5,0.25,0.58
66.0,126.0,0.08,0.08,0.56,0.28,0.48,0.24,0.56
