max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.0,0.15,0.67,0.42,0.23
0.0,0.17,0.64,0.36,0.25
0.0,0.17,0.64,0.36,0.25
0.0,0.17,0.64,0.36,0.25
0.0,0.18,0.6,0.3,0.27
0.0,0.17,0.55,0.27,0.33
0.0,0.18,0.6,0.3,0.36
0.0,0.25,0.55,0.27,0.42
0.0,0.27,0.5,0.2,0.45
0.0,0.33,0.45,0.18,0.5
0.0,0.36,0.5,0.2,0.55
0.0,0.33,0.45,0.18,0.58
0.0,0.33,0.45,0.18,0.67
0.0,0.36,0.4,0.2,0.73
0.0,0.36,0.4,0.2,0.73
0.0,0.36,0.3,0.2,0.82
0.0,0.4,0.22,0.11,0.9
0.0,0.36,0.2,0.1,0.91
0.0,0.4,0.22,0.11,1.0
0.0,0.4,0.22,0.11,1.0
0.0,0.44,0.12,0.12,1.0
0.0,0.44,0.12,0.12,1.0
0.0,0.5,0.14,0.14,1.0
0.0,0.44,0.12,0.12,1.0
0.0,0.44,0.12,0.12,1.0
0.0,0.44,0.12,0.12,1.0
0.0,0.44,0.12,0.12,1.0
0.0,0.44,0.12,0.12,1.0
0.0,0.44,0.12,0.12,1.0
0.0,0.44,0.12,0.12,1.0
0.0,0.4,0.11,0.11,1.0
0.0,0.4,0.11,0.11,1.0
0.0,0.33,0.12,0.12,1.0
0.0,0.3,0.11,0.11,0.9
0.0,0.27,0.2,0.2,0.82
0.0,0.3,0.22,0.22,0.8
0.0,0.3,0.22,0.22,0.8
0.0,0.3,0.22,0.22,0.7
0.0,0.3,0.22,0.22,0.7
0.0,0.3,0.22,0.22,0.6
0.0,0.3,0.22,0.22,0.6
0.0,0.3,0.22,0.22,0.5
0.0,0.33,0.25,0.25,0.44
0.0,0.33,0.25,0.25,0.44
0.0,0.33,0.25,0.25,0.44
0.0,0.38,0.29,0.29,0.38
0.0,0.33,0.25,0.25,0.33
0.0,0.38,0.29,0.29,0.25
0.0,0.38,0.29,0.29,0.25
0.0,0.38,0.29,0.29,0.25
0.0,0.38,0.29,0.29,0.25
