window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,30.0,0.8,0.0,0.0,0.0,0.0,0.62,0.4
1.0,31.0,0.8,0.0,0.0,0.0,0.0,0.62,0.4
2.0,32.0,0.8,0.0,0.0,0.0,0.0,0.62,0.4
3.0,33.0,0.67,0.0,0.0,0.0,0.17,0.57,0.5
4.0,34.0,0.67,0.0,0.0,0.0,0.17,0.57,0.5
5.0,35.0,0.67,0.0,0.0,0.0,0.17,0.57,0.5
6.0,36.0,0.57,0.0,0.0,0.0,0.29,0.53,0.43
7.0,37.0,0.57,0.0,0.0,0.0,0.29,0.53,0.43
8.0,38.0,0.57,0.0,0.0,0.0,0.29,0.53,0.43
9.0,39.0,0.57,0.0,0.0,0.0,0.29,0.53,0.43
10.0,40.0,0.5,0.0,0.12,0.0,0.38,0.5,0.38
11.0,41.0,0.5,0.0,0.12,0.0,0.38,0.5,0.38
12.0,42.0,0.5,0.0,0.12,0.0,0.38,0.5,0.38
13.0,43.0,0.44,0.0,0.22,0.11,0.44,0.47,0.33
14.0,44.0,0.4,0.0,0.3,0.1,0.5,0.44,0.4
15.0,45.0,0.33,0.0,0.33,0.11,0.56,0.47,0.44
16.0,46.0,0.33,0.0,0.33,0.11,0.56,0.47,0.44
17.0,47.0,0.33,0.0,0.33,0.11,0.56,0.47,0.44
18.0,48.0,0.3,0.0,0.4,0.2,0.6,0.44,0.5
19.0,49.0,0.22,0.0,0.44,0.22,0.67,0.47,0.56
20.0,50.0,0.22,0.0,0.44,0.22,0.67,0.47,0.56
21.0,51.0,0.25,0.0,0.5,0.25,0.75,0.5,0.62
22.0,52.0,0.22,0.0,0.44,0.22,0.78,0.47,0.56
23.0,53.0,0.25,0.0,0.5,0.25,0.88,0.5,0.5
24.0,54.0,0.25,0.0,0.5,0.25,0.88,0.5,0.5
25.0,55.0,0.25,0.0,0.5,0.25,0.88,0.5,0.5
26.0,56.0,0.22,0.0,0.44,0.22,0.89,0.47,0.56
27.0,57.0,0.25,0.0,0.5,0.25,1.0,0.5,0.5
28.0,58.0,0.25,0.0,0.5,0.25,1.0,0.5,0.5
29.0,59.0,0.22,0.0,0.56,0.33,1.0,0.47,0.44
30.0,60.0,0.2,0.0,0.6,0.3,1.0,0.44,0.5
31.0,61.0,0.2,0.0,0.6,0.3,1.0,0.44,0.5
32.0,62.0,0.2,0.0,0.6,0.3,1.0,0.44,0.5
33.0,63.0,0.22,0.0,0.67,0.33,1.0,0.47,0.44
34.0,64.0,0.22,0.0,0.67,0.33,1.0,0.47,0.44
35.0,65.0,0.22,0.0,0.67,0.33,1.0,0.47,0.44
36.0,66.0,0.25,0.0,0.62,0.38,1.0,0.5,0.5
37.0,67.0,0.25,0.0,0.62,0.38,1.0,0.5,0.5
38.0,68.0,0.25,0.0,0.62,0.38,1.0,0.5,0.5
39.0,69.0,0.22,0.0,0.56,0.33,1.0,0.47,0.56
40.0,70.0,0.25,0.0,0.5,0.25,1.0,0.5,0.62
41.0,71.0,0.25,0.0,0.5,0.25,1.0,0.5,0.62
42.0,72.0,0.25,0.0,0.5,0.25,1.0,0.5,0.62
43.0,73.0,0.25,0.0,0.5,0.25,1.0,0.5,0.75
44.0,74.0,0.29,0.0,0.43,0.14,1.0,0.53,0.71
45.0,75.0,0.29,0.0,0.43,0.14,1.0,0.53,0.71
46.0,76.0,0.25,0.0,0.5,0.12,1.0,0.5,0.75
47.0,77.0,0.25,0.0,0.5,0.12,1.0,0.5,0.75
48.0,78.0,0.29,0.0,0.57,0.14,1.0,0.53,0.71
49.0,79.0,0.25,0.0,0.5,0.12,1.0,0.5,0.75
50.0,80.0,0.25,0.0,0.5,0.12,1.0,0.5,0.75
51.0,81.0,0.25,0.0,0.5,0.12,1.0,0.5,0.75
52.0,82.0,0.29,0.0,0.57,0.14,1.0,0.53,0.86
53.0,83.0,0.25,0.0,0.5,0.12,1.0,0.5,0.75
54.0,84.0,0.25,0.0,0.5,0.12,1.0,0.5,0.75
55.0,85.0,0.25,0.0,0.5,0.12,1.0,0.5,0.75
56.0,86.0,0.38,0.0,0.38,0.0,0.88,0.5,0.62
57.0,87.0,0.38,0.0,0.38,0.0,0.88,0.5,0.62
58.0,88.0,0.44,0.0,0.33,0.0,0.78,0.47,0.56
59.0,89.0,0.5,0.0,0.25,0.0,0.75,0.5,0.62
60.0,90.0,0.62,0.0,0.25,0.0,0.62,0.5,0.5
61.0,91.0,0.62,0.0,0.25,0.0,0.62,0.5,0.5
62.0,92.0,0.67,0.0,0.22,0.0,0.56,0.47,0.44
63.0,93.0,0.67,0.0,0.22,0.0,0.56,0.47,0.44
64.0,94.0,0.67,0.0,0.22,0.0,0.56,0.47,0.44
65.0,95.0,0.7,0.0,0.2,0.0,0.5,0.44,0.4
66.0,96.0,0.7,0.0,0.2,0.0,0.5,0.44,0.4
67.0,97.0,0.7,0.0,0.2,0.0,0.5,0.44,0.4
68.0,98.0,0.64,0.0,0.18,0.0,0.45,0.42,0.36
69.0,99.0,0.7,0.0,0.1,0.0,0.4,0.44,0.3
70.0,100.0,0.7,0.0,0.1,0.0,0.4,0.44,0.3
71.0,101.0,0.7,0.0,0.1,0.0,0.4,0.44,0.3
72.0,102.0,0.64,0.18,0.09,0.0,0.36,0.42,0.27
73.0,103.0,0.7,0.2,0.0,0.0,0.3,0.44,0.2
74.0,104.0,0.64,0.27,0.0,0.0,0.27,0.42,0.18
75.0,105.0,0.64,0.27,0.0,0.0,0.27,0.42,0.18
76.0,106.0,0.7,0.3,0.0,0.0,0.3,0.44,0.1
77.0,107.0,0.64,0.36,0.0,0.0,0.36,0.42,0.18
78.0,108.0,0.64,0.36,0.0,0.0,0.36,0.42,0.18
79.0,109.0,0.6,0.4,0.0,0.0,0.4,0.44,0.1
80.0,110.0,0.6,0.4,0.0,0.0,0.4,0.44,0.1
81.0,111.0,0.55,0.36,0.0,0.0,0.45,0.42,0.18
82.0,112.0,0.55,0.36,0.0,0.0,0.45,0.42,0.18
83.0,113.0,0.45,0.36,0.0,0.0,0.55,0.42,0.18
84.0,114.0,0.45,0.36,0.0,0.0,0.55,0.42,0.18
85.0,115.0,0.45,0.36,0.0,0.0,0.55,0.42,0.18
86.0,116.0,0.36,0.36,0.0,0.0,0.64,0.42,0.27
87.0,117.0,0.36,0.36,0.0,0.0,0.64,0.42,0.27
88.0,118.0,0.3,0.4,0.0,0.0,0.7,0.44,0.3
89.0,119.0,0.27,0.36,0.0,0.0,0.73,0.42,0.36
90.0,120.0,0.3,0.4,0.0,0.0,0.8,0.44,0.4
91.0,121.0,0.3,0.4,0.0,0.0,0.8,0.44,0.4
92.0,122.0,0.3,0.4,0.0,0.0,0.8,0.44,0.5
93.0,123.0,0.3,0.4,0.0,0.0,0.8,0.44,0.5
94.0,124.0,0.27,0.36,0.0,0.0,0.73,0.42,0.45
95.0,125.0,0.3,0.4,0.0,0.0,0.8,0.44,0.5
96.0,126.0,0.3,0.4,0.0,0.0,0.8,0.44,0.5
97.0,127.0,0.27,0.36,0.0,0.0,0.73,0.42,0.45
98.0,128.0,0.3,0.3,0.0,0.0,0.7,0.44,0.5
