window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity
0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.1
1.0,31.0,1.0,0.0,0.0,0.0,0.0,0.13
2.0,32.0,1.0,0.0,0.0,0.0,0.0,0.13
3.0,33.0,1.0,0.0,0.0,0.0,0.0,0.13
4.0,34.0,1.0,0.0,0.0,0.0,0.0,0.13
5.0,35.0,1.0,0.0,0.0,0.0,0.0,0.13
6.0,36.0,1.0,0.0,0.0,0.0,0.0,0.17
7.0,37.0,1.0,0.0,0.0,0.0,0.0,0.17
8.0,38.0,1.0,0.0,0.0,0.0,0.0,0.17
9.0,39.0,1.0,0.0,0.0,0.0,0.0,0.17
10.0,40.0,1.0,0.0,0.0,0.0,0.0,0.17
11.0,41.0,1.0,0.0,0.0,0.0,0.0,0.17
12.0,42.0,1.0,0.0,0.0,0.0,0.0,0.2
13.0,43.0,1.0,0.0,0.0,0.0,0.0,0.2
14.0,44.0,1.0,0.0,0.0,0.0,0.0,0.2
15.0,45.0,1.0,0.0,0.0,0.0,0.0,0.23
16.0,46.0,1.0,0.0,0.0,0.0,0.0,0.23
17.0,47.0,1.0,0.0,0.0,0.0,0.0,0.27
18.0,48.0,1.0,0.0,0.0,0.0,0.0,0.27
19.0,49.0,1.0,0.0,0.0,0.0,0.0,0.27
20.0,50.0,1.0,0.0,0.0,0.0,0.0,0.27
21.0,51.0,1.0,0.0,0.0,0.0,0.0,0.27
22.0,52.0,1.0,0.0,0.0,0.0,0.0,0.27
23.0,53.0,1.0,0.0,0.0,0.0,0.0,0.27
24.0,54.0,1.0,0.0,0.0,0.0,0.0,0.23
25.0,55.0,0.88,0.0,0.12,0.12,0.0,0.27
26.0,56.0,0.86,0.0,0.14,0.14,0.0,0.23
27.0,57.0,0.86,0.0,0.14,0.14,0.0,0.23
28.0,58.0,0.75,0.25,0.12,0.12,0.0,0.27
29.0,59.0,0.75,0.25,0.12,0.12,0.0,0.27
30.0,60.0,0.75,0.25,0.12,0.12,0.0,0.27
31.0,61.0,0.71,0.29,0.14,0.14,0.0,0.23
32.0,62.0,0.62,0.38,0.12,0.12,0.0,0.27
33.0,63.0,0.62,0.38,0.12,0.12,0.0,0.27
34.0,64.0,0.56,0.44,0.11,0.11,0.0,0.3
35.0,65.0,0.56,0.44,0.11,0.11,0.0,0.3
