window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.33,0.0,0.0,0.0,0.17,0.57,0.5
1.0,61.0,0.29,0.0,0.14,0.14,0.29,0.53,0.43
2.0,62.0,0.29,0.0,0.14,0.14,0.29,0.53,0.43
3.0,63.0,0.29,0.0,0.14,0.14,0.29,0.53,0.43
4.0,64.0,0.25,0.0,0.12,0.12,0.38,0.5,0.5
5.0,65.0,0.25,0.0,0.12,0.12,0.38,0.5,0.5
6.0,66.0,0.25,0.0,0.12,0.12,0.38,0.5,0.5
7.0,67.0,0.25,0.0,0.12,0.12,0.38,0.5,0.5
8.0,68.0,0.25,0.0,0.12,0.12,0.38,0.5,0.5
9.0,69.0,0.25,0.0,0.12,0.12,0.38,0.5,0.5
10.0,70.0,0.22,0.22,0.11,0.11,0.44,0.47,0.56
11.0,71.0,0.22,0.22,0.11,0.11,0.44,0.47,0.56
12.0,72.0,0.22,0.22,0.11,0.11,0.44,0.47,0.56
13.0,73.0,0.22,0.22,0.11,0.11,0.44,0.47,0.56
14.0,74.0,0.22,0.22,0.11,0.11,0.44,0.47,0.56
15.0,75.0,0.2,0.2,0.1,0.1,0.4,0.44,0.5
16.0,76.0,0.2,0.2,0.1,0.1,0.4,0.44,0.5
17.0,77.0,0.2,0.2,0.1,0.1,0.4,0.44,0.5
18.0,78.0,0.2,0.2,0.1,0.1,0.4,0.44,0.5
19.0,79.0,0.2,0.2,0.1,0.1,0.4,0.44,0.5
20.0,80.0,0.2,0.2,0.1,0.1,0.4,0.44,0.5
21.0,81.0,0.2,0.2,0.1,0.1,0.4,0.44,0.5
22.0,82.0,0.18,0.18,0.09,0.09,0.36,0.42,0.55
23.0,83.0,0.18,0.18,0.09,0.09,0.36,0.42,0.55
24.0,84.0,0.18,0.18,0.09,0.09,0.36,0.42,0.55
25.0,85.0,0.18,0.18,0.09,0.09,0.36,0.42,0.55
26.0,86.0,0.17,0.17,0.08,0.08,0.33,0.4,0.5
27.0,87.0,0.17,0.17,0.08,0.08,0.33,0.4,0.5
28.0,88.0,0.17,0.17,0.08,0.08,0.33,0.4,0.5
29.0,89.0,0.17,0.17,0.08,0.08,0.33,0.4,0.5
30.0,90.0,0.17,0.17,0.08,0.08,0.33,0.4,0.5
31.0,91.0,0.15,0.15,0.15,0.08,0.31,0.38,0.54
32.0,92.0,0.15,0.15,0.15,0.08,0.31,0.38,0.54
33.0,93.0,0.15,0.15,0.15,0.08,0.31,0.38,0.54
34.0,94.0,0.15,0.15,0.15,0.08,0.31,0.38,0.54
35.0,95.0,0.14,0.14,0.21,0.14,0.29,0.36,0.57
36.0,96.0,0.14,0.14,0.21,0.14,0.29,0.36,0.57
37.0,97.0,0.14,0.14,0.21,0.14,0.29,0.36,0.57
38.0,98.0,0.14,0.14,0.21,0.14,0.29,0.36,0.57
39.0,99.0,0.13,0.13,0.2,0.13,0.27,0.35,0.53
40.0,100.0,0.13,0.13,0.2,0.13,0.27,0.35,0.53
41.0,101.0,0.14,0.14,0.21,0.14,0.29,0.36,0.5
42.0,102.0,0.13,0.2,0.2,0.13,0.27,0.35,0.47
43.0,103.0,0.13,0.2,0.2,0.13,0.27,0.35,0.47
44.0,104.0,0.14,0.21,0.21,0.14,0.29,0.36,0.5
45.0,105.0,0.14,0.21,0.21,0.14,0.29,0.36,0.5
46.0,106.0,0.14,0.21,0.21,0.14,0.29,0.36,0.5
47.0,107.0,0.15,0.23,0.23,0.15,0.31,0.38,0.46
48.0,108.0,0.14,0.21,0.21,0.14,0.29,0.36,0.43
49.0,109.0,0.14,0.21,0.21,0.14,0.29,0.36,0.43
50.0,110.0,0.13,0.2,0.2,0.13,0.27,0.35,0.47
51.0,111.0,0.14,0.21,0.21,0.14,0.29,0.36,0.43
52.0,112.0,0.14,0.21,0.21,0.14,0.29,0.36,0.43
53.0,113.0,0.13,0.2,0.27,0.2,0.33,0.35,0.47
54.0,114.0,0.14,0.21,0.29,0.21,0.36,0.36,0.5
55.0,115.0,0.14,0.21,0.29,0.21,0.36,0.36,0.5
56.0,116.0,0.13,0.2,0.27,0.2,0.4,0.35,0.47
57.0,117.0,0.12,0.19,0.31,0.25,0.44,0.33,0.5
58.0,118.0,0.12,0.19,0.31,0.25,0.44,0.33,0.5
59.0,119.0,0.12,0.18,0.29,0.24,0.47,0.32,0.53
60.0,120.0,0.12,0.19,0.25,0.19,0.5,0.33,0.56
61.0,121.0,0.13,0.2,0.27,0.2,0.53,0.35,0.6
62.0,122.0,0.12,0.19,0.25,0.19,0.56,0.33,0.56
63.0,123.0,0.12,0.19,0.25,0.19,0.56,0.33,0.56
64.0,124.0,0.12,0.19,0.31,0.25,0.62,0.33,0.56
65.0,125.0,0.12,0.19,0.31,0.25,0.62,0.33,0.56
66.0,126.0,0.12,0.19,0.31,0.25,0.62,0.33,0.56
67.0,127.0,0.12,0.19,0.31,0.25,0.62,0.33,0.56
68.0,128.0,0.12,0.18,0.29,0.24,0.65,0.32,0.53
69.0,129.0,0.12,0.18,0.29,0.24,0.65,0.32,0.53
70.0,130.0,0.12,0.19,0.31,0.25,0.69,0.33,0.5
71.0,131.0,0.12,0.19,0.31,0.25,0.69,0.33,0.5
72.0,132.0,0.12,0.18,0.35,0.29,0.71,0.32,0.47
73.0,133.0,0.12,0.18,0.35,0.29,0.71,0.32,0.47
74.0,134.0,0.11,0.17,0.33,0.28,0.72,0.31,0.5
75.0,135.0,0.12,0.18,0.35,0.29,0.76,0.32,0.53
76.0,136.0,0.11,0.17,0.39,0.33,0.78,0.31,0.56
77.0,137.0,0.11,0.17,0.39,0.33,0.78,0.31,0.56
78.0,138.0,0.11,0.17,0.39,0.33,0.78,0.31,0.56
79.0,139.0,0.11,0.17,0.39,0.33,0.78,0.31,0.56
