window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.3,0.5,0.2,0.1,0.6,0.44,0.7
1.0,61.0,0.27,0.45,0.27,0.09,0.55,0.42,0.64
2.0,62.0,0.27,0.45,0.27,0.09,0.55,0.42,0.64
3.0,63.0,0.27,0.45,0.27,0.09,0.55,0.42,0.64
4.0,64.0,0.27,0.45,0.27,0.09,0.55,0.42,0.64
5.0,65.0,0.25,0.42,0.25,0.08,0.5,0.4,0.58
6.0,66.0,0.25,0.42,0.25,0.08,0.5,0.4,0.58
7.0,67.0,0.23,0.38,0.23,0.08,0.46,0.38,0.54
8.0,68.0,0.23,0.38,0.23,0.08,0.46,0.38,0.54
9.0,69.0,0.23,0.38,0.23,0.08,0.46,0.38,0.54
10.0,70.0,0.21,0.36,0.29,0.07,0.43,0.36,0.57
11.0,71.0,0.21,0.36,0.29,0.07,0.43,0.36,0.57
12.0,72.0,0.21,0.36,0.29,0.07,0.43,0.36,0.57
13.0,73.0,0.2,0.33,0.33,0.07,0.4,0.35,0.6
14.0,74.0,0.2,0.33,0.33,0.07,0.4,0.35,0.6
15.0,75.0,0.2,0.33,0.33,0.07,0.4,0.35,0.6
16.0,76.0,0.19,0.31,0.38,0.06,0.38,0.33,0.62
17.0,77.0,0.19,0.31,0.38,0.06,0.38,0.33,0.62
18.0,78.0,0.19,0.31,0.38,0.06,0.38,0.33,0.62
19.0,79.0,0.18,0.29,0.35,0.06,0.35,0.32,0.59
20.0,80.0,0.19,0.31,0.38,0.06,0.38,0.33,0.56
21.0,81.0,0.19,0.31,0.31,0.06,0.38,0.33,0.56
22.0,82.0,0.19,0.31,0.31,0.06,0.38,0.33,0.56
23.0,83.0,0.19,0.31,0.31,0.06,0.38,0.33,0.56
24.0,84.0,0.24,0.29,0.29,0.06,0.35,0.32,0.53
25.0,85.0,0.24,0.29,0.29,0.06,0.35,0.32,0.53
26.0,86.0,0.24,0.29,0.29,0.06,0.35,0.32,0.53
27.0,87.0,0.25,0.31,0.31,0.06,0.38,0.33,0.56
28.0,88.0,0.25,0.31,0.31,0.06,0.38,0.33,0.56
29.0,89.0,0.25,0.31,0.31,0.06,0.38,0.33,0.56
30.0,90.0,0.29,0.29,0.29,0.06,0.35,0.32,0.53
31.0,91.0,0.29,0.29,0.29,0.06,0.35,0.32,0.53
32.0,92.0,0.29,0.29,0.29,0.06,0.35,0.32,0.53
33.0,93.0,0.29,0.29,0.29,0.06,0.35,0.32,0.53
