window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.0,0.0,0.5,0.5,0.5,0.67,0.0
1.0,61.0,0.0,0.0,0.6,0.4,0.6,0.62,0.2
2.0,62.0,0.0,0.0,0.6,0.4,0.6,0.62,0.2
3.0,63.0,0.0,0.0,0.6,0.4,0.6,0.62,0.2
4.0,64.0,0.0,0.0,0.6,0.4,0.6,0.62,0.2
5.0,65.0,0.0,0.0,0.5,0.33,0.67,0.57,0.17
6.0,66.0,0.0,0.0,0.57,0.43,0.71,0.53,0.29
7.0,67.0,0.0,0.0,0.57,0.43,0.71,0.53,0.29
8.0,68.0,0.0,0.0,0.57,0.43,0.71,0.53,0.29
9.0,69.0,0.0,0.0,0.57,0.43,0.71,0.53,0.29
10.0,70.0,0.0,0.0,0.57,0.43,0.71,0.53,0.29
11.0,71.0,0.0,0.0,0.5,0.38,0.62,0.5,0.38
12.0,72.0,0.0,0.0,0.5,0.38,0.62,0.5,0.38
13.0,73.0,0.0,0.0,0.5,0.38,0.62,0.5,0.38
14.0,74.0,0.0,0.22,0.44,0.33,0.56,0.47,0.44
15.0,75.0,0.0,0.22,0.44,0.33,0.56,0.47,0.44
16.0,76.0,0.0,0.2,0.5,0.4,0.5,0.44,0.4
17.0,77.0,0.0,0.2,0.5,0.4,0.5,0.44,0.4
18.0,78.0,0.0,0.18,0.55,0.36,0.45,0.42,0.36
19.0,79.0,0.0,0.17,0.58,0.42,0.42,0.4,0.42
20.0,80.0,0.0,0.17,0.58,0.42,0.42,0.4,0.42
21.0,81.0,0.0,0.15,0.54,0.38,0.38,0.38,0.46
22.0,82.0,0.0,0.14,0.57,0.43,0.36,0.36,0.5
23.0,83.0,0.0,0.14,0.57,0.43,0.36,0.36,0.5
24.0,84.0,0.0,0.14,0.57,0.43,0.36,0.36,0.5
25.0,85.0,0.13,0.13,0.53,0.4,0.33,0.35,0.53
26.0,86.0,0.13,0.13,0.53,0.4,0.33,0.35,0.53
