window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.57,0.17
1.0,31.0,1.0,0.0,0.0,0.0,0.0,0.57,0.17
2.0,32.0,1.0,0.0,0.0,0.0,0.0,0.57,0.17
3.0,33.0,1.0,0.0,0.0,0.0,0.0,0.57,0.17
4.0,34.0,1.0,0.0,0.0,0.0,0.0,0.57,0.17
5.0,35.0,1.0,0.0,0.0,0.0,0.0,0.57,0.17
6.0,36.0,0.86,0.0,0.0,0.0,0.0,0.53,0.29
7.0,37.0,0.86,0.0,0.0,0.0,0.0,0.53,0.29
8.0,38.0,0.86,0.0,0.0,0.0,0.0,0.53,0.29
9.0,39.0,0.86,0.0,0.0,0.0,0.0,0.53,0.29
10.0,40.0,0.83,0.0,0.0,0.0,0.0,0.57,0.33
11.0,41.0,0.83,0.0,0.0,0.0,0.0,0.57,0.33
12.0,42.0,0.83,0.0,0.0,0.0,0.0,0.57,0.33
13.0,43.0,0.83,0.0,0.0,0.0,0.0,0.57,0.33
14.0,44.0,0.8,0.0,0.0,0.0,0.0,0.62,0.4
15.0,45.0,0.8,0.0,0.0,0.0,0.0,0.62,0.4
16.0,46.0,0.6,0.0,0.0,0.0,0.2,0.62,0.6
17.0,47.0,0.6,0.0,0.0,0.0,0.2,0.62,0.6
18.0,48.0,0.5,0.0,0.17,0.0,0.33,0.57,0.67
19.0,49.0,0.4,0.0,0.2,0.0,0.4,0.62,0.8
20.0,50.0,0.33,0.0,0.33,0.0,0.5,0.57,0.83
21.0,51.0,0.33,0.0,0.33,0.0,0.5,0.57,0.83
22.0,52.0,0.33,0.0,0.33,0.0,0.5,0.57,0.83
23.0,53.0,0.0,0.0,0.5,0.0,0.67,0.57,0.83
24.0,54.0,0.0,0.0,0.5,0.0,0.67,0.57,0.83
25.0,55.0,0.0,0.0,0.57,0.0,0.71,0.53,0.86
26.0,56.0,0.0,0.0,0.57,0.0,0.71,0.53,0.86
27.0,57.0,0.0,0.0,0.57,0.0,0.71,0.53,0.86
28.0,58.0,0.0,0.0,0.57,0.0,0.71,0.53,0.86
29.0,59.0,0.0,0.0,0.57,0.0,0.71,0.53,0.86
30.0,60.0,0.29,0.0,0.57,0.0,0.86,0.53,0.71
31.0,61.0,0.29,0.0,0.57,0.0,0.86,0.53,0.71
