max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.27,0.13,0.14,0.07,0.53
0.29,0.14,0.15,0.08,0.5
0.27,0.13,0.14,0.07,0.47
0.27,0.2,0.14,0.07,0.4
0.27,0.2,0.14,0.07,0.4
0.27,0.27,0.14,0.07,0.33
0.27,0.27,0.14,0.07,0.33
0.27,0.33,0.14,0.07,0.27
0.29,0.36,0.08,0.0,0.21
0.21,0.36,0.08,0.0,0.14
0.2,0.33,0.07,0.0,0.13
0.21,0.36,0.08,0.0,0.07
0.29,0.36,0.08,0.0,0.07
0.29,0.36,0.08,0.0,0.07
0.29,0.36,0.08,0.0,0.07
0.29,0.36,0.08,0.0,0.07
0.29,0.36,0.08,0.0,0.14
0.29,0.36,0.08,0.0,0.14
0.27,0.33,0.07,0.0,0.2
0.27,0.33,0.14,0.07,0.27
0.27,0.33,0.14,0.07,0.27
0.25,0.31,0.13,0.07,0.31
0.25,0.31,0.13,0.07,0.31
0.27,0.33,0.07,0.07,0.33
0.29,0.36,0.08,0.08,0.36
0.29,0.36,0.08,0.08,0.36
0.29,0.36,0.08,0.08,0.36
0.29,0.36,0.08,0.08,0.36
0.31,0.38,0.08,0.08,0.38
0.31,0.38,0.08,0.08,0.38
0.31,0.31,0.08,0.08,0.38
0.31,0.31,0.08,0.08,0.38
0.33,0.25,0.09,0.09,0.42
0.36,0.18,0.1,0.1,0.45
0.36,0.18,0.1,0.1,0.45
0.36,0.18,0.1,0.1,0.45
0.36,0.18,0.1,0.1,0.45
0.3,0.2,0.11,0.11,0.5
0.27,0.18,0.1,0.1,0.45
0.2,0.2,0.11,0.11,0.5
0.3,0.2,0.11,0.11,0.5
0.3,0.2,0.11,0.11,0.5
0.33,0.22,0.12,0.12,0.56
0.33,0.22,0.12,0.12,0.56
0.38,0.0,0.14,0.14,0.5
0.38,0.0,0.14,0.14,0.5
0.38,0.0,0.14,0.14,0.38
0.33,0.0,0.12,0.12,0.33
0.38,0.0,0.0,0.0,0.25
0.38,0.0,0.0,0.0,0.12
0.38,0.0,0.0,0.0,0.12
0.5,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.11
0.5,0.0,0.11,0.11,0.2
0.45,0.18,0.1,0.1,0.27
0.45,0.18,0.1,0.1,0.27
0.42,0.25,0.09,0.09,0.33
0.38,0.31,0.08,0.08,0.38
0.38,0.31,0.17,0.08,0.46
0.36,0.29,0.15,0.08,0.5
0.36,0.29,0.15,0.08,0.5
0.33,0.27,0.21,0.07,0.53
0.33,0.27,0.21,0.07,0.53
0.33,0.27,0.21,0.07,0.6
0.31,0.25,0.2,0.07,0.62
0.31,0.25,0.2,0.07,0.62
0.31,0.25,0.2,0.07,0.62
0.31,0.25,0.2,0.07,0.62
0.33,0.27,0.21,0.07,0.67
0.33,0.27,0.21,0.07,0.67
0.31,0.25,0.2,0.07,0.62
0.31,0.25,0.2,0.07,0.62
0.29,0.24,0.19,0.06,0.59
0.29,0.24,0.19,0.06,0.59
0.25,0.25,0.2,0.07,0.62
0.25,0.25,0.27,0.13,0.62
0.25,0.25,0.27,0.13,0.62
0.25,0.25,0.33,0.13,0.62
0.25,0.25,0.33,0.13,0.62
0.27,0.27,0.36,0.14,0.67
0.25,0.25,0.33,0.13,0.62
0.24,0.24,0.31,0.12,0.59
0.25,0.25,0.27,0.07,0.56
0.25,0.19,0.27,0.07,0.5
0.27,0.13,0.29,0.07,0.47
0.27,0.13,0.29,0.07,0.47
0.29,0.14,0.31,0.08,0.43
0.31,0.15,0.25,0.08,0.38
0.31,0.15,0.25,0.08,0.31
0.33,0.17,0.18,0.09,0.25
0.33,0.17,0.18,0.09,0.25
0.36,0.18,0.2,0.1,0.27
0.36,0.18,0.2,0.1,0.27
0.4,0.2,0.22,0.11,0.3
0.44,0.22,0.25,0.12,0.33
0.44,0.22,0.25,0.12,0.33
0.5,0.25,0.29,0.14,0.38
0.5,0.25,0.29,0.14,0.38
0.5,0.25,0.29,0.14,0.38
0.5,0.25,0.29,0.14,0.38
0.5,0.25,0.29,0.14,0.25
0.44,0.22,0.25,0.12,0.22
0.5,0.25,0.14,0.0,0.12
0.44,0.22,0.12,0.0,0.11
0.5,0.2,0.11,0.0,0.1
0.56,0.22,0.0,0.0,0.0
0.56,0.22,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.11
0.5,0.0,0.0,0.0,0.1
0.45,0.0,0.0,0.0,0.09
0.5,0.0,0.0,0.0,0.1
0.5,0.0,0.0,0.0,0.2
0.45,0.18,0.0,0.0,0.27
0.5,0.2,0.0,0.0,0.3
0.45,0.18,0.0,0.0,0.27
0.42,0.17,0.09,0.0,0.25
0.42,0.17,0.09,0.0,0.25
0.38,0.15,0.08,0.0,0.23
0.31,0.15,0.08,0.0,0.23
0.31,0.15,0.08,0.0,0.23
0.31,0.15,0.08,0.0,0.23
0.29,0.14,0.15,0.0,0.21
0.27,0.13,0.21,0.07,0.2
0.25,0.12,0.2,0.07,0.19
0.24,0.12,0.25,0.06,0.24
0.24,0.12,0.25,0.06,0.24
0.24,0.12,0.25,0.06,0.24
0.24,0.12,0.25,0.06,0.24
0.24,0.12,0.25,0.06,0.24
0.24,0.12,0.25,0.06,0.24
0.24,0.12,0.31,0.12,0.29
0.25,0.12,0.33,0.13,0.31
0.24,0.12,0.38,0.12,0.35
0.25,0.12,0.4,0.13,0.38
0.25,0.12,0.47,0.13,0.44
0.25,0.12,0.47,0.13,0.44
0.25,0.12,0.47,0.13,0.44
0.2,0.13,0.5,0.14,0.47
0.2,0.13,0.57,0.21,0.53
0.21,0.14,0.62,0.23,0.57
0.21,0.14,0.62,0.23,0.57
0.21,0.14,0.62,0.23,0.64
0.23,0.15,0.67,0.25,0.69
0.21,0.14,0.62,0.23,0.71
0.21,0.14,0.54,0.23,0.79
0.15,0.15,0.58,0.25,0.85
0.14,0.14,0.54,0.23,0.86
0.15,0.15,0.58,0.25,0.92
0.17,0.17,0.55,0.27,1.0
0.17,0.17,0.55,0.27,1.0
0.17,0.17,0.55,0.27,1.0
0.18,0.18,0.5,0.2,1.0
