window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.21,0.5,0.0,0.0,0.21,0.36,0.43
1.0,61.0,0.21,0.5,0.0,0.0,0.21,0.36,0.43
2.0,62.0,0.21,0.5,0.0,0.0,0.21,0.36,0.43
3.0,63.0,0.2,0.47,0.0,0.0,0.27,0.35,0.47
4.0,64.0,0.2,0.47,0.0,0.0,0.27,0.35,0.47
5.0,65.0,0.19,0.44,0.0,0.0,0.31,0.33,0.5
6.0,66.0,0.19,0.44,0.0,0.0,0.31,0.33,0.5
7.0,67.0,0.18,0.41,0.0,0.0,0.35,0.32,0.47
8.0,68.0,0.18,0.41,0.0,0.0,0.35,0.32,0.47
9.0,69.0,0.17,0.39,0.06,0.06,0.39,0.31,0.44
10.0,70.0,0.17,0.39,0.06,0.06,0.39,0.31,0.44
11.0,71.0,0.18,0.35,0.06,0.06,0.41,0.32,0.41
12.0,72.0,0.18,0.35,0.06,0.06,0.41,0.32,0.41
13.0,73.0,0.18,0.35,0.06,0.06,0.41,0.32,0.41
14.0,74.0,0.17,0.33,0.06,0.06,0.39,0.31,0.39
15.0,75.0,0.17,0.33,0.06,0.06,0.39,0.31,0.39
16.0,76.0,0.17,0.33,0.06,0.06,0.39,0.31,0.39
17.0,77.0,0.16,0.32,0.05,0.05,0.37,0.3,0.37
18.0,78.0,0.17,0.28,0.06,0.06,0.39,0.31,0.33
19.0,79.0,0.16,0.26,0.11,0.11,0.37,0.3,0.32
20.0,80.0,0.17,0.22,0.11,0.11,0.39,0.31,0.33
21.0,81.0,0.17,0.22,0.11,0.11,0.39,0.31,0.33
22.0,82.0,0.17,0.22,0.11,0.11,0.39,0.31,0.33
23.0,83.0,0.18,0.24,0.12,0.12,0.41,0.32,0.35
24.0,84.0,0.17,0.22,0.11,0.11,0.39,0.31,0.33
25.0,85.0,0.17,0.22,0.11,0.11,0.39,0.31,0.33
26.0,86.0,0.17,0.22,0.11,0.11,0.39,0.31,0.33
27.0,87.0,0.18,0.24,0.12,0.12,0.41,0.32,0.35
28.0,88.0,0.18,0.24,0.12,0.12,0.41,0.32,0.35
29.0,89.0,0.17,0.22,0.11,0.11,0.39,0.31,0.39
30.0,90.0,0.17,0.22,0.11,0.11,0.39,0.31,0.39
31.0,91.0,0.17,0.22,0.11,0.11,0.39,0.31,0.39
32.0,92.0,0.18,0.24,0.12,0.12,0.41,0.32,0.35
33.0,93.0,0.18,0.24,0.12,0.12,0.41,0.32,0.35
34.0,94.0,0.18,0.24,0.12,0.12,0.41,0.32,0.35
35.0,95.0,0.19,0.25,0.12,0.12,0.44,0.33,0.31
36.0,96.0,0.19,0.25,0.12,0.12,0.44,0.33,0.31
37.0,97.0,0.18,0.24,0.18,0.12,0.41,0.32,0.35
38.0,98.0,0.18,0.24,0.18,0.12,0.41,0.32,0.35
39.0,99.0,0.19,0.25,0.19,0.12,0.44,0.33,0.38
