window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.2,0.0,0.5,0.3,0.7,0.44,0.4
1.0,61.0,0.2,0.0,0.5,0.3,0.7,0.44,0.4
2.0,62.0,0.18,0.0,0.55,0.27,0.64,0.42,0.36
3.0,63.0,0.18,0.0,0.55,0.27,0.64,0.42,0.36
4.0,64.0,0.18,0.0,0.55,0.27,0.64,0.42,0.36
5.0,65.0,0.18,0.0,0.55,0.27,0.64,0.42,0.36
6.0,66.0,0.18,0.0,0.55,0.27,0.64,0.42,0.36
7.0,67.0,0.17,0.17,0.5,0.25,0.58,0.4,0.33
8.0,68.0,0.17,0.17,0.5,0.25,0.58,0.4,0.33
9.0,69.0,0.23,0.15,0.46,0.23,0.54,0.38,0.31
10.0,70.0,0.23,0.15,0.46,0.23,0.54,0.38,0.31
11.0,71.0,0.23,0.15,0.46,0.23,0.54,0.38,0.31
12.0,72.0,0.23,0.15,0.46,0.23,0.54,0.38,0.31
13.0,73.0,0.23,0.15,0.46,0.23,0.54,0.38,0.31
14.0,74.0,0.23,0.15,0.46,0.23,0.54,0.38,0.31
15.0,75.0,0.23,0.15,0.46,0.23,0.54,0.38,0.31
16.0,76.0,0.21,0.14,0.43,0.21,0.5,0.36,0.29
17.0,77.0,0.23,0.15,0.38,0.15,0.46,0.38,0.31
18.0,78.0,0.23,0.15,0.38,0.15,0.46,0.38,0.31
19.0,79.0,0.23,0.15,0.38,0.15,0.46,0.38,0.31
20.0,80.0,0.21,0.14,0.36,0.14,0.43,0.36,0.29
21.0,81.0,0.23,0.15,0.31,0.15,0.38,0.38,0.23
22.0,82.0,0.23,0.15,0.31,0.15,0.38,0.38,0.23
23.0,83.0,0.23,0.15,0.31,0.15,0.38,0.38,0.23
24.0,84.0,0.23,0.15,0.31,0.15,0.38,0.38,0.23
25.0,85.0,0.25,0.17,0.33,0.17,0.33,0.4,0.17
26.0,86.0,0.25,0.17,0.33,0.17,0.33,0.4,0.17
27.0,87.0,0.25,0.17,0.33,0.17,0.33,0.4,0.17
28.0,88.0,0.23,0.15,0.31,0.15,0.31,0.38,0.15
29.0,89.0,0.25,0.17,0.25,0.08,0.25,0.4,0.17
30.0,90.0,0.23,0.15,0.31,0.15,0.23,0.38,0.15
31.0,91.0,0.23,0.15,0.31,0.15,0.23,0.38,0.15
32.0,92.0,0.23,0.15,0.31,0.15,0.23,0.38,0.15
33.0,93.0,0.25,0.17,0.25,0.17,0.25,0.4,0.17
34.0,94.0,0.25,0.17,0.25,0.17,0.25,0.4,0.17
35.0,95.0,0.27,0.18,0.27,0.18,0.27,0.42,0.18
36.0,96.0,0.27,0.18,0.27,0.18,0.27,0.42,0.18
37.0,97.0,0.27,0.18,0.27,0.18,0.27,0.42,0.09
38.0,98.0,0.27,0.18,0.27,0.18,0.27,0.42,0.09
39.0,99.0,0.27,0.18,0.27,0.18,0.27,0.42,0.09
40.0,100.0,0.25,0.17,0.25,0.17,0.25,0.4,0.17
