window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity
0.0,30.0,0.33,0.67,0.2,0.2,0.0,0.31
1.0,31.0,0.43,0.57,0.17,0.17,0.0,0.35
2.0,32.0,0.43,0.57,0.17,0.17,0.0,0.35
3.0,33.0,0.43,0.57,0.17,0.17,0.0,0.35
4.0,34.0,0.43,0.57,0.17,0.17,0.0,0.35
5.0,35.0,0.38,0.5,0.14,0.14,0.0,0.4
6.0,36.0,0.38,0.5,0.14,0.14,0.0,0.4
7.0,37.0,0.38,0.5,0.14,0.14,0.0,0.4
8.0,38.0,0.38,0.5,0.14,0.14,0.0,0.4
9.0,39.0,0.38,0.5,0.14,0.14,0.0,0.4
10.0,40.0,0.33,0.44,0.12,0.12,0.0,0.44
11.0,41.0,0.33,0.44,0.12,0.12,0.0,0.44
12.0,42.0,0.33,0.44,0.12,0.12,0.0,0.44
13.0,43.0,0.38,0.38,0.14,0.14,0.0,0.4
14.0,44.0,0.38,0.38,0.14,0.14,0.0,0.4
15.0,45.0,0.33,0.33,0.12,0.12,0.0,0.48
16.0,46.0,0.38,0.25,0.14,0.14,0.0,0.44
17.0,47.0,0.38,0.25,0.14,0.14,0.0,0.44
18.0,48.0,0.43,0.0,0.17,0.17,0.0,0.4
19.0,49.0,0.43,0.0,0.17,0.17,0.0,0.4
20.0,50.0,0.43,0.0,0.17,0.17,0.0,0.4
21.0,51.0,0.43,0.0,0.17,0.17,0.0,0.4
22.0,52.0,0.5,0.0,0.0,0.0,0.0,0.34
23.0,53.0,0.5,0.0,0.0,0.0,0.0,0.34
24.0,54.0,0.43,0.0,0.0,0.0,0.14,0.38
25.0,55.0,0.33,0.0,0.0,0.0,0.17,0.33
26.0,56.0,0.29,0.0,0.0,0.0,0.29,0.37
27.0,57.0,0.29,0.0,0.0,0.0,0.29,0.37
28.0,58.0,0.38,0.0,0.0,0.0,0.38,0.4
29.0,59.0,0.43,0.0,0.0,0.0,0.43,0.37
30.0,60.0,0.43,0.0,0.0,0.0,0.43,0.37
31.0,61.0,0.5,0.0,0.0,0.0,0.5,0.33
32.0,62.0,0.43,0.0,0.17,0.0,0.57,0.37
33.0,63.0,0.43,0.0,0.17,0.0,0.57,0.37
34.0,64.0,0.38,0.25,0.14,0.0,0.62,0.41
35.0,65.0,0.43,0.29,0.17,0.0,0.71,0.36
36.0,66.0,0.38,0.25,0.14,0.0,0.75,0.4
37.0,67.0,0.33,0.22,0.12,0.0,0.78,0.44
38.0,68.0,0.33,0.22,0.12,0.0,0.78,0.44
39.0,69.0,0.3,0.2,0.11,0.0,0.8,0.47
