max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.36,0.0,0.0,0.0,0.21
0.38,0.0,0.0,0.0,0.23
0.38,0.0,0.0,0.0,0.23
0.42,0.0,0.0,0.0,0.25
0.42,0.0,0.0,0.0,0.25
0.42,0.0,0.09,0.0,0.25
0.42,0.0,0.09,0.0,0.25
0.42,0.0,0.09,0.0,0.25
0.38,0.0,0.17,0.0,0.23
0.38,0.0,0.17,0.0,0.23
0.36,0.0,0.15,0.0,0.21
0.38,0.0,0.17,0.0,0.23
0.38,0.0,0.17,0.0,0.23
0.38,0.0,0.17,0.0,0.23
0.42,0.0,0.18,0.0,0.25
0.42,0.0,0.18,0.0,0.25
0.45,0.0,0.2,0.0,0.27
0.45,0.0,0.2,0.0,0.27
0.4,0.0,0.22,0.0,0.3
0.36,0.0,0.2,0.0,0.27
0.27,0.0,0.3,0.1,0.36
0.27,0.0,0.3,0.1,0.36
0.27,0.0,0.4,0.1,0.36
0.27,0.0,0.4,0.1,0.36
0.3,0.0,0.44,0.11,0.4
0.3,0.0,0.44,0.11,0.4
0.33,0.0,0.5,0.12,0.44
0.33,0.0,0.5,0.12,0.44
0.33,0.0,0.5,0.12,0.44
0.38,0.0,0.43,0.14,0.5
0.33,0.0,0.5,0.12,0.44
0.33,0.0,0.5,0.12,0.44
0.3,0.0,0.44,0.11,0.4
0.3,0.0,0.44,0.11,0.4
0.27,0.0,0.4,0.1,0.36
0.3,0.0,0.44,0.11,0.4
0.27,0.0,0.5,0.2,0.36
0.3,0.0,0.44,0.22,0.4
0.22,0.0,0.5,0.25,0.44
0.2,0.0,0.56,0.22,0.4
0.22,0.0,0.62,0.25,0.33
0.2,0.0,0.67,0.22,0.3
0.2,0.0,0.67,0.22,0.3
0.22,0.0,0.75,0.25,0.22
0.22,0.0,0.75,0.25,0.22
0.22,0.0,0.75,0.25,0.22
0.22,0.0,0.75,0.25,0.22
0.22,0.0,0.75,0.25,0.22
0.2,0.0,0.67,0.22,0.2
0.22,0.0,0.62,0.12,0.11
0.22,0.0,0.62,0.12,0.11
0.22,0.0,0.62,0.12,0.11
0.25,0.0,0.57,0.14,0.12
0.22,0.22,0.5,0.12,0.11
0.22,0.22,0.5,0.12,0.11
0.2,0.2,0.44,0.11,0.1
0.2,0.2,0.44,0.11,0.1
0.2,0.2,0.44,0.11,0.1
0.2,0.2,0.44,0.11,0.1
0.2,0.2,0.44,0.11,0.1
0.22,0.22,0.5,0.12,0.11
0.22,0.22,0.5,0.12,0.11
0.22,0.22,0.5,0.12,0.22
0.22,0.22,0.5,0.12,0.22
0.22,0.22,0.38,0.0,0.33
0.22,0.22,0.38,0.0,0.33
0.22,0.22,0.38,0.0,0.44
0.2,0.2,0.33,0.0,0.5
0.2,0.2,0.33,0.0,0.5
0.22,0.22,0.25,0.0,0.56
0.3,0.2,0.22,0.0,0.5
0.3,0.2,0.33,0.11,0.5
0.3,0.2,0.33,0.11,0.5
0.3,0.2,0.33,0.11,0.5
0.3,0.2,0.33,0.11,0.5
0.3,0.2,0.33,0.11,0.5
0.3,0.2,0.33,0.11,0.5
0.27,0.18,0.3,0.1,0.45
0.3,0.2,0.22,0.11,0.5
0.3,0.2,0.22,0.11,0.5
0.33,0.22,0.25,0.12,0.56
0.3,0.2,0.22,0.11,0.5
0.3,0.2,0.22,0.11,0.5
0.3,0.2,0.22,0.11,0.5
0.3,0.2,0.22,0.11,0.5
0.4,0.0,0.22,0.11,0.4
0.4,0.0,0.22,0.11,0.4
0.4,0.0,0.22,0.11,0.4
0.4,0.0,0.22,0.11,0.4
0.4,0.0,0.22,0.11,0.4
0.4,0.0,0.22,0.11,0.4
0.36,0.0,0.2,0.1,0.36
0.4,0.0,0.22,0.11,0.3
0.4,0.0,0.22,0.11,0.3
0.44,0.0,0.12,0.12,0.22
0.44,0.0,0.12,0.12,0.22
0.5,0.0,0.14,0.14,0.25
0.57,0.0,0.17,0.17,0.29
0.5,0.0,0.14,0.14,0.25
0.5,0.0,0.14,0.14,0.25
0.57,0.0,0.0,0.0,0.29
0.57,0.0,0.0,0.0,0.43
0.57,0.0,0.0,0.0,0.43
0.57,0.0,0.0,0.0,0.43
0.5,0.25,0.0,0.0,0.5
0.5,0.25,0.0,0.0,0.5
0.5,0.25,0.0,0.0,0.5
0.43,0.29,0.0,0.0,0.57
0.38,0.25,0.0,0.0,0.5
0.38,0.25,0.0,0.0,0.5
0.38,0.25,0.0,0.0,0.5
0.29,0.29,0.0,0.0,0.57
0.29,0.29,0.0,0.0,0.57
0.33,0.33,0.0,0.0,0.67
0.33,0.33,0.0,0.0,0.67
0.4,0.4,0.0,0.0,0.8
0.4,0.4,0.0,0.0,0.8
0.33,0.33,0.0,0.0,0.67
0.33,0.33,0.0,0.0,0.67
0.29,0.29,0.17,0.17,0.57
0.29,0.29,0.17,0.17,0.57
0.29,0.29,0.17,0.17,0.43
0.25,0.25,0.29,0.14,0.5
0.22,0.22,0.38,0.25,0.56
0.22,0.22,0.38,0.25,0.56
0.22,0.22,0.38,0.25,0.56
0.22,0.22,0.38,0.25,0.56
0.22,0.22,0.38,0.25,0.56
0.22,0.22,0.38,0.25,0.56
0.22,0.22,0.38,0.25,0.56
0.22,0.22,0.38,0.25,0.56
0.25,0.0,0.43,0.29,0.62
0.25,0.0,0.43,0.29,0.62
0.25,0.0,0.43,0.29,0.62
0.25,0.0,0.43,0.29,0.62
0.25,0.0,0.43,0.29,0.62
0.22,0.0,0.38,0.25,0.56
0.22,0.0,0.38,0.25,0.56
0.25,0.0,0.43,0.29,0.62
0.25,0.0,0.43,0.29,0.62
0.22,0.0,0.38,0.25,0.56
0.22,0.0,0.38,0.25,0.56
0.22,0.0,0.38,0.25,0.56
0.22,0.0,0.38,0.25,0.56
0.22,0.0,0.38,0.25,0.56
0.22,0.0,0.38,0.25,0.56
0.22,0.0,0.38,0.25,0.56
0.25,0.0,0.29,0.14,0.5
0.22,0.0,0.25,0.12,0.44
0.25,0.0,0.29,0.14,0.38
0.22,0.22,0.25,0.12,0.33
0.25,0.25,0.14,0.14,0.38
0.29,0.29,0.0,0.0,0.43
0.33,0.33,0.0,0.0,0.5
0.33,0.33,0.0,0.0,0.5
0.29,0.29,0.0,0.0,0.57
0.29,0.29,0.0,0.0,0.57
0.29,0.29,0.0,0.0,0.57
0.33,0.33,0.0,0.0,0.67
0.29,0.29,0.17,0.17,0.71
0.29,0.29,0.17,0.17,0.71
0.25,0.25,0.14,0.14,0.75
0.25,0.25,0.14,0.14,0.75
0.25,0.25,0.14,0.14,0.75
0.29,0.29,0.17,0.17,0.86
0.29,0.29,0.17,0.17,0.86
0.29,0.29,0.33,0.33,1.0
0.29,0.29,0.33,0.33,1.0
0.29,0.29,0.33,0.33,1.0
0.29,0.29,0.33,0.33,1.0
0.29,0.29,0.33,0.33,1.0
0.29,0.29,0.33,0.33,1.0
