max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.57,0.0,0.5,0.0,0.29
0.57,0.0,0.33,0.0,0.29
0.57,0.0,0.33,0.0,0.29
0.5,0.0,0.43,0.0,0.25
0.5,0.0,0.43,0.0,0.25
0.43,0.0,0.5,0.0,0.29
0.43,0.0,0.5,0.0,0.29
0.43,0.0,0.5,0.0,0.29
0.43,0.0,0.5,0.0,0.29
0.43,0.0,0.5,0.0,0.29
0.33,0.0,0.6,0.0,0.33
0.33,0.0,0.6,0.0,0.33
0.33,0.0,0.6,0.0,0.33
0.33,0.0,0.6,0.0,0.33
0.4,0.0,0.75,0.0,0.4
0.33,0.0,0.6,0.0,0.33
0.33,0.0,0.6,0.0,0.33
0.33,0.0,0.6,0.0,0.33
0.33,0.0,0.6,0.0,0.33
0.33,0.0,0.6,0.0,0.33
0.33,0.0,0.6,0.0,0.33
0.33,0.0,0.6,0.0,0.33
0.33,0.0,0.6,0.0,0.33
0.33,0.0,0.6,0.0,0.33
0.4,0.0,0.5,0.0,0.2
0.33,0.0,0.4,0.0,0.17
0.4,0.0,0.25,0.0,0.0
0.4,0.0,0.25,0.0,0.0
0.5,0.0,0.33,0.0,0.0
0.5,0.0,0.33,0.0,0.0
0.5,0.0,0.33,0.0,0.0
0.67,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.25
0.75,0.0,0.0,0.0,0.25
0.6,0.0,0.25,0.0,0.4
0.6,0.0,0.25,0.0,0.4
0.5,0.0,0.4,0.0,0.5
0.5,0.0,0.4,0.0,0.5
0.5,0.0,0.4,0.0,0.5
0.43,0.29,0.33,0.0,0.57
0.43,0.29,0.33,0.0,0.57
0.38,0.25,0.29,0.0,0.62
0.38,0.25,0.29,0.0,0.62
0.33,0.22,0.38,0.0,0.67
0.33,0.22,0.38,0.0,0.67
0.33,0.22,0.38,0.0,0.67
0.3,0.2,0.44,0.0,0.7
0.27,0.18,0.5,0.0,0.73
0.27,0.18,0.5,0.0,0.73
0.25,0.17,0.55,0.0,0.75
0.25,0.17,0.55,0.0,0.75
0.25,0.17,0.55,0.0,0.75
0.18,0.18,0.6,0.0,0.82
0.18,0.18,0.6,0.0,0.82
0.17,0.17,0.55,0.0,0.75
0.17,0.17,0.55,0.0,0.75
0.18,0.18,0.6,0.0,0.82
0.18,0.18,0.6,0.0,0.82
0.2,0.2,0.67,0.0,0.9
0.2,0.2,0.67,0.0,0.9
0.2,0.2,0.67,0.0,0.9
0.2,0.2,0.67,0.0,0.9
0.22,0.22,0.62,0.0,0.89
0.22,0.22,0.62,0.0,0.89
0.25,0.25,0.57,0.0,0.88
0.25,0.25,0.57,0.0,0.88
0.29,0.0,0.67,0.0,0.86
0.29,0.0,0.67,0.0,0.86
0.29,0.0,0.67,0.0,0.86
0.33,0.0,0.8,0.0,0.83
0.33,0.0,0.8,0.0,0.83
0.4,0.0,0.75,0.0,0.8
0.4,0.0,0.75,0.0,0.8
0.5,0.0,0.67,0.0,0.75
0.5,0.0,0.67,0.0,0.75
0.5,0.0,0.67,0.0,0.75
0.67,0.0,0.5,0.0,0.67
1.0,0.0,0.0,0.0,0.5
0.67,0.0,0.0,0.0,0.33
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.33
0.0,0.0,0.0,0.0,0.33
0.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.67
0.0,0.0,0.0,0.0,0.67
0.0,0.0,0.0,0.0,0.67
0.0,0.0,0.0,0.0,0.67
0.0,0.0,0.0,0.0,0.67
0.0,0.0,0.0,0.0,0.67
0.0,0.0,0.0,0.0,0.67
0.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.5
0.0,0.0,0.25,0.0,0.4
0.0,0.0,0.25,0.0,0.4
0.33,0.0,0.2,0.0,0.33
0.33,0.0,0.2,0.0,0.33
0.33,0.0,0.2,0.0,0.33
0.33,0.0,0.2,0.0,0.33
0.33,0.0,0.2,0.0,0.33
0.43,0.0,0.17,0.0,0.29
0.43,0.0,0.17,0.0,0.29
0.43,0.0,0.17,0.0,0.29
0.43,0.0,0.17,0.0,0.29
0.43,0.0,0.17,0.0,0.29
0.43,0.0,0.17,0.0,0.29
0.43,0.0,0.17,0.0,0.29
0.5,0.0,0.2,0.0,0.33
0.5,0.0,0.2,0.0,0.33
0.5,0.0,0.2,0.0,0.33
0.6,0.0,0.25,0.0,0.2
0.6,0.0,0.25,0.0,0.2
0.75,0.0,0.33,0.0,0.0
0.75,0.0,0.33,0.0,0.0
0.75,0.0,0.33,0.0,0.0
0.75,0.0,0.33,0.0,0.0
0.75,0.0,0.33,0.0,0.0
0.75,0.0,0.33,0.0,0.0
0.75,0.0,0.33,0.0,0.0
0.75,0.0,0.33,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.0,0.0,0.75
0.0,0.5,0.0,0.0,0.75
0.0,0.5,0.0,0.0,0.75
0.0,0.5,0.0,0.0,0.75
0.0,0.5,0.0,0.0,0.75
0.0,0.5,0.0,0.0,0.75
0.0,0.5,0.0,0.0,0.75
0.0,0.5,0.0,0.0,0.75
0.0,0.5,0.0,0.0,0.75
0.0,0.5,0.0,0.0,0.75
0.0,0.5,0.0,0.0,0.75
0.0,0.5,0.0,0.0,0.75
0.0,0.67,0.0,0.0,0.67
0.0,0.67,0.0,0.0,0.67
0.0,0.5,0.0,0.0,0.5
0.0,0.5,0.0,0.0,0.5
0.0,0.5,0.0,0.0,0.5
0.0,0.4,0.0,0.0,0.4
0.0,0.4,0.0,0.0,0.4
0.0,0.33,0.0,0.0,0.5
0.0,0.33,0.0,0.0,0.5
0.0,0.29,0.17,0.0,0.57
0.0,0.29,0.17,0.0,0.57
0.0,0.33,0.2,0.0,0.67
0.0,0.29,0.17,0.0,0.57
0.0,0.33,0.2,0.0,0.67
0.29,0.29,0.17,0.0,0.57
0.29,0.29,0.17,0.0,0.57
0.29,0.29,0.17,0.0,0.57
0.38,0.25,0.14,0.0,0.5
0.43,0.29,0.17,0.0,0.57
0.38,0.25,0.14,0.0,0.5
0.38,0.25,0.14,0.0,0.5
0.33,0.22,0.12,0.0,0.44
0.33,0.22,0.12,0.0,0.44
0.33,0.22,0.12,0.0,0.44
0.33,0.22,0.12,0.0,0.44
0.33,0.22,0.12,0.0,0.44
0.33,0.22,0.12,0.0,0.44
0.33,0.22,0.12,0.0,0.44
0.33,0.22,0.12,0.0,0.44
0.3,0.2,0.11,0.0,0.4
0.3,0.2,0.11,0.0,0.4
0.27,0.18,0.2,0.0,0.36
0.3,0.2,0.22,0.0,0.3
0.3,0.2,0.22,0.0,0.3
0.3,0.2,0.22,0.0,0.3
0.33,0.22,0.25,0.0,0.33
0.33,0.22,0.25,0.0,0.33
0.38,0.25,0.14,0.0,0.38
0.38,0.25,0.14,0.0,0.38
0.43,0.29,0.17,0.0,0.43
0.43,0.29,0.17,0.0,0.43
0.43,0.29,0.17,0.0,0.43
0.33,0.33,0.2,0.0,0.5
0.33,0.33,0.2,0.0,0.5
0.0,0.4,0.25,0.0,0.6
0.0,0.4,0.25,0.0,0.6
0.0,0.4,0.25,0.0,0.6
0.0,0.5,0.33,0.0,0.75
0.4,0.4,0.25,0.0,0.6
0.5,0.5,0.33,0.0,0.5
0.4,0.4,0.25,0.0,0.4
0.5,0.0,0.33,0.0,0.25
0.5,0.0,0.33,0.0,0.25
0.4,0.4,0.25,0.0,0.2
0.4,0.4,0.25,0.0,0.2
0.4,0.4,0.25,0.0,0.2
0.33,0.33,0.4,0.2,0.17
0.33,0.33,0.4,0.2,0.17
0.33,0.33,0.4,0.2,0.17
0.33,0.33,0.2,0.2,0.17
0.33,0.33,0.2,0.2,0.17
0.4,0.4,0.25,0.25,0.2
0.5,0.33,0.2,0.2,0.17
0.5,0.33,0.2,0.2,0.17
0.5,0.33,0.2,0.2,0.17
0.5,0.33,0.2,0.2,0.17
0.5,0.33,0.2,0.2,0.17
0.5,0.33,0.2,0.2,0.17
0.5,0.33,0.2,0.2,0.17
0.57,0.29,0.17,0.17,0.14
0.57,0.29,0.17,0.17,0.14
0.57,0.29,0.17,0.17,0.14
0.57,0.29,0.17,0.17,0.14
0.57,0.29,0.17,0.17,0.14
0.57,0.29,0.17,0.17,0.14
0.57,0.29,0.17,0.17,0.14
0.57,0.29,0.17,0.17,0.14
0.57,0.29,0.17,0.17,0.14
0.67,0.33,0.2,0.2,0.0
0.57,0.29,0.33,0.33,0.0
0.67,0.33,0.4,0.4,0.0
0.57,0.29,0.33,0.33,0.0
0.57,0.29,0.33,0.33,0.0
0.57,0.29,0.17,0.17,0.0
0.57,0.29,0.17,0.17,0.0
0.57,0.29,0.17,0.17,0.0
0.5,0.33,0.2,0.2,0.0
0.57,0.29,0.17,0.17,0.0
0.57,0.29,0.17,0.17,0.0
0.67,0.33,0.2,0.2,0.0
0.67,0.33,0.2,0.2,0.0
0.57,0.29,0.33,0.17,0.0
0.57,0.0,0.5,0.17,0.0
0.57,0.0,0.5,0.17,0.0
0.57,0.0,0.5,0.17,0.0
0.57,0.0,0.5,0.17,0.0
0.57,0.0,0.5,0.17,0.0
0.57,0.0,0.5,0.17,0.0
0.57,0.0,0.5,0.17,0.0
0.67,0.0,0.4,0.0,0.0
0.67,0.0,0.4,0.0,0.0
0.67,0.0,0.4,0.0,0.0
0.67,0.0,0.4,0.0,0.0
0.67,0.0,0.4,0.0,0.0
0.67,0.0,0.4,0.0,0.0
0.67,0.0,0.4,0.0,0.0
0.57,0.0,0.33,0.0,0.0
0.57,0.0,0.33,0.0,0.0
0.5,0.25,0.29,0.0,0.0
0.43,0.29,0.33,0.0,0.0
0.43,0.29,0.33,0.0,0.0
0.33,0.33,0.4,0.0,0.0
0.29,0.43,0.33,0.0,0.0
0.0,0.5,0.4,0.0,0.0
0.0,0.5,0.4,0.0,0.0
0.0,0.5,0.4,0.0,0.0
0.0,0.57,0.33,0.0,0.0
0.0,0.67,0.2,0.0,0.0
0.0,0.71,0.17,0.0,0.0
0.0,0.71,0.17,0.0,0.0
0.0,0.71,0.17,0.0,0.0
0.0,0.71,0.17,0.0,0.0
0.0,0.83,0.2,0.0,0.0
0.0,0.83,0.2,0.0,0.0
0.29,0.71,0.17,0.0,0.0
0.29,0.71,0.17,0.0,0.0
