max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.62,0.25,0.0,0.0,0.25
0.71,0.29,0.0,0.0,0.29
0.62,0.25,0.14,0.14,0.25
0.62,0.25,0.14,0.14,0.25
0.62,0.25,0.14,0.14,0.25
0.62,0.25,0.14,0.14,0.25
0.56,0.22,0.12,0.12,0.22
0.56,0.22,0.12,0.12,0.22
0.56,0.22,0.12,0.12,0.22
0.62,0.25,0.14,0.14,0.25
0.56,0.22,0.25,0.25,0.22
0.56,0.22,0.25,0.25,0.22
0.56,0.22,0.25,0.25,0.22
0.5,0.2,0.22,0.22,0.2
0.5,0.2,0.22,0.22,0.2
0.45,0.18,0.3,0.3,0.18
0.5,0.2,0.33,0.33,0.2
0.5,0.2,0.33,0.33,0.2
0.45,0.18,0.3,0.3,0.18
0.45,0.18,0.3,0.3,0.18
0.36,0.18,0.3,0.3,0.18
0.36,0.18,0.3,0.3,0.18
0.3,0.2,0.33,0.33,0.2
0.27,0.18,0.4,0.4,0.18
0.27,0.18,0.4,0.4,0.18
0.3,0.2,0.44,0.44,0.2
0.3,0.2,0.44,0.44,0.2
0.3,0.2,0.44,0.44,0.2
0.33,0.22,0.5,0.5,0.22
0.3,0.2,0.44,0.44,0.2
0.3,0.2,0.44,0.44,0.2
0.3,0.2,0.44,0.44,0.2
0.3,0.2,0.44,0.44,0.2
0.3,0.2,0.44,0.44,0.2
0.3,0.2,0.44,0.44,0.2
0.3,0.2,0.44,0.44,0.2
0.33,0.22,0.38,0.38,0.22
0.3,0.2,0.44,0.44,0.2
0.3,0.2,0.44,0.44,0.2
0.3,0.2,0.44,0.44,0.2
0.33,0.22,0.5,0.5,0.22
0.33,0.22,0.5,0.5,0.22
0.33,0.22,0.5,0.5,0.22
0.33,0.22,0.38,0.38,0.22
0.33,0.22,0.38,0.38,0.22
0.25,0.0,0.43,0.43,0.25
0.25,0.0,0.43,0.43,0.25
0.25,0.0,0.43,0.43,0.25
0.25,0.0,0.57,0.43,0.25
0.25,0.0,0.57,0.43,0.25
0.25,0.0,0.43,0.29,0.25
0.25,0.0,0.43,0.29,0.25
0.33,0.0,0.38,0.25,0.22
0.38,0.0,0.43,0.29,0.25
0.33,0.0,0.38,0.25,0.22
0.33,0.0,0.38,0.25,0.22
0.3,0.0,0.44,0.33,0.3
0.3,0.0,0.44,0.33,0.3
0.3,0.0,0.44,0.33,0.3
0.33,0.0,0.38,0.25,0.33
0.38,0.0,0.43,0.29,0.38
0.33,0.0,0.38,0.25,0.44
0.38,0.0,0.29,0.14,0.5
0.38,0.0,0.29,0.14,0.5
0.33,0.0,0.38,0.25,0.56
0.33,0.0,0.38,0.25,0.56
0.33,0.0,0.38,0.25,0.56
0.38,0.0,0.43,0.29,0.62
0.38,0.0,0.43,0.29,0.62
0.33,0.0,0.38,0.25,0.67
0.33,0.0,0.38,0.25,0.67
0.3,0.0,0.44,0.33,0.7
0.3,0.0,0.44,0.33,0.7
0.33,0.0,0.38,0.38,0.78
0.33,0.0,0.38,0.38,0.78
0.33,0.0,0.38,0.38,0.78
0.33,0.0,0.38,0.38,0.78
0.33,0.0,0.38,0.38,0.78
0.25,0.0,0.43,0.43,0.88
0.22,0.0,0.38,0.38,0.89
0.25,0.0,0.43,0.43,1.0
0.22,0.0,0.5,0.38,1.0
0.25,0.0,0.57,0.43,1.0
0.25,0.0,0.57,0.43,1.0
0.29,0.0,0.5,0.33,1.0
0.29,0.0,0.5,0.33,1.0
0.33,0.0,0.6,0.4,1.0
0.29,0.0,0.67,0.5,1.0
0.29,0.0,0.67,0.5,1.0
0.29,0.0,0.67,0.5,1.0
0.29,0.0,0.67,0.5,1.0
0.33,0.0,0.6,0.4,1.0
0.29,0.29,0.5,0.33,1.0
0.29,0.29,0.5,0.33,1.0
0.33,0.33,0.6,0.4,1.0
0.33,0.33,0.6,0.4,1.0
0.33,0.33,0.6,0.4,1.0
