window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.0,0.0,0.2,0.2,0.0,0.62,0.2
1.0,61.0,0.0,0.0,0.2,0.2,0.0,0.62,0.2
2.0,62.0,0.0,0.0,0.2,0.2,0.0,0.62,0.2
3.0,63.0,0.0,0.0,0.2,0.2,0.0,0.62,0.2
4.0,64.0,0.0,0.0,0.17,0.17,0.0,0.57,0.33
5.0,65.0,0.0,0.0,0.17,0.17,0.0,0.57,0.33
6.0,66.0,0.0,0.0,0.17,0.17,0.0,0.57,0.33
7.0,67.0,0.0,0.0,0.17,0.17,0.0,0.57,0.33
8.0,68.0,0.0,0.0,0.17,0.17,0.0,0.57,0.33
9.0,69.0,0.0,0.0,0.17,0.17,0.0,0.57,0.33
10.0,70.0,0.0,0.0,0.17,0.17,0.0,0.57,0.33
11.0,71.0,0.0,0.0,0.14,0.14,0.0,0.53,0.43
12.0,72.0,0.0,0.0,0.14,0.14,0.0,0.53,0.43
13.0,73.0,0.0,0.0,0.14,0.14,0.0,0.53,0.43
14.0,74.0,0.0,0.0,0.14,0.14,0.0,0.53,0.43
15.0,75.0,0.0,0.0,0.14,0.14,0.0,0.53,0.43
16.0,76.0,0.0,0.0,0.14,0.14,0.0,0.53,0.43
17.0,77.0,0.0,0.0,0.17,0.17,0.0,0.57,0.33
18.0,78.0,0.0,0.0,0.17,0.17,0.0,0.57,0.33
19.0,79.0,0.0,0.0,0.17,0.17,0.0,0.57,0.33
20.0,80.0,0.0,0.0,0.17,0.17,0.0,0.57,0.33
21.0,81.0,0.0,0.0,0.14,0.14,0.0,0.53,0.29
22.0,82.0,0.0,0.0,0.14,0.14,0.0,0.53,0.29
23.0,83.0,0.0,0.0,0.14,0.14,0.0,0.53,0.29
24.0,84.0,0.0,0.0,0.25,0.12,0.12,0.5,0.38
25.0,85.0,0.0,0.0,0.25,0.12,0.12,0.5,0.38
26.0,86.0,0.0,0.0,0.25,0.12,0.12,0.5,0.38
27.0,87.0,0.0,0.0,0.25,0.12,0.12,0.5,0.38
28.0,88.0,0.0,0.0,0.25,0.12,0.12,0.5,0.38
29.0,89.0,0.0,0.0,0.25,0.12,0.12,0.5,0.38
30.0,90.0,0.0,0.0,0.33,0.22,0.22,0.47,0.44
31.0,91.0,0.0,0.0,0.33,0.22,0.22,0.47,0.44
32.0,92.0,0.0,0.0,0.33,0.22,0.22,0.47,0.44
33.0,93.0,0.0,0.0,0.33,0.22,0.22,0.47,0.44
34.0,94.0,0.0,0.0,0.33,0.22,0.22,0.47,0.44
35.0,95.0,0.0,0.0,0.33,0.22,0.22,0.47,0.44
36.0,96.0,0.0,0.0,0.38,0.25,0.25,0.5,0.5
37.0,97.0,0.0,0.0,0.38,0.25,0.25,0.5,0.5
38.0,98.0,0.0,0.0,0.38,0.25,0.25,0.5,0.5
39.0,99.0,0.0,0.0,0.38,0.25,0.25,0.5,0.5
40.0,100.0,0.0,0.0,0.38,0.25,0.25,0.5,0.5
41.0,101.0,0.0,0.0,0.38,0.25,0.25,0.5,0.5
42.0,102.0,0.0,0.0,0.38,0.25,0.25,0.5,0.5
43.0,103.0,0.0,0.0,0.38,0.25,0.25,0.5,0.5
44.0,104.0,0.0,0.0,0.43,0.29,0.29,0.53,0.57
45.0,105.0,0.0,0.0,0.43,0.29,0.29,0.53,0.57
46.0,106.0,0.0,0.0,0.38,0.25,0.25,0.5,0.62
47.0,107.0,0.0,0.0,0.38,0.25,0.25,0.5,0.62
48.0,108.0,0.0,0.0,0.38,0.25,0.25,0.5,0.62
49.0,109.0,0.0,0.0,0.38,0.25,0.25,0.5,0.62
50.0,110.0,0.0,0.0,0.38,0.25,0.25,0.5,0.62
51.0,111.0,0.0,0.0,0.25,0.12,0.25,0.5,0.75
52.0,112.0,0.0,0.0,0.25,0.12,0.25,0.5,0.75
53.0,113.0,0.0,0.0,0.25,0.12,0.25,0.5,0.75
54.0,114.0,0.0,0.0,0.29,0.14,0.29,0.53,0.86
55.0,115.0,0.0,0.0,0.29,0.14,0.29,0.53,0.86
56.0,116.0,0.0,0.0,0.29,0.14,0.29,0.53,0.86
57.0,117.0,0.0,0.0,0.29,0.14,0.29,0.53,0.86
58.0,118.0,0.0,0.0,0.29,0.14,0.29,0.53,0.86
59.0,119.0,0.0,0.0,0.29,0.14,0.29,0.53,0.86
60.0,120.0,0.0,0.0,0.29,0.14,0.29,0.53,0.86
61.0,121.0,0.0,0.0,0.29,0.14,0.29,0.53,0.86
62.0,122.0,0.0,0.0,0.29,0.14,0.29,0.53,0.86
63.0,123.0,0.0,0.0,0.29,0.14,0.29,0.53,0.86
64.0,124.0,0.0,0.0,0.33,0.17,0.33,0.57,0.83
65.0,125.0,0.0,0.0,0.33,0.17,0.33,0.57,0.83
66.0,126.0,0.0,0.0,0.33,0.17,0.33,0.57,0.83
67.0,127.0,0.0,0.0,0.33,0.17,0.33,0.57,0.83
68.0,128.0,0.0,0.0,0.29,0.14,0.29,0.53,0.86
69.0,129.0,0.0,0.0,0.29,0.14,0.29,0.53,0.86
70.0,130.0,0.0,0.0,0.29,0.14,0.29,0.53,0.86
71.0,131.0,0.29,0.0,0.29,0.14,0.29,0.53,0.71
72.0,132.0,0.29,0.0,0.29,0.14,0.29,0.53,0.71
73.0,133.0,0.38,0.0,0.25,0.12,0.38,0.5,0.62
74.0,134.0,0.38,0.0,0.25,0.12,0.38,0.5,0.62
75.0,135.0,0.44,0.0,0.22,0.11,0.44,0.47,0.56
76.0,136.0,0.44,0.0,0.22,0.11,0.44,0.47,0.56
77.0,137.0,0.44,0.0,0.22,0.11,0.44,0.47,0.56
78.0,138.0,0.44,0.0,0.22,0.11,0.44,0.47,0.56
79.0,139.0,0.44,0.0,0.22,0.11,0.44,0.47,0.56
80.0,140.0,0.44,0.0,0.22,0.11,0.44,0.47,0.56
81.0,141.0,0.5,0.0,0.12,0.12,0.5,0.5,0.62
82.0,142.0,0.5,0.0,0.12,0.12,0.5,0.5,0.62
83.0,143.0,0.5,0.0,0.12,0.12,0.5,0.5,0.62
84.0,144.0,0.5,0.0,0.0,0.0,0.62,0.5,0.62
85.0,145.0,0.5,0.0,0.0,0.0,0.62,0.5,0.62
86.0,146.0,0.5,0.0,0.0,0.0,0.62,0.5,0.62
87.0,147.0,0.5,0.0,0.0,0.0,0.62,0.5,0.62
88.0,148.0,0.5,0.0,0.0,0.0,0.62,0.5,0.62
89.0,149.0,0.5,0.0,0.0,0.0,0.62,0.5,0.62
90.0,150.0,0.57,0.0,0.0,0.0,0.71,0.53,0.57
91.0,151.0,0.57,0.0,0.0,0.0,0.71,0.53,0.57
92.0,152.0,0.57,0.0,0.0,0.0,0.71,0.53,0.57
93.0,153.0,0.5,0.0,0.0,0.0,0.75,0.5,0.62
94.0,154.0,0.5,0.0,0.0,0.0,0.75,0.5,0.62
95.0,155.0,0.5,0.0,0.0,0.0,0.75,0.5,0.62
