max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.0,0.5,0.0,0.0,0.17
0.0,0.33,0.0,0.0,0.33
0.0,0.33,0.0,0.0,0.33
0.0,0.29,0.17,0.17,0.43
0.0,0.29,0.17,0.17,0.43
0.0,0.29,0.17,0.17,0.43
0.0,0.29,0.17,0.17,0.43
0.25,0.25,0.14,0.14,0.5
0.29,0.0,0.17,0.17,0.57
0.25,0.0,0.29,0.29,0.62
0.25,0.0,0.29,0.29,0.62
0.25,0.0,0.29,0.29,0.62
0.25,0.0,0.29,0.29,0.62
0.25,0.0,0.29,0.29,0.62
0.29,0.0,0.33,0.33,0.71
0.29,0.0,0.33,0.33,0.71
0.25,0.0,0.29,0.29,0.62
0.25,0.0,0.29,0.29,0.62
0.25,0.0,0.29,0.29,0.62
0.22,0.0,0.25,0.25,0.56
0.25,0.0,0.29,0.29,0.62
0.22,0.22,0.25,0.25,0.56
0.22,0.22,0.25,0.25,0.56
0.25,0.25,0.29,0.29,0.62
0.25,0.25,0.29,0.29,0.62
0.25,0.25,0.29,0.29,0.62
0.22,0.22,0.25,0.25,0.56
0.22,0.22,0.25,0.25,0.56
0.22,0.22,0.25,0.25,0.56
0.25,0.25,0.29,0.29,0.5
0.22,0.22,0.38,0.38,0.44
0.25,0.25,0.29,0.29,0.38
0.25,0.25,0.29,0.29,0.38
0.29,0.29,0.33,0.33,0.29
0.25,0.25,0.29,0.29,0.25
0.25,0.25,0.29,0.29,0.25
0.25,0.25,0.29,0.29,0.25
0.25,0.25,0.29,0.29,0.25
0.25,0.25,0.29,0.29,0.25
0.0,0.25,0.29,0.29,0.38
0.0,0.25,0.29,0.29,0.38
0.0,0.22,0.38,0.38,0.44
0.0,0.22,0.38,0.38,0.44
0.0,0.2,0.33,0.33,0.5
0.0,0.2,0.33,0.33,0.5
0.0,0.18,0.4,0.4,0.55
0.0,0.2,0.44,0.44,0.6
0.0,0.2,0.44,0.44,0.6
0.0,0.2,0.44,0.44,0.6
0.0,0.22,0.5,0.5,0.67
0.0,0.22,0.5,0.5,0.67
0.0,0.22,0.5,0.5,0.78
0.0,0.2,0.56,0.56,0.8
0.0,0.2,0.56,0.56,0.8
0.0,0.2,0.56,0.56,0.8
0.0,0.2,0.56,0.56,0.8
0.0,0.2,0.44,0.44,0.9
0.0,0.2,0.44,0.44,0.9
0.0,0.2,0.44,0.44,0.9
0.0,0.2,0.44,0.44,0.9
0.2,0.2,0.44,0.44,0.9
0.2,0.2,0.44,0.44,0.9
0.2,0.2,0.44,0.44,0.9
0.2,0.2,0.44,0.44,0.9
0.22,0.22,0.38,0.38,0.89
0.22,0.22,0.38,0.38,0.89
0.3,0.2,0.33,0.33,0.8
0.33,0.0,0.38,0.38,0.78
0.3,0.0,0.44,0.44,0.7
0.33,0.0,0.38,0.38,0.67
0.3,0.0,0.33,0.33,0.6
0.33,0.0,0.38,0.38,0.56
0.33,0.0,0.38,0.38,0.56
0.33,0.0,0.38,0.38,0.44
0.33,0.0,0.38,0.38,0.44
0.33,0.0,0.38,0.38,0.33
0.33,0.0,0.38,0.38,0.33
0.33,0.0,0.38,0.38,0.33
0.3,0.0,0.33,0.33,0.3
0.3,0.0,0.33,0.33,0.3
0.27,0.0,0.4,0.4,0.27
0.3,0.0,0.33,0.33,0.2
0.33,0.0,0.38,0.38,0.11
0.33,0.0,0.38,0.38,0.11
0.3,0.2,0.33,0.33,0.1
0.3,0.2,0.33,0.33,0.1
0.2,0.3,0.33,0.33,0.1
0.2,0.3,0.33,0.33,0.1
0.18,0.27,0.4,0.4,0.18
0.18,0.27,0.4,0.4,0.18
0.2,0.3,0.44,0.44,0.2
0.2,0.3,0.44,0.44,0.2
0.18,0.27,0.5,0.5,0.27
0.18,0.27,0.5,0.5,0.27
0.18,0.27,0.5,0.5,0.27
0.18,0.27,0.5,0.5,0.27
0.2,0.3,0.44,0.44,0.3
0.18,0.27,0.4,0.4,0.36
0.2,0.3,0.44,0.44,0.4
0.2,0.3,0.44,0.44,0.4
0.22,0.33,0.38,0.38,0.44
0.22,0.33,0.38,0.38,0.44
0.2,0.3,0.33,0.33,0.4
0.22,0.33,0.38,0.38,0.44
0.22,0.33,0.38,0.38,0.44
0.0,0.38,0.43,0.43,0.5
0.0,0.38,0.43,0.43,0.5
0.0,0.38,0.43,0.43,0.5
0.0,0.43,0.33,0.33,0.57
0.0,0.38,0.29,0.29,0.5
0.0,0.29,0.33,0.33,0.57
0.0,0.29,0.33,0.33,0.57
