window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity
0.0,30.0,0.0,0.0,0.67,0.33,0.0,0.22
1.0,31.0,0.0,0.0,0.75,0.5,0.0,0.27
2.0,32.0,0.0,0.0,0.75,0.5,0.0,0.27
3.0,33.0,0.33,0.0,0.6,0.4,0.0,0.31
4.0,34.0,0.33,0.0,0.6,0.4,0.0,0.31
5.0,35.0,0.29,0.0,0.67,0.5,0.0,0.35
6.0,36.0,0.29,0.0,0.67,0.5,0.0,0.35
7.0,37.0,0.25,0.0,0.57,0.43,0.0,0.39
8.0,38.0,0.25,0.0,0.57,0.43,0.0,0.39
9.0,39.0,0.33,0.0,0.5,0.38,0.0,0.43
10.0,40.0,0.3,0.0,0.56,0.44,0.0,0.48
11.0,41.0,0.3,0.0,0.56,0.44,0.0,0.48
12.0,42.0,0.3,0.0,0.56,0.44,0.0,0.48
13.0,43.0,0.27,0.0,0.5,0.4,0.09,0.51
14.0,44.0,0.25,0.17,0.45,0.36,0.17,0.54
15.0,45.0,0.25,0.17,0.45,0.36,0.17,0.54
16.0,46.0,0.23,0.15,0.42,0.33,0.23,0.57
17.0,47.0,0.23,0.15,0.42,0.33,0.23,0.57
18.0,48.0,0.21,0.14,0.46,0.38,0.29,0.61
19.0,49.0,0.23,0.15,0.42,0.33,0.31,0.57
20.0,50.0,0.21,0.14,0.38,0.31,0.36,0.6
21.0,51.0,0.21,0.14,0.38,0.38,0.43,0.6
22.0,52.0,0.21,0.14,0.38,0.38,0.43,0.6
23.0,53.0,0.21,0.14,0.38,0.38,0.43,0.6
24.0,54.0,0.23,0.15,0.42,0.42,0.46,0.56
25.0,55.0,0.21,0.14,0.38,0.38,0.43,0.59
26.0,56.0,0.23,0.15,0.33,0.33,0.46,0.55
27.0,57.0,0.23,0.15,0.33,0.33,0.46,0.55
28.0,58.0,0.23,0.15,0.33,0.33,0.46,0.55
29.0,59.0,0.23,0.15,0.33,0.33,0.46,0.55
30.0,60.0,0.23,0.15,0.33,0.33,0.46,0.55
31.0,61.0,0.25,0.17,0.36,0.36,0.5,0.51
32.0,62.0,0.25,0.17,0.36,0.36,0.5,0.51
33.0,63.0,0.27,0.18,0.3,0.3,0.55,0.47
34.0,64.0,0.27,0.18,0.3,0.3,0.55,0.47
35.0,65.0,0.18,0.18,0.3,0.3,0.55,0.47
36.0,66.0,0.18,0.18,0.3,0.3,0.55,0.47
37.0,67.0,0.18,0.18,0.3,0.3,0.55,0.47
38.0,68.0,0.17,0.17,0.27,0.27,0.5,0.5
39.0,69.0,0.18,0.18,0.2,0.2,0.55,0.46
40.0,70.0,0.18,0.18,0.2,0.2,0.55,0.46
41.0,71.0,0.18,0.18,0.2,0.2,0.55,0.46
42.0,72.0,0.17,0.17,0.27,0.27,0.5,0.5
43.0,73.0,0.18,0.18,0.3,0.3,0.45,0.47
44.0,74.0,0.18,0.18,0.3,0.3,0.55,0.47
45.0,75.0,0.17,0.25,0.27,0.27,0.58,0.5
46.0,76.0,0.18,0.27,0.2,0.2,0.64,0.47
47.0,77.0,0.17,0.25,0.18,0.18,0.58,0.51
48.0,78.0,0.18,0.27,0.2,0.2,0.64,0.47
49.0,79.0,0.25,0.25,0.18,0.18,0.58,0.51
50.0,80.0,0.27,0.27,0.1,0.1,0.64,0.48
51.0,81.0,0.36,0.27,0.1,0.1,0.64,0.48
52.0,82.0,0.36,0.27,0.1,0.1,0.64,0.48
53.0,83.0,0.33,0.25,0.18,0.18,0.58,0.52
54.0,84.0,0.31,0.23,0.17,0.17,0.54,0.55
55.0,85.0,0.33,0.25,0.18,0.18,0.58,0.51
56.0,86.0,0.31,0.23,0.17,0.17,0.54,0.55
57.0,87.0,0.31,0.23,0.17,0.17,0.54,0.55
58.0,88.0,0.31,0.23,0.17,0.17,0.54,0.55
59.0,89.0,0.31,0.23,0.17,0.17,0.54,0.55
60.0,90.0,0.31,0.23,0.17,0.17,0.54,0.55
61.0,91.0,0.31,0.23,0.17,0.17,0.54,0.55
62.0,92.0,0.31,0.23,0.17,0.17,0.54,0.55
63.0,93.0,0.29,0.21,0.15,0.15,0.5,0.59
64.0,94.0,0.29,0.21,0.15,0.15,0.5,0.59
65.0,95.0,0.31,0.23,0.17,0.17,0.46,0.56
66.0,96.0,0.31,0.23,0.17,0.17,0.46,0.56
67.0,97.0,0.31,0.23,0.25,0.25,0.38,0.56
68.0,98.0,0.33,0.25,0.27,0.27,0.33,0.53
69.0,99.0,0.31,0.23,0.25,0.25,0.31,0.57
70.0,100.0,0.33,0.25,0.18,0.18,0.33,0.53
71.0,101.0,0.31,0.23,0.17,0.17,0.31,0.56
72.0,102.0,0.33,0.17,0.18,0.18,0.33,0.53
73.0,103.0,0.31,0.15,0.17,0.17,0.31,0.56
74.0,104.0,0.33,0.17,0.18,0.18,0.33,0.53
75.0,105.0,0.25,0.17,0.27,0.27,0.33,0.53
76.0,106.0,0.23,0.15,0.25,0.25,0.31,0.57
77.0,107.0,0.25,0.17,0.27,0.27,0.33,0.53
78.0,108.0,0.23,0.15,0.33,0.33,0.31,0.56
79.0,109.0,0.23,0.15,0.33,0.33,0.31,0.56
80.0,110.0,0.23,0.15,0.33,0.33,0.31,0.56
81.0,111.0,0.23,0.15,0.25,0.25,0.23,0.56
82.0,112.0,0.23,0.15,0.25,0.25,0.23,0.56
83.0,113.0,0.17,0.17,0.27,0.27,0.17,0.52
84.0,114.0,0.17,0.17,0.36,0.36,0.25,0.52
85.0,115.0,0.17,0.17,0.36,0.36,0.25,0.52
86.0,116.0,0.18,0.18,0.4,0.4,0.27,0.48
87.0,117.0,0.17,0.17,0.45,0.36,0.25,0.52
88.0,118.0,0.17,0.17,0.45,0.36,0.25,0.52
89.0,119.0,0.17,0.17,0.45,0.36,0.25,0.52
90.0,120.0,0.17,0.17,0.45,0.36,0.25,0.52
91.0,121.0,0.15,0.15,0.42,0.33,0.23,0.56
92.0,122.0,0.15,0.15,0.42,0.33,0.23,0.56
93.0,123.0,0.15,0.15,0.33,0.25,0.23,0.56
94.0,124.0,0.15,0.15,0.33,0.25,0.23,0.56
95.0,125.0,0.15,0.15,0.33,0.25,0.23,0.56
96.0,126.0,0.14,0.14,0.31,0.23,0.21,0.6
97.0,127.0,0.15,0.15,0.33,0.25,0.23,0.56
98.0,128.0,0.15,0.15,0.33,0.25,0.23,0.56
99.0,129.0,0.17,0.17,0.36,0.27,0.25,0.52
100.0,130.0,0.17,0.17,0.36,0.27,0.25,0.52
101.0,131.0,0.18,0.18,0.4,0.3,0.27,0.48
102.0,132.0,0.18,0.18,0.4,0.3,0.27,0.48
103.0,133.0,0.2,0.2,0.33,0.22,0.3,0.44
104.0,134.0,0.2,0.2,0.33,0.22,0.3,0.44
105.0,135.0,0.22,0.22,0.38,0.25,0.33,0.4
106.0,136.0,0.25,0.25,0.29,0.14,0.38,0.36
107.0,137.0,0.25,0.25,0.29,0.14,0.38,0.36
108.0,138.0,0.29,0.0,0.33,0.17,0.43,0.33
109.0,139.0,0.0,0.0,0.4,0.2,0.33,0.29
110.0,140.0,0.0,0.0,0.4,0.2,0.33,0.29
111.0,141.0,0.0,0.0,0.25,0.0,0.4,0.24
112.0,142.0,0.0,0.0,0.25,0.0,0.4,0.24
113.0,143.0,0.0,0.0,0.25,0.0,0.4,0.24
114.0,144.0,0.0,0.0,0.0,0.0,0.5,0.2
115.0,145.0,0.0,0.0,0.0,0.0,0.5,0.2
116.0,146.0,0.0,0.0,0.0,0.0,0.5,0.2
