window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.67,0.11,0.06,0.0,0.0,0.31,0.22
1.0,61.0,0.67,0.11,0.06,0.0,0.0,0.31,0.22
2.0,62.0,0.63,0.16,0.05,0.0,0.0,0.3,0.26
3.0,63.0,0.63,0.16,0.05,0.0,0.0,0.3,0.26
4.0,64.0,0.6,0.2,0.05,0.0,0.0,0.29,0.25
5.0,65.0,0.6,0.2,0.05,0.0,0.0,0.29,0.25
6.0,66.0,0.6,0.2,0.05,0.0,0.0,0.29,0.25
7.0,67.0,0.6,0.2,0.05,0.0,0.0,0.29,0.25
8.0,68.0,0.57,0.24,0.05,0.0,0.0,0.28,0.24
9.0,69.0,0.57,0.24,0.05,0.0,0.0,0.28,0.24
10.0,70.0,0.57,0.24,0.05,0.0,0.0,0.28,0.24
11.0,71.0,0.57,0.24,0.05,0.0,0.0,0.28,0.24
12.0,72.0,0.57,0.24,0.05,0.0,0.0,0.28,0.24
13.0,73.0,0.57,0.29,0.05,0.0,0.0,0.28,0.29
14.0,74.0,0.57,0.29,0.05,0.0,0.0,0.28,0.29
15.0,75.0,0.6,0.3,0.05,0.0,0.0,0.29,0.3
16.0,76.0,0.6,0.3,0.05,0.0,0.0,0.29,0.3
17.0,77.0,0.6,0.3,0.05,0.0,0.0,0.29,0.3
18.0,78.0,0.6,0.3,0.1,0.0,0.0,0.29,0.3
19.0,79.0,0.6,0.3,0.1,0.0,0.0,0.29,0.3
20.0,80.0,0.6,0.3,0.05,0.0,0.0,0.29,0.25
21.0,81.0,0.6,0.3,0.05,0.0,0.0,0.29,0.25
22.0,82.0,0.6,0.3,0.05,0.0,0.0,0.29,0.25
23.0,83.0,0.6,0.3,0.05,0.0,0.0,0.29,0.25
24.0,84.0,0.57,0.29,0.05,0.0,0.0,0.28,0.24
25.0,85.0,0.55,0.3,0.05,0.0,0.0,0.29,0.2
26.0,86.0,0.55,0.3,0.05,0.0,0.0,0.29,0.2
27.0,87.0,0.5,0.3,0.05,0.0,0.0,0.29,0.2
28.0,88.0,0.5,0.3,0.05,0.0,0.0,0.29,0.2
29.0,89.0,0.47,0.32,0.05,0.0,0.0,0.3,0.16
30.0,90.0,0.45,0.3,0.05,0.0,0.0,0.29,0.15
31.0,91.0,0.45,0.3,0.05,0.0,0.0,0.29,0.15
32.0,92.0,0.4,0.3,0.1,0.05,0.0,0.29,0.15
33.0,93.0,0.4,0.3,0.1,0.05,0.0,0.29,0.15
34.0,94.0,0.4,0.3,0.1,0.05,0.0,0.29,0.15
35.0,95.0,0.38,0.29,0.14,0.05,0.0,0.28,0.14
36.0,96.0,0.38,0.29,0.14,0.05,0.0,0.28,0.14
37.0,97.0,0.38,0.29,0.14,0.05,0.0,0.28,0.14
38.0,98.0,0.35,0.3,0.15,0.05,0.0,0.29,0.15
39.0,99.0,0.33,0.29,0.19,0.1,0.0,0.28,0.14
40.0,100.0,0.33,0.29,0.19,0.1,0.0,0.28,0.14
41.0,101.0,0.3,0.3,0.2,0.1,0.0,0.29,0.15
42.0,102.0,0.29,0.29,0.19,0.1,0.0,0.28,0.14
43.0,103.0,0.25,0.3,0.2,0.1,0.0,0.29,0.15
44.0,104.0,0.24,0.29,0.19,0.1,0.0,0.28,0.14
45.0,105.0,0.23,0.27,0.18,0.09,0.0,0.27,0.14
46.0,106.0,0.19,0.29,0.19,0.1,0.0,0.28,0.14
