window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.2,0.2,0.0,0.0,0.2,0.44,0.3
1.0,61.0,0.2,0.2,0.0,0.0,0.2,0.44,0.3
2.0,62.0,0.2,0.2,0.0,0.0,0.2,0.44,0.3
3.0,63.0,0.2,0.2,0.0,0.0,0.2,0.44,0.3
4.0,64.0,0.18,0.18,0.0,0.0,0.18,0.42,0.27
5.0,65.0,0.18,0.18,0.0,0.0,0.18,0.42,0.27
6.0,66.0,0.18,0.18,0.0,0.0,0.18,0.42,0.27
7.0,67.0,0.17,0.17,0.0,0.0,0.17,0.4,0.25
8.0,68.0,0.17,0.17,0.0,0.0,0.17,0.4,0.25
9.0,69.0,0.17,0.17,0.0,0.0,0.17,0.4,0.25
10.0,70.0,0.17,0.17,0.0,0.0,0.17,0.4,0.25
11.0,71.0,0.23,0.15,0.0,0.0,0.23,0.38,0.31
12.0,72.0,0.23,0.15,0.0,0.0,0.23,0.38,0.31
13.0,73.0,0.21,0.14,0.07,0.0,0.29,0.36,0.29
14.0,74.0,0.21,0.14,0.07,0.0,0.29,0.36,0.29
15.0,75.0,0.23,0.15,0.08,0.0,0.31,0.38,0.31
16.0,76.0,0.23,0.15,0.08,0.0,0.31,0.38,0.31
17.0,77.0,0.21,0.14,0.07,0.0,0.36,0.36,0.29
18.0,78.0,0.23,0.15,0.08,0.0,0.38,0.38,0.23
19.0,79.0,0.21,0.14,0.07,0.0,0.36,0.36,0.21
20.0,80.0,0.21,0.14,0.07,0.0,0.36,0.36,0.21
21.0,81.0,0.21,0.14,0.07,0.0,0.36,0.36,0.21
22.0,82.0,0.21,0.14,0.07,0.0,0.36,0.36,0.21
23.0,83.0,0.21,0.14,0.07,0.0,0.36,0.36,0.29
24.0,84.0,0.21,0.14,0.07,0.0,0.36,0.36,0.29
25.0,85.0,0.21,0.14,0.07,0.0,0.36,0.36,0.29
26.0,86.0,0.21,0.14,0.07,0.0,0.36,0.36,0.29
27.0,87.0,0.2,0.13,0.07,0.0,0.33,0.35,0.33
28.0,88.0,0.2,0.13,0.07,0.0,0.33,0.35,0.33
29.0,89.0,0.2,0.0,0.07,0.0,0.33,0.35,0.4
30.0,90.0,0.2,0.0,0.07,0.0,0.33,0.35,0.4
31.0,91.0,0.21,0.0,0.07,0.0,0.36,0.36,0.43
32.0,92.0,0.21,0.0,0.07,0.0,0.36,0.36,0.43
33.0,93.0,0.2,0.0,0.07,0.0,0.33,0.35,0.47
34.0,94.0,0.2,0.0,0.07,0.0,0.33,0.35,0.47
35.0,95.0,0.2,0.0,0.07,0.0,0.33,0.35,0.47
36.0,96.0,0.19,0.12,0.06,0.0,0.31,0.33,0.5
37.0,97.0,0.19,0.12,0.06,0.0,0.31,0.33,0.5
38.0,98.0,0.18,0.12,0.06,0.0,0.35,0.32,0.47
39.0,99.0,0.19,0.12,0.06,0.0,0.38,0.33,0.44
40.0,100.0,0.19,0.12,0.06,0.0,0.38,0.33,0.44
41.0,101.0,0.19,0.12,0.06,0.0,0.38,0.33,0.44
42.0,102.0,0.19,0.12,0.06,0.0,0.38,0.33,0.44
43.0,103.0,0.19,0.12,0.12,0.06,0.44,0.33,0.5
44.0,104.0,0.19,0.12,0.12,0.06,0.44,0.33,0.5
45.0,105.0,0.19,0.12,0.12,0.06,0.44,0.33,0.5
46.0,106.0,0.18,0.12,0.12,0.06,0.41,0.32,0.47
47.0,107.0,0.18,0.12,0.12,0.06,0.41,0.32,0.47
48.0,108.0,0.18,0.12,0.12,0.06,0.41,0.32,0.47
49.0,109.0,0.18,0.12,0.12,0.06,0.41,0.32,0.47
50.0,110.0,0.18,0.12,0.12,0.06,0.41,0.32,0.47
51.0,111.0,0.17,0.11,0.11,0.06,0.39,0.31,0.5
52.0,112.0,0.17,0.11,0.11,0.06,0.39,0.31,0.5
53.0,113.0,0.17,0.11,0.11,0.06,0.39,0.31,0.5
54.0,114.0,0.18,0.12,0.12,0.06,0.41,0.32,0.47
55.0,115.0,0.18,0.12,0.12,0.06,0.41,0.32,0.47
56.0,116.0,0.18,0.12,0.12,0.06,0.41,0.32,0.47
57.0,117.0,0.18,0.12,0.12,0.06,0.41,0.32,0.47
58.0,118.0,0.18,0.12,0.12,0.06,0.41,0.32,0.47
59.0,119.0,0.18,0.12,0.12,0.06,0.41,0.32,0.47
60.0,120.0,0.18,0.12,0.12,0.06,0.41,0.32,0.47
61.0,121.0,0.17,0.11,0.11,0.06,0.39,0.31,0.44
62.0,122.0,0.17,0.11,0.11,0.06,0.39,0.31,0.44
63.0,123.0,0.17,0.11,0.11,0.06,0.39,0.31,0.44
64.0,124.0,0.17,0.11,0.11,0.06,0.39,0.31,0.44
65.0,125.0,0.17,0.11,0.11,0.06,0.39,0.31,0.44
66.0,126.0,0.17,0.11,0.11,0.06,0.39,0.31,0.44
