window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,30.0,0.14,0.14,0.36,0.29,0.29,0.36,0.5
1.0,31.0,0.14,0.14,0.36,0.29,0.29,0.36,0.5
2.0,32.0,0.14,0.14,0.36,0.29,0.29,0.36,0.5
3.0,33.0,0.14,0.14,0.36,0.29,0.29,0.36,0.5
4.0,34.0,0.15,0.15,0.31,0.23,0.31,0.38,0.46
5.0,35.0,0.17,0.17,0.33,0.25,0.33,0.4,0.5
6.0,36.0,0.15,0.15,0.38,0.23,0.31,0.38,0.46
7.0,37.0,0.17,0.17,0.42,0.25,0.33,0.4,0.42
8.0,38.0,0.18,0.18,0.45,0.27,0.36,0.42,0.36
9.0,39.0,0.18,0.18,0.45,0.18,0.27,0.42,0.36
10.0,40.0,0.2,0.2,0.5,0.2,0.2,0.44,0.4
11.0,41.0,0.2,0.2,0.5,0.2,0.2,0.44,0.4
12.0,42.0,0.2,0.2,0.5,0.2,0.2,0.44,0.4
13.0,43.0,0.22,0.22,0.44,0.22,0.22,0.47,0.33
14.0,44.0,0.22,0.22,0.33,0.11,0.22,0.47,0.33
15.0,45.0,0.25,0.25,0.38,0.12,0.25,0.5,0.38
16.0,46.0,0.22,0.22,0.44,0.11,0.22,0.47,0.33
17.0,47.0,0.25,0.25,0.5,0.12,0.25,0.5,0.25
18.0,48.0,0.25,0.25,0.5,0.12,0.25,0.5,0.25
19.0,49.0,0.22,0.22,0.44,0.11,0.22,0.47,0.33
20.0,50.0,0.22,0.22,0.44,0.11,0.22,0.47,0.33
21.0,51.0,0.2,0.2,0.5,0.1,0.3,0.44,0.3
22.0,52.0,0.2,0.2,0.5,0.1,0.3,0.44,0.3
23.0,53.0,0.18,0.18,0.45,0.09,0.36,0.42,0.27
24.0,54.0,0.18,0.18,0.55,0.18,0.45,0.42,0.36
25.0,55.0,0.17,0.17,0.5,0.17,0.5,0.4,0.33
26.0,56.0,0.17,0.17,0.5,0.17,0.5,0.4,0.33
27.0,57.0,0.15,0.15,0.46,0.15,0.54,0.38,0.31
