window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.57,0.0,0.43,0.0,0.14,0.53,0.57
1.0,61.0,0.57,0.0,0.43,0.0,0.14,0.53,0.57
2.0,62.0,0.57,0.0,0.43,0.0,0.14,0.53,0.57
3.0,63.0,0.57,0.0,0.43,0.0,0.14,0.53,0.57
4.0,64.0,0.5,0.0,0.5,0.12,0.25,0.5,0.62
5.0,65.0,0.5,0.0,0.5,0.12,0.25,0.5,0.62
6.0,66.0,0.5,0.0,0.5,0.12,0.25,0.5,0.62
7.0,67.0,0.5,0.0,0.5,0.12,0.25,0.5,0.62
8.0,68.0,0.44,0.0,0.56,0.11,0.33,0.47,0.67
9.0,69.0,0.44,0.0,0.56,0.11,0.33,0.47,0.67
10.0,70.0,0.44,0.0,0.56,0.11,0.33,0.47,0.67
11.0,71.0,0.44,0.0,0.56,0.11,0.33,0.47,0.67
12.0,72.0,0.4,0.0,0.5,0.1,0.4,0.44,0.7
13.0,73.0,0.4,0.0,0.5,0.1,0.4,0.44,0.7
14.0,74.0,0.36,0.0,0.45,0.09,0.45,0.42,0.64
15.0,75.0,0.36,0.0,0.45,0.09,0.45,0.42,0.64
16.0,76.0,0.33,0.0,0.5,0.17,0.5,0.4,0.58
17.0,77.0,0.33,0.0,0.5,0.17,0.5,0.4,0.58
18.0,78.0,0.33,0.0,0.5,0.17,0.5,0.4,0.58
19.0,79.0,0.33,0.0,0.5,0.17,0.5,0.4,0.58
20.0,80.0,0.33,0.0,0.5,0.17,0.5,0.4,0.58
21.0,81.0,0.33,0.0,0.5,0.17,0.5,0.4,0.58
22.0,82.0,0.33,0.0,0.5,0.17,0.5,0.4,0.58
23.0,83.0,0.33,0.0,0.5,0.17,0.5,0.4,0.58
24.0,84.0,0.33,0.0,0.5,0.17,0.5,0.4,0.58
25.0,85.0,0.36,0.0,0.45,0.18,0.55,0.42,0.55
26.0,86.0,0.36,0.0,0.45,0.18,0.55,0.42,0.55
27.0,87.0,0.36,0.0,0.45,0.18,0.55,0.42,0.55
28.0,88.0,0.36,0.0,0.45,0.18,0.55,0.42,0.55
