window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.0,0.43,0.0,0.0,0.14,0.53,0.71
1.0,61.0,0.0,0.43,0.0,0.0,0.14,0.53,0.71
2.0,62.0,0.0,0.43,0.0,0.0,0.14,0.53,0.71
3.0,63.0,0.0,0.43,0.0,0.0,0.14,0.53,0.71
4.0,64.0,0.0,0.43,0.0,0.0,0.14,0.53,0.71
5.0,65.0,0.0,0.43,0.0,0.0,0.14,0.53,0.71
6.0,66.0,0.0,0.43,0.0,0.0,0.14,0.53,0.71
7.0,67.0,0.0,0.43,0.0,0.0,0.14,0.53,0.71
8.0,68.0,0.0,0.43,0.0,0.0,0.14,0.53,0.71
9.0,69.0,0.0,0.38,0.0,0.0,0.12,0.5,0.62
10.0,70.0,0.0,0.38,0.0,0.0,0.12,0.5,0.62
11.0,71.0,0.0,0.38,0.12,0.0,0.25,0.5,0.5
12.0,72.0,0.0,0.38,0.12,0.0,0.25,0.5,0.5
13.0,73.0,0.0,0.38,0.12,0.0,0.25,0.5,0.5
14.0,74.0,0.0,0.38,0.12,0.0,0.25,0.5,0.5
15.0,75.0,0.0,0.33,0.11,0.0,0.22,0.47,0.44
16.0,76.0,0.0,0.33,0.11,0.0,0.22,0.47,0.44
17.0,77.0,0.0,0.3,0.2,0.1,0.2,0.44,0.4
18.0,78.0,0.0,0.3,0.2,0.1,0.2,0.44,0.4
19.0,79.0,0.0,0.3,0.2,0.1,0.2,0.44,0.4
20.0,80.0,0.0,0.3,0.2,0.1,0.2,0.44,0.4
21.0,81.0,0.0,0.33,0.22,0.11,0.22,0.47,0.33
22.0,82.0,0.0,0.33,0.22,0.11,0.22,0.47,0.33
23.0,83.0,0.0,0.33,0.22,0.11,0.22,0.47,0.33
24.0,84.0,0.0,0.33,0.22,0.11,0.22,0.47,0.33
25.0,85.0,0.0,0.33,0.22,0.11,0.22,0.47,0.33
26.0,86.0,0.0,0.33,0.22,0.11,0.22,0.47,0.33
27.0,87.0,0.0,0.33,0.22,0.11,0.22,0.47,0.33
28.0,88.0,0.0,0.38,0.25,0.12,0.25,0.5,0.38
29.0,89.0,0.0,0.38,0.25,0.12,0.25,0.5,0.38
30.0,90.0,0.0,0.38,0.25,0.12,0.25,0.5,0.38
31.0,91.0,0.0,0.38,0.25,0.12,0.25,0.5,0.38
32.0,92.0,0.0,0.38,0.25,0.12,0.25,0.5,0.38
33.0,93.0,0.0,0.38,0.25,0.12,0.25,0.5,0.38
34.0,94.0,0.0,0.43,0.29,0.14,0.29,0.53,0.43
35.0,95.0,0.0,0.43,0.29,0.14,0.29,0.53,0.43
36.0,96.0,0.0,0.43,0.29,0.14,0.29,0.53,0.43
37.0,97.0,0.0,0.43,0.29,0.14,0.29,0.53,0.43
38.0,98.0,0.0,0.43,0.29,0.14,0.29,0.53,0.43
39.0,99.0,0.0,0.43,0.29,0.14,0.29,0.53,0.43
40.0,100.0,0.0,0.43,0.29,0.14,0.29,0.53,0.43
41.0,101.0,0.0,0.38,0.25,0.12,0.25,0.5,0.38
42.0,102.0,0.0,0.38,0.25,0.12,0.25,0.5,0.38
43.0,103.0,0.0,0.38,0.25,0.12,0.25,0.5,0.38
44.0,104.0,0.0,0.38,0.25,0.12,0.25,0.5,0.38
45.0,105.0,0.22,0.33,0.22,0.11,0.22,0.47,0.33
46.0,106.0,0.22,0.33,0.22,0.11,0.22,0.47,0.33
47.0,107.0,0.22,0.33,0.22,0.11,0.22,0.47,0.33
48.0,108.0,0.22,0.33,0.22,0.11,0.22,0.47,0.33
49.0,109.0,0.22,0.33,0.22,0.11,0.22,0.47,0.33
50.0,110.0,0.2,0.3,0.2,0.1,0.2,0.44,0.3
51.0,111.0,0.2,0.3,0.2,0.1,0.2,0.44,0.3
52.0,112.0,0.18,0.27,0.27,0.09,0.18,0.42,0.27
53.0,113.0,0.2,0.2,0.3,0.1,0.2,0.44,0.2
54.0,114.0,0.2,0.2,0.3,0.1,0.2,0.44,0.2
55.0,115.0,0.2,0.2,0.3,0.1,0.2,0.44,0.2
56.0,116.0,0.2,0.2,0.3,0.1,0.2,0.44,0.2
57.0,117.0,0.2,0.2,0.3,0.1,0.2,0.44,0.1
58.0,118.0,0.2,0.2,0.3,0.1,0.2,0.44,0.1
59.0,119.0,0.22,0.22,0.33,0.11,0.22,0.47,0.0
60.0,120.0,0.22,0.22,0.33,0.11,0.22,0.47,0.0
61.0,121.0,0.22,0.22,0.33,0.11,0.22,0.47,0.0
62.0,122.0,0.22,0.22,0.33,0.11,0.22,0.47,0.0
63.0,123.0,0.22,0.22,0.33,0.11,0.22,0.47,0.0
64.0,124.0,0.22,0.22,0.33,0.11,0.22,0.47,0.0
65.0,125.0,0.22,0.22,0.33,0.11,0.22,0.47,0.0
66.0,126.0,0.22,0.22,0.33,0.11,0.22,0.47,0.0
