window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.12,0.08,0.29,0.21,0.46,0.25,0.42
1.0,61.0,0.12,0.08,0.29,0.21,0.46,0.25,0.42
2.0,62.0,0.12,0.08,0.28,0.2,0.48,0.24,0.44
3.0,63.0,0.12,0.08,0.28,0.2,0.48,0.24,0.44
4.0,64.0,0.12,0.08,0.28,0.2,0.48,0.24,0.44
5.0,65.0,0.12,0.08,0.27,0.19,0.5,0.24,0.46
6.0,66.0,0.12,0.08,0.27,0.19,0.5,0.24,0.46
7.0,67.0,0.11,0.07,0.26,0.19,0.52,0.23,0.44
8.0,68.0,0.11,0.07,0.26,0.19,0.52,0.23,0.44
9.0,69.0,0.11,0.07,0.26,0.19,0.52,0.23,0.44
10.0,70.0,0.11,0.07,0.26,0.19,0.52,0.23,0.44
11.0,71.0,0.11,0.07,0.26,0.19,0.52,0.23,0.44
12.0,72.0,0.11,0.07,0.26,0.19,0.56,0.23,0.48
13.0,73.0,0.11,0.07,0.26,0.19,0.56,0.23,0.48
14.0,74.0,0.12,0.08,0.27,0.19,0.58,0.24,0.46
15.0,75.0,0.12,0.08,0.27,0.19,0.58,0.24,0.46
16.0,76.0,0.11,0.07,0.26,0.19,0.59,0.23,0.44
17.0,77.0,0.11,0.07,0.26,0.19,0.59,0.23,0.44
18.0,78.0,0.11,0.07,0.29,0.21,0.61,0.22,0.46
19.0,79.0,0.11,0.07,0.3,0.22,0.63,0.23,0.44
20.0,80.0,0.11,0.07,0.3,0.22,0.63,0.23,0.44
21.0,81.0,0.12,0.08,0.31,0.23,0.65,0.24,0.42
22.0,82.0,0.12,0.08,0.31,0.23,0.65,0.24,0.42
23.0,83.0,0.12,0.08,0.31,0.23,0.65,0.24,0.42
24.0,84.0,0.12,0.08,0.35,0.23,0.69,0.24,0.42
25.0,85.0,0.12,0.08,0.35,0.23,0.69,0.24,0.42
26.0,86.0,0.12,0.08,0.38,0.23,0.73,0.24,0.46
27.0,87.0,0.12,0.08,0.4,0.24,0.76,0.24,0.48
28.0,88.0,0.12,0.08,0.4,0.24,0.76,0.24,0.48
29.0,89.0,0.12,0.08,0.38,0.21,0.79,0.25,0.46
