window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.91,0.18,0.09,0.0,0.0,0.42,0.09
1.0,61.0,0.91,0.18,0.09,0.0,0.0,0.42,0.09
2.0,62.0,0.91,0.18,0.09,0.0,0.0,0.42,0.09
3.0,63.0,0.91,0.18,0.09,0.0,0.0,0.42,0.09
4.0,64.0,0.83,0.17,0.08,0.0,0.08,0.4,0.08
5.0,65.0,0.83,0.17,0.08,0.0,0.08,0.4,0.08
6.0,66.0,0.77,0.15,0.08,0.0,0.15,0.38,0.08
7.0,67.0,0.77,0.15,0.08,0.0,0.15,0.38,0.08
8.0,68.0,0.71,0.14,0.14,0.0,0.21,0.36,0.07
9.0,69.0,0.71,0.14,0.14,0.0,0.21,0.36,0.07
10.0,70.0,0.71,0.14,0.14,0.0,0.21,0.36,0.07
11.0,71.0,0.71,0.14,0.14,0.0,0.21,0.36,0.07
12.0,72.0,0.71,0.14,0.14,0.0,0.21,0.36,0.07
13.0,73.0,0.71,0.14,0.14,0.0,0.21,0.36,0.07
14.0,74.0,0.71,0.14,0.14,0.0,0.21,0.36,0.07
15.0,75.0,0.71,0.14,0.14,0.0,0.21,0.36,0.07
16.0,76.0,0.71,0.14,0.14,0.0,0.21,0.36,0.07
17.0,77.0,0.67,0.13,0.2,0.07,0.27,0.35,0.13
18.0,78.0,0.67,0.13,0.2,0.07,0.27,0.35,0.13
19.0,79.0,0.67,0.13,0.2,0.07,0.27,0.35,0.13
20.0,80.0,0.67,0.13,0.2,0.07,0.27,0.35,0.13
21.0,81.0,0.62,0.12,0.25,0.06,0.31,0.33,0.19
22.0,82.0,0.62,0.12,0.25,0.06,0.31,0.33,0.19
23.0,83.0,0.59,0.12,0.29,0.06,0.35,0.32,0.24
24.0,84.0,0.59,0.12,0.29,0.06,0.35,0.32,0.24
25.0,85.0,0.59,0.12,0.29,0.06,0.35,0.32,0.24
26.0,86.0,0.59,0.12,0.29,0.06,0.35,0.32,0.24
27.0,87.0,0.62,0.12,0.25,0.06,0.38,0.33,0.19
28.0,88.0,0.59,0.12,0.24,0.06,0.41,0.32,0.18
29.0,89.0,0.59,0.12,0.24,0.06,0.41,0.32,0.18
30.0,90.0,0.56,0.0,0.25,0.06,0.44,0.33,0.19
31.0,91.0,0.56,0.0,0.25,0.06,0.44,0.33,0.19
32.0,92.0,0.56,0.0,0.25,0.06,0.44,0.33,0.19
33.0,93.0,0.56,0.0,0.25,0.06,0.44,0.33,0.19
34.0,94.0,0.53,0.0,0.24,0.06,0.47,0.32,0.18
