max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.3,0.4,0.22,0.11,0.4
0.3,0.3,0.22,0.11,0.4
0.3,0.3,0.22,0.11,0.4
0.3,0.3,0.22,0.11,0.4
0.3,0.3,0.22,0.11,0.4
0.27,0.27,0.2,0.1,0.36
0.3,0.3,0.22,0.11,0.4
0.27,0.27,0.2,0.1,0.36
0.3,0.3,0.22,0.11,0.4
0.27,0.27,0.2,0.1,0.36
0.27,0.27,0.2,0.1,0.36
0.27,0.27,0.2,0.1,0.36
0.27,0.27,0.2,0.1,0.36
0.27,0.27,0.2,0.1,0.36
0.3,0.3,0.22,0.11,0.4
0.3,0.3,0.22,0.11,0.4
0.27,0.27,0.2,0.1,0.36
0.27,0.27,0.2,0.1,0.36
0.3,0.3,0.11,0.11,0.3
0.27,0.27,0.1,0.1,0.27
0.25,0.33,0.09,0.09,0.25
0.25,0.33,0.09,0.09,0.25
0.25,0.33,0.09,0.09,0.25
0.18,0.36,0.1,0.1,0.27
0.18,0.36,0.1,0.1,0.27
0.2,0.4,0.11,0.11,0.3
0.2,0.4,0.11,0.11,0.3
0.2,0.4,0.11,0.11,0.3
0.22,0.44,0.12,0.12,0.33
0.22,0.44,0.12,0.12,0.33
0.2,0.4,0.11,0.11,0.3
0.22,0.44,0.12,0.12,0.33
0.22,0.44,0.12,0.12,0.33
0.22,0.44,0.12,0.12,0.33
0.0,0.5,0.14,0.14,0.38
0.0,0.5,0.14,0.14,0.38
0.0,0.44,0.12,0.12,0.33
0.0,0.5,0.14,0.14,0.38
0.0,0.44,0.12,0.12,0.33
0.0,0.5,0.0,0.0,0.38
0.0,0.5,0.0,0.0,0.38
0.0,0.5,0.0,0.0,0.38
0.0,0.43,0.0,0.0,0.43
0.0,0.43,0.0,0.0,0.43
0.0,0.43,0.0,0.0,0.43
0.0,0.43,0.0,0.0,0.43
0.0,0.43,0.17,0.17,0.57
0.25,0.38,0.14,0.14,0.62
0.25,0.38,0.14,0.14,0.62
0.29,0.43,0.17,0.17,0.71
0.43,0.43,0.17,0.17,0.86
0.43,0.43,0.17,0.17,0.86
0.43,0.43,0.17,0.17,0.86
0.43,0.43,0.17,0.17,0.86
0.38,0.38,0.14,0.14,0.75
0.38,0.38,0.14,0.14,0.75
0.38,0.38,0.14,0.14,0.75
0.38,0.38,0.14,0.14,0.75
0.38,0.38,0.14,0.14,0.75
0.33,0.33,0.12,0.12,0.67
0.38,0.38,0.14,0.14,0.75
0.38,0.38,0.14,0.14,0.75
0.38,0.38,0.14,0.14,0.75
0.38,0.38,0.14,0.14,0.75
0.33,0.33,0.12,0.12,0.67
0.38,0.25,0.14,0.14,0.62
0.43,0.0,0.17,0.17,0.57
0.43,0.0,0.17,0.17,0.57
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.43,0.0,0.0,0.0,0.43
0.43,0.0,0.0,0.0,0.43
0.43,0.0,0.0,0.0,0.43
0.43,0.0,0.0,0.0,0.43
0.43,0.0,0.0,0.0,0.43
0.38,0.0,0.0,0.0,0.5
0.29,0.0,0.0,0.0,0.57
0.0,0.0,0.0,0.0,0.57
0.0,0.0,0.0,0.0,0.57
0.0,0.0,0.0,0.0,0.57
0.29,0.0,0.0,0.0,0.57
0.29,0.0,0.0,0.0,0.57
0.38,0.0,0.0,0.0,0.5
0.38,0.0,0.0,0.0,0.5
0.38,0.0,0.14,0.14,0.5
0.38,0.0,0.14,0.14,0.5
0.38,0.0,0.14,0.14,0.5
0.38,0.0,0.14,0.14,0.5
0.38,0.0,0.14,0.14,0.5
0.38,0.0,0.14,0.14,0.38
0.38,0.0,0.14,0.14,0.38
0.38,0.0,0.14,0.14,0.38
0.33,0.0,0.12,0.12,0.33
0.33,0.0,0.12,0.12,0.33
0.38,0.0,0.14,0.14,0.25
0.33,0.0,0.12,0.12,0.22
0.33,0.0,0.12,0.12,0.22
0.33,0.0,0.12,0.12,0.22
0.3,0.0,0.22,0.22,0.2
0.3,0.0,0.22,0.22,0.2
0.33,0.0,0.25,0.25,0.22
0.33,0.0,0.25,0.25,0.22
0.3,0.0,0.22,0.22,0.2
0.3,0.0,0.22,0.22,0.2
0.3,0.0,0.22,0.22,0.2
0.3,0.0,0.22,0.22,0.2
0.3,0.0,0.22,0.22,0.2
0.22,0.0,0.25,0.25,0.22
0.22,0.0,0.25,0.25,0.22
0.22,0.0,0.25,0.25,0.22
0.25,0.0,0.29,0.29,0.25
0.25,0.0,0.29,0.29,0.25
0.25,0.0,0.29,0.29,0.38
0.25,0.0,0.29,0.29,0.38
0.29,0.0,0.33,0.33,0.43
0.25,0.25,0.29,0.29,0.5
0.25,0.25,0.29,0.29,0.5
0.25,0.25,0.29,0.29,0.5
0.22,0.22,0.25,0.25,0.44
0.25,0.25,0.29,0.29,0.5
0.25,0.25,0.29,0.29,0.5
0.22,0.22,0.38,0.38,0.44
0.25,0.25,0.43,0.43,0.5
0.22,0.22,0.38,0.38,0.44
0.22,0.22,0.38,0.38,0.44
0.25,0.25,0.29,0.29,0.5
0.22,0.22,0.25,0.25,0.44
0.22,0.22,0.25,0.25,0.44
0.25,0.25,0.29,0.29,0.5
0.25,0.25,0.29,0.29,0.5
0.25,0.25,0.29,0.29,0.5
0.25,0.25,0.29,0.29,0.5
0.29,0.29,0.33,0.33,0.43
0.25,0.25,0.29,0.29,0.38
0.25,0.25,0.29,0.29,0.38
0.29,0.29,0.17,0.17,0.29
