window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.36,0.0,0.27,0.09,0.36,0.42,0.55
1.0,61.0,0.33,0.0,0.25,0.08,0.42,0.4,0.5
2.0,62.0,0.33,0.0,0.25,0.08,0.42,0.4,0.5
3.0,63.0,0.33,0.0,0.25,0.08,0.42,0.4,0.5
4.0,64.0,0.33,0.0,0.25,0.08,0.42,0.4,0.5
5.0,65.0,0.33,0.0,0.25,0.08,0.42,0.4,0.5
6.0,66.0,0.31,0.0,0.23,0.08,0.46,0.38,0.54
7.0,67.0,0.31,0.0,0.23,0.08,0.46,0.38,0.54
8.0,68.0,0.31,0.0,0.23,0.08,0.46,0.38,0.54
9.0,69.0,0.29,0.0,0.21,0.07,0.5,0.36,0.5
10.0,70.0,0.29,0.0,0.21,0.07,0.5,0.36,0.5
11.0,71.0,0.27,0.0,0.2,0.07,0.53,0.35,0.47
12.0,72.0,0.27,0.0,0.2,0.07,0.53,0.35,0.47
13.0,73.0,0.27,0.0,0.2,0.07,0.53,0.35,0.47
14.0,74.0,0.27,0.0,0.2,0.07,0.53,0.35,0.47
15.0,75.0,0.27,0.0,0.2,0.07,0.53,0.35,0.47
16.0,76.0,0.27,0.0,0.2,0.07,0.53,0.35,0.47
17.0,77.0,0.29,0.0,0.14,0.07,0.57,0.36,0.43
18.0,78.0,0.29,0.0,0.14,0.07,0.57,0.36,0.43
19.0,79.0,0.29,0.0,0.14,0.07,0.57,0.36,0.43
20.0,80.0,0.29,0.0,0.14,0.07,0.57,0.36,0.43
21.0,81.0,0.31,0.0,0.15,0.08,0.62,0.38,0.46
22.0,82.0,0.31,0.0,0.15,0.08,0.62,0.38,0.46
23.0,83.0,0.31,0.0,0.15,0.08,0.62,0.38,0.46
24.0,84.0,0.31,0.0,0.15,0.08,0.69,0.38,0.46
25.0,85.0,0.31,0.0,0.15,0.08,0.69,0.38,0.46
26.0,86.0,0.29,0.0,0.14,0.07,0.71,0.36,0.5
27.0,87.0,0.29,0.0,0.14,0.07,0.71,0.36,0.5
28.0,88.0,0.31,0.0,0.15,0.08,0.77,0.38,0.46
29.0,89.0,0.31,0.0,0.15,0.08,0.77,0.38,0.46
30.0,90.0,0.29,0.0,0.21,0.14,0.79,0.36,0.5
31.0,91.0,0.31,0.0,0.15,0.15,0.85,0.38,0.54
32.0,92.0,0.31,0.0,0.15,0.15,0.85,0.38,0.54
33.0,93.0,0.31,0.0,0.15,0.15,0.85,0.38,0.54
34.0,94.0,0.33,0.0,0.17,0.17,0.92,0.4,0.5
35.0,95.0,0.31,0.0,0.23,0.15,0.92,0.38,0.46
36.0,96.0,0.31,0.0,0.23,0.15,0.92,0.38,0.46
37.0,97.0,0.31,0.0,0.23,0.15,0.92,0.38,0.46
38.0,98.0,0.29,0.0,0.29,0.21,0.93,0.36,0.43
39.0,99.0,0.29,0.0,0.29,0.21,0.93,0.36,0.43
40.0,100.0,0.29,0.0,0.29,0.21,0.93,0.36,0.43
41.0,101.0,0.29,0.0,0.29,0.21,0.93,0.36,0.43
42.0,102.0,0.27,0.0,0.27,0.2,0.87,0.35,0.47
43.0,103.0,0.27,0.0,0.27,0.2,0.87,0.35,0.47
44.0,104.0,0.27,0.0,0.27,0.2,0.87,0.35,0.47
45.0,105.0,0.25,0.0,0.31,0.25,0.81,0.33,0.5
46.0,106.0,0.25,0.0,0.31,0.25,0.81,0.33,0.5
47.0,107.0,0.2,0.0,0.33,0.27,0.87,0.35,0.47
48.0,108.0,0.2,0.0,0.33,0.27,0.87,0.35,0.47
49.0,109.0,0.21,0.0,0.36,0.29,0.86,0.36,0.43
50.0,110.0,0.2,0.13,0.33,0.27,0.8,0.35,0.4
51.0,111.0,0.21,0.14,0.36,0.29,0.79,0.36,0.36
52.0,112.0,0.21,0.14,0.36,0.29,0.79,0.36,0.36
53.0,113.0,0.21,0.14,0.36,0.29,0.79,0.36,0.36
54.0,114.0,0.21,0.14,0.29,0.21,0.71,0.36,0.36
55.0,115.0,0.21,0.14,0.29,0.21,0.71,0.36,0.36
56.0,116.0,0.2,0.13,0.27,0.2,0.67,0.35,0.33
57.0,117.0,0.2,0.13,0.27,0.2,0.67,0.35,0.33
58.0,118.0,0.21,0.14,0.29,0.21,0.64,0.36,0.36
59.0,119.0,0.21,0.14,0.29,0.21,0.64,0.36,0.36
60.0,120.0,0.2,0.13,0.27,0.2,0.6,0.35,0.4
61.0,121.0,0.21,0.14,0.29,0.21,0.57,0.36,0.43
62.0,122.0,0.27,0.13,0.27,0.2,0.53,0.35,0.4
63.0,123.0,0.27,0.13,0.27,0.2,0.53,0.35,0.4
64.0,124.0,0.27,0.13,0.27,0.2,0.53,0.35,0.4
65.0,125.0,0.27,0.13,0.27,0.2,0.53,0.35,0.4
66.0,126.0,0.29,0.14,0.29,0.21,0.5,0.36,0.36
67.0,127.0,0.33,0.13,0.27,0.2,0.47,0.35,0.33
68.0,128.0,0.33,0.13,0.27,0.2,0.47,0.35,0.33
69.0,129.0,0.36,0.14,0.29,0.21,0.43,0.36,0.36
70.0,130.0,0.36,0.14,0.29,0.21,0.43,0.36,0.36
71.0,131.0,0.38,0.15,0.31,0.23,0.38,0.38,0.38
72.0,132.0,0.43,0.14,0.29,0.21,0.36,0.36,0.36
73.0,133.0,0.43,0.14,0.29,0.21,0.36,0.36,0.36
74.0,134.0,0.43,0.14,0.29,0.21,0.36,0.36,0.36
75.0,135.0,0.47,0.13,0.27,0.2,0.33,0.35,0.33
76.0,136.0,0.47,0.13,0.27,0.2,0.33,0.35,0.33
77.0,137.0,0.47,0.13,0.27,0.2,0.33,0.35,0.33
78.0,138.0,0.47,0.13,0.27,0.2,0.33,0.35,0.33
79.0,139.0,0.47,0.13,0.27,0.2,0.33,0.35,0.33
80.0,140.0,0.5,0.12,0.25,0.19,0.31,0.33,0.31
81.0,141.0,0.5,0.12,0.25,0.19,0.31,0.33,0.31
82.0,142.0,0.5,0.12,0.25,0.19,0.31,0.33,0.31
83.0,143.0,0.5,0.12,0.25,0.19,0.31,0.33,0.31
84.0,144.0,0.56,0.12,0.25,0.19,0.25,0.33,0.31
85.0,145.0,0.56,0.12,0.25,0.19,0.25,0.33,0.31
86.0,146.0,0.6,0.13,0.2,0.13,0.2,0.35,0.27
87.0,147.0,0.6,0.13,0.2,0.13,0.2,0.35,0.27
88.0,148.0,0.56,0.12,0.19,0.12,0.19,0.33,0.25
89.0,149.0,0.56,0.12,0.19,0.12,0.19,0.33,0.25
90.0,150.0,0.56,0.12,0.12,0.12,0.12,0.33,0.19
91.0,151.0,0.56,0.12,0.12,0.12,0.12,0.33,0.19
92.0,152.0,0.53,0.18,0.12,0.12,0.12,0.32,0.18
93.0,153.0,0.53,0.18,0.12,0.12,0.12,0.32,0.18
94.0,154.0,0.53,0.18,0.12,0.12,0.12,0.32,0.18
95.0,155.0,0.53,0.24,0.06,0.06,0.12,0.32,0.24
96.0,156.0,0.53,0.24,0.06,0.06,0.12,0.32,0.24
97.0,157.0,0.53,0.24,0.06,0.06,0.12,0.32,0.24
98.0,158.0,0.53,0.24,0.06,0.06,0.12,0.32,0.29
99.0,159.0,0.53,0.24,0.06,0.06,0.12,0.32,0.29
100.0,160.0,0.53,0.24,0.06,0.06,0.12,0.32,0.29
101.0,161.0,0.53,0.24,0.06,0.06,0.12,0.32,0.29
102.0,162.0,0.56,0.25,0.0,0.0,0.12,0.33,0.25
103.0,163.0,0.53,0.24,0.06,0.06,0.12,0.32,0.24
104.0,164.0,0.53,0.24,0.06,0.06,0.12,0.32,0.24
105.0,165.0,0.56,0.25,0.06,0.06,0.12,0.33,0.19
106.0,166.0,0.56,0.25,0.06,0.06,0.12,0.33,0.19
107.0,167.0,0.56,0.25,0.06,0.06,0.12,0.33,0.19
108.0,168.0,0.56,0.25,0.06,0.06,0.12,0.33,0.19
109.0,169.0,0.56,0.25,0.06,0.06,0.12,0.33,0.19
110.0,170.0,0.56,0.25,0.06,0.06,0.12,0.33,0.25
111.0,171.0,0.56,0.25,0.06,0.06,0.12,0.33,0.25
112.0,172.0,0.56,0.25,0.06,0.06,0.12,0.33,0.25
113.0,173.0,0.53,0.24,0.06,0.06,0.12,0.32,0.24
114.0,174.0,0.5,0.25,0.06,0.06,0.12,0.33,0.25
115.0,175.0,0.47,0.24,0.12,0.12,0.12,0.32,0.29
116.0,176.0,0.44,0.25,0.12,0.12,0.12,0.33,0.31
117.0,177.0,0.44,0.25,0.12,0.12,0.12,0.33,0.31
118.0,178.0,0.44,0.25,0.12,0.12,0.12,0.33,0.31
119.0,179.0,0.44,0.25,0.12,0.12,0.12,0.33,0.31
120.0,180.0,0.38,0.25,0.12,0.12,0.19,0.33,0.31
121.0,181.0,0.38,0.25,0.12,0.12,0.19,0.33,0.31
122.0,182.0,0.33,0.27,0.13,0.13,0.2,0.35,0.33
123.0,183.0,0.31,0.25,0.19,0.12,0.25,0.33,0.31
124.0,184.0,0.31,0.25,0.19,0.12,0.25,0.33,0.31
125.0,185.0,0.29,0.24,0.18,0.12,0.29,0.32,0.35
126.0,186.0,0.29,0.24,0.18,0.12,0.29,0.32,0.35
127.0,187.0,0.25,0.25,0.19,0.12,0.31,0.33,0.38
128.0,188.0,0.24,0.24,0.18,0.12,0.35,0.32,0.35
129.0,189.0,0.24,0.24,0.18,0.12,0.35,0.32,0.35
130.0,190.0,0.24,0.24,0.18,0.12,0.35,0.32,0.35
131.0,191.0,0.22,0.22,0.22,0.17,0.39,0.31,0.39
132.0,192.0,0.18,0.24,0.24,0.18,0.41,0.32,0.41
133.0,193.0,0.17,0.22,0.22,0.17,0.44,0.31,0.39
134.0,194.0,0.17,0.22,0.22,0.17,0.44,0.31,0.39
135.0,195.0,0.17,0.22,0.28,0.22,0.5,0.31,0.44
136.0,196.0,0.16,0.21,0.32,0.21,0.53,0.3,0.47
137.0,197.0,0.16,0.21,0.32,0.21,0.53,0.3,0.47
138.0,198.0,0.15,0.2,0.3,0.2,0.55,0.29,0.5
139.0,199.0,0.15,0.2,0.3,0.2,0.55,0.29,0.5
140.0,200.0,0.15,0.2,0.3,0.2,0.6,0.29,0.55
141.0,201.0,0.15,0.2,0.3,0.2,0.6,0.29,0.55
142.0,202.0,0.15,0.2,0.3,0.2,0.6,0.29,0.55
143.0,203.0,0.15,0.2,0.3,0.2,0.6,0.29,0.55
144.0,204.0,0.16,0.21,0.32,0.21,0.63,0.3,0.58
145.0,205.0,0.16,0.21,0.32,0.21,0.63,0.3,0.58
146.0,206.0,0.16,0.21,0.32,0.21,0.63,0.3,0.58
147.0,207.0,0.16,0.21,0.32,0.21,0.63,0.3,0.58
148.0,208.0,0.17,0.17,0.33,0.22,0.67,0.31,0.61
149.0,209.0,0.17,0.17,0.33,0.22,0.67,0.31,0.61
150.0,210.0,0.18,0.12,0.35,0.24,0.71,0.32,0.65
151.0,211.0,0.18,0.12,0.35,0.24,0.71,0.32,0.65
152.0,212.0,0.19,0.12,0.38,0.25,0.75,0.33,0.69
153.0,213.0,0.19,0.12,0.38,0.25,0.75,0.33,0.69
154.0,214.0,0.19,0.12,0.38,0.25,0.75,0.33,0.69
155.0,215.0,0.2,0.13,0.4,0.27,0.8,0.35,0.67
156.0,216.0,0.2,0.13,0.4,0.27,0.8,0.35,0.67
157.0,217.0,0.2,0.13,0.4,0.27,0.8,0.35,0.67
158.0,218.0,0.21,0.14,0.36,0.21,0.86,0.36,0.64
159.0,219.0,0.21,0.14,0.36,0.21,0.86,0.36,0.64
160.0,220.0,0.21,0.14,0.36,0.21,0.86,0.36,0.64
161.0,221.0,0.21,0.14,0.36,0.21,0.86,0.36,0.64
162.0,222.0,0.21,0.14,0.36,0.21,0.86,0.36,0.64
163.0,223.0,0.23,0.15,0.38,0.23,0.92,0.38,0.69
164.0,224.0,0.23,0.15,0.38,0.23,0.92,0.38,0.69
165.0,225.0,0.23,0.15,0.38,0.23,0.92,0.38,0.69
166.0,226.0,0.23,0.15,0.38,0.23,0.92,0.38,0.69
167.0,227.0,0.23,0.15,0.38,0.23,0.92,0.38,0.69
168.0,228.0,0.23,0.15,0.38,0.23,0.92,0.38,0.69
169.0,229.0,0.23,0.15,0.38,0.23,0.92,0.38,0.69
170.0,230.0,0.25,0.17,0.42,0.25,1.0,0.4,0.67
171.0,231.0,0.25,0.17,0.42,0.25,1.0,0.4,0.67
172.0,232.0,0.25,0.17,0.42,0.25,1.0,0.4,0.67
173.0,233.0,0.27,0.18,0.36,0.18,1.0,0.42,0.73
174.0,234.0,0.27,0.18,0.36,0.18,1.0,0.42,0.73
175.0,235.0,0.3,0.2,0.4,0.2,1.0,0.44,0.7
176.0,236.0,0.3,0.2,0.4,0.2,1.0,0.44,0.7
177.0,237.0,0.3,0.2,0.4,0.2,1.0,0.44,0.7
178.0,238.0,0.3,0.2,0.4,0.2,1.0,0.44,0.7
179.0,239.0,0.3,0.2,0.4,0.2,1.0,0.44,0.7
180.0,240.0,0.33,0.22,0.33,0.22,1.0,0.47,0.67
181.0,241.0,0.33,0.22,0.33,0.22,1.0,0.47,0.67
182.0,242.0,0.33,0.22,0.33,0.22,1.0,0.47,0.67
183.0,243.0,0.25,0.25,0.38,0.25,1.0,0.5,0.75
184.0,244.0,0.25,0.25,0.38,0.25,1.0,0.5,0.75
185.0,245.0,0.29,0.29,0.43,0.29,1.0,0.53,0.71
186.0,246.0,0.29,0.29,0.43,0.29,1.0,0.53,0.71
187.0,247.0,0.29,0.29,0.43,0.29,1.0,0.53,0.71
188.0,248.0,0.33,0.33,0.33,0.17,1.0,0.57,0.83
189.0,249.0,0.33,0.33,0.33,0.17,1.0,0.57,0.83
190.0,250.0,0.33,0.33,0.33,0.17,1.0,0.57,0.83
191.0,251.0,0.4,0.4,0.4,0.2,1.0,0.62,0.8
192.0,252.0,0.4,0.4,0.4,0.2,1.0,0.62,0.8
193.0,253.0,0.5,0.5,0.25,0.0,1.0,0.67,1.0
194.0,254.0,0.5,0.5,0.25,0.0,1.0,0.67,1.0
195.0,255.0,0.67,0.67,0.0,0.0,1.0,0.73,1.0
196.0,256.0,0.0,1.0,0.0,0.0,1.0,0.8,1.0
197.0,257.0,0.0,1.0,0.0,0.0,1.0,0.8,1.0
198.0,258.0,0.0,0.0,0.0,0.0,1.0,0.89,1.0
199.0,259.0,0.0,0.0,0.0,0.0,1.0,0.89,1.0
200.0,260.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
201.0,261.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
