max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.33,0.0,0.25,0.12,0.11
0.25,0.0,0.29,0.14,0.12
0.25,0.0,0.29,0.14,0.12
0.25,0.0,0.29,0.14,0.12
0.29,0.0,0.33,0.17,0.14
0.29,0.0,0.33,0.17,0.14
0.29,0.0,0.33,0.17,0.14
0.29,0.0,0.33,0.17,0.14
0.25,0.0,0.43,0.29,0.12
0.29,0.0,0.5,0.33,0.14
0.29,0.0,0.5,0.33,0.14
0.29,0.0,0.5,0.33,0.14
0.25,0.0,0.43,0.29,0.12
0.29,0.0,0.5,0.33,0.14
0.29,0.0,0.5,0.33,0.14
0.29,0.0,0.5,0.33,0.14
0.29,0.0,0.5,0.33,0.14
0.0,0.0,0.6,0.4,0.17
0.0,0.0,0.6,0.4,0.17
0.0,0.0,0.5,0.25,0.2
0.0,0.0,0.5,0.25,0.2
0.0,0.0,0.67,0.33,0.25
0.0,0.0,0.67,0.33,0.25
0.0,0.0,0.67,0.33,0.25
0.0,0.0,0.67,0.33,0.25
0.0,0.0,0.5,0.5,0.0
0.0,0.0,0.33,0.33,0.0
0.5,0.5,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0
0.4,0.4,0.0,0.0,0.2
0.4,0.4,0.0,0.0,0.2
0.4,0.4,0.0,0.0,0.2
0.4,0.4,0.0,0.0,0.2
0.33,0.33,0.0,0.0,0.33
0.33,0.33,0.0,0.0,0.33
0.33,0.33,0.0,0.0,0.33
0.4,0.4,0.0,0.0,0.4
0.33,0.33,0.0,0.0,0.5
0.33,0.33,0.0,0.0,0.5
0.33,0.33,0.0,0.0,0.5
0.4,0.4,0.0,0.0,0.6
0.4,0.4,0.0,0.0,0.6
0.4,0.4,0.0,0.0,0.6
0.4,0.4,0.0,0.0,0.6
0.33,0.33,0.0,0.0,0.5
0.33,0.33,0.0,0.0,0.5
0.33,0.33,0.0,0.0,0.5
0.33,0.33,0.0,0.0,0.5
0.33,0.33,0.0,0.0,0.5
0.33,0.33,0.0,0.0,0.5
0.33,0.33,0.0,0.0,0.5
0.33,0.33,0.0,0.0,0.5
0.33,0.33,0.0,0.0,0.5
0.33,0.33,0.0,0.0,0.5
0.4,0.0,0.0,0.0,0.6
0.5,0.0,0.0,0.0,0.75
0.5,0.0,0.0,0.0,0.75
0.5,0.0,0.0,0.0,0.75
0.5,0.0,0.0,0.0,0.75
0.67,0.0,0.0,0.0,0.67
0.67,0.0,0.0,0.0,0.67
0.67,0.0,0.0,0.0,0.67
0.67,0.0,0.0,0.0,0.67
0.67,0.0,0.0,0.0,0.33
0.75,0.0,0.0,0.0,0.5
0.75,0.0,0.0,0.0,0.5
