window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.25,0.38,0.25,0.25,0.25,0.5,0.12
1.0,61.0,0.25,0.38,0.25,0.25,0.25,0.5,0.12
2.0,62.0,0.25,0.38,0.25,0.25,0.25,0.5,0.12
3.0,63.0,0.25,0.38,0.25,0.25,0.25,0.5,0.12
4.0,64.0,0.22,0.33,0.22,0.22,0.22,0.47,0.11
5.0,65.0,0.22,0.33,0.22,0.22,0.22,0.47,0.11
6.0,66.0,0.2,0.3,0.3,0.2,0.2,0.44,0.1
7.0,67.0,0.18,0.27,0.27,0.18,0.18,0.42,0.09
8.0,68.0,0.18,0.27,0.27,0.18,0.18,0.42,0.09
9.0,69.0,0.17,0.25,0.25,0.17,0.17,0.4,0.08
10.0,70.0,0.17,0.25,0.25,0.17,0.17,0.4,0.08
11.0,71.0,0.17,0.25,0.25,0.17,0.17,0.4,0.08
12.0,72.0,0.15,0.23,0.23,0.15,0.15,0.38,0.08
13.0,73.0,0.15,0.23,0.23,0.15,0.15,0.38,0.08
14.0,74.0,0.14,0.21,0.21,0.14,0.14,0.36,0.07
15.0,75.0,0.13,0.2,0.2,0.13,0.13,0.35,0.07
16.0,76.0,0.13,0.2,0.2,0.13,0.13,0.35,0.07
17.0,77.0,0.13,0.2,0.2,0.13,0.13,0.35,0.07
18.0,78.0,0.12,0.19,0.19,0.12,0.12,0.33,0.06
19.0,79.0,0.12,0.19,0.19,0.12,0.12,0.33,0.06
20.0,80.0,0.13,0.2,0.2,0.13,0.13,0.35,0.0
21.0,81.0,0.12,0.19,0.19,0.12,0.12,0.33,0.0
22.0,82.0,0.12,0.19,0.19,0.12,0.12,0.33,0.0
23.0,83.0,0.18,0.18,0.18,0.12,0.12,0.32,0.0
24.0,84.0,0.19,0.19,0.12,0.06,0.12,0.33,0.0
25.0,85.0,0.24,0.18,0.12,0.06,0.12,0.32,0.0
26.0,86.0,0.24,0.18,0.12,0.06,0.12,0.32,0.0
27.0,87.0,0.28,0.17,0.11,0.06,0.11,0.31,0.0
28.0,88.0,0.29,0.18,0.12,0.06,0.12,0.32,0.0
29.0,89.0,0.33,0.17,0.11,0.06,0.11,0.31,0.0
30.0,90.0,0.37,0.16,0.11,0.05,0.11,0.3,0.0
31.0,91.0,0.39,0.17,0.11,0.06,0.11,0.31,0.0
