window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity
0.0,30.0,0.33,0.17,0.17,0.0,0.25,0.4
1.0,31.0,0.33,0.17,0.17,0.0,0.25,0.4
2.0,32.0,0.31,0.15,0.15,0.0,0.23,0.43
3.0,33.0,0.31,0.15,0.15,0.0,0.23,0.43
4.0,34.0,0.31,0.15,0.15,0.0,0.23,0.43
5.0,35.0,0.31,0.15,0.15,0.0,0.23,0.43
6.0,36.0,0.33,0.17,0.17,0.0,0.25,0.4
7.0,37.0,0.33,0.17,0.17,0.0,0.25,0.4
8.0,38.0,0.31,0.15,0.15,0.0,0.31,0.43
9.0,39.0,0.31,0.15,0.15,0.0,0.31,0.43
10.0,40.0,0.29,0.14,0.14,0.0,0.36,0.47
11.0,41.0,0.27,0.13,0.2,0.07,0.4,0.5
12.0,42.0,0.27,0.13,0.13,0.07,0.47,0.5
13.0,43.0,0.29,0.14,0.14,0.07,0.5,0.47
14.0,44.0,0.29,0.14,0.14,0.07,0.57,0.47
15.0,45.0,0.27,0.13,0.2,0.13,0.6,0.5
16.0,46.0,0.29,0.14,0.21,0.14,0.64,0.47
17.0,47.0,0.27,0.13,0.2,0.13,0.67,0.5
18.0,48.0,0.2,0.13,0.27,0.2,0.73,0.5
19.0,49.0,0.14,0.14,0.29,0.21,0.79,0.47
20.0,50.0,0.13,0.13,0.27,0.2,0.73,0.5
21.0,51.0,0.14,0.14,0.29,0.21,0.79,0.47
22.0,52.0,0.21,0.14,0.29,0.21,0.79,0.47
23.0,53.0,0.21,0.14,0.29,0.21,0.79,0.47
24.0,54.0,0.2,0.13,0.27,0.2,0.73,0.5
25.0,55.0,0.21,0.14,0.29,0.21,0.79,0.47
26.0,56.0,0.21,0.14,0.29,0.21,0.79,0.47
27.0,57.0,0.21,0.14,0.29,0.21,0.79,0.47
28.0,58.0,0.23,0.15,0.23,0.23,0.77,0.43
29.0,59.0,0.21,0.14,0.21,0.21,0.71,0.47
30.0,60.0,0.21,0.14,0.21,0.21,0.64,0.47
31.0,61.0,0.21,0.14,0.21,0.21,0.64,0.47
32.0,62.0,0.23,0.15,0.23,0.23,0.62,0.43
33.0,63.0,0.23,0.15,0.23,0.23,0.62,0.43
34.0,64.0,0.21,0.14,0.29,0.29,0.57,0.47
35.0,65.0,0.21,0.14,0.29,0.29,0.57,0.47
36.0,66.0,0.2,0.13,0.27,0.27,0.53,0.5
37.0,67.0,0.2,0.13,0.27,0.27,0.53,0.5
38.0,68.0,0.2,0.13,0.27,0.27,0.47,0.5
39.0,69.0,0.19,0.12,0.25,0.25,0.44,0.53
40.0,70.0,0.19,0.12,0.19,0.19,0.38,0.53
41.0,71.0,0.2,0.13,0.2,0.2,0.33,0.5
42.0,72.0,0.27,0.13,0.2,0.2,0.27,0.5
43.0,73.0,0.27,0.13,0.2,0.2,0.27,0.5
44.0,74.0,0.29,0.14,0.14,0.14,0.21,0.47
45.0,75.0,0.31,0.15,0.15,0.15,0.23,0.43
46.0,76.0,0.31,0.15,0.15,0.15,0.23,0.43
47.0,77.0,0.33,0.17,0.08,0.08,0.25,0.4
48.0,78.0,0.36,0.18,0.09,0.09,0.27,0.37
49.0,79.0,0.33,0.17,0.17,0.17,0.33,0.4
50.0,80.0,0.36,0.18,0.18,0.18,0.36,0.37
51.0,81.0,0.36,0.18,0.18,0.18,0.36,0.37
52.0,82.0,0.4,0.2,0.2,0.2,0.4,0.33
53.0,83.0,0.4,0.2,0.2,0.2,0.4,0.33
54.0,84.0,0.44,0.22,0.22,0.22,0.44,0.3
55.0,85.0,0.4,0.2,0.2,0.2,0.4,0.33
56.0,86.0,0.4,0.2,0.2,0.2,0.4,0.33
57.0,87.0,0.4,0.2,0.2,0.2,0.4,0.33
58.0,88.0,0.4,0.2,0.2,0.2,0.4,0.33
59.0,89.0,0.4,0.2,0.2,0.2,0.4,0.33
60.0,90.0,0.44,0.22,0.11,0.11,0.44,0.3
61.0,91.0,0.4,0.2,0.1,0.1,0.4,0.33
62.0,92.0,0.4,0.2,0.1,0.1,0.4,0.33
63.0,93.0,0.36,0.18,0.09,0.09,0.36,0.37
64.0,94.0,0.4,0.2,0.1,0.1,0.4,0.33
65.0,95.0,0.36,0.18,0.18,0.18,0.36,0.37
66.0,96.0,0.4,0.0,0.2,0.2,0.4,0.33
67.0,97.0,0.36,0.0,0.18,0.18,0.36,0.37
68.0,98.0,0.3,0.0,0.2,0.2,0.4,0.33
69.0,99.0,0.2,0.0,0.2,0.2,0.3,0.33
70.0,100.0,0.22,0.0,0.22,0.22,0.33,0.3
71.0,101.0,0.2,0.0,0.3,0.2,0.3,0.33
72.0,102.0,0.22,0.0,0.22,0.11,0.33,0.3
73.0,103.0,0.2,0.2,0.2,0.1,0.3,0.33
74.0,104.0,0.2,0.2,0.2,0.1,0.3,0.33
