window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness
0.0,60.0,0.0,0.33,0.17,0.0,0.33,0.57,0.5
1.0,61.0,0.0,0.33,0.17,0.0,0.33,0.57,0.5
2.0,62.0,0.0,0.29,0.29,0.14,0.29,0.53,0.57
3.0,63.0,0.0,0.29,0.29,0.14,0.29,0.53,0.57
4.0,64.0,0.0,0.29,0.29,0.14,0.29,0.53,0.57
5.0,65.0,0.0,0.29,0.29,0.14,0.29,0.53,0.57
6.0,66.0,0.0,0.29,0.29,0.14,0.29,0.53,0.57
7.0,67.0,0.0,0.29,0.29,0.14,0.29,0.53,0.57
8.0,68.0,0.0,0.25,0.25,0.12,0.25,0.5,0.5
9.0,69.0,0.0,0.22,0.33,0.22,0.22,0.47,0.44
10.0,70.0,0.0,0.2,0.4,0.2,0.2,0.44,0.5
11.0,71.0,0.0,0.2,0.4,0.2,0.2,0.44,0.5
12.0,72.0,0.0,0.2,0.4,0.2,0.2,0.44,0.5
13.0,73.0,0.18,0.18,0.36,0.18,0.18,0.42,0.45
14.0,74.0,0.18,0.18,0.36,0.18,0.18,0.42,0.45
15.0,75.0,0.25,0.17,0.33,0.17,0.17,0.4,0.42
16.0,76.0,0.25,0.17,0.33,0.17,0.17,0.4,0.42
17.0,77.0,0.23,0.15,0.31,0.15,0.15,0.38,0.38
18.0,78.0,0.23,0.15,0.31,0.15,0.15,0.38,0.38
19.0,79.0,0.21,0.14,0.29,0.14,0.14,0.36,0.36
20.0,80.0,0.21,0.14,0.29,0.14,0.14,0.36,0.36
21.0,81.0,0.2,0.13,0.27,0.13,0.13,0.35,0.33
22.0,82.0,0.2,0.13,0.27,0.13,0.13,0.35,0.33
23.0,83.0,0.19,0.19,0.25,0.12,0.12,0.33,0.31
24.0,84.0,0.18,0.18,0.24,0.12,0.12,0.32,0.29
25.0,85.0,0.18,0.18,0.24,0.12,0.12,0.32,0.29
26.0,86.0,0.17,0.17,0.28,0.17,0.11,0.31,0.28
27.0,87.0,0.17,0.17,0.28,0.17,0.11,0.31,0.28
28.0,88.0,0.16,0.16,0.32,0.16,0.16,0.3,0.26
29.0,89.0,0.15,0.15,0.3,0.15,0.2,0.29,0.25
30.0,90.0,0.15,0.15,0.3,0.15,0.2,0.29,0.25
31.0,91.0,0.15,0.15,0.3,0.15,0.2,0.29,0.25
32.0,92.0,0.15,0.15,0.3,0.15,0.2,0.29,0.25
33.0,93.0,0.14,0.14,0.29,0.14,0.24,0.28,0.29
34.0,94.0,0.14,0.14,0.32,0.18,0.27,0.27,0.32
35.0,95.0,0.14,0.14,0.32,0.18,0.27,0.27,0.32
36.0,96.0,0.14,0.14,0.32,0.18,0.27,0.27,0.32
37.0,97.0,0.14,0.14,0.32,0.18,0.27,0.27,0.32
38.0,98.0,0.14,0.14,0.33,0.19,0.29,0.28,0.29
39.0,99.0,0.14,0.14,0.33,0.19,0.29,0.28,0.29
40.0,100.0,0.14,0.14,0.32,0.18,0.32,0.27,0.27
41.0,101.0,0.13,0.13,0.35,0.22,0.35,0.26,0.3
42.0,102.0,0.13,0.13,0.35,0.22,0.35,0.26,0.3
43.0,103.0,0.14,0.14,0.32,0.23,0.36,0.27,0.32
44.0,104.0,0.14,0.14,0.33,0.24,0.38,0.28,0.33
45.0,105.0,0.14,0.14,0.32,0.23,0.41,0.27,0.36
46.0,106.0,0.14,0.14,0.32,0.23,0.41,0.27,0.36
47.0,107.0,0.14,0.14,0.32,0.23,0.41,0.27,0.36
48.0,108.0,0.13,0.13,0.3,0.22,0.39,0.26,0.35
49.0,109.0,0.12,0.12,0.29,0.21,0.38,0.25,0.33
50.0,110.0,0.12,0.12,0.29,0.21,0.38,0.25,0.33
51.0,111.0,0.12,0.12,0.28,0.2,0.36,0.24,0.36
52.0,112.0,0.16,0.12,0.28,0.2,0.36,0.24,0.32
53.0,113.0,0.16,0.12,0.28,0.2,0.36,0.24,0.32
54.0,114.0,0.2,0.12,0.28,0.2,0.36,0.24,0.28
55.0,115.0,0.2,0.12,0.28,0.2,0.36,0.24,0.28
56.0,116.0,0.23,0.12,0.27,0.19,0.35,0.24,0.27
57.0,117.0,0.23,0.12,0.27,0.19,0.35,0.24,0.27
58.0,118.0,0.27,0.12,0.23,0.15,0.35,0.24,0.31
59.0,119.0,0.3,0.11,0.22,0.15,0.33,0.23,0.3
60.0,120.0,0.3,0.11,0.22,0.15,0.33,0.23,0.3
61.0,121.0,0.32,0.11,0.21,0.14,0.32,0.22,0.29
62.0,122.0,0.33,0.11,0.22,0.15,0.33,0.23,0.26
63.0,123.0,0.36,0.11,0.21,0.14,0.32,0.22,0.25
64.0,124.0,0.36,0.11,0.21,0.14,0.32,0.22,0.25
65.0,125.0,0.38,0.1,0.21,0.14,0.31,0.22,0.24
66.0,126.0,0.38,0.1,0.21,0.14,0.31,0.22,0.24
67.0,127.0,0.38,0.1,0.21,0.14,0.31,0.22,0.24
68.0,128.0,0.38,0.1,0.17,0.1,0.31,0.22,0.28
69.0,129.0,0.39,0.11,0.14,0.11,0.32,0.22,0.29
70.0,130.0,0.39,0.11,0.14,0.11,0.32,0.22,0.25
71.0,131.0,0.39,0.11,0.14,0.11,0.32,0.22,0.25
72.0,132.0,0.38,0.1,0.14,0.1,0.31,0.22,0.24
73.0,133.0,0.38,0.14,0.14,0.1,0.31,0.22,0.24
74.0,134.0,0.38,0.14,0.14,0.1,0.31,0.22,0.24
75.0,135.0,0.38,0.17,0.14,0.1,0.31,0.22,0.24
76.0,136.0,0.38,0.17,0.14,0.1,0.31,0.22,0.24
77.0,137.0,0.39,0.18,0.14,0.11,0.32,0.22,0.25
78.0,138.0,0.38,0.21,0.14,0.1,0.31,0.22,0.28
79.0,139.0,0.39,0.21,0.14,0.11,0.32,0.22,0.29
80.0,140.0,0.39,0.21,0.14,0.11,0.32,0.22,0.29
81.0,141.0,0.41,0.22,0.15,0.11,0.33,0.23,0.3
82.0,142.0,0.41,0.22,0.15,0.11,0.33,0.23,0.3
83.0,143.0,0.42,0.23,0.15,0.12,0.35,0.24,0.31
84.0,144.0,0.44,0.24,0.12,0.08,0.32,0.24,0.32
85.0,145.0,0.44,0.24,0.12,0.08,0.32,0.24,0.32
86.0,146.0,0.46,0.25,0.08,0.08,0.29,0.25,0.33
87.0,147.0,0.46,0.25,0.08,0.08,0.29,0.25,0.33
88.0,148.0,0.48,0.26,0.09,0.09,0.26,0.26,0.35
89.0,149.0,0.5,0.27,0.09,0.09,0.23,0.27,0.36
90.0,150.0,0.5,0.27,0.09,0.09,0.23,0.27,0.36
91.0,151.0,0.48,0.3,0.09,0.09,0.22,0.26,0.39
92.0,152.0,0.48,0.3,0.09,0.09,0.22,0.26,0.39
93.0,153.0,0.5,0.32,0.05,0.05,0.18,0.27,0.36
94.0,154.0,0.52,0.33,0.05,0.05,0.14,0.28,0.33
95.0,155.0,0.52,0.33,0.05,0.05,0.14,0.28,0.33
96.0,156.0,0.5,0.36,0.05,0.05,0.14,0.27,0.32
97.0,157.0,0.5,0.36,0.05,0.05,0.14,0.27,0.32
98.0,158.0,0.48,0.39,0.04,0.04,0.13,0.26,0.35
99.0,159.0,0.48,0.39,0.04,0.04,0.13,0.26,0.35
100.0,160.0,0.5,0.41,0.0,0.0,0.09,0.27,0.36
101.0,161.0,0.52,0.43,0.0,0.0,0.05,0.28,0.33
102.0,162.0,0.52,0.43,0.0,0.0,0.05,0.28,0.33
103.0,163.0,0.52,0.43,0.0,0.0,0.05,0.28,0.33
104.0,164.0,0.5,0.45,0.0,0.0,0.05,0.27,0.36
105.0,165.0,0.52,0.48,0.0,0.0,0.0,0.28,0.33
106.0,166.0,0.52,0.48,0.0,0.0,0.0,0.28,0.33
107.0,167.0,0.5,0.45,0.0,0.0,0.0,0.27,0.32
108.0,168.0,0.48,0.48,0.0,0.0,0.0,0.28,0.33
109.0,169.0,0.45,0.5,0.0,0.0,0.0,0.29,0.35
110.0,170.0,0.45,0.5,0.0,0.0,0.0,0.29,0.35
111.0,171.0,0.4,0.5,0.0,0.0,0.0,0.29,0.3
112.0,172.0,0.37,0.53,0.0,0.0,0.0,0.3,0.32
113.0,173.0,0.37,0.53,0.0,0.0,0.0,0.3,0.32
114.0,174.0,0.32,0.53,0.0,0.0,0.05,0.3,0.32
115.0,175.0,0.3,0.5,0.0,0.0,0.1,0.29,0.35
116.0,176.0,0.26,0.53,0.0,0.0,0.11,0.3,0.37
117.0,177.0,0.25,0.5,0.0,0.0,0.15,0.29,0.35
118.0,178.0,0.2,0.5,0.05,0.05,0.2,0.29,0.35
119.0,179.0,0.15,0.5,0.1,0.05,0.25,0.29,0.35
120.0,180.0,0.15,0.5,0.1,0.05,0.25,0.29,0.35
121.0,181.0,0.1,0.5,0.15,0.05,0.3,0.29,0.35
122.0,182.0,0.1,0.48,0.19,0.1,0.33,0.28,0.33
123.0,183.0,0.1,0.5,0.2,0.1,0.35,0.29,0.35
124.0,184.0,0.1,0.5,0.2,0.1,0.35,0.29,0.35
125.0,185.0,0.11,0.53,0.21,0.11,0.37,0.3,0.37
126.0,186.0,0.11,0.53,0.21,0.11,0.37,0.3,0.37
127.0,187.0,0.11,0.53,0.21,0.11,0.37,0.3,0.37
128.0,188.0,0.11,0.5,0.22,0.11,0.39,0.31,0.33
129.0,189.0,0.11,0.5,0.22,0.11,0.39,0.31,0.33
130.0,190.0,0.11,0.44,0.22,0.11,0.39,0.31,0.33
131.0,191.0,0.16,0.42,0.21,0.11,0.37,0.3,0.32
132.0,192.0,0.17,0.39,0.22,0.11,0.39,0.31,0.33
133.0,193.0,0.18,0.35,0.24,0.12,0.41,0.32,0.35
134.0,194.0,0.18,0.35,0.24,0.12,0.41,0.32,0.35
135.0,195.0,0.19,0.31,0.25,0.12,0.44,0.33,0.38
136.0,196.0,0.19,0.31,0.25,0.12,0.44,0.33,0.38
137.0,197.0,0.18,0.29,0.29,0.12,0.41,0.32,0.41
138.0,198.0,0.19,0.25,0.31,0.12,0.44,0.33,0.38
139.0,199.0,0.18,0.24,0.35,0.12,0.41,0.32,0.35
140.0,200.0,0.17,0.22,0.33,0.11,0.39,0.31,0.33
141.0,201.0,0.17,0.22,0.33,0.11,0.39,0.31,0.33
142.0,202.0,0.16,0.21,0.32,0.11,0.37,0.3,0.32
143.0,203.0,0.16,0.21,0.32,0.11,0.37,0.3,0.32
144.0,204.0,0.2,0.2,0.3,0.1,0.35,0.29,0.3
145.0,205.0,0.2,0.2,0.3,0.1,0.35,0.29,0.3
146.0,206.0,0.2,0.2,0.3,0.1,0.35,0.29,0.3
147.0,207.0,0.2,0.2,0.3,0.1,0.35,0.29,0.3
148.0,208.0,0.2,0.2,0.3,0.1,0.35,0.29,0.3
149.0,209.0,0.2,0.2,0.3,0.1,0.35,0.29,0.3
150.0,210.0,0.2,0.2,0.3,0.1,0.35,0.29,0.3
151.0,211.0,0.21,0.16,0.32,0.11,0.37,0.3,0.26
152.0,212.0,0.2,0.15,0.3,0.1,0.35,0.29,0.25
153.0,213.0,0.2,0.15,0.3,0.1,0.35,0.29,0.25
154.0,214.0,0.2,0.15,0.3,0.1,0.35,0.29,0.25
155.0,215.0,0.2,0.15,0.3,0.1,0.35,0.29,0.25
156.0,216.0,0.21,0.11,0.32,0.11,0.37,0.3,0.26
157.0,217.0,0.21,0.11,0.32,0.11,0.37,0.3,0.26
158.0,218.0,0.22,0.11,0.33,0.11,0.39,0.31,0.22
159.0,219.0,0.22,0.11,0.33,0.11,0.39,0.31,0.22
160.0,220.0,0.22,0.11,0.33,0.11,0.39,0.31,0.22
161.0,221.0,0.22,0.11,0.33,0.11,0.39,0.31,0.22
162.0,222.0,0.22,0.11,0.33,0.11,0.39,0.31,0.22
163.0,223.0,0.21,0.11,0.32,0.11,0.37,0.3,0.26
164.0,224.0,0.22,0.11,0.33,0.11,0.39,0.31,0.22
165.0,225.0,0.22,0.11,0.33,0.11,0.39,0.31,0.22
166.0,226.0,0.22,0.11,0.33,0.11,0.39,0.31,0.22
167.0,227.0,0.24,0.12,0.35,0.12,0.41,0.32,0.24
168.0,228.0,0.24,0.12,0.35,0.12,0.41,0.32,0.24
169.0,229.0,0.24,0.12,0.35,0.12,0.41,0.32,0.24
170.0,230.0,0.24,0.12,0.35,0.12,0.41,0.32,0.24
171.0,231.0,0.25,0.0,0.38,0.12,0.44,0.33,0.25
172.0,232.0,0.25,0.0,0.38,0.12,0.44,0.33,0.25
173.0,233.0,0.24,0.0,0.35,0.12,0.41,0.32,0.29
174.0,234.0,0.25,0.0,0.38,0.12,0.38,0.33,0.31
175.0,235.0,0.25,0.0,0.38,0.12,0.31,0.33,0.25
176.0,236.0,0.24,0.0,0.41,0.18,0.29,0.32,0.24
177.0,237.0,0.25,0.0,0.38,0.12,0.25,0.33,0.25
178.0,238.0,0.25,0.12,0.31,0.12,0.31,0.33,0.19
179.0,239.0,0.25,0.12,0.25,0.12,0.38,0.33,0.25
180.0,240.0,0.25,0.12,0.25,0.12,0.38,0.33,0.25
181.0,241.0,0.27,0.13,0.2,0.07,0.4,0.35,0.27
182.0,242.0,0.27,0.13,0.2,0.07,0.47,0.35,0.33
183.0,243.0,0.27,0.13,0.2,0.07,0.47,0.35,0.33
184.0,244.0,0.27,0.13,0.2,0.07,0.47,0.35,0.33
185.0,245.0,0.27,0.13,0.2,0.07,0.47,0.35,0.33
186.0,246.0,0.27,0.13,0.2,0.07,0.47,0.35,0.33
187.0,247.0,0.27,0.13,0.2,0.07,0.47,0.35,0.33
188.0,248.0,0.27,0.13,0.2,0.07,0.47,0.35,0.33
189.0,249.0,0.27,0.13,0.2,0.07,0.47,0.35,0.33
190.0,250.0,0.29,0.14,0.21,0.07,0.5,0.36,0.36
