student,source,target,valid,start,end,duration
3D4B,slot_fossil_fuel,slot_factory,1,40.065,41.34,1.275
3D4B,slot_decomposers_land,slot_dead_land,1,47.156,47.746,0.59
3D4B,slot_dead_land,slot_fossil_fuel,0,49.471,50.379,0.908
3D4B,slot_decomposers_land,slot_fossil_fuel,0,54.068,55.212,1.144
3D4B,slot_factory,slot_carbon_dioxide,0,62.244,63.563,1.319
3D4B,slot_factory,slot_atmosphere,1,65.509,66.893,1.384
3D4B,slot_atmosphere,slot_carbon_dioxide,1,68.061,69.044,0.983
3D4B,slot_atmosphere,slot_plants,1,71.52,72.075,0.555
3D4B,slot_plants,slot_animals,1,74.619,77.738,3.119
3D4B,slot_animals,slot_dead_land,1,81.797,82.831,1.034
3D4B,slot_carbon_dioxide,slot_algae,1,92.388,93.502,1.114
3D4B,slot_algae,slot_fish,1,94.645,95.089,0.444
3D4B,slot_carbon_dioxide,slot_fish,0,96.269,96.711,0.442
3D4B,slot_algae,slot_decomposers_ocean,0,99.352,100.07,0.718
3D4B,slot_fish,slot_decomposers_ocean,0,101.381,101.794,0.413
3D4B,slot_decomposers_ocean,slot_fish,0,103.152,103.64,0.488
3D4B,slot_fish,slot_dead_ocean,1,105.468,106.108,0.64
3D4B,slot_decomposers_ocean,slot_dead_ocean,1,107.86,108.634,0.774
3D4B,slot_decomposers_land,slot_plants,0,119.041,119.722,0.681
3D4B,slot_animals,slot_decomposers_land,0,123.652,124.643,0.991
3D4B,slot_algae,slot_dead_ocean,1,129.193,129.686,0.493
3D4B,slot_carbon_dioxide,slot_decomposers_ocean,0,131.897,132.614,0.717
3D4B,slot_carbon_dioxide,slot_fish,0,134.005,134.915,0.91
3D4B,slot_decomposers_ocean,slot_fish,0,136.647,137.143,0.496
3D4B,slot_atmosphere,slot_animals,0,139.668,140.444,0.776
3D4B,slot_atmosphere,slot_plants,1,142.717,147.234,4.517
3D4B,slot_atmosphere,slot_decomposers_ocean,0,149.611,155.071,5.46
3D4B,slot_fish,slot_decomposers_ocean,0,156.706,157.103,0.397
3D4B,slot_decomposers_ocean,slot_fish,0,157.946,158.475,0.529
3D4B,slot_carbon_dioxide,slot_decomposers_ocean,0,161.069,161.772,0.703
3D4B,slot_decomposers_ocean,slot_carbon_dioxide,1,162.667,163.32,0.653
3D4B,slot_carbon_dioxide,slot_animals,0,165.571,166.285,0.714
3D4B,slot_animals,slot_carbon_dioxide,0,167.153,168.124,0.971
3D4B,slot_decomposers_land,slot_plants,0,179.553,180.161,0.608
3D4B,slot_plants,slot_decomposers_land,0,182.269,183.32,1.051
3D4B,slot_carbon_dioxide,slot_fish,0,186.772,187.218,0.446
3D4B,slot_fish,slot_algae,0,188.064,188.653,0.589
3D4B,slot_fish,slot_dead_land,0,190.066,191.47,1.404
3D4B,slot_dead_land,slot_fish,0,192.577,193.229,0.652
3D4B,slot_dead_ocean,slot_fossil_fuel,0,194.695,196.52,1.825
3D4B,slot_atmosphere,slot_animals,0,202.236,203.489,1.253
3D4B,slot_animals,slot_atmosphere,1,209.749,210.803,1.054
3D4B,slot_fish,slot_atmosphere,0,215.176,218.182,3.006
3D4B,slot_fish,slot_carbon_dioxide,1,225.451,226.282,0.831
3D4B,slot_algae,slot_carbon_dioxide,1,230.464,231.842,1.378
3D4B,slot_decomposers_ocean,slot_carbon_dioxide,1,233.419,234.155,0.736
3D4B,slot_decomposers_ocean,slot_carbon_dioxide,1,235.746,236.26,0.514
3D4B,slot_carbon_dioxide,slot_decomposers_ocean,0,237.416,238.024,0.608
3D4B,slot_plants,slot_atmosphere,1,243.937,245.369,1.432
3D4B,slot_decomposers_ocean,slot_atmosphere,0,250.366,252.078,1.712
3D4B,slot_decomposers_land,slot_atmosphere,1,256.561,257.247,0.686
3D4B,slot_atmosphere,slot_decomposers_land,0,260.194,261.458,1.264
3D4B,slot_dead_land,slot_atmosphere,0,264.254,264.964,0.71
3D4B,slot_atmosphere,slot_animals,0,265.872,268.464,2.592
3D4B,slot_atmosphere,slot_plants,1,270.5,271.14,0.64
3D4B,slot_decomposers_land,slot_plants,0,273.285,273.798,0.513
3D4B,slot_atmosphere,slot_decomposers_ocean,0,279.359,281.214,1.855
3D4B,slot_decomposers_ocean,slot_atmosphere,0,281.982,283.075,1.093
3D4B,slot_dead_ocean,slot_atmosphere,0,285.622,286.373,0.751
3D4B,slot_carbon_dioxide,slot_dead_ocean,0,288.653,289.702,1.049
3D4B,slot_dead_ocean,slot_carbon_dioxide,0,290.357,294.568,4.211
3D4B,slot_decomposers_ocean,slot_carbon_dioxide,1,296.165,296.992,0.827
3D4B,slot_carbon_dioxide,slot_decomposers_ocean,0,298.066,298.685,0.619
3D4B,slot_dead_ocean,slot_decomposers_ocean,1,301.459,302.805,1.346
3D4B,slot_carbon_dioxide,slot_plants,0,308.176,309.082,0.906
3D4B,slot_plants,slot_carbon_dioxide,0,309.973,310.895,0.922
3D4B,slot_dead_land,slot_decomposers_land,1,312.704,313.319,0.615
3D4B,slot_dead_land,slot_plants,0,315.348,316.093,0.745
3D4B,slot_plants,slot_dead_land,1,324.293,324.878,0.585
3D4B,slot_carbon_dioxide,slot_atmosphere,1,327.574,328.132,0.558
