student,source,target,valid,start,end,duration
3J3Y,slot_plants,slot_animals,1,20.913,26.37,5.457
3J3Y,slot_factory,slot_plants,0,30.256,30.745,0.489
3J3Y,slot_plants,slot_decomposers_land,0,32.203,32.679,0.476
3J3Y,slot_factory,slot_decomposers_land,0,34.152,35.179,1.027
3J3Y,slot_decomposers_land,slot_factory,0,36.467,37.178,0.711
3J3Y,slot_factory,slot_atmosphere,1,40.763,41.388,0.625
3J3Y,slot_animals,slot_carbon_dioxide,0,45.364,46.034,0.67
3J3Y,slot_animals,slot_dead_land,1,47.512,50.464,2.952
3J3Y,slot_fossil_fuel,slot_dead_ocean,0,54.69,55.345,0.655
3J3Y,slot_dead_ocean,slot_fossil_fuel,0,57.217,58.086,0.869
3J3Y,slot_fossil_fuel,slot_factory,1,64.099,69.985,5.886
3J3Y,slot_decomposers_land,slot_fossil_fuel,0,74.753,75.843,1.09
3J3Y,slot_decomposers_land,slot_dead_land,1,77.034,78.326,1.292
3J3Y,slot_decomposers_land,slot_plants,0,81.88,82.572,0.692
3J3Y,slot_decomposers_land,slot_fossil_fuel,0,84.268,85.918,1.65
3J3Y,slot_dead_land,slot_fossil_fuel,0,87.1,87.6,0.5
3J3Y,slot_algae,slot_fish,1,89.54,90.016,0.476
3J3Y,slot_fish,slot_carbon_dioxide,1,91.173,91.717,0.544
3J3Y,slot_fish,slot_decomposers_ocean,0,93.238,93.751,0.513
3J3Y,slot_decomposers_ocean,slot_fish,0,94.77,95.889,1.119
3J3Y,slot_decomposers_ocean,slot_dead_ocean,1,98.985,99.709,0.724
3J3Y,slot_dead_ocean,slot_fish,0,100.374,100.786,0.412
3J3Y,slot_fish,slot_dead_ocean,1,101.8,102.269,0.469
3J3Y,slot_carbon_dioxide,slot_decomposers_ocean,0,106.063,106.579,0.516
3J3Y,slot_decomposers_ocean,slot_carbon_dioxide,1,107.283,108.247,0.964
3J3Y,slot_decomposers_ocean,slot_fossil_fuel,0,111.349,113.175,1.826
3J3Y,slot_algae,slot_carbon_dioxide,1,121.272,121.653,0.381
3J3Y,slot_algae,slot_animals,0,125.163,126.677,1.514
3J3Y,slot_animals,slot_carbon_dioxide,0,129.214,129.819,0.605
3J3Y,slot_carbon_dioxide,slot_animals,0,130.796,131.721,0.925
3J3Y,slot_plants,slot_atmosphere,1,133.391,134.035,0.644
3J3Y,slot_animals,slot_atmosphere,1,135.473,135.646,0.173
3J3Y,slot_atmosphere,slot_carbon_dioxide,1,139.638,140.43,0.792
3J3Y,slot_carbon_dioxide,slot_atmosphere,1,143.185,143.667,0.482
3J3Y,slot_carbon_dioxide,slot_algae,1,149.029,149.638,0.609
3J3Y,slot_algae,slot_dead_ocean,1,152.784,153.675,0.891
3J3Y,slot_dead_ocean,slot_decomposers_ocean,1,155.579,157.028,1.449
3J3Y,slot_decomposers_land,slot_plants,0,160.67,161.165,0.495
3J3Y,slot_dead_land,slot_decomposers_land,1,162.923,163.985,1.062
3J3Y,slot_plants,slot_dead_land,1,168.436,170.5,2.064
3J3Y,slot_plants,slot_decomposers_land,0,173.495,175.45,1.955
3J3Y,slot_atmosphere,slot_decomposers_land,0,183.291,184.264,0.973
3J3Y,slot_decomposers_land,slot_atmosphere,1,189.935,190.258,0.323
3J3Y,slot_atmosphere,slot_plants,1,197.441,198.162,0.721
