student,source,target,valid,start,end,duration
3PRC,slot_plants,slot_decomposers_land,0,22.263,22.885,0.622
3PRC,slot_decomposers_land,slot_plants,0,24.213,24.72,0.507
3PRC,slot_decomposers_land,slot_atmosphere,1,27.33,28.018,0.688
3PRC,slot_decomposers_land,slot_dead_land,1,30.479,30.867,0.388
3PRC,slot_plants,slot_dead_land,1,32.046,32.518,0.472
3PRC,slot_animals,slot_dead_land,1,36.013,36.517,0.504
3PRC,slot_animals,slot_atmosphere,1,37.78,38.385,0.605
3PRC,slot_plants,slot_atmosphere,1,39.464,39.87,0.406
3PRC,slot_plants,slot_animals,1,42.463,43.218,0.755
3PRC,slot_fossil_fuel,slot_factory,1,48.746,49.301,0.555
3PRC,slot_factory,slot_atmosphere,1,50.047,50.634,0.587
3PRC,slot_dead_ocean,slot_decomposers_ocean,1,54.181,54.536,0.355
3PRC,slot_decomposers_ocean,slot_dead_ocean,1,56.114,56.685,0.571
3PRC,slot_algae,slot_dead_ocean,1,57.93,58.419,0.489
3PRC,slot_dead_ocean,slot_algae,0,59.313,59.653,0.34
3PRC,slot_fish,slot_carbon_dioxide,1,71.446,71.685,0.239
3PRC,slot_carbon_dioxide,slot_atmosphere,1,72.379,72.952,0.573
3PRC,slot_algae,slot_carbon_dioxide,1,74.33,74.639,0.309
3PRC,slot_carbon_dioxide,slot_algae,1,75.38,75.834,0.454
3PRC,slot_carbon_dioxide,slot_decomposers_ocean,0,76.897,77.419,0.522
3PRC,slot_decomposers_ocean,slot_carbon_dioxide,1,78.549,78.953,0.404
3PRC,slot_fish,slot_dead_ocean,1,83.396,83.785,0.389
3PRC,slot_algae,slot_fish,1,92.463,92.802,0.339
3PRC,slot_dead_land,slot_decomposers_land,1,107.448,107.868,0.42
3PRC,slot_carbon_dioxide,slot_plants,0,112.663,113.302,0.639
3PRC,slot_plants,slot_carbon_dioxide,0,114.096,114.8,0.704
3PRC,slot_atmosphere,slot_carbon_dioxide,1,127.013,127.37,0.357
3PRC,slot_atmosphere,slot_plants,1,128.879,129.436,0.557
