student,source,target,valid,start,end,duration
3Y4K,slot_factory,slot_plants,0,188.448,189.201,0.753
3Y4K,slot_factory,slot_decomposers_land,0,190.494,191.132,0.638
3Y4K,slot_factory,slot_animals,0,192.226,193.187,0.961
3Y4K,slot_factory,slot_dead_land,0,195.156,196.001,0.845
3Y4K,slot_factory,slot_fossil_fuel,0,197.723,198.693,0.97
3Y4K,slot_factory,slot_carbon_dioxide,0,201.164,202.127,0.963
3Y4K,slot_factory,slot_algae,0,203.261,205.467,2.206
3Y4K,slot_factory,slot_fish,0,207.075,208.224,1.149
3Y4K,slot_factory,slot_decomposers_ocean,0,209.588,212.761,3.173
3Y4K,slot_factory,slot_dead_ocean,0,214.735,215.721,0.986
3Y4K,slot_plants,slot_animals,1,218.393,218.888,0.495
3Y4K,slot_plants,slot_dead_land,1,221.507,222.081,0.574
3Y4K,slot_plants,slot_decomposers_land,0,223.686,224.31,0.624
3Y4K,slot_plants,slot_fossil_fuel,0,227.365,227.924,0.559
3Y4K,slot_animals,slot_plants,0,229.929,230.626,0.697
3Y4K,slot_dead_land,slot_plants,0,232.591,232.997,0.406
3Y4K,slot_decomposers_land,slot_plants,0,234.272,234.709,0.437
3Y4K,slot_animals,slot_algae,0,239.12,240.3,1.18
3Y4K,slot_animals,slot_fish,0,241.514,242.245,0.731
3Y4K,slot_decomposers_land,slot_plants,0,254.798,256.229,1.431
3Y4K,slot_decomposers_land,slot_dead_land,1,257.979,258.664,0.685
3Y4K,slot_decomposers_land,slot_animals,0,260.644,261.525,0.881
3Y4K,slot_decomposers_land,slot_plants,0,263.019,263.532,0.513
3Y4K,slot_decomposers_land,slot_factory,0,265.568,266.751,1.183
3Y4K,slot_fossil_fuel,slot_decomposers_land,0,270.044,270.5,0.456
3Y4K,slot_decomposers_land,slot_fossil_fuel,0,272.262,272.986,0.724
3Y4K,slot_decomposers_land,slot_factory,0,274.256,274.809,0.553
3Y4K,slot_fossil_fuel,slot_factory,1,276.556,277.504,0.948
3Y4K,slot_factory,slot_plants,0,279.898,280.387,0.489
3Y4K,slot_factory,slot_animals,0,281.666,282.557,0.891
3Y4K,slot_factory,slot_carbon_dioxide,0,284.209,287.614,3.405
3Y4K,slot_carbon_dioxide,slot_algae,1,308.078,308.433,0.355
3Y4K,slot_carbon_dioxide,slot_decomposers_ocean,0,309.708,310.103,0.395
3Y4K,slot_carbon_dioxide,slot_fish,0,312.422,314.41,1.988
3Y4K,slot_carbon_dioxide,slot_dead_ocean,0,315.752,318.272,2.52
3Y4K,slot_algae,slot_dead_ocean,1,320.815,322.032,1.217
3Y4K,slot_dead_ocean,slot_decomposers_ocean,1,324.131,324.764,0.633
3Y4K,slot_decomposers_ocean,slot_fish,0,326.354,326.868,0.514
3Y4K,slot_fish,slot_carbon_dioxide,1,328.238,328.543,0.305
3Y4K,slot_decomposers_ocean,slot_carbon_dioxide,1,329.734,330.295,0.561
3Y4K,slot_carbon_dioxide,slot_algae,1,333.663,334.229,0.566
3Y4K,slot_algae,slot_carbon_dioxide,1,336.532,337.935,1.403
3Y4K,slot_decomposers_ocean,slot_carbon_dioxide,1,341.855,342.237,0.382
3Y4K,slot_decomposers_ocean,slot_carbon_dioxide,1,344.035,344.807,0.772
3Y4K,slot_fish,slot_decomposers_ocean,0,346.382,346.717,0.335
3Y4K,slot_algae,slot_fish,1,352.709,353.231,0.522
3Y4K,slot_fish,slot_decomposers_ocean,0,356.484,357.134,0.65
3Y4K,slot_fish,slot_dead_ocean,1,358.752,359.388,0.636
3Y4K,slot_dead_ocean,slot_decomposers_ocean,1,360.666,361.176,0.51
3Y4K,slot_dead_ocean,slot_carbon_dioxide,0,363.922,364.642,0.72
3Y4K,slot_dead_ocean,slot_dead_land,0,366.288,367.162,0.874
3Y4K,slot_dead_ocean,slot_animals,0,370.265,371.511,1.246
3Y4K,slot_carbon_dioxide,slot_decomposers_ocean,0,377.556,378.168,0.612
3Y4K,slot_carbon_dioxide,slot_fish,0,379.221,379.983,0.762
3Y4K,slot_carbon_dioxide,slot_dead_ocean,0,381.903,383.706,1.803
3Y4K,slot_carbon_dioxide,slot_animals,0,394.235,394.964,0.729
3Y4K,slot_carbon_dioxide,slot_dead_land,0,396.35,397.021,0.671
3Y4K,slot_carbon_dioxide,slot_plants,0,398.766,400.219,1.453
3Y4K,slot_carbon_dioxide,slot_factory,0,401.893,402.617,0.724
3Y4K,slot_carbon_dioxide,slot_decomposers_land,0,404.057,404.955,0.898
3Y4K,slot_atmosphere,slot_factory,0,417.523,418.071,0.548
3Y4K,slot_atmosphere,slot_carbon_dioxide,1,419.375,420.165,0.79
3Y4K,slot_atmosphere,slot_plants,1,422.823,423.755,0.932
3Y4K,slot_atmosphere,slot_animals,0,424.988,425.634,0.646
3Y4K,slot_atmosphere,slot_factory,0,427.231,428.018,0.787
3Y4K,slot_atmosphere,slot_decomposers_ocean,0,430.506,431.415,0.909
