student,source,target,valid,start,end,duration
46FX,slot_plants,slot_animals,1,45.017,45.772,0.755
46FX,slot_factory,slot_atmosphere,1,56.006,56.896,0.89
46FX,slot_decomposers_land,slot_plants,0,63.1,64.24,1.14
46FX,slot_decomposers_land,slot_dead_land,1,65.901,66.239,0.338
46FX,slot_decomposers_land,slot_factory,0,69.079,69.737,0.658
46FX,slot_fossil_fuel,slot_factory,1,71.196,72.126,0.93
46FX,slot_fish,slot_algae,0,83.185,83.658,0.473
46FX,slot_algae,slot_fish,1,87.149,87.505,0.356
46FX,slot_decomposers_ocean,slot_dead_ocean,1,90.83,91.65,0.82
46FX,slot_carbon_dioxide,slot_atmosphere,1,93.561,94.134,0.573
46FX,slot_atmosphere,slot_carbon_dioxide,1,95.282,96.092,0.81
46FX,slot_carbon_dioxide,slot_fish,0,98.39,98.89,0.5
46FX,slot_carbon_dioxide,slot_decomposers_ocean,0,100.29,100.682,0.392
46FX,slot_carbon_dioxide,slot_algae,1,104.74,109.526,4.786
46FX,slot_algae,slot_dead_ocean,1,115.277,117.12,1.843
46FX,slot_dead_ocean,slot_fossil_fuel,0,126.635,127.101,0.466
46FX,slot_plants,slot_atmosphere,1,132.604,133.156,0.552
46FX,slot_atmosphere,slot_animals,0,135.215,135.723,0.508
46FX,slot_atmosphere,slot_plants,1,136.997,137.661,0.664
46FX,slot_plants,slot_decomposers_land,0,141.457,142.381,0.924
46FX,slot_decomposers_land,slot_plants,0,143.545,143.977,0.432
46FX,slot_dead_land,slot_animals,0,148.302,148.775,0.473
46FX,slot_animals,slot_dead_land,1,149.627,150.414,0.787
46FX,slot_dead_land,slot_plants,0,156.685,157.238,0.553
46FX,slot_plants,slot_dead_land,1,157.994,158.336,0.342
46FX,slot_carbon_dioxide,slot_decomposers_ocean,0,162.424,162.885,0.461
46FX,slot_decomposers_ocean,slot_fish,0,165.757,166.219,0.462
46FX,slot_fish,slot_decomposers_ocean,0,167.141,167.494,0.353
46FX,slot_dead_land,slot_algae,0,169.586,170.697,1.111
46FX,slot_decomposers_land,slot_animals,0,174.284,176.156,1.872
46FX,slot_dead_land,slot_animals,0,179.679,180.162,0.483
46FX,slot_animals,slot_decomposers_land,0,182.06,182.748,0.688
46FX,slot_decomposers_land,slot_dead_land,1,183.742,184.113,0.371
46FX,slot_algae,slot_carbon_dioxide,1,190.986,191.409,0.423
46FX,slot_decomposers_ocean,slot_dead_ocean,1,193.451,194.127,0.676
46FX,slot_dead_ocean,slot_decomposers_ocean,1,195.0,195.441,0.441
46FX,slot_decomposers_ocean,slot_carbon_dioxide,1,200.014,200.435,0.421
46FX,slot_fish,slot_decomposers_ocean,0,205.18,205.545,0.365
46FX,slot_fish,slot_carbon_dioxide,1,206.875,207.209,0.334
46FX,slot_fish,slot_dead_ocean,1,208.724,209.076,0.352
46FX,slot_dead_land,slot_animals,0,213.403,214.045,0.642
46FX,slot_decomposers_land,slot_animals,0,217.042,217.723,0.681
46FX,slot_animals,slot_decomposers_land,0,218.5,219.476,0.976
46FX,slot_dead_land,slot_animals,0,221.666,222.426,0.76
46FX,slot_animals,slot_dead_land,1,223.3,224.26,0.96
46FX,slot_dead_land,slot_decomposers_land,1,226.643,227.537,0.894
46FX,slot_animals,slot_decomposers_land,0,232.021,232.825,0.804
46FX,slot_decomposers_land,slot_animals,0,233.587,234.602,1.015
46FX,slot_animals,slot_atmosphere,1,235.373,235.815,0.442
46FX,slot_decomposers_land,slot_atmosphere,1,238.798,239.38,0.582
