student,source,target,valid,start,end,duration
4B79,slot_atmosphere,slot_plants,1,35.947,36.63,0.683
4B79,slot_animals,slot_atmosphere,1,37.917,38.188,0.271
4B79,slot_factory,slot_atmosphere,1,47.891,48.398,0.507
4B79,slot_fossil_fuel,slot_factory,1,49.854,50.965,1.111
4B79,slot_dead_land,slot_decomposers_land,1,58.923,59.436,0.513
4B79,slot_decomposers_land,slot_plants,0,63.704,64.192,0.488
4B79,slot_carbon_dioxide,slot_atmosphere,1,82.227,82.787,0.56
4B79,slot_atmosphere,slot_carbon_dioxide,1,84.728,85.546,0.818
4B79,slot_fish,slot_atmosphere,0,100.491,101.07,0.579
4B79,slot_atmosphere,slot_fish,0,103.066,103.843,0.777
4B79,slot_dead_ocean,slot_decomposers_ocean,1,108.096,108.602,0.506
4B79,slot_dead_ocean,slot_algae,0,112.826,113.501,0.675
4B79,slot_decomposers_ocean,slot_carbon_dioxide,1,119.487,120.039,0.552
4B79,slot_fish,slot_carbon_dioxide,1,127.938,128.283,0.345
4B79,slot_carbon_dioxide,slot_algae,1,130.033,130.473,0.44
4B79,slot_decomposers_land,slot_atmosphere,1,137.84,138.321,0.481
4B79,slot_decomposers_land,slot_plants,0,140.902,141.369,0.467
4B79,slot_plants,slot_decomposers_land,0,142.999,144.371,1.372
4B79,slot_carbon_dioxide,slot_algae,1,155.902,156.402,0.5
4B79,slot_carbon_dioxide,slot_dead_ocean,0,163.856,164.874,1.018
4B79,slot_carbon_dioxide,slot_animals,0,167.583,168.325,0.742
4B79,slot_dead_land,slot_atmosphere,0,177.033,177.583,0.55
4B79,slot_atmosphere,slot_dead_land,0,179.007,179.743,0.736
4B79,slot_dead_land,slot_algae,0,183.818,184.345,0.527
4B79,slot_dead_land,slot_animals,0,186.626,186.678,0.052
4B79,slot_dead_ocean,slot_algae,0,196.879,197.194,0.315
4B79,slot_dead_ocean,slot_fish,0,201.127,202.874,1.747
4B79,slot_dead_ocean,slot_dead_land,0,204.142,207.74,3.598
4B79,slot_dead_ocean,slot_decomposers_land,0,209.378,210.172,0.794
4B79,slot_dead_ocean,slot_animals,0,211.503,217.553,6.05
4B79,slot_dead_ocean,slot_plants,0,219.144,219.94,0.796
4B79,slot_dead_ocean,slot_decomposers_ocean,1,225.21,225.765,0.555
4B79,slot_atmosphere,slot_dead_land,0,232.752,233.321,0.569
4B79,slot_dead_land,slot_atmosphere,0,234.931,235.922,0.991
4B79,slot_dead_land,slot_plants,0,237.331,237.72,0.389
4B79,slot_decomposers_land,slot_dead_land,1,244.639,245.019,0.38
4B79,slot_decomposers_ocean,slot_dead_ocean,1,248.451,249.102,0.651
4B79,slot_plants,slot_dead_land,1,256.792,257.26,0.468
4B79,slot_animals,slot_dead_land,1,259.06,259.579,0.519
4B79,slot_algae,slot_dead_ocean,1,271.154,271.744,0.59
4B79,slot_fish,slot_dead_ocean,1,272.852,273.208,0.356
4B79,slot_algae,slot_fish,1,281.876,282.399,0.523
4B79,slot_algae,slot_carbon_dioxide,1,285.368,285.836,0.468
4B79,slot_plants,slot_animals,1,287.428,287.91,0.482
4B79,slot_plants,slot_atmosphere,1,289.694,290.263,0.569
