student,source,target,valid,start,end,duration
4PFM,slot_carbon_dioxide,slot_decomposers_ocean,0,50.522,51.104,0.582
4PFM,slot_carbon_dioxide,slot_fish,0,52.806,53.437,0.631
4PFM,slot_algae,slot_carbon_dioxide,1,63.338,64.063,0.725
4PFM,slot_decomposers_ocean,slot_dead_ocean,1,70.322,71.017,0.695
4PFM,slot_fish,slot_carbon_dioxide,1,88.088,88.649,0.561
4PFM,slot_plants,slot_animals,1,94.605,95.16,0.555
4PFM,slot_decomposers_land,slot_dead_land,1,98.339,98.971,0.632
4PFM,slot_decomposers_land,slot_animals,0,101.638,102.328,0.69
4PFM,slot_dead_land,slot_animals,0,103.794,104.405,0.611
4PFM,slot_plants,slot_decomposers_land,0,106.586,107.98,1.394
4PFM,slot_factory,slot_fossil_fuel,0,110.309,112.19,1.881
4PFM,slot_animals,slot_factory,0,116.07,116.794,0.724
4PFM,slot_plants,slot_factory,0,118.12,118.479,0.359
4PFM,slot_dead_land,slot_factory,0,119.72,120.463,0.743
4PFM,slot_fish,slot_dead_ocean,1,122.355,123.057,0.702
4PFM,slot_fish,slot_decomposers_ocean,0,127.709,128.44,0.731
4PFM,slot_fish,slot_algae,0,129.612,130.379,0.767
4PFM,slot_fish,slot_carbon_dioxide,1,131.506,131.818,0.312
4PFM,slot_decomposers_ocean,slot_carbon_dioxide,1,135.369,138.128,2.759
4PFM,slot_decomposers_ocean,slot_fish,0,141.791,142.222,0.431
4PFM,slot_algae,slot_decomposers_ocean,0,143.637,144.622,0.985
4PFM,slot_algae,slot_fish,1,146.541,147.047,0.506
4PFM,slot_algae,slot_dead_ocean,1,148.506,149.057,0.551
4PFM,slot_algae,slot_decomposers_ocean,0,151.073,152.027,0.954
4PFM,slot_decomposers_ocean,slot_dead_ocean,1,153.088,159.738,6.65
4PFM,slot_decomposers_ocean,slot_algae,0,161.534,162.43,0.896
4PFM,slot_algae,slot_carbon_dioxide,1,163.417,163.865,0.448
4PFM,slot_carbon_dioxide,slot_decomposers_ocean,0,165.556,166.256,0.7
4PFM,slot_carbon_dioxide,slot_animals,0,170.85,171.46,0.61
4PFM,slot_carbon_dioxide,slot_plants,0,173.201,173.914,0.713
4PFM,slot_dead_land,slot_carbon_dioxide,0,175.12,175.809,0.689
4PFM,slot_decomposers_land,slot_plants,0,177.404,178.137,0.733
4PFM,slot_dead_land,slot_plants,0,179.756,180.378,0.622
4PFM,slot_animals,slot_decomposers_land,0,183.717,184.203,0.486
4PFM,slot_dead_land,slot_plants,0,185.44,185.888,0.448
4PFM,slot_decomposers_land,slot_animals,0,187.917,189.91,1.993
4PFM,slot_animals,slot_plants,0,190.838,191.153,0.315
4PFM,slot_atmosphere,slot_carbon_dioxide,1,195.501,196.659,1.158
4PFM,slot_carbon_dioxide,slot_animals,0,200.234,200.977,0.743
4PFM,slot_atmosphere,slot_plants,1,202.402,203.794,1.392
4PFM,slot_atmosphere,slot_animals,0,205.228,205.857,0.629
4PFM,slot_atmosphere,slot_factory,0,207.468,208.328,0.86
4PFM,slot_atmosphere,slot_factory,0,211.216,211.824,0.608
4PFM,slot_fossil_fuel,slot_factory,1,217.085,218.075,0.99
4PFM,slot_factory,slot_atmosphere,1,220.056,220.934,0.878
4PFM,slot_animals,slot_atmosphere,1,228.199,228.962,0.763
4PFM,slot_algae,slot_atmosphere,0,232.316,232.806,0.49
4PFM,slot_decomposers_ocean,slot_atmosphere,0,238.798,239.465,0.667
4PFM,slot_plants,slot_animals,1,259.247,260.309,1.062
4PFM,slot_factory,slot_atmosphere,1,262.679,263.217,0.538
4PFM,slot_factory,slot_fossil_fuel,0,264.767,265.893,1.126
4PFM,slot_factory,slot_fossil_fuel,0,267.432,268.168,0.736
4PFM,slot_fossil_fuel,slot_factory,1,269.362,270.121,0.759
4PFM,slot_decomposers_land,slot_dead_land,1,271.713,272.202,0.489
4PFM,slot_animals,slot_plants,0,274.814,275.251,0.437
4PFM,slot_plants,slot_animals,1,276.296,276.708,0.412
4PFM,slot_animals,slot_dead_land,1,279.536,280.073,0.537
4PFM,slot_decomposers_land,slot_dead_land,1,285.649,286.204,0.555
4PFM,slot_decomposers_land,slot_plants,0,288.398,289.003,0.605
4PFM,slot_decomposers_land,slot_dead_land,1,291.195,293.389,2.194
4PFM,slot_carbon_dioxide,slot_decomposers_ocean,0,295.247,295.701,0.454
4PFM,slot_carbon_dioxide,slot_atmosphere,1,296.863,299.257,2.394
4PFM,slot_algae,slot_fish,1,302.269,306.139,3.87
4PFM,slot_decomposers_ocean,slot_dead_ocean,1,308.95,309.504,0.554
4PFM,slot_dead_ocean,slot_algae,0,310.946,313.207,2.261
4PFM,slot_fish,slot_dead_ocean,1,316.714,317.176,0.462
4PFM,slot_carbon_dioxide,slot_fish,0,321.128,321.951,0.823
4PFM,slot_fish,slot_carbon_dioxide,1,323.249,323.713,0.464
4PFM,slot_decomposers_ocean,slot_carbon_dioxide,1,325.76,328.141,2.381
4PFM,slot_algae,slot_atmosphere,0,335.564,336.166,0.602
4PFM,slot_algae,slot_animals,0,337.959,338.801,0.842
4PFM,slot_plants,slot_decomposers_land,0,341.243,343.646,2.403
4PFM,slot_decomposers_land,slot_plants,0,344.119,344.72,0.601
4PFM,slot_dead_land,slot_plants,0,345.96,346.386,0.426
4PFM,slot_dead_land,slot_algae,0,348.11,348.656,0.546
4PFM,slot_carbon_dioxide,slot_atmosphere,1,351.258,352.927,1.669
4PFM,slot_atmosphere,slot_carbon_dioxide,1,354.71,355.64,0.93
4PFM,slot_atmosphere,slot_algae,0,357.743,358.769,1.026
4PFM,slot_algae,slot_atmosphere,0,361.277,363.472,2.195
4PFM,slot_decomposers_ocean,slot_atmosphere,0,368.285,369.122,0.837
4PFM,slot_carbon_dioxide,slot_algae,1,373.495,377.208,3.713
4PFM,slot_atmosphere,slot_algae,0,382.891,383.903,1.012
4PFM,slot_algae,slot_atmosphere,0,386.257,391.319,5.062
4PFM,slot_algae,slot_carbon_dioxide,1,394.973,395.146,0.173
4PFM,slot_decomposers_ocean,slot_atmosphere,0,399.107,399.746,0.639
4PFM,slot_atmosphere,slot_decomposers_ocean,0,400.691,401.873,1.182
4PFM,slot_algae,slot_atmosphere,0,406.491,409.057,2.566
4PFM,slot_atmosphere,slot_algae,0,410.278,411.51,1.232
4PFM,slot_dead_ocean,slot_algae,0,412.913,413.707,0.794
4PFM,slot_algae,slot_dead_ocean,1,414.611,415.391,0.78
4PFM,slot_decomposers_ocean,slot_dead_land,0,421.163,422.776,1.613
4PFM,slot_decomposers_ocean,slot_animals,0,424.628,425.361,0.733
4PFM,slot_plants,slot_dead_land,1,427.09,427.986,0.896
4PFM,slot_animals,slot_dead_ocean,0,431.59,433.257,1.667
4PFM,slot_plants,slot_atmosphere,1,438.913,440.22,1.307
4PFM,slot_plants,slot_decomposers_ocean,0,448.516,449.896,1.38
4PFM,slot_animals,slot_dead_land,1,451.828,452.555,0.727
4PFM,slot_animals,slot_decomposers_land,0,455.016,456.069,1.053
4PFM,slot_decomposers_land,slot_animals,0,457.415,458.388,0.973
4PFM,slot_dead_ocean,slot_decomposers_ocean,1,462.789,463.652,0.863
4PFM,slot_plants,slot_dead_land,1,476.24,477.126,0.886
