student,source,target,valid,start,end,duration
64X9,slot_factory,slot_atmosphere,1,6.143,6.907,0.764
64X9,slot_dead_ocean,slot_atmosphere,0,16.496,17.452,0.956
64X9,slot_fossil_fuel,slot_atmosphere,0,27.585,28.214,0.629
64X9,slot_animals,slot_dead_land,1,36.856,37.809,0.953
64X9,slot_animals,slot_atmosphere,1,39.225,39.799,0.574
64X9,slot_atmosphere,slot_animals,0,42.178,42.946,0.768
64X9,slot_atmosphere,slot_plants,1,45.128,45.749,0.621
64X9,slot_plants,slot_atmosphere,1,46.596,49.673,3.077
64X9,slot_carbon_dioxide,slot_atmosphere,1,56.067,57.595,1.528
64X9,slot_atmosphere,slot_carbon_dioxide,1,59.386,60.447,1.061
64X9,slot_fossil_fuel,slot_factory,1,66.538,67.299,0.761
64X9,slot_fish,slot_algae,0,74.243,74.842,0.599
64X9,slot_fish,slot_carbon_dioxide,1,79.244,79.834,0.59
64X9,slot_carbon_dioxide,slot_fish,0,83.346,83.764,0.418
64X9,slot_decomposers_ocean,slot_dead_ocean,1,87.082,89.343,2.261
64X9,slot_dead_ocean,slot_fish,0,91.551,91.996,0.445
64X9,slot_fish,slot_dead_ocean,1,92.8,93.382,0.582
64X9,slot_algae,slot_dead_ocean,1,96.29,97.378,1.088
64X9,slot_dead_ocean,slot_carbon_dioxide,0,104.907,106.041,1.134
64X9,slot_dead_ocean,slot_dead_land,0,108.725,114.881,6.156
64X9,slot_dead_ocean,slot_decomposers_land,0,117.03,118.684,1.654
64X9,slot_dead_ocean,slot_animals,0,120.864,124.726,3.862
64X9,slot_dead_ocean,slot_plants,0,126.252,127.204,0.952
64X9,slot_dead_ocean,slot_atmosphere,0,129.719,131.533,1.814
64X9,slot_dead_ocean,slot_fish,0,134.355,135.679,1.324
64X9,slot_dead_ocean,slot_decomposers_ocean,1,136.991,137.514,0.523
64X9,slot_algae,slot_fish,1,143.659,144.069,0.41
64X9,slot_algae,slot_carbon_dioxide,1,145.28,146.838,1.558
64X9,slot_decomposers_ocean,slot_carbon_dioxide,1,151.863,152.654,0.791
64X9,slot_animals,slot_plants,0,157.567,158.224,0.657
64X9,slot_plants,slot_animals,1,160.087,163.17,3.083
64X9,slot_decomposers_land,slot_dead_land,1,166.07,166.542,0.472
64X9,slot_dead_land,slot_decomposers_land,1,167.309,167.846,0.537
64X9,slot_decomposers_land,slot_plants,0,168.962,169.43,0.468
64X9,slot_dead_land,slot_plants,0,170.926,173.649,2.723
64X9,slot_plants,slot_decomposers_land,0,177.727,178.706,0.979
64X9,slot_plants,slot_dead_land,1,179.846,181.255,1.409
64X9,slot_decomposers_land,slot_atmosphere,1,189.234,190.077,0.843
64X9,slot_algae,slot_carbon_dioxide,1,191.841,192.664,0.823
64X9,slot_carbon_dioxide,slot_algae,1,193.917,194.857,0.94
