student,source,target,valid,start,end,duration
6CGP,slot_plants,slot_animals,1,39.388,39.684,0.296
6CGP,slot_dead_land,slot_plants,0,43.452,43.91,0.458
6CGP,slot_dead_land,slot_animals,0,44.93,45.417,0.487
6CGP,slot_animals,slot_dead_land,1,46.459,46.892,0.433
6CGP,slot_factory,slot_plants,0,49.271,49.693,0.422
6CGP,slot_factory,slot_decomposers_land,0,51.069,51.573,0.504
6CGP,slot_factory,slot_animals,0,53.13,54.233,1.103
6CGP,slot_factory,slot_atmosphere,1,55.842,56.376,0.534
6CGP,slot_atmosphere,slot_carbon_dioxide,1,58.424,59.647,1.223
6CGP,slot_atmosphere,slot_plants,1,61.016,62.073,1.057
6CGP,slot_atmosphere,slot_animals,0,63.263,63.831,0.568
6CGP,slot_atmosphere,slot_algae,0,65.343,67.223,1.88
6CGP,slot_atmosphere,slot_decomposers_ocean,0,68.358,69.52,1.162
6CGP,slot_atmosphere,slot_fish,0,71.714,73.962,2.248
6CGP,slot_fossil_fuel,slot_factory,1,77.438,78.101,0.663
6CGP,slot_decomposers_land,slot_dead_land,1,79.85,80.727,0.877
6CGP,slot_decomposers_land,slot_plants,0,82.05,82.621,0.571
6CGP,slot_decomposers_land,slot_animals,0,84.208,84.816,0.608
6CGP,slot_plants,slot_decomposers_land,0,97.65,98.5,0.85
6CGP,slot_animals,slot_plants,0,103.179,103.597,0.418
6CGP,slot_atmosphere,slot_animals,0,104.905,105.521,0.616
6CGP,slot_animals,slot_atmosphere,1,106.403,107.034,0.631
6CGP,slot_dead_land,slot_atmosphere,0,108.988,109.555,0.567
6CGP,slot_decomposers_land,slot_atmosphere,1,110.745,111.577,0.832
6CGP,slot_dead_land,slot_decomposers_land,1,117.233,117.608,0.375
6CGP,slot_atmosphere,slot_plants,1,121.458,122.738,1.28
6CGP,slot_plants,slot_atmosphere,1,130.808,131.895,1.087
6CGP,slot_carbon_dioxide,slot_atmosphere,1,133.753,134.801,1.048
6CGP,slot_plants,slot_dead_land,1,142.472,143.932,1.46
6CGP,slot_algae,slot_fish,1,148.994,149.327,0.333
6CGP,slot_fish,slot_carbon_dioxide,1,150.331,150.679,0.348
6CGP,slot_carbon_dioxide,slot_fish,0,151.755,152.056,0.301
6CGP,slot_algae,slot_fish,1,153.091,153.46,0.369
6CGP,slot_decomposers_ocean,slot_fish,0,156.081,156.56,0.479
6CGP,slot_decomposers_ocean,slot_dead_ocean,1,157.93,158.29,0.36
6CGP,slot_carbon_dioxide,slot_fish,0,161.787,162.069,0.282
6CGP,slot_dead_ocean,slot_decomposers_ocean,1,163.933,167.262,3.329
6CGP,slot_fish,slot_decomposers_ocean,0,168.695,169.057,0.362
6CGP,slot_decomposers_ocean,slot_fish,0,170.073,170.342,0.269
6CGP,slot_algae,slot_dead_ocean,1,171.859,172.35,0.491
6CGP,slot_dead_ocean,slot_algae,0,178.381,178.999,0.618
6CGP,slot_fish,slot_dead_ocean,1,181.207,181.51,0.303
6CGP,slot_decomposers_ocean,slot_carbon_dioxide,1,214.177,214.763,0.586
6CGP,slot_carbon_dioxide,slot_algae,1,219.854,221.051,1.197
6CGP,slot_algae,slot_carbon_dioxide,1,224.505,225.946,1.441
