student,source,target,valid,start,end,duration
7V2R,slot_factory,slot_atmosphere,1,14.014,17.973,3.959
7V2R,slot_atmosphere,slot_plants,1,23.743,24.777,1.034
7V2R,slot_atmosphere,slot_animals,0,27.237,28.693,1.456
7V2R,slot_animals,slot_atmosphere,1,29.801,30.28,0.479
7V2R,slot_carbon_dioxide,slot_atmosphere,1,32.304,33.672,1.368
7V2R,slot_atmosphere,slot_algae,0,35.008,36.037,1.029
7V2R,slot_fish,slot_atmosphere,0,37.798,38.416,0.618
7V2R,slot_atmosphere,slot_fish,0,39.544,40.377,0.833
7V2R,slot_fish,slot_algae,0,41.21,41.828,0.618
7V2R,slot_algae,slot_fish,1,42.912,43.664,0.752
7V2R,slot_fish,slot_decomposers_ocean,0,46.738,47.113,0.375
7V2R,slot_decomposers_ocean,slot_fish,0,47.926,48.257,0.331
7V2R,slot_decomposers_ocean,slot_dead_ocean,1,49.97,50.68,0.71
7V2R,slot_fossil_fuel,slot_dead_land,0,54.568,55.302,0.734
7V2R,slot_decomposers_land,slot_fossil_fuel,0,56.432,57.125,0.693
7V2R,slot_animals,slot_dead_land,1,59.095,59.667,0.572
7V2R,slot_dead_land,slot_fossil_fuel,0,61.394,61.764,0.37
7V2R,slot_factory,slot_fossil_fuel,0,64.026,65.1,1.074
7V2R,slot_fossil_fuel,slot_factory,1,66.059,66.941,0.882
7V2R,slot_decomposers_land,slot_factory,0,68.539,69.175,0.636
7V2R,slot_plants,slot_fossil_fuel,0,70.756,72.307,1.551
7V2R,slot_plants,slot_atmosphere,1,78.197,78.707,0.51
7V2R,slot_carbon_dioxide,slot_algae,1,85.342,88.143,2.801
7V2R,slot_carbon_dioxide,slot_fish,0,92.471,93.024,0.553
7V2R,slot_carbon_dioxide,slot_decomposers_ocean,0,94.051,94.776,0.725
7V2R,slot_decomposers_land,slot_plants,0,104.763,105.303,0.54
7V2R,slot_plants,slot_animals,1,106.326,107.494,1.168
7V2R,slot_dead_land,slot_plants,0,109.864,110.166,0.302
7V2R,slot_plants,slot_dead_land,1,110.978,111.398,0.42
7V2R,slot_decomposers_land,slot_dead_land,1,114.188,114.638,0.45
7V2R,slot_decomposers_land,slot_atmosphere,1,117.934,118.72,0.786
7V2R,slot_atmosphere,slot_decomposers_land,0,121.249,121.855,0.606
7V2R,slot_decomposers_land,slot_dead_ocean,0,123.618,124.469,0.851
7V2R,slot_dead_ocean,slot_dead_land,0,125.443,125.78,0.337
7V2R,slot_dead_land,slot_decomposers_land,1,127.032,127.559,0.527
7V2R,slot_algae,slot_dead_ocean,1,130.394,130.81,0.416
7V2R,slot_dead_ocean,slot_algae,0,131.739,132.168,0.429
7V2R,slot_algae,slot_decomposers_ocean,0,134.121,134.889,0.768
7V2R,slot_fish,slot_algae,0,136.852,137.375,0.523
7V2R,slot_dead_ocean,slot_algae,0,140.952,141.423,0.471
7V2R,slot_algae,slot_carbon_dioxide,1,143.613,144.326,0.713
7V2R,slot_fish,slot_decomposers_ocean,0,145.899,146.535,0.636
7V2R,slot_fish,slot_dead_ocean,1,151.725,152.147,0.422
7V2R,slot_dead_ocean,slot_fish,0,153.774,154.181,0.407
7V2R,slot_dead_ocean,slot_decomposers_ocean,1,156.755,157.614,0.859
7V2R,slot_fish,slot_carbon_dioxide,1,159.535,160.072,0.537
7V2R,slot_carbon_dioxide,slot_decomposers_ocean,0,161.418,161.988,0.57
7V2R,slot_decomposers_ocean,slot_carbon_dioxide,1,162.936,163.642,0.706
7V2R,slot_carbon_dioxide,slot_atmosphere,1,167.797,169.069,1.272
7V2R,slot_atmosphere,slot_carbon_dioxide,1,170.184,171.137,0.953
