student,source,target,valid,start,end,duration
7W7C,slot_fossil_fuel,slot_factory,1,65.825,67.483,1.658
7W7C,slot_decomposers_land,slot_dead_land,1,70.834,74.764,3.93
7W7C,slot_dead_land,slot_fossil_fuel,0,75.998,77.117,1.119
7W7C,slot_dead_land,slot_algae,0,79.938,80.279,0.341
7W7C,slot_dead_land,slot_animals,0,81.986,82.856,0.87
7W7C,slot_dead_land,slot_plants,0,84.206,84.762,0.556
7W7C,slot_decomposers_land,slot_plants,0,85.801,86.905,1.104
7W7C,slot_dead_land,slot_algae,0,88.648,89.484,0.836
7W7C,slot_dead_ocean,slot_fish,0,91.39,92.034,0.644
7W7C,slot_fish,slot_decomposers_ocean,0,93.811,100.04,6.229
7W7C,slot_animals,slot_dead_land,1,105.639,106.486,0.847
7W7C,slot_plants,slot_decomposers_land,0,108.435,109.147,0.712
7W7C,slot_dead_land,slot_decomposers_land,1,118.489,119.779,1.29
7W7C,slot_plants,slot_dead_land,1,124.75,125.801,1.051
7W7C,slot_decomposers_land,slot_plants,0,137.365,138.549,1.184
7W7C,slot_decomposers_land,slot_animals,0,144.864,146.111,1.247
7W7C,slot_decomposers_land,slot_dead_ocean,0,150.818,153.471,2.653
7W7C,slot_dead_ocean,slot_fish,0,155.376,156.048,0.672
7W7C,slot_fish,slot_dead_ocean,1,158.205,159.042,0.837
7W7C,slot_algae,slot_fish,1,160.619,161.145,0.526
7W7C,slot_carbon_dioxide,slot_fish,0,163.598,163.959,0.361
7W7C,slot_carbon_dioxide,slot_animals,0,165.338,167.402,2.064
7W7C,slot_decomposers_ocean,slot_fish,0,174.501,174.792,0.291
7W7C,slot_decomposers_ocean,slot_carbon_dioxide,1,176.102,176.886,0.784
7W7C,slot_carbon_dioxide,slot_decomposers_ocean,0,180.08,180.765,0.685
7W7C,slot_decomposers_ocean,slot_fish,0,183.631,184.116,0.485
7W7C,slot_fish,slot_animals,0,186.862,187.496,0.634
7W7C,slot_plants,slot_atmosphere,1,190.147,190.69,0.543
7W7C,slot_carbon_dioxide,slot_atmosphere,1,194.188,194.918,0.73
7W7C,slot_factory,slot_atmosphere,1,197.521,198.29,0.769
7W7C,slot_animals,slot_atmosphere,1,199.794,200.426,0.632
7W7C,slot_algae,slot_atmosphere,0,202.354,203.139,0.785
7W7C,slot_fish,slot_atmosphere,0,205.316,206.362,1.046
7W7C,slot_decomposers_land,slot_atmosphere,1,208.697,209.656,0.959
7W7C,slot_algae,slot_carbon_dioxide,1,216.005,216.906,0.901
7W7C,slot_fish,slot_carbon_dioxide,1,218.404,218.773,0.369
7W7C,slot_decomposers_ocean,slot_carbon_dioxide,1,220.246,220.915,0.669
7W7C,slot_decomposers_ocean,slot_dead_ocean,1,222.079,222.65,0.571
7W7C,slot_decomposers_ocean,slot_algae,0,224.162,225.954,1.792
7W7C,slot_decomposers_ocean,slot_animals,0,227.64,229.739,2.099
7W7C,slot_decomposers_ocean,slot_atmosphere,0,232.196,233.956,1.76
7W7C,slot_carbon_dioxide,slot_animals,0,235.579,236.184,0.605
7W7C,slot_algae,slot_carbon_dioxide,1,237.559,238.535,0.976
7W7C,slot_carbon_dioxide,slot_animals,0,239.685,241.786,2.101
7W7C,slot_carbon_dioxide,slot_algae,1,243.498,244.038,0.54
7W7C,slot_dead_ocean,slot_algae,0,246.461,246.892,0.431
7W7C,slot_algae,slot_dead_ocean,1,247.969,248.629,0.66
7W7C,slot_dead_ocean,slot_decomposers_ocean,1,250.759,251.399,0.64
7W7C,slot_carbon_dioxide,slot_plants,0,254.765,256.285,1.52
7W7C,slot_plants,slot_carbon_dioxide,0,259.094,259.703,0.609
7W7C,slot_animals,slot_plants,0,261.32,261.962,0.642
7W7C,slot_plants,slot_animals,1,264.323,264.825,0.502
7W7C,slot_plants,slot_carbon_dioxide,0,269.199,269.798,0.599
7W7C,slot_carbon_dioxide,slot_atmosphere,1,270.917,271.814,0.897
7W7C,slot_plants,slot_atmosphere,1,275.16,275.632,0.472
7W7C,slot_plants,slot_carbon_dioxide,0,278.662,279.305,0.643
7W7C,slot_atmosphere,slot_plants,1,291.089,291.742,0.653
7W7C,slot_atmosphere,slot_carbon_dioxide,1,293.019,295.029,2.01
